oli	بود	olla	بود#باش	V;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
elokuva	فیلم	elo#kuva	فیلم	N;NOM;SG	N;SG
elokuva	فیلم	elo#kuva	فیلم	N;NOM;SG	N;SG
elokuva	سینما	elo#kuva	سینما	N;NOM;SG	N;SG
elokuva	سینمای	elo#kuva	سینما	N;NOM;SG	N;SG
elokuva	cinema	elo#kuva	cinema	N;NOM;SG	N;SG
saksan	آلمان	saksa	آلمان	N;GEN;SG	N;SG
saksan	آلمانی	saksa	آلمانی	N;GEN;SG	N;SG
saksan	آلمان	saksa	آلمان	N;GEN;SG	N;SG
kaupunki	قریه	kaupunki	قریه	N;NOM;SG	N;SG
kaupunki	شهر	kaupunki	شهر	N;NOM;SG	N;SG
kaupunki	شهرک	kaupunki	شهرک	N;NOM;SG	N;SG
kaupunki	شهری	kaupunki	شهر	N;NOM;SG	N;SG
kaupunki	شهر	kaupunki	شهر	N;NOM;SG	N;SG
kaupunki	سیتی	kaupunki	سیتی	N;NOM;SG	N;SG
etelä	جنوب	etelä	جنوب	N;NOM;SG	N;SG
etelä	جنوبی	etelä	جنوبی	N;NOM;SG	N;SG
etelä	ساوت	etelä	ساوت	N;NOM;SG	N;SG
etelä	جنوب	etelä	جنوب	N;NOM;SG	N;SG
etelä	جنوبی	etelä	جنوبی	N;NOM;SG	N;SG
nyt	اکنون	nyt	اکنون	ADV	ADV
nyt	الان	nyt	الان	ADV	ADV
nyt	حالا	nyt	حالا	ADV	ADV
katso	ببین	katsoa	دید#بین	V;IMP;SG;2;FIN;ACT	V;IMP;SG;2
muita	دیگران	muu	دیگری	PRO;PRT;PL	PRO
kertaa	تایمز	kerta	تایمز	N;PRT;SG	N;SG
alussa	ابتدای	alku	ابتدا	N;IN+ESS;SG	N;SG
alussa	آغاز	alku	آغاز	N;IN+ESS;SG	N;SG
muut	دیگران	muu	دیگری	PRO;NOM;PL	PRO
yhden	یکی	yksi	یک	NUM;GEN;SG	NUM
yhden	یک	yksi	یک	NUM;GEN;SG	NUM
vuodet	سالهای	vuosi	سال	N;NOM;PL	N;PL
vuodet	سالها	vuosi	سال	N;NOM;PL	N;PL
alueen	منطقه	alue	منطقه	N;GEN;SG	N;SG
alueen	ناحیه	alue	ناحیه	N;GEN;SG	N;SG
alueen	استان	alue	استان	N;GEN;SG	N;SG
alueen	منطقۀ	alue	منطقۀ	N;GEN;SG	N;SG
yhtye	بند	yhtye	بند	N;NOM;SG	N;SG
yhtye	گروه	yhtye	گروه	N;NOM;SG	N;SG
ranskan	فرنچ	ranska	فرنچ	N;GEN;SG	N;SG
ranskan	فرانسه	ranska	فرانسه	N;GEN;SG	N;SG
ranskan	فرانسوی	ranska	فرانسوی	N;GEN;SG	N;SG
ranskan	فرانس	ranska	فرانس	N;GEN;SG	N;SG
ranskan	فرانسه	ranska	فرانسه	N;GEN;SG	N;SG
paras	بهترین	hyvä	به	ADJ;NOM;RL;SG	ADJ;RL
pelaaja	بازیکن	pelaaja	بازیکن	N;NOM;SG	N;SG
pelaaja	gamer	pelaaja	gamer	N;NOM;SG	N;SG
lähes	تقریباً	lähes	تقریباً	ADV	ADV
lähes	تقریبا	lähes	None	ADV	ADV
taas	دوباره	taas	دوباره	ADV	ADV
albumi	آلبوم	albumi	آلبوم	N;NOM;SG	N;SG
jäi	ماند	jäädä	ماند#مان	V;IND;SG;3;PST;FIN;ACT	V;SG;3;PST
metriä	متری	metri	متری	N;PRT;SG	N;SG
metriä	متر	metri	متر	N;PRT;SG	N;SG
metriä	متر	metri	متر	N;PRT;SG	N;SG
siellä	آنجا	siellä	آنجا	ADV	ADV;ESS
laulu	آواز	laulu	آواز	N;NOM;SG	N;SG
laulu	خوانندگی	laulu	خوانندگی	N;NOM;SG	N;SG
laulu	نغمه	laulu	نغمه	N;NOM;SG	N;SG
laulu	ترانه	laulu	ترانه	N;NOM;SG	N;SG
laulu	اهنگ	laulu	اهنگ	N;NOM;SG	N;SG
laulu	آهنگ	laulu	آهنگ	N;NOM;SG	N;SG
laulu	آواز	laulu	آواز	N;NOM;SG	N;SG
jopa	حتی	jopa	حتی	ADV	ADV
välillä	گهگاه	välillä	گهگاه	ADV	ADV
erityisesti	مخصوصا	erityisesti	مخصوصا	ADV	ADV
valittiin	برگزیده	valita	برگزیده	V;IND;PST;FIN;PASS	V;SG;3;V.PTCP
suuri	بزرگ	suuri	بزرگ	ADJ;NOM;SG	ADJ
suuri	درشت	suuri	درشت	ADJ;NOM;SG	ADJ
suuri	بزرگ	suuri	بزرگ	ADJ;NOM;SG	ADJ
http	http	http	http	N;NOM;SG	N;SG
joukkue	جوخه	joukkue	جوخه	N;NOM;SG	N;SG
joukkue	جوخه	joukkue	جوخه	N;NOM;SG	N;SG
joukkue	تیم	joukkue	تیم	N;NOM;SG	N;SG
joukkue	تیمی	joukkue	تیم	N;NOM;SG	N;SG
luettelo	فهرست	luettelo	فهرست	N;NOM;SG	N;SG
edelleen	همچنان	edelleen	همچنان	ADV	ADV
edelleen	هنوزم	edelleen	هنوزم	ADV	ADV
edelleen	هنوز	edelleen	هنوز	ADV	ADV
alue	منطقه	alue	منطقه	N;NOM;SG	N;SG
alue	ناحیه	alue	ناحیه	N;NOM;SG	N;SG
alue	استان	alue	استان	N;NOM;SG	N;SG
alue	منطقۀ	alue	منطقۀ	N;NOM;SG	N;SG
alue	منطقه	alue	منطقه	N;NOM;SG	N;SG
alue	زون	alue	زون	N;NOM;SG	N;SG
alue	منطقه	alue	منطقه	N;NOM;SG	N;SG
alue	مساحت	alue	مساحت	N;NOM;SG	N;SG
alue	ناحیه	alue	ناحیه	N;NOM;SG	N;SG
maailman	جهان	maailma	جهان	N;GEN;SG	N;SG
maailman	دنیا	maailma	دنیا	N;GEN;SG	N;SG
maailman	جهانی	maailma	جهانی	N;GEN;SG	N;SG
kirjailija	نویسنده	kirjailija	نویسنده	N;NOM;SG	N;SG
kirjailija	مؤلف	kirjailija	مؤلف	N;NOM;SG	N;SG
kirjailija	نویسندۀ	kirjailija	نویسندۀ	N;NOM;SG	N;SG
kirjailija	نویسنده	kirjailija	نویسنده	N;NOM;SG	N;SG
sodan	جنگ	sota	جنگ	N;GEN;SG	N;SG
sodan	جنگی	sota	جنگی	N;GEN;SG	N;SG
tunnetaan	دانسته	tuntea	دانست#دان	V;IND;PRS;FIN;PASS	V;SG;3;V.PTCP
elokuvan	فیلمی	elo#kuva	فیلم	N;GEN;SG	N;SG
elokuvan	فیلم	elo#kuva	فیلم	N;GEN;SG	N;SG
ruotsin	سوئدی	ruotsi	سوئدی	N;GEN;SG	N;SG
palasi	بازگشته	palata	بازگشته	V;IND;SG;3;PST;FIN;ACT	V;SG;3;V.PTCP
entinen	سابق	entinen	سابق	ADJ;NOM;SG	ADJ
kappale	پاراگراف	kappale	پاراگراف	N;NOM;SG	N;SG
kappale	بند	kappale	بند	N;NOM;SG	N;SG
kappale	نغمه	kappale	نغمه	N;NOM;SG	N;SG
kappale	ترانه	kappale	ترانه	N;NOM;SG	N;SG
kappale	اهنگ	kappale	اهنگ	N;NOM;SG	N;SG
kappale	آهنگ	kappale	آهنگ	N;NOM;SG	N;SG
kappale	آواز	kappale	آواز	N;NOM;SG	N;SG
kitara	گیتار	kitara	گیتار	N;NOM;SG	N;SG
pituus	ارتفاعی	pituus	ارتفاعی	N;NOM;SG	N;SG
pituus	بلندی	pituus	بلندی	N;NOM;SG	N;SG
pituus	ارتفاع	pituus	ارتفاع	N;NOM;SG	N;SG
pituus	height	pituus	height	N;NOM;SG	N;SG
miljoonaa	میلیون	miljoona	میلیون	NUM;PRT;SG	NUM
isbn	isbn	isbn	isbn	N;NOM;SG	N;SG
kilometriä	مایل	kilo#metri	مایل	N;PRT;SG	N;SG
kilometriä	مایلز	kilo#metri	مایلز	N;PRT;SG	N;SG
kilometriä	کیلومتر	kilo#metri	کیلومتر	N;PRT;SG	N;SG
aika	خوشگل	aika	خوشگل	N;NOM;SG	N;SG
aika	خوشگله	aika	خوشگله	N;NOM;SG	N;SG
aika	زمان	aika	زمان	N;NOM;SG	N;SG
aika	تایم	aika	تایم	N;NOM;SG	N;SG
enemmän	دیگر	enemmän	دیگر	ADV	ADV
kunta	کمون	kunta	کمون	N;NOM;SG	N;SG
hopeaa	نقره	hopea	نقره	N;PRT;SG	N;SG
hopeaa	سیمین	hopea	سیمین	N;PRT;SG	N;SG
hopeaa	سیلور	hopea	سیلور	N;PRT;SG	N;SG
kirkko	کلیسا	kirkko	None	N;NOM;SG	N;SG
kirkko	چرچ	kirkko	چرچ	N;NOM;SG	N;SG
kirkko	کلیسای	kirkko	None	N;NOM;SG	N;SG
levy	آلبوم	levy	آلبوم	N;NOM;SG	N;SG
levy	ضبط	levy	None	N;NOM;SG	N;SG
levy	دیسک	levy	دیسک	N;NOM;SG	N;SG
levy	دیسک	levy	دیسک	N;NOM;SG	N;SG
ottelut	مبارزات	ottelu	مبارزه	N;NOM;PL	N;PL
toiseksi	دوم	toinen	دوم	ADJ;TRANS;SG	ADJ
toiseksi	دومی	toinen	None	ADJ;TRANS;SG	ADJ
albumin	آلبوم	albumi	آلبوم	N;GEN;SG	N;SG
kirkon	کلیسا	kirkko	None	N;GEN;SG	N;SG
kirkon	چرچ	kirkko	چرچ	N;GEN;SG	N;SG
kirkon	کلیسای	kirkko	None	N;GEN;SG	N;SG
viisi	پنج	viisi	پنج	NUM;NOM;SG	NUM
artikkeli	مطلب	artikkeli	مطلب	N;NOM;SG	N;SG
artikkeli	مقالۀ	artikkeli	مقالۀ	N;NOM;SG	N;SG
artikkeli	مقاله	artikkeli	مقاله	N;NOM;SG	N;SG
uudelleen	دوباره	uudelleen	دوباره	ADV	ADV
yhteydessä	پیوند	yhteys	پیوند	N;IN+ESS;SG	N;SG
lähde	رها	lähde	رها	N;NOM;SG	N;SG
lähde	ترک	lähde	ترک	N;NOM;SG	N;SG
lähde	مبدأ	lähde	None	N;NOM;SG	N;SG
lähde	متن	lähde	متن	N;NOM;SG	N;SG
lähde	منبع	lähde	منبع	N;NOM;SG	N;SG
kuningas	پادشاه	kuningas	پادشاه	N;NOM;SG	N;SG
kuningas	کینگ	kuningas	کینگ	N;NOM;SG	N;SG
kuningas	شاه	kuningas	شاه	N;NOM;SG	N;SG
mestaruuden	قهرمانی	mestaruus	قهرمانی	N;GEN;SG	N;SG
pronssia	برنز	pronssi	برنز	N;PRT;SG	N;SG
pronssia	برنزی	pronssi	برنزی	N;PRT;SG	N;SG
pronssia	لرستان	pronssi	لرستان	N;PRT;SG	N;SG
raportti	گزارش	raportti	گزارش	N;NOM;SG	N;SG
poika	پسر	poika	پسر	N;NOM;SG	N;SG
poika	کید	poika	کرد#کن	N;NOM;SG	N;SG
poika	پسر	poika	پسر	N;NOM;SG	N;SG
ssa	ssa	ssa	ssa	N;NOM;SG	N;SG
joskus	گاهی	joskus	گاه	ADV	ADV
nämä	اینها	tämä	این	PRO;NOM;PL	PRO;PL
aikaa	زمان	aika	زمان	N;PRT;SG	N;SG
aikaa	تایم	aika	تایم	N;PRT;SG	N;SG
laulaja	خواننده	laulaja	خواننده	N;NOM;SG	N;SG
luokan	مقوله	luokka	مقوله	N;GEN;SG	N;SG
luokan	دسته	luokka	دسته	N;GEN;SG	N;SG
luokan	رده	luokka	رده	N;GEN;SG	N;SG
luokan	ردۀ	luokka	ردۀ	N;GEN;SG	N;SG
luokan	کلاس	luokka	کلاس	N;GEN;SG	N;SG
luokan	class	luokka	class	N;GEN;SG	N;SG
luokan	کلاسی	luokka	کلاسی	N;GEN;SG	N;SG
kolmas	سومین	kolmas	سومین	ADJ;NOM;SG	ADJ;RL
kolmas	سوم	kolmas	سوم	ADJ;NOM;SG	ADJ
lähinnä	اساسا	lähinnä	اساساً	ADV	ADV
lähinnä	عمدتاً	lähinnä	عمدتا	ADV	ADV
lähinnä	غالبا	lähinnä	غالبا	ADV	ADV
kultaa	طلای	kulta	طلا	N;PRT;SG	N;SG
kultaa	gold	kulta	gold	N;PRT;SG	N;SG
kultaa	طلا	kulta	طلا	N;PRT;SG	N;SG
kultaa	گلد	kulta	گلد	N;PRT;SG	N;SG
kultaa	زرین	kulta	None	N;PRT;SG	N;SG
pitkä	طولانی	pitkä	طولانی	ADJ;NOM;SG	ADJ
pitkä	دراز	pitkä	دراز	ADJ;NOM;SG	ADJ
itä	شرق	itä	شرق	N;NOM;SG	N;SG
itä	شرقی	itä	شرقی	N;NOM;SG	N;SG
itä	شرق	itä	شرق	N;NOM;SG	N;SG
itä	شرقی	itä	شرقی	N;NOM;SG	N;SG
maa	کانتری	maa	کان	N;NOM;SG	N;SG
maa	کشوری	maa	کشوری	N;NOM;SG	N;SG
maa	کشور	maa	کشور	N;NOM;SG	N;SG
maa	مملکت	maa	مملکت	N;NOM;SG	N;SG
maa	ییلاق	maa	ییلاق	N;NOM;SG	N;SG
maa	خشکی	maa	خشکی	N;NOM;SG	N;SG
maa	land	maa	land	N;NOM;SG	N;SG
maa	سرزمین	maa	سرزمین	N;NOM;SG	N;SG
maa	زمین	maa	زمین	N;NOM;SG	N;SG
kausi	فصل	kausi	فصل	N;NOM;SG	N;SG
artikkeleita	مقالات	artikkeli	مقاله	N;PRT;PL	N;PL
jälleen	دوباره	jälleen	دوباره	ADV	ADV
pieni	کوچک	pieni	کوچک	ADJ;NOM;SG	ADJ
pieni	اندکی	pieni	اندکی	ADJ;NOM;SG	ADJ
pieni	کوچک	pieni	کوچک	ADJ;NOM;SG	ADJ
pieni	کم	pieni	کم	ADJ;NOM;SG	ADJ
keski	وسطی	keski	وسطی	N;NOM;SG	N;SG
keski	میدل	keski	میدل	N;NOM;SG	N;SG
keski	میانی	keski	None	N;NOM;SG	N;SG
keski	میانه	keski	میانه	N;NOM;SG	N;SG
voitto	سودش	voitto	سودش	N;NOM;SG	N;SG
voitto	منفعت	voitto	منفعت	N;NOM;SG	N;SG
voitto	سودی	voitto	None	N;NOM;SG	N;SG
voitto	سود	voitto	None	N;NOM;SG	N;SG
voitto	برنده	voitto	برنده	N;NOM;SG	N;SG
voitto	پیروزی	voitto	پیروزی	N;NOM;SG	N;SG
voitto	فتح	voitto	فتح	N;NOM;SG	N;SG
saada	شو	saada	None	V;SG;NFIN;ACT	V;IMP;SG;2
määrä	مقدار	määrä	مقدار	N;NOM;SG	N;SG
määrä	مبلغ	määrä	مبلغ	N;NOM;SG	N;SG
määrä	کمیت	määrä	کمیت	N;NOM;SG	N;SG
virallinen	رسمی	virallinen	رسمی	ADJ;NOM;SG	ADJ
yhtiö	شرکت	yhtiö	شرکت	N;NOM;SG	N;SG
yhtiö	company	yhtiö	None	N;NOM;SG	N;SG
yhtiö	کمپانی	yhtiö	کمپانی	N;NOM;SG	N;SG
tunnettu	معلوم	tunnettu	معلوم	ADJ;NOM;SG	ADJ
tunnettu	معروف	tunnettu	معروف	ADJ;NOM;SG	ADJ
tunnettu	دارای	tunnettu	دارا	ADJ;NOM;SG	ADJ
laivaston	ناوگان	laivasto	ناوه	N;GEN;SG	N;SG
laji	sport	laji	sport	N;NOM;SG	N;SG
laji	اسپورت	laji	اسپورت	N;NOM;SG	N;SG
laji	ورزش	laji	ورزش	N;NOM;SG	N;SG
laji	ورزشی	laji	ورزشی	N;NOM;SG	N;SG
laji	ورزشکار	laji	ورزشکار	N;NOM;SG	N;SG
laji	گونه	laji	گونه	N;NOM;SG	N;SG
täysin	کاملا	täysin	None	ADV	ADV
style	سبک	style	سبک	N;NOM;SG	N;SG
kuusi	شش	kuusi	شش	NUM;NOM;SG	NUM
kuusi	شیش	kuusi	شیش	NUM;NOM;SG	NUM
britannian	بریتانیا	britannia	None	N;GEN;SG	N;SG
britannian	بریتانیایی	britannia	بریتانی	N;GEN;SG	N;SG
britannian	بریتانیا	britannia	None	N;GEN;SG	N;SG
britannian	بریتانیا	britannia	None	N;GEN;SG	N;SG
italian	ایتالیا	italia	ایتالیا	N;GEN;SG	N;SG
italian	ایتالیایی	italia	ایتالیایی	N;GEN;SG	N;SG
italian	ایتالیا	italia	ایتالیا	N;GEN;SG	N;SG
valtion	حالت	valtio	حالت	N;GEN;SG	N;SG
valtion	استیت	valtio	استیت	N;GEN;SG	N;SG
valtion	دولت	valtio	دولت	N;GEN;SG	N;SG
valtion	وضعیت	valtio	وضعیت	N;GEN;SG	N;SG
valtion	ایالت	valtio	ایالت	N;GEN;SG	N;SG
sarja	سری	sarja	سری	N;NOM;SG	N;SG
sarja	متوالی	sarja	متوالی	N;NOM;SG	N;SG
sarja	سریالی	sarja	None	N;NOM;SG	N;SG
sarja	دنباله	sarja	دنباله	N;NOM;SG	N;SG
naisten	زنانی	nainen	None	N;GEN;PL	N;PL
naisten	زنها	nainen	None	N;GEN;PL	N;PL
naisten	زنان	nainen	زن	N;GEN;PL	N;PL
iii	سوم	iii	سوم	ADJ	ADJ
erittäin	خیلی	erittäin	خیلی	ADV	ADV
erittäin	بسیار	erittäin	بسیار	ADV	ADV
ainoastaan	تنها	ainoastaan	تنها	ADV	ADV
professori	پروفسور	professori	پروفسور	N;NOM;SG	N;SG
professori	پرفسور	professori	پرفسور	N;NOM;SG	N;SG
miten	چطور	miten	چطور	ADV	ADV
prosenttia	درصد	prosentti	درصد	N;PRT;SG	N;SG
armeijan	ارتش	armeija	ارتش	N;GEN;SG	N;SG
armeijan	نظامی	armeija	نظام	N;GEN;SG	N;SG
armeijan	ارتشی	armeija	ارتشی	N;GEN;SG	N;SG
armeijan	لشگر	armeija	لشگر	N;GEN;SG	N;SG
armeijan	ارتش	armeija	ارتش	N;GEN;SG	N;SG
armeijan	ارتشی	armeija	ارتشی	N;GEN;SG	N;SG
armeijan	سپاه	armeija	سپاه	N;GEN;SG	N;SG
armeijan	لشکر	armeija	None	N;GEN;SG	N;SG
tammikuussa	ژانویه	tammikuu	ژانویه	N;IN+ESS;SG	N;SG
kesällä	تابستان	kesä	تابستان	N;AT+ESS
;SG	N;SG
kesällä	سامر	kesä	سامر	N;AT+ESS
;SG	N;SG
kesällä	تابستون	kesä	تابستون	N;AT+ESS
;SG	N;SG
kesällä	تابستانی	kesä	تابستانی	N;AT+ESS
;SG	N;SG
kymmenen	ده	kymmenen	ده	NUM;NOM;SG	NUM
länsi	وست	länteä	None	N;NOM;SG	N;SG
länsi	باختر	länteä	باخت#باز	N;NOM;SG	N;SG
länsi	غرب	länteä	غرب	N;NOM;SG	N;SG
länsi	وسترن	länteä	وسترن	N;NOM;SG	N;SG
