और	en	और	en		CONJ
जब	wanneer	जब	wanneer	PRO;NOM	ADV
उन्होंने	zij	वह	zij	PRO;SG;3;FORM	PRO;NOM;3
उन्होंने	egyptenaren	वह	egyptenaar	PRO;SG;3;FORM	N;PL
जन्म	geboren	जन्म	geboren	N;NOM;MASC;SG;3	V;V.PTCP
कोई	koi	कोई	koi	PRO;NOM;SG;3	N;MASC+FEM;SG
कोई	elke	कोई	elk	PRO;NOM;SG;3	DET
इन	inn	यह	inn	DET;ACC;PL;3	N;NEUT;SG
इन	herberg	यह	herberg	DET;ACC;PL;3	N;MASC+FEM;SG
ये	dit	यह	dit	PRO;NOM;PL;3	PRO;3
ये	deze	यह	deze	PRO;NOM;PL;3	PRO
ये	deze	यह	deze	PRO;NOM;PL;3	PRO
कम	laag	कम	laag	DET	ADJ
कम	low	कम	low	DET	N;MASC+FEM;SG
कम	lage	कम	laag	DET	ADJ
कम	minder	कम	minder	DET	PRO
कम	minder	कम	minder	DET	PRO
कहा	said	कह	said	V;PFV;MASC;SG;V.PTCP;ACT	
आदि	etc	आदि	etc	PART	ADV
आदि	enz	आदि	enz	PART	ADV
आदि	more	आदि	more	PART	
आदि	meer	आदि	veel	PART	PRO
आदि	adi	आदि	adi	PART	N;MASC+FEM;SG
उसके	zijn	वह	zijn	PRO;MASC;SG;3	V;PL;PRS;FIN
उसके	haar	वह	haar	PRO;MASC;SG;3	PRO;ACC;3
देखें	kijk	देख	kijken	V;SBJV;PL;FIN;ACT	V;SG;PRS;FIN
देखें	zie	देख	zien	V;SBJV;PL;FIN;ACT	V;SG;PRS;FIN
देखें	weergave	देख	weergave	V;SBJV;PL;FIN;ACT	N;MASC+FEM;SG
देखें	uitzicht	देख	uitzicht	V;SBJV;PL;FIN;ACT	N;NEUT;SG
देखें	bekijk	देख	bekijk	V;SBJV;PL;FIN;ACT	V;SG;PRS;FIN
उत्तर	beantwoorden	उत्तर	beantwoorden	PROPN;NOM;MASC;SG;3	V;NFIN
उत्तर	antwoord	उत्तर	antwoord	PROPN;NOM;MASC;SG;3	N;NEUT;SG
उत्तर	noorden	उत्तर	noorden	PROPN;NOM;MASC;SG;3	N;NEUT;SG
उत्तर	noord	उत्तर	noord	PROPN;NOM;MASC;SG;3	N;NEUT;SG
उत्तर	antwoorden	उत्तर	antwoord	PROPN;NOM;MASC;SG;3	N;PL
भाषा	talen	भाषा	taal	N;NOM;FEM;SG;3	N;PL
लिये	voor	ले	voor	V;PFV;MASC;SG;V.PTCP;ACT	ADP
सभी	allen	सब	al	PRO;NOM;3	PRO
सभी	alle	सब	al	PRO;NOM;3	DET
सभी	allemaal	सब	allemaal	PRO;NOM;3	ADV
सभी	alles	सब	alles	PRO;NOM;3	PRO;3
प्राप्त	verkregen	प्राप्त	verkrijgen	ADJ	V;V.PTCP
प्राप्त	ontvangen	प्राप्त	ontvangen	ADJ	V;V.PTCP
प्राप्त	ontvang	प्राप्त	ontvang	ADJ	V;SG;PRS;FIN
प्राप्त	ontvangen	प्राप्त	ontvangen	ADJ	V;V.PTCP
इसका	its	यह	its	PRO;MASC;SG;3	
प्रयोग	experimenten	प्रयोग	experiment	N;NOM;MASC;SG;3	N;PL
प्रयोग	proefnemingen	प्रयोग	proefneming	N;NOM;MASC;SG;3	N;PL
प्रयोग	proeven	प्रयोग	proeven	N;NOM;MASC;SG;3	V;NFIN
प्रयोग	experimenteren	प्रयोग	experimenteren	N;NOM;MASC;SG;3	V;NFIN
शामिल	betrokken	शामिल	betrekken	ADJ	V;V.PTCP
शामिल	omvat	शामिल	omvatten	ADJ	V;SG;PRS;FIN
शामिल	inbegrepen	शामिल	inbegrip	ADJ	V;V.PTCP
उन्हें	hen	वह	hen	PRO;SG;3;FORM	PRO;ACC;3
उस	dat	वह	dat	DET;ACC;SG;3	PRO;3
स्थान	plaatsen	स्थान	plaats	N;NOM;MASC;SG;3	N;PL
स्थान	locaties	स्थान	locatie	N;NOM;MASC;SG;3	N;PL
प्रमुख	belangrijkste	प्रमुख	belangrijk	N;NOM;MASC;SG;3	ADJ;RL
प्रमुख	voornaamste	प्रमुख	voornaam	N;NOM;MASC;SG;3	ADJ;RL
हुई	hui	हो	hui	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC+FEM;SG
बीच	centrum	बीच	centrum	ADV;NOM;MASC;SG;3	N;NEUT;SG
बीच	centreren	बीच	centreren	ADV;NOM;MASC;SG;3	V;NFIN
गए	gone	जा	goon	V;PFV;MASC;PL;V.PTCP;ACT	
गए	ging	जा	gaan	V;PFV;MASC;PL;V.PTCP;ACT	V;SG;PST;FIN
मुख्य	chef	मुख्य	chef	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मुख्य	chief	मुख्य	chief	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मुख्य	opperhoofd	मुख्य	opperhoofd	PROPN;NOM;MASC;SG;3	N;NEUT;SG
मुख्य	belangrijkste	मुख्य	belangrijk	PROPN;NOM;MASC;SG;3	ADJ;RL
मुख्य	voornaamste	मुख्य	voornaam	PROPN;NOM;MASC;SG;3	ADJ;RL
मुख्य	main	मुख्य	main	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
बिहार	bihar	बिहार	bihar	PROPN;NOM;MASC;SG;3	ADJ
उसे	hem	वह	hem	PRO;SG;3	PRO;ACC;3
उसे	haar	वह	haar	PRO;SG;3	PRO;ACC;3
कार्य	taken	कार्य	taak	N;NOM;MASC;SG;3	N;PL
कार्य	werken	कार्य	werken	N;NOM;MASC;SG;3	V;NFIN
कार्य	klussen	कार्य	klus	N;NOM;MASC;SG;3	V;NFIN
कार्य	jobs	कार्य	job	N;NOM;MASC;SG;3	N;PL
कार्य	vacatures	कार्य	vacature	N;NOM;MASC;SG;3	N;PL
कार्य	banen	कार्य	baan	N;NOM;MASC;SG;3	N;PL
उनकी	hun	वह	hun	PRO;FEM;SG;3;FORM	PRO;ACC;3
आंध्र	andhra	आंध्र	andhra	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
आंध्र	andra	आंध्र	andra	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
उपयोग	gebruiken	उपयोग	gebruiken	N;NOM;MASC;SG;3	V;NFIN
काम	werken	काम	werken	N;NOM;MASC;SG;3	V;NFIN
जीवन	life	जीवन	life	N;NOM;MASC;SG;3	
भाग	afdelingen	भाग	afdeling		N;PL
भाग	secties	भाग	sectie		N;PL
भाग	deel	भाग	deel		N;NEUT;SG
भाग	gedeelte	भाग	gedeelte		N;NEUT;SG
भाग	onderdelen	भाग	onderdeel		N;PL
भाग	delen	भाग	delen		V;NFIN
निर्माण	bouwen	निर्माण	bouwen	N;NOM;MASC;SG;3	V;NFIN
निर्माण	bouwen	निर्माण	bouwen	N;NOM;MASC;SG;3	V;NFIN
निर्माण	opbouwen	निर्माण	opbouwen	N;NOM;MASC;SG;3	V;NFIN
दोनों	allebei	दो	allebei	N;ACC;MASC;PL;3	PRO
दोनों	beiden	दो	beide	N;ACC;MASC;PL;3	PRO
दोनों	beide	दो	beide	N;ACC;MASC;PL;3	PRO
राष्ट्रीय	nationaal	राष्ट्रीय	nationaal	PROPN;NOM;MASC;SG;3	ADJ
राष्ट्रीय	nationale	राष्ट्रीय	nationaal	PROPN;NOM;MASC;SG;3	ADJ
जानकारी	gegevens	जानकारी	gegeven	N;NOM;FEM;SG;3	N;PL
शहर	steden	शहर	stad	N;NOM;MASC;SG;3	N;PL
बार	bars	बार	bars	N;NOM;FEM;SG;3	N;PL
बार	tijden	बार	tijd	N;NOM;FEM;SG;3	N;PL
वाली	wali	वाला	wali	ADP;NOM;FEM;SG	N;MASC+FEM;SG
लगभग	bijna	लगभग	bijna	PART	ADV
लगभग	ongeveer	लगभग	ongeveer	PART	ADV
यहाँ	hier	यहाँ	hier	PRO;NOM	ADV
प्रसिद्ध	gerenommeerde	प्रसिद्ध	renommeren	ADJ	V;V.PTCP
केवल	alleen	केवल	alleen	PART	ADV
केवल	enkel	केवल	enkel	PART	PRO
केवल	slechts	केवल	slechts	PART	ADV
देश	nation	देश	nation	N;NOM;MASC;SG;3	
देश	landen	देश	land	N;NOM;MASC;SG;3	N;PL
अलग	gescheiden	अलग	scheiden	ADJ	V;V.PTCP
अलग	anders	अलग	anders	ADJ	ADV
अलग	gescheiden	अलग	scheiden	ADJ	V;V.PTCP
विशेष	special	विशेष	special	ADJ;NOM	N;MASC+FEM;SG
इसकी	its	यह	its	PRO;FEM;SG;3	
कभी	ever	कभी	ever	PRO	
कभी	ooit	कभी	ooit	PRO	ADV
पृष्ठ	bladzijden	पृष्ठ	bladzijde	N;NOM;MASC;SG;3	N;PL
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
माना	zogenaamd	मान	zogenaamd	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
माना	vermeend	मान	vermenen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
माना	vermoedelijk	मान	vermoedelijk	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
शब्द	woorden	शब्द	woord	N;NOM;MASC;SG;3	N;PL
तीन	three	तीन	three	NUM	
पुरस्कार	beloningen	पुरस्कार	beloning	N;NOM;MASC;SG;3	N;PL
पुरस्कार	awards	पुरस्कार	awards	N;NOM;MASC;SG;3	N;PL
पुरस्कार	onderscheidingen	पुरस्कार	onderscheiding	N;NOM;MASC;SG;3	N;PL
पुरस्कार	belonen	पुरस्कार	belonen	N;NOM;MASC;SG;3	V;NFIN
लेख	artikelen	लेख	artikel	N;NOM;MASC;SG;3	N;PL
लेख	artikels	लेख	artikel	N;NOM;MASC;SG;3	N;PL
अब	nu	अब	nu	PRO;NOM	ADV
दौरान	tijdens	दौरान	tijdens	ADV;NOM;MASC;SG;3	ADP
दौरान	gedurende	दौरान	gedurende	ADV;NOM;MASC;SG;3	ADP
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	PROPN;NEUT;SG
अलावा	toevoeging	अलावा	toevoeging	ADP	N;MASC+FEM;SG
अलावा	optellen	अलावा	optellen	ADP	V;NFIN
वार्ता	gesprekken	वार्ता	gesprek	N;NOM;FEM;SG;3	N;PL
दक्षिण	zuid	दक्षिण	zuid	PROPN;NOM;MASC;SG;3	ADJ
दक्षिण	zuiden	दक्षिण	zuiden	PROPN;NOM;MASC;SG;3	N;NEUT;SG
विभिन्न	diversen	विभिन्न	divers	ADJ	N;PL
क्योंकि	want	क्योंकि	want	CONJ	CONJ
पास	passeren	पास	passeren	ADV;NOM;MASC;SG;3	V;NFIN
पास	pass	पास	pass	ADV;NOM;MASC;SG;3	N;MASC+FEM;SG
विस्तृत	gedetailleerd	विस्तृत	detailleren	ADJ	V;V.PTCP
विस्तृत	gedetailleerde	विस्तृत	detailleren	ADJ	V;V.PTCP
विस्तृत	uitputtend	विस्तृत	uitputtend	ADJ	V;V.PTCP
विस्तृत	uitputtende	विस्तृत	uitputtend	ADJ	V;V.PTCP
विस्तृत	geavanceerd	विस्तृत	avanceren	ADJ	V;V.PTCP
विस्तृत	geavanceerde	विस्तृत	avanceren	ADJ	V;V.PTCP
विस्तृत	advanced	विस्तृत	advanced	ADJ	
विस्तृत	gevorderd	विस्तृत	vorderen	ADJ	V;V.PTCP
दिन	overdag	दिन	overdag	N;NOM;MASC;SG;3	ADV
दिन	dagen	दिन	dag	N;NOM;MASC;SG;3	N;PL
जाना	levensvatbaarheid	जा	levensvatbaarheid	V;MASC;NFIN;ACT	N;MASC+FEM;SG
जाना	levensvatbaar	जा	levensvatbaar	V;MASC;NFIN;ACT	ADJ
शुरू	begonnen	शुरू	beginnen	N;NOM;MASC;SG;3	V;V.PTCP
शुरू	gestart	शुरू	starten	N;NOM;MASC;SG;3	V;V.PTCP
शुरू	begon	शुरू	beginnen	N;NOM;MASC;SG;3	V;SG;PST;FIN
शुरू	opgestart	शुरू	opstarten	N;NOM;MASC;SG;3	V;V.PTCP
शुरू	beginnen	शुरू	beginnen	N;NOM;MASC;SG;3	V;NFIN
व्यक्ति	person	व्यक्ति	person	N;NOM;MASC;SG;3	
व्यक्ति	individueel	व्यक्ति	individueel	N;NOM;MASC;SG;3	ADJ
उनका	hun	वह	hun	PRO;MASC;SG;3;FORM	PRO;ACC;3
विज्ञान	wetenschappen	विज्ञान	wetenschap	N;NOM;MASC;SG;3	N;PL
सदस्य	lid	सदस्य	lid	N;NOM;MASC;PL;3	N;NEUT;SG
सदस्य	abonnee	सदस्य	abonnee	N;NOM;MASC;PL;3	N;MASC+FEM;SG
हालांकि	alhoewel	हालांकि	alhoewel	CONJ	ADV
सिंह	singh	सिंह	singh	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
सिंह	leo	सिंह	leo	PROPN;NOM;MASC;SG;3	PROPN;MASC+FEM;SG
अनेक	veel	अनेक	veel	DET	PRO
अनेक	velen	अनेक	veel	DET	PRO
अनेक	vele	अनेक	veel	DET	PRO
अनेक	meerdere	अनेक	meerdere	DET	PRO
अनेक	verschillende	अनेक	verschillend	DET	ADJ
अनेक	verscheidene	अनेक	verscheidene	DET	ADJ
अनेक	meerdere	अनेक	meerdere	DET	PRO
अनेक	meervoudige	अनेक	meervoudig	DET	ADJ
अनेक	veelvoud	अनेक	veelvoud	DET	N;NEUT;SG
अनेक	meervoudig	अनेक	meervoudig	DET	ADJ
यहां	hier	यहाँ	hier	PRO;NOM	ADV
संख्या	getallen	संख्या	getal	N;NOM;FEM;SG;3	N;PL
संख्या	nummers	संख्या	nummer	N;NOM;FEM;SG;3	N;PL
संख्या	aantallen	संख्या	aantal	N;NOM;FEM;SG;3	N;PL
अपना	eigen	अपना	eigen	PRO;NOM;MASC;SG	ADJ
अपना	jouw	अपना	jou	PRO;NOM;MASC;SG	PRO;ACC;2
बात	thing	बात	thing	N;NOM;FEM;SG;3	
बात	talk	बात	talk	N;NOM;FEM;SG;3	ADJ
बात	praten	बात	praten	N;NOM;FEM;SG;3	V;NFIN
बात	praat	बात	praten	N;NOM;FEM;SG;3	V;SG;PRS;FIN
दिल्ली	delhi	दिल्ली	delhi	PROPN;NOM;FEM;SG;3	N;NEUT;SG
धर्म	religies	धर्म	religie	N;NOM;MASC;SG;3	N;PL
मूल	origineel	मूल	origineel	N;NOM;MASC;SG;3	ADJ
मूल	originelen	मूल	origineel	N;NOM;MASC;SG;3	N;PL
मूल	inheemse	मूल	inheems	N;NOM;MASC;SG;3	ADJ
मूल	inheems	मूल	inheems	N;NOM;MASC;SG;3	ADJ
मूल	oorspronkelijke	मूल	oorspronkelijk	N;NOM;MASC;SG;3	ADJ
मूल	origineel	मूल	origineel	N;NOM;MASC;SG;3	ADJ
मूल	originele	मूल	origineel	N;NOM;MASC;SG;3	ADJ
मूल	fundamentele	मूल	fundamenteel	N;NOM;MASC;SG;3	ADJ
मूल	basic	मूल	basic	N;NOM;MASC;SG;3	ADJ
तब	dan	तब	dan	PRO;NOM	ADV
तब	daarna	तब	daarna	PRO;NOM	ADV
बना	made	बन	made	V;PFV;MASC;SG;V.PTCP;ACT	
कोड	wetboek	कोड	wetboek		N;NEUT;SG
कोड	code	कोड	code		N;MASC+FEM;SG
कोड	codes	कोड	code		N;PL
कोड	gedragscodes	कोड	dragscodes		N;PL
संयुक्त	gelijktijdige	संयुक्त	gelijktijdig	PROPN;NOM;MASC;SG;3	ADJ
संयुक्त	gelijktijdig	संयुक्त	gelijktijdig	PROPN;NOM;MASC;SG;3	ADJ
संयुक्त	united	संयुक्त	united	PROPN;NOM;MASC;SG;3	N;NEUT;SG
संयुक्त	verenigde	संयुक्त	verenigen	PROPN;NOM;MASC;SG;3	V;V.PTCP
संयुक्त	verenigd	संयुक्त	verenigen	PROPN;NOM;MASC;SG;3	V;V.PTCP
संयुक्त	gecombineerd	संयुक्त	combineren	PROPN;NOM;MASC;SG;3	V;V.PTCP
संयुक्त	gecombineerde	संयुक्त	gecombineerd	PROPN;NOM;MASC;SG;3	V;V.PTCP
संयुक्त	joint	संयुक्त	joint	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
संयुक्त	gezamenlijke	संयुक्त	gezamenlijk	PROPN;NOM;MASC;SG;3	ADJ
संयुक्त	gewricht	संयुक्त	wrichten	PROPN;NOM;MASC;SG;3	N;NEUT;SG
जुलाई	juli	जुलाई	juli	PROPN;NOM;FEM;SG;3	PROPN;MASC+FEM;SG
वाला	vala	वाला	vala	ADP;NOM;MASC;SG	N;MASC+FEM;SG
काल	gespannen	काल	gespannen	N;NOM;MASC;SG;3	V;V.PTCP
काल	bellen	काल	bellen	N;NOM;MASC;SG;3	V;NFIN
काल	bel	काल	bellen	N;NOM;MASC;SG;3	V;SG;PRS;FIN
ऐसे	dergelijke	ऐसा	dergelijke	PRO;NOM;MASC;SG	ADJ
वर्षों	jaar	वर्ष	jaar	N;NOM;MASC;PL;3	N;NEUT;SG
वर्षों	regenwoud	वर्ष	regenwoud	N;NOM;MASC;PL;3	N;NEUT;SG
प्रति	per	प्रति	per		ADP
स्टेशन	stations	स्टेशन	station	N;NOM;MASC;SG;3	N;PL
बड़े	large	बडा	larg	ADJ;NOM;MASC;PL	
बड़े	big	बडा	big	ADJ;NOM;MASC;PL	N;MASC+FEM;SG
जनवरी	januari	जनवरी	januari	PROPN;NOM;FEM;SG;3	PROPN;MASC+FEM;SG
मध्य	centrum	मध्य	centrum		N;NEUT;SG
मध्य	centreren	मध्य	centreren		V;NFIN
मध्य	mediane	मध्य	mediane		N;MASC+FEM;SG
मध्य	mediaan	मध्य	mediaan		N;MASC+FEM;SG
मध्य	middelste	मध्य	middel		ADJ;RL
मध्य	middle	मध्य	middle		
मध्य	midden	मध्य	midden		ADV
प्रथम	eerst	प्रथम	eerst	ADJ	ADV
विश्वविद्यालय	universiteiten	विश्वविद्यालय	universiteit	N;NOM;MASC;SG;3	N;PL
जून	jun	जून	jun	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
जून	juni	जून	juni	PROPN;NOM;MASC;SG;3	PROPN;MASC+FEM;SG
जून	june	जून	june	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
उसकी	zijn	वह	zijn	PRO;FEM;SG;3	V;PL;PRS;FIN
उसकी	haar	वह	haar	PRO;FEM;SG;3	PRO;ACC;3
मार्च	mar	मार्च	mar	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मार्च	maart	मार्च	maart	PROPN;NOM;MASC;SG;3	PROPN;MASC+FEM;SG
मार्च	marcheren	मार्च	marcheren	PROPN;NOM;MASC;SG;3	V;NFIN
बन	bun	बन	bun	V;ACT	N;MASC+FEM;SG
बन	bolletje	बन	bolletje	V;ACT	N;NEUT;SG
बन	bolletjes	बन	bollet	V;ACT	N;PL
बनी	konijntje	बन	konijn	V;PFV;FEM;SG;V.PTCP;ACT	N;NEUT;SG
बनी	bunny	बन	bunny	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC+FEM;SG
अर्थ	betekenis	अर्थ	betekenis		N;MASC+FEM;SG
अप्रैल	apr	अप्रैल	apr	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
अप्रैल	april	अप्रैल	april	PROPN;NOM;MASC;SG;3	PROPN;MASC+FEM;SG
