douro	douro	douro	douro	N;MASC;SG	PROPN;NOM;MASC;SG
coberta	pokrito	cobrir	pokrit	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
coberta	pokrit	cobrir	pokrit	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
coberta	pokrita	cobrir	pokrit	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
coberta	pokrite	cobrir	pokrit	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
valley	valley	valley	valley	N;MASC;SG	PROPN;NOM;MASC;SG
valley	doline	valley	dolina	N;MASC;SG	N;NOM;FEM;PL
traduções	prevajanje	tradução	prevajanje	N;FEM;PL	N;NOM;NEUT;SG
traduções	prevod	tradução	prevod	N;FEM;PL	N;NOM;MASC;SG
defensores	zagovarja	defensor	zagovarjati	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN
lar	domača	lar	domač	N;MASC;SG	ADJ;NOM;FEM;SG
lar	doma	lar	doma	N;MASC;SG	ADV
lar	domov	lar	domov	N;MASC;SG	ADV
completou	končano	completar	končan	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;V.PTCP
completou	zaključene	completar	zaključen	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;PL;V.PTCP
completou	izpolnjeno	completar	izpolnjen	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;V.PTCP
completou	končana	completar	končan	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
completou	zaključena	completar	zaključen	V;IND;SG;3;PST;FIN	ADJ;NOM;FEM;SG;V.PTCP
parabéns	čestitam	parabéns	čestita	N;MASC;PL	V;IND;SG;1;PRS;FIN
gases	bencin	gase	bencin	N;MASC;PL	N;NOM;MASC;SG
gases	gas	gase	gas	N;MASC;PL	N;NOM;MASC;SG
gases	plin	gase	plin	N;MASC;PL	N;NOM;MASC;SG
acreditar	verovanje	acreditar	verovanje	V;NFIN	N;NOM;NEUT;SG
concluída	končano	concluído	končan	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
concluída	zaključene	concluído	zaključen	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
concluída	izpolnjeno	concluído	izpolnjen	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
concluída	končana	concluído	končan	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
concluída	zaključena	concluído	zaključen	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
australiana	avstralski	australiano	avstralski	N;FEM;SG	ADJ;NOM;MASC;SG
bizantinos	bizantinski	bizantino	bizantinski	N;MASC;PL	ADJ;NOM;MASC;PL
qualificação	kvalifikacije	qualificação	kvalifikacija	N;FEM;SG	N;NOM;FEM;PL
qualificação	kvalificiranih	qualificação	kvalificiran	N;FEM;SG	ADJ;GEN;MASC;PL;V.PTCP
qualificação	kvalificiran	qualificação	kvalificiran	N;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
qualificação	kvalifikacije	qualificação	kvalifikacija	N;FEM;SG	N;NOM;FEM;PL
deep	globoka	deep	globok	N;MASC;SG	ADJ;NOM;FEM;SG
deep	globoko	deep	globoko	N;MASC;SG	ADV
deep	globok	deep	globok	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
concluído	končano	concluir	končan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
concluído	zaključene	concluir	zaključen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
concluído	izpolnjeno	concluir	izpolnjen	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
concluído	končana	concluir	končan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
concluído	zaključena	concluir	zaključen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
concluído	končano	concluir	končan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
concluído	končana	concluir	končan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
western	zahodna	western	zahoden	N;MASC;SG	ADJ;NOM;FEM;SG
western	zahodni	western	zahoden	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
western	western	western	western	N;MASC;SG	
western	zahodno	western	zahodno	N;MASC;SG	ADV
culpa	krivde	culpa	krivda	N;FEM;SG	N;NOM;FEM;PL
kurt	kurt	kurt	kurt	PROPN;MASC;SG	PROPN;NOM;MASC;SG
mina	mina	mina	mina	N;FEM;SG	PROPN;NOM;FEM;SG
mina	moj	mina	moj	N;FEM;SG	DET;NOM;MASC;SG;1
mina	moja	mina	moj	N;FEM;SG	DET;NOM;FEM;SG;1
mina	moje	mina	moj	N;FEM;SG	DET;NOM;NEUT;SG;1
pietro	pietro	pietro	pietro	N;MASC;SG	PROPN;NOM;MASC;SG
orange	oranžno	orange	oranžen	N;MASC;SG	ADV
orange	oranžni	orange	oranžen	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
orange	oranžne	orange	oranžen	N;MASC;SG	ADJ;NOM;FEM;PL
orange	oranžna	orange	oranžen	N;MASC;SG	ADJ;NOM;FEM;SG
xxi	xxi	xxi	iti	N;MASC;SG	PROPN;NOM;MASC;SG
residentes	prebivalec	residente	prebivalec	N;MASC;PL	N;NOM;MASC;SG
derrotas	poraz	derrota	poraz	N;FEM;PL	N;NOM;MASC;SG
mundialmente	svetovna	mundialmente	svetoven	ADV	ADJ;NOM;FEM;SG
mundialmente	svetovno	mundialmente	svetoven	ADV	ADJ;NOM;NEUT;SG
tanque	tanka	tanque	tanek	N;MASC;SG	ADJ;NOM;FEM;SG
museus	muzej	museu	muzej	N;MASC;PL	N;NOM;MASC;SG
ferido	poškodovanih	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
ferido	poškodovan	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ferido	poškodovani	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
ferido	poškodovane	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
ferido	poškodovana	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
ferido	ranjena	ferir	ranjen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
ferido	ranjene	ferir	ranjen	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
ferido	ranjen	ferir	ranjen	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ferido	ranjenci	ferir	ranjenec	V;MASC;SG;V.PTCP	N;NOM;MASC;PL
ferido	prizadet	ferir	prizadet	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
ferido	poškodovan	ferir	poškodovan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
dallas	dallas	dalla	dallas	N;MASC;SG	PROPN;NOM;MASC;SG
plástico	plastike	plástico	plastika	N;MASC;SG	N;NOM;FEM;PL
plástico	plastično	plástico	plastično	N;MASC;SG	ADV
plástico	plastičnih	plástico	plastičen	N;MASC;SG	ADJ;GEN;MASC;PL
plástico	plastična	plástico	plastičen	N;MASC;SG	ADJ;NOM;FEM;SG
malásia	malezije	malásia	malezija	N;FEM;SG	N;NOM;FEM;PL
malásia	malezijski	malásia	malezijski	N;FEM;SG	ADJ;NOM;MASC;SG
positivas	pozitiven	positivo	pozitiven	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
positivas	pozitivni	positivo	pozitiven	ADJ;FEM;PL	ADJ;NOM;MASC;SG
positivas	pozitivna	positivo	pozitiven	ADJ;FEM;PL	ADJ;NOM;FEM;SG
positivas	pozitivno	positivo	pozitiven	ADJ;FEM;PL	ADV
violação	posilstva	violação	posilstvo	N;FEM;SG	N;NOM;NEUT;PL
susan	suzana	susan	suzan	N;FEM;SG	ADJ;NOM;FEM;SG
susan	susan	susan	susan	N;FEM;SG	PROPN;NOM;FEM;SG
sex	fri	sexta-feira	fri	N;MASC;SG	
alcançando	doseganje	alcançar	doseganje	V;V.MSDR	N;NOM;NEUT;SG
cerâmica	pottery	cerâmica	pottery	N;FEM;SG	
cerâmica	keramični	cerâmica	keramičen	N;FEM;SG	ADJ;NOM;MASC;PL
cerâmica	keramične	cerâmica	keramičen	N;FEM;SG	ADJ;NOM;FEM;PL
cerâmica	keramičnih	cerâmica	keramičen	N;FEM;SG	ADJ;GEN;MASC;PL
cerâmica	keramike	cerâmica	keramika	N;FEM;SG	N;NOM;FEM;PL
falsa	ponaredek	falso	ponaredek	ADJ;FEM;SG	N;NOM;MASC;SG
falsa	fake	falso	faka	ADJ;FEM;SG	N;NOM;MASC;SG
melbourne	melbourne	melbourne	melbouren	N;MASC;SG	ADJ;NOM;FEM;SG
edwards	edwards	edwards	edwards	N;MASC;SG	PROPN;NOM;MASC;SG
prof	prof	prof	profa	N;MASC;SG	PROPN;NOM;MASC;SG
melhorias	izboljšanje	melhoria	izboljšanje	N;FEM;PL	N;NOM;NEUT;SG
melhorias	izboljševanje	melhoria	izboljševanje	N;FEM;PL	N;NOM;NEUT;SG
rebelde	upornikov	rebelde	upornik	N;MASC;SG	N;GEN;MASC;PL
rebelde	uporniško	rebelde	uporniški	N;MASC;SG	ADV
rebelde	uporniški	rebelde	uporniški	N;MASC;SG	ADJ;NOM;MASC;SG
rebelde	uporniški	rebelde	uporniški	N;MASC;SG	ADJ;NOM;MASC;SG
rebelde	uporniška	rebelde	uporniški	N;MASC;SG	ADJ;NOM;FEM;SG
proibido	prepovedano	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
proibido	prepovedan	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
proibido	prepovedani	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
proibido	prepovedana	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
proibido	prepovedano	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
proibido	prepovedane	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
proibido	prepovedani	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
proibido	prepovedana	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
proibido	prepovedan	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
proibido	prepovedana	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
proibido	prepovedani	proibir	prepovedan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
marine	morskih	marine	morski	N;MASC;SG	ADJ;GEN;MASC;PL
marine	marine	marine	marin	N;MASC;SG	N;NOM;FEM;PL
marine	morsko	marine	morski	N;MASC;SG	ADJ;NOM;NEUT;SG
grace	grace	grace	graca	N;FEM;SG	PROPN;NOM;FEM;SG
culinária	kulinarični	culinário	kulinaričen	N;FEM;SG	ADJ;NOM;MASC;PL
arizona	arizona	arizonar	arizon	N;MASC;SG	PROPN;NOM;MASC;SG
charlotte	charlotte	charlotte	charlott	N;MASC;SG	PROPN;NOM;FEM;SG
químicos	kemikalija	químico	kemikalija	N;MASC;PL	N;NOM;FEM;SG
químicos	kemična	químico	kemičen	N;MASC;PL	ADJ;NOM;FEM;SG
químicos	kemijsko	químico	kemijski	N;MASC;PL	ADJ;NOM;NEUT;SG
químicos	kemično	químico	kemično	N;MASC;PL	ADJ;NOM;NEUT;SG
análises	analizo	análise	analiza	N;FEM;PL	N;ACC;FEM;SG
análises	analiza	análise	analiza	N;FEM;PL	N;NOM;FEM;SG
reverter	obrnjeno	reverter	obrnjen	V;NFIN	ADJ;NOM;NEUT;SG;V.PTCP
reverter	povratne	reverter	povraten	V;NFIN	ADJ;NOM;FEM;PL
reverter	vzvratno	reverter	vzvraten	V;NFIN	ADV
verlag	verlag	verlag	verlag	N;MASC;SG	
dramática	dramatična	dramático	dramatičen	N;FEM;SG	ADJ;NOM;FEM;SG
dramática	dramatičen	dramático	dramatičen	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
dramática	dramatične	dramático	dramatičen	N;FEM;SG	ADJ;NOM;FEM;PL
dramática	dramatično	dramático	dramatičen	N;FEM;SG	ADV
filmado	posneli	filmar	posneti	V;MASC;SG;V.PTCP	V;PFV;MASC;PL;V.PTCP
matando	izganjanje	matar	izganjanje	V;V.MSDR	N;NOM;NEUT;SG
matando	ubijanje	matar	ubijanje	V;V.MSDR	N;NOM;NEUT;SG
matando	uboj	matar	uboj	V;V.MSDR	N;NOM;MASC;SG
giro	luštno	giro	lušten	N;MASC;SG	ADJ;NOM;NEUT;SG
ferrovia	železnice	ferrovia	železnica	N;FEM;SG	N;NOM;FEM;PL
ferrovia	železniški	ferrovia	železniški	N;FEM;SG	ADJ;NOM;MASC;SG
ferrovia	železnice	ferrovia	železnica	N;FEM;SG	N;NOM;FEM;PL
elias	elijah	elia	elija	N;MASC;SG	N;ESS;FEM;PL
soberano	suvereno	soberano	suveren	N;MASC;SG	ADV
colocadas	postavljen	colocar	postavljen	V;FEM;PL;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
judeu	judovski	judeu	judovski	N;MASC;SG	ADJ;NOM;MASC;SG
judeu	židovski	judeu	židovski	N;MASC;SG	ADJ;NOM;MASC;SG
judeu	judje	judeu	judja	N;MASC;SG	N;NOM;MASC;PL
bruxelas	bruselj	bruxela	bruselj	N;FEM;PL	PROPN;NOM;MASC;SG
bank	bančna	bank	bančen	N;MASC;SG	ADJ;NOM;FEM;SG
bank	bank	bank	banka	N;MASC;SG	N;GEN;FEM;PL
vegetais	rastlinska	vegetal	rastlinski	N;MASC;PL	ADJ;NOM;FEM;SG
vegetais	rastlinsko	vegetal	rastlinsko	N;MASC;PL	ADJ;NOM;NEUT;SG
vegetais	zelenjava	vegetal	zelenjava	N;MASC;PL	N;NOM;FEM;SG
vegetais	zelenjava	vegetal	zelenjava	N;MASC;PL	N;NOM;FEM;SG
alimento	živila	alimento	živilo	N;MASC;SG	N;NOM;NEUT;PL
cana	reed	cana	reed	N;FEM;SG	PROPN;NOM;MASC;SG
cana	cana	cana	can	N;FEM;SG	PROPN;NOM;MASC;SG
emma	ema	emma	ema	N;FEM;SG	PROPN;NOM;FEM;SG
emma	emma	emma	emma	N;FEM;SG	PROPN;NOM;FEM;SG
asiático	azijske	asiático	azijski	ADJ;MASC;SG	ADJ;NOM;FEM;PL
asiático	azijskih	asiático	azijski	ADJ;MASC;SG	ADJ;GEN;MASC;PL
cinquenta	fifty	cinquenta	fifty	NUM	
couto	couto	couto	cout	N;MASC;SG	
dores	bolečino	dor	bolečina	N;FEM;PL	N;ACC;FEM;SG
dores	bolečina	dor	bolečina	N;FEM;PL	N;NOM;FEM;SG
massas	mas	massa	masa	N;FEM;PL	
reduzido	zmanjšan	reduzir	zmanjšan	V;MASC;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
reduzido	zmanjšana	reduzir	zmanjšan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
reduzido	znižana	reduzir	znižan	V;MASC;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
reduzido	zmanjšano	reduzir	zmanjšan	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
reduzido	zmanjšani	reduzir	zmanjšan	V;MASC;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
legais	zakonito	legal	zakonit	ADJ;MASC;PL	ADV
legais	pravna	legal	praven	ADJ;MASC;PL	ADJ;NOM;FEM;SG
legais	pravno	legal	praven	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
lúcia	lucy	lúcia	lucy	N;FEM;SG	PROPN;NOM;FEM;SG
naturalmente	naravno	naturalmente	naraven	ADV	ADJ;NOM;NEUT;SG
horta	garden	horta	garden	N;FEM;SG	
madrugada	dawn	madrugada	dawn	N;FEM;SG	PROPN;NOM;FEM;SG
madrugada	zori	madrugada	zora	N;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
cbs	cbs	cbs	cbs	N;FEM;SG	PROPN;NOM;MASC;SG
cbs	cb	cbs	cb	N;FEM;SG	
vegetal	zelenjava	vegetal	zelenjava	ADJ;MASC;SG	N;NOM;FEM;SG
exibidos	prikazana	exibir	prikazan	V;MASC;PL;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
exibidos	prikazanih	exibir	prikazan	V;MASC;PL;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
exibidos	prikazano	exibir	prikazan	V;MASC;PL;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
exibidos	prikazane	exibir	prikazan	V;MASC;PL;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
exibidos	prikazan	exibir	prikazan	V;MASC;PL;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
conteúdos	vsebnost	conteúdo	vsebnost	N;MASC;PL	N;NOM;FEM;SG
conteúdos	vsebina	conteúdo	vsebina	N;MASC;PL	N;NOM;FEM;SG
conteúdos	vsebina	conteúdo	vsebina	N;MASC;PL	N;NOM;FEM;SG
georges	georges	georges	georges	N;MASC;SG	PROPN;NOM;MASC;SG
empregado	zaposleni	empregado	zaposlen	N;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
empregado	zaposlena	empregado	zaposlen	N;MASC;SG	ADJ;NOM;FEM;SG;V.PTCP
empregado	zaposleni	empregado	zaposlen	N;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
empregado	zaposlen	empregado	zaposlen	N;MASC;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
sexuais	spolno	sexual	spolno	N;MASC;PL	ADV
sexuais	spolna	sexual	spolen	N;MASC;PL	ADJ;NOM;FEM;SG
reduzida	zmanjšan	reduzir	zmanjšan	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
reduzida	zmanjšana	reduzir	zmanjšan	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
reduzida	znižana	reduzir	znižan	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
reduzida	zmanjšano	reduzir	zmanjšan	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
reduzida	zmanjšani	reduzir	zmanjšan	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
keith	keith	keith	keith	N;MASC;SG	PROPN;NOM;MASC;SG
costume	običajno	costume	običajno	N;MASC;SG	ADV
costume	običajna	costume	običajen	N;MASC;SG	ADJ;NOM;FEM;SG
horizontal	horizontalno	horizontal	horizontalen	ADJ;MASC;SG	ADV
horizontal	vodoravno	horizontal	vodoravno	ADJ;MASC;SG	ADV
magic	čarobno	magic	čarobno	N;MASC;SG	ADJ;NOM;NEUT;SG
magic	magično	magic	magičen	N;MASC;SG	ADJ;NOM;NEUT;SG
sensação	občutki	sensação	občutek	N;FEM;SG	N;NOM;MASC;PL
convidada	vabljeni	convidar	vabljen	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
convidada	vabljen	convidar	vabljen	V;FEM;SG;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
convidada	povabljeni	convidar	povabljen	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
convidada	vabljena	convidar	vabljen	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
convidada	gosta	convidar	gost	V;FEM;SG;V.PTCP	N;NOM;MASC;SG
convidada	gostja	convidar	gostja	V;FEM;SG;V.PTCP	N;NOM;FEM;SG
convidada	gost	convidar	gost	V;FEM;SG;V.PTCP	
permanecendo	bivanje	permanecer	bivanje	V;V.MSDR	N;NOM;NEUT;SG
permanecendo	preostali	permanecer	preostal	V;V.MSDR	ADJ;NOM;MASC;PL;V.PTCP
permanecendo	preostale	permanecer	preostal	V;V.MSDR	ADJ;NOM;FEM;PL;V.PTCP
efetivamente	učinkovito	efetivamente	učinkovit	ADV	ADJ;NOM;NEUT;SG
samurai	samuraji	samurai	samuraj	N;MASC;SG	N;NOM;MASC;PL
pretendia	predvideno	pretender	predviden	V;IND;SG;3;IPFV;FIN	ADJ;NOM;NEUT;SG;V.PTCP
pretendia	predvideni	pretender	predviden	V;IND;SG;3;IPFV;FIN	ADJ;NOM;MASC;PL;V.PTCP
ron	ron	ron	ron	N;MASC;SG	PROPN;NOM;MASC;SG
anunciada	napovedano	anunciar	napovedan	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
fósseis	fosilnih	fóssil	fosilen	N;MASC;PL	ADJ;GEN;MASC;PL
puro	čedno	puro	čeden	ADJ;MASC;SG	ADV
puro	čist	puro	čist	ADJ;MASC;SG	
visuais	vizualno	visual	vizualen	N;MASC;PL	ADV
warren	warren	warren	warren	N;MASC;SG	
cuidados	oskrba	cuidado	oskrba	N;MASC;PL	N;NOM;FEM;SG
cuidados	nego	cuidado	nega	N;MASC;PL	N;NOM;NEUT;SG
cuidados	nega	cuidado	neg	N;MASC;PL	N;NOM;FEM;SG
cuidados	care	cuidado	cara	N;MASC;PL	N;NOM;MASC;SG
tive	imeli	ter	imeti	V;IND;SG;1;PST;FIN	V;IPFV;MASC;PL;V.PTCP
mudando	spreminjanje	mudar	spreminjanje	V;V.MSDR	N;NOM;NEUT;SG
turcos	turška	turco	turški	N;MASC;PL	ADJ;NOM;FEM;SG
turcos	turški	turco	turški	N;MASC;PL	ADJ;NOM;MASC;SG
turcos	turško	turco	turški	N;MASC;PL	ADJ;NOM;NEUT;SG
colina	hill	colina	hill	N;FEM;SG	PROPN;NOM;MASC;SG
conselhos	svetovanje	conselho	svetovanje	N;MASC;PL	N;NOM;NEUT;SG
conselhos	nasvet	conselho	nasvet	N;MASC;PL	N;NOM;MASC;SG
marítima	pomorski	marítimo	pomorski	N;FEM;SG	ADJ;NOM;DEF;MASC;SG
marítima	pomorsko	marítimo	pomorski	N;FEM;SG	ADJ;NOM;NEUT;SG
marítima	pomorske	marítimo	pomorski	N;FEM;SG	ADJ;NOM;FEM;PL
parou	ustavljen	parar	ustavljen	V;IND;SG;3;PST;FIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
visa	vizuma	visar	vizum	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
visa	vizum	visar	vizum	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG
escocês	škotsko	escocês	škotski	N;MASC;SG	ADJ;NOM;NEUT;SG
escocês	škotske	escocês	škotski	N;MASC;SG	ADJ;NOM;FEM;PL
escocês	škotski	escocês	škotski	N;MASC;SG	ADJ;NOM;DEF;MASC;SG
escocês	škotska	escocês	škotski	N;MASC;SG	ADJ;NOM;FEM;SG
adequada	pravilno	adequado	pravilno	ADJ;FEM;SG	ADV
adequada	ustrezno	adequado	ustrezno	ADJ;FEM;SG	ADV
adequada	primerni	adequado	primeren	ADJ;FEM;SG	ADJ;NOM;MASC;PL
cerebral	možganska	cerebral	možganski	N;MASC;SG	ADJ;NOM;FEM;SG
cerebral	možgansko	cerebral	možganski	N;MASC;SG	ADJ;NOM;NEUT;SG
misericórdia	mercy	misericórdia	mercy	N;FEM;SG	
misericórdia	usmiljenja	misericórdia	usmiljenje	N;FEM;SG	N;NOM;NEUT;PL
mínimos	minimalno	mínimo	minimalno	N;MASC;PL	ADV
mínimos	najmanj	mínimo	najmanj	N;MASC;PL	ADV;RL
mínimos	najmanjša	mínimo	majhen	N;MASC;PL	ADJ;NOM;RL;FEM;SG
mínimos	minimalno	mínimo	minimalno	N;MASC;PL	ADV
mínimos	minimalne	mínimo	minimalen	N;MASC;PL	ADJ;NOM;FEM;PL
mínimos	minimalna	mínimo	minimalen	N;MASC;PL	ADJ;NOM;FEM;SG
válidos	veljavna	válido	veljaven	ADJ;MASC;PL	ADJ;NOM;FEM;SG
válidos	veljaven	válido	veljaven	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
válidos	veljavno	válido	veljaven	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
make	naredi	make	narediti	N;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
registo	registrira	registo	registrirati	N;MASC;SG	V;IND;SG;3;PRS;FIN
piratas	pirat	pirata	pirat	N;MASC;PL	N;NOM;MASC;SG
kids	otroci	kids	otrok	N;MASC;SG	N;NOM;MASC;PL
vizinho	soseda	vizinho	soseda	N;MASC;SG	N;NOM;MASC;DU
vizinho	soseda	vizinho	soseda	N;MASC;SG	N;NOM;MASC;DU
vestígios	sled	vestígio	sled	N;MASC;PL	N;NOM;FEM;SG
profundo	globoko	profundo	globoko	ADJ;MASC;SG	ADV
tanques	tanka	tanque	tanek	N;MASC;PL	ADJ;NOM;FEM;SG
tanques	rezervoar	tanque	rezervoar	N;MASC;PL	N;NOM;MASC;SG
