the	เดอะ
good	ดี
much	มาก
much	มากมาย
image	ภาพ
image	รูปภาพ
image	อิมเมจ
show	โชว์
show	แสดง
still	ยัง
think	คิด
town	town
town	เมือง
town	ทาวน์
last	last
last	สุดท้าย
last	ล่าสุด
system	ระบบ
right	ขวา
right	ถูก
song	ซง
song	เพลง
section	ส่วน
single	single
single	โสด
included	รวม
home	บ้าน
home	home
home	บาน
women	หญิง
women	สตรี
television	โทรทัศน์
television	ทีวี
seed	seed
seed	เมล็ด
member	member
member	สมาชิก
sources	แหล่ง
book	หนังสือ
book	สมุด
station	สถานี
order	ลำดับ
old	เก่าๆ
old	แก่
old	เก่า
information	ข้อมูล
set	กำหนด
set	ตั้ง
text	ข้อความ
band	วง
band	band
point	point
point	ชี้
point	จุด
point	ประเด็น
around	รอบๆ
around	รอบ
river	แม่น้ำ
top	ท็อป
main	หลัก
language	ภาษา
french	ฝรั่งเศส
https	https
off	ปิด
off	ออก
note	หมายเหตุ
note	บันทึก
note	โน้ต
career	อาชีพ
original	ต้นฉบับ
original	ดั้งเดิม
original	เดิม
age	อายุ
age	ยุค
service	บริการ
website	เว็บไซต์
population	ประชากร
air	แอร์
air	อากาศ
air	air
german	เยอรมัน
law	กฎหมาย
law	กฎ
military	กองทัพ
military	ทหาร
great	เยี่ยม
great	ยอด
within	ภายใน
clubs	คลับ
clubs	สโมสร
clubs	ดอกจิก
clubs	จิก
president	ประธาน
president	ประธานาธิบดี
park	จอด
park	สวน
official	ทางการ
official	official
case	กรณี
case	case
case	คดี
london	london
london	ลอนดอน
times	ไทม์
times	ครั้ง
although	แม้ว่า
small	เล็ก
different	ต่าง
get	รับ
village	หมู่บ้าน
closed	ปิด
art	อาร์ต
art	อาร์ท
art	art
art	ศิลปะ
community	ชุมชน
again	อีก
army	ทัพ
army	กองทัพ
award	รางวัล
death	ตาย
built	สร้าง
men	ผู้ชาย
men	men
men	ชาย
men	บุรุษ
large	ใหญ่
site	ไซต์
white	ขาว
white	ไวท์
five	ห้า
central	เซ็นทรัล
road	ถนน
road	road
children	ลูกๆ
children	เด็กๆ
children	เด็ก
free	ฟรี
free	อิสระ
free	ว่าง
free	เสรี
free	free
england	อังกฤษ
include	รวม
association	สมาคม
down	ลง
down	ดาวน์
source	ต้นทาง
california	แคลิฟอร์เนีย
man	มนุษย์
man	ชาย
man	คน
man	แมน
man	man
version	เวอร์ชัน
version	เวอร์ชั่น
written	เขียน
created	สร้าง
media	สื่อ
black	ดำ
though	แม้ว่า
php	php
report	รายงาน
building	ตึก
building	อาคาร
take	รับ
take	เอา
division	ดิวิชั่น
comment	หมายเหตุ
king	กษัตริย์
king	king
king	ราชา
king	คิง
edit	แก้ไข
stadium	สนาม
ship	เรือ
ship	ยาน
research	ค้นคว้า
research	วิจัย
record	บันทึก
record	สถิติ
cup	คัพ
cup	ถ้วย
often	บ่อย
often	มัก
often	บ่อยๆ
side	ด้าน
side	ไซด์
side	ข้าง
power	อำนาจ
power	power
power	พลังงาน
power	พลัง
know	รู้
know	ทราบ
water	น้ำ
water	นํ้า
political	การเมือง
field	สนาม
field	ฟิลด์
field	สาขา
field	ทุ่ง
field	ช่อง
near	ใกล้
australia	australia
australia	ออสเตรเลีย
video	วีดีโอ
video	วิดีโอ
need	ต้องการ
island	เกาะ
form	ฟอร์ม
find	หา
find	ค้นหา
served	เสิร์ฟ
play	เล่น
project	โครงการ
radio	วิทยุ
works	ทำงาน
every	ทุกๆ
every	ทุก
development	พัฒนาการ
development	พัฒนา
example	ตัวอย่าง
live	สด
union	สหพันธ์
union	สหภาพแรงงาน
union	สหภาพ
india	อินเดีย
special	พิเศษ
court	ศาล
court	สำนัก
region	แคว้น
region	ภูมิภาค
short	สั้น
short	สั้นๆ
short	เตี้ย
province	จังหวัด
son	ลูก
son	บุตร
son	ลูกชาย
france	ฝรั่งเศส
council	สภา
others	อื่นๆ
royal	รอยัล
royal	ราชวงศ์
current	ปัจจุบัน
street	ถนน
street	street
full	เต็ม
full	ฟู
red	แดง
red	เรด
department	แผนก
department	กรม
san	ซาน
san	แซน
san	san
help	ช่วย
james	james
james	เจมส์
open	เปิด
force	บังคับ
force	แรง
position	จุดยืน
position	ตำแหน่ง
head	หัว
head	เฮด
track	แทร็ก
track	แทร็ค
http	http
canada	แคนาดา
australian	ออสเตรเลีย
george	จอร์จ
jpg	jpg
level	ระดับ
level	เลเวล
late	ดึก
late	ช้า
late	สาย
summer	ซัมเมอร์
summer	summer
society	สังคม
office	สำนักงาน
office	ออฟฟิศ
round	กลม
round	กลมๆ
round	รอบ
story	เรื่อง
songs	เพลง
file	แฟ้ม
days	วัน
land	land
land	แลนด์
land	ที่ดิน
business	ธุรกิจ
business	กิจการ
reason	เหตุ
reason	เหตุผล
reason	สาเหตุ
america	อเมริกา
million	ล้าน
european	ยุโรป
term	วาระ
six	หก
six	six
post	โพสต์
post	โพส
why	ทำไม
produced	ผลิต
subject	หัวข้อ
young	ยัง
total	รวม
total	ทั้งหมด
david	เดวิด
david	david
science	วิทยาศาสตร์
related	เกี่ยวข้อง
rock	rock
rock	ร็อค
rock	โยก
rock	หิน
led	นำพา
led	led
led	ชักนำ
students	นักเรียน
students	นักศึกษา
started	เริ่ม
news	ข่าวสาร
news	ข่าว
role	บทบาท
albums	อัลบั้ม
present	ปัจจุบัน
indian	อินเดีย
kingdom	อาณาจักร
books	หนังสือ
important	สำคัญ
northern	เหนือ
love	ชอบ
love	รัก
run	วิ่ง
run	รัน
run	หนี
canadian	แคนาดา
press	สื่อ
press	กด
type	ชนิด
type	ประเภท
type	พิมพ์
act	ทำท่า
schools	โรงเรียน
program	โปรแกรม
social	สังคม
germany	เยอรมนี
production	ผลิต
male	ตัวผู้
awards	รางวัล
points	ชี้
points	แต้ม
points	คะแนน
points	จุด
similar	คล้าย
professional	professional
professional	วิชาชีพ
say	กล่าว
say	พูด
enough	พอ
lead	นำ
lead	ตะกั่ว
common	สามัญ
common	ทั่วไป
data	อินเทอร์เน็ต
data	ข้อมูล
color	สี
color	สีสัน
person	บุคคล
services	บริการ
bgcolor	bgcolor
museum	พิพิธภัณฑ์
battle	ศึก
battle	รบ
battle	สงคราม
sports	สปอร์ต
sports	กีฬา
hall	ฮอล
hall	ฮอลล์
buildings	ตึก
buildings	อาคาร
date	เดท
considered	พิจารณา
change	เปลี่ยนแปลง
change	เปลี่ยน
location	ตำแหน่งที่ตั้ง
location	ตำแหน่ง
must	ต้อง
yes	ใช่
southern	ใต้
lost	หลง
lost	แพ้
lost	เสีย
review	วิจารณ์
review	รีวิว
less	น้อย
japanese	ญี่ปุ่น
groups	กลุ่ม
content	เนื้อหา
involved	เกี่ยวข้อง
board	กระดาน
board	บอร์ด
japan	japan
japan	ญี่ปุ่น
control	ควบคุม
control	คอนโทรล
policy	นโยบาย
human	มนุษย์
half	ครึ่ง
design	ดีไซน์
design	ออกแบบ
event	เหตุการณ์
event	กิจกรรม
events	เหตุการณ์
events	กิจกรรม
done	จบ
washington	วอชิงตัน
real	real
real	จริง
start	เริ่ม
space	พื้นที่
space	อวกาศ
space	space
areas	บริเวณ
areas	พื้นที่
notability	notability
star	ดวงดาว
star	ดารา
star	ดาว
really	จริงๆ
really	จริง
china	จีน
paul	paul
paul	พอล
working	ทำงาน
taken	ถ่าย
far	ไกล
lake	ทะเลสาบ
popular	นิยม
married	แต่งงาน
europe	ยุโรป
away	ห่าง
independent	อิสระ
independent	เอกราช
process	กระบวนการ
teams	ทีม
low	โลว์
low	ต่ำ
michael	ไมเคิ้ล
michael	ไมเคิล
pages	เพจ
pages	หน้าที่
pages	หน้า
light	สว่าง
light	เบา
light	ไลท์
light	แสง
big	บิ๊ก
big	ใหญ่
big	big
release	ปล่อย
want	ต้องการ
want	อยาก
episode	episode
episode	ตอน
wrote	เขียน
republic	สาธารณรัฐ
thomas	โธมัส
companies	บริษัท
via	ผ่าน
russian	รัสเซีย
thanks	ขอบคุณ
put	วาง
put	ใส่
race	แข่ง
recorded	บันทึก
civil	แพ่ง
civil	ประชา
police	ตำรวจ
charles	ชารลส์
charles	ชาร์ลส์
charles	ชาร์ล
body	body
body	ร่าง
body	กาย
body	ร่างกาย
question	คำถาม
featured	แนะนำ
week	อาทิตย์
week	สัปดาห์
texas	เทกซัส
texas	เท็กซัส
chief	หัวหน้า
close	ปิด
close	ใกล้
match	แมตช์
roman	roman
roman	โรมัน
come	มา
tour	ทัวร์
sea	ทะเล
cross	ข้าม
cross	กางเขน
playing	เล่น
health	อนามัย
health	health
health	สุขภาพ
institute	สถาบัน
caps	caps
green	เขียว
rights	สิทธิ
rights	สิทธิ์
originally	เดิมที
aircraft	อากาศยาน
arts	ศิลปะ
arts	ศิลปศาสตร์
range	ช่วง
range	ระยะ
bar	บาร์
bar	แถบ
problem	ปัญหา
look	มอง
look	ดู
average	เฉลี่ย
win	win
win	ชนะ
shows	แสดง
wife	ภริยา
wife	ภรรยา
wife	เมีย
night	ไนท์
night	ค่ำคืน
night	คืน
night	ราตรี
magazine	นิตยสาร
centre	กึ่งกลาง
centre	ศูนย์
centre	ศูนย์กลาง
significant	สำคัญ
african	แอฟริกา
stage	ขั้น
stage	stage
stage	เวที
ireland	ไอร์แลนด์
academy	สถาบัน
academy	academy
saint	นักบุญ
saint	เซนต์
self	ตนเอง
stations	สถานี
mother	แม่
africa	แอฟริกา
culture	วัฒนธรรม
spanish	สเปน
grand	grand
things	สิ่งของ
fire	ไฟ
fire	เพลิง
changed	เปลี่ยน
gold	ทอง
gold	โกลด์
gold	ทองคำ
female	หญิง
course	หลักสูตร
course	คอร์ส
directed	กำกับ
months	เดือน
chinese	จีน
developed	พัฒนา
size	ขนาด
size	ไซส์
add	เพิ่ม
festival	เทศกาล
peter	peter
basketball	บาสเกตบอล
move	เลื่อน
move	ขยับ
move	ย้าย
performance	ประสิทธิภาพ
standard	มาตรฐาน
give	มอบ
give	ให้
artist	ศิลปิน
artist	จิตรกร
word	คำ
blue	น้ำเงิน
blue	สีน้ำเงิน
blue	บลู
primary	หลัก
announced	ประกาศ
value	มูลค่า
value	ค่า
christian	คริสเตียน
catholic	คาทอลิก
artists	ศิลปิน
view	ดู
almost	เกือบ
baseball	เบสบอล
seven	seven
seven	เจ็ด
appears	ปรากฏ
ever	เคย
technology	วิทยาการ
technology	เทคโนโลยี
olympics	โอลิมปิก
future	ต่อๆ
future	future
future	อนาคต
images	ภาพ
images	รูปภาพ
results	ผล
results	ผลลัพธ์
return	กลับ
quality	คุณภาพ
construction	ก่อสร้าง
front	หน้า
cover	ปก
cover	cover
cover	ปกปิด
model	โมเดล
model	รุ่น
read	อ่าน
material	วัสดุ
strong	เข้ม
strong	strong
strong	แรง
strong	แข็งแกร่ง
coach	coach
coach	โค๊ช
coach	โค้ช
mark	เครื่องหมาย
mark	มาร์ค
organization	องค์กร
organization	องค์การ
studies	ศึกษา
html	html
virginia	เวอร์จิเนีย
car	รถยนต์
car	รถ
attack	โจมตี
conference	ประชุม
outside	นอก
outside	ภายนอก
study	เรียน
study	ศึกษา
brother	น้อง
names	ชื่อ
musical	มิวสิค
border	ขอบ
border	กรอบ
border	ชายแดน
countries	ประเทศ
past	อดีต
writing	เขียน
makes	ทำให้
interest	ดอกเบี้ย
interest	สนใจ
signed	เซ็น
label	ป้าย
fair	แฟร์
fair	ยุติธรรม
search	ค้นหา
bay	อ่าว
reference	อ้างอิง
refer	พาดพิง
library	ไลบรารี
references	อ้างอิง
features	คุณสมบัติ
guitar	กีตาร์
guitar	กีต้าร์
hill	เนิน
lower	ลด
lower	ต่ำ
lower	ล่าง
daughter	ลูกสาว
reading	อ่าน
systems	ระบบ
movement	ขบวนการ
specific	เจาะจง
always	มัก
always	เสมอ
always	ตลอด
natural	natural
natural	ธรรมชาติ
clear	เคลียร์
clear	ล้าง
clear	ชัดเจน
coast	ชายฝั่ง
coast	ฝั่ง
got	มี
got	โดน
chicago	ชิคาโก
chicago	chicago
ten	ten
ten	สิบ
designed	ออกแบบ
rule	ปกครอง
rule	กฏ
rule	กฎ
etc	ฯลฯ
etc	etc
lists	รายการ
paris	paris
paris	ปารีส
thought	คิด
hand	มือขวา
hand	มือ
hand	หัตถ์
hand	hand
smith	สมิทธ์
smith	สมิธ
base	ฐาน
base	ฐานทัพ
florida	ฟลอริดา
capital	พระนคร
capital	ทุน
valley	หุบเขา
bank	ธนาคาร
bank	แบงค์
bank	แบงก์
ground	พื้น
italy	อิตาลี
italy	อิตาลี่
energy	พลังงาน
believe	เชื่อ
believe	ศรัทธา
leader	ผู้นำ
online	ออนไลน์
online	online
block	บล็อก
block	บล็อค
bridge	สะพาน
bridge	บริดจ์
changes	เปลี่ยนแปลง
followed	ตาม
industry	อุตสาหกรรม
request	ขอ
request	คำขอ
request	ร้องขอ
olympic	โอลิมปิค
olympic	โอลิมปิก
sold	ขาย
professor	ศาสตราจารย์
mexico	เม็กซิโก
campaign	แคมเปญ
org	org
length	ยาว
create	สร้าง
soviet	โซเวียต
market	ตลาด
words	คำ
words	ลมปาก
notes	หมายเหตุ
notes	บันทึก
notes	โน้ต
hockey	ฮอกกี้
novel	นิยาย
novel	นวนิยาย
code	รหัส
code	โค้ด
referee	กรรมการ
sport	สปอร์ต
sport	sport
sport	กีฬา
van	แวน
mary	แมรี่
mary	แมรี
sound	เสียง
status	สถานะ
status	สถานภาพ
child	กุมาร
child	เด็ก
perhaps	บางที
foreign	ต่างด้าว
municipality	เทศบาล
eight	แปด
problems	ปัญหา
channel	ช่อง
parliament	รัฐสภา
edition	ฉบับ
foundation	รากฐาน
foundation	foundation
foundation	มูลนิธิ
units	ยูนิต
units	หน่วย
movie	หนัง
movie	ภาพยนต์
movie	ภาพยนตร์
ice	ไอซ์
ice	ice
simply	เพียง
limited	จำกัด
unit	ยูนิต
unit	หน่วย
student	นักเรียน
student	นักศึกษา
complete	สมบูรณ์
complete	ครบ
test	สอบ
test	ทดสอบ
bill	บิล
bill	bill
parts	อะไหล่
theory	ทฤษฎี
regional	ภูมิภาค
account	บัญชี
vote	โหวต
computer	คอม
computer	คอมพิวเตอร์
poland	โปแลนด์
mid	มิด
taking	การพา
mountain	ภูผา
mountain	ภูเขา
cases	กรณี
editing	แก้ไข
replaced	แทนที่
food	อาหาร
multiple	หลายๆ
multiple	หลาย
terms	เงื่อนไข
sir	เซอร์
square	ตาราง
try	ลอง
topic	หัวข้อ
woman	หญิง
greek	กรีก
recent	ล่าสุด
sent	ส่ง
copyright	ลิขสิทธิ์
copyright	copyright
speed	ความเร็ว
templates	ต้นแบบ
money	เงิน
saw	เห็น
senior	อาวุโส
senior	senior
selected	เลือก
true	ทรู
true	true
true	จริง
true	แท้
regular	ปรกติ
regular	ปกติ
commercial	พาณิชย์
commercial	โฆษณา
cities	เมือง
cities	นคร
contains	บรรจุ
trade	แลก
trade	เทรด
trade	ค้า
degree	ปริญญา
anti	anti
birth	เกิด
birth	กำเนิด
sun	ซุน
sun	ซัน
sun	พระอาทิตย์
earth	earth
earth	โลก
earth	ธรณี
seasons	ฤดูกาล
journal	วารสาร
software	ซอฟต์แวร์
software	ซอฟแวร์
software	ซอฟท์แวร์
famous	ดัง
religious	ศาสนา
appear	ปรากฏ
god	อัลลอฮ์
god	พระเจ้า
god	อัลลอฮฺ
bit	บิต
bit	กัด
bit	bit
hours	ชั่วโมง
missing	หาย
missing	ขาด
economic	เศรษฐกิจ
structure	โครงสร้าง
rural	ชนบท
hit	ตี
hit	ถล่ม
hit	ชน
hit	จีบ
minutes	นาที
spain	สเปน
web	เว็บ
function	ฟังก์ชัน
louis	หลุยส์
assembly	สมัชชา
queen	ควีน
queen	ราชินี
security	รปภ
jan	แจน
jan	ยัน
call	โทร
successful	สำเร็จ
legal	กฎหมาย
russia	รัสเซีย
jewish	ยิว
staff	พนักงาน
agree	ยินยอม
bad	แย่
bad	ร้าย
bad	bad
bad	เลว
nature	สันดาน
nature	ธรรมชาติ
allowed	อนุญาต
captain	กัปตัน
mount	ภูเขา
township	ตำบล
township	สิริ
calculated	คำนวณ
structures	โครงสร้าง
hard	แรง
hard	โหม
hard	ลำบาก
hard	หนัก
hard	ฮาร์ด
hard	ยาก
meet	พบ
box	box
box	กล่อง
box	ช่อง
lines	เส้น
lines	บรรทัด
democratic	ประชาธิปไตย
success	สำเร็จ
traditional	ดั้งเดิม
rest	พัก
highway	ทางด่วน
highway	ทางหลวง
highway	ไฮเวย์
matter	สำคัญ
wide	wide
wide	กว้าง
month	เดือน
care	แคร์
care	สน
care	สนใจ
cultural	วัฒนธรรม
plan	แพ็คเกจ
plan	วางแผน
plan	แผน
practice	ฝึก
practice	ซ้อม
practice	ฝึกฝน
parties	ปาร์ตี้
master	อาจารย์
usa	สหรัฐอเมริกา
usa	สหรัฐฯ
usa	usa
stop	หยุด
feature	คุณสมบัติ
feature	คุณลักษณะ
feature	ฟีเจอร์
engine	เครื่องยนต์
needed	ต้องการ
afd	afd
experience	ประสบการณ์
engineering	วิศวกรรมศาสตร์
engineering	วิศวกรรม
silver	ซิลเวอร์
silver	เงิน
separate	แยก
secretary	เลขา
secretary	รัฐมนตรี
secretary	เลขาฯ
secretary	เลขาธิการ
secretary	เลขานุการ
dutch	ดัตช์
lee	ลี
lee	lee
rules	กฏ
rules	กติกา
rules	กฎ
trying	พยายาม
scotland	สกอตแลนด์
iii	iii
heart	heart
heart	ใจ
heart	หัวใจ
room	ห้อง
stone	stone
stone	หิน
stone	ศิลา
drama	ดราม่า
drama	ละคร
scores	คะแนน
dead	ตาย
key	กุญแจ
key	คีย์
shot	ยิง
turn	เลี้ยว
turn	หัน
turn	พลิก
turn	เปิด
occupation	อาชีพ
scottish	สกอตแลนด์
plant	โรงงาน
plant	ต้นไม้
plant	พืช
villages	หมู่บ้าน
languages	ภาษา
internet	อินเทอร์เน็ต
internet	อินเตอร์เน็ต
feel	รู้สึก
covered	ครอบคลุม
covered	ปกคลุม
ancient	โบราณ
property	คุณสมบัติ
property	ทรัพย์สิน
property	ทรัพย์
programs	โปรแกรม
picture	รูป
picture	ภาพ
finally	สุดท้าย
fiction	นิยาย
fiction	นวนิยาย
nations	ประชาชาติ
nations	สหประชาชาติ
digital	ดิจิตอล
digital	digital
mission	ภารกิจ
mission	mission
bbc	bbc
profile	โปรไฟล์
dance	เต้นรำ
dance	เต้น
prize	รางวัล
georgia	จอร์เจีย
port	พอร์ต
port	ท่าเรือ
pacific	แปซิฟิก
pacific	แปซิฟิค
castle	ปราสาท
pass	ผ่าน
transport	ขนส่ง
organizations	องค์กร
ratio	สัดส่วน
ratio	อัตราส่วน
recently	ล่าสุด
fall	ล้ม
fall	หล่น
fall	ตก
fall	ร่วง
global	โกลบอล
global	global
era	ศักราช
era	ยุค
wing	ปีก
wing	วิง
fine	สบาย
purpose	วัตถุประสงค์
congress	สภา
congress	รัฐสภา
activities	กิจกรรม
peak	พีค
lack	ขาด
bass	แบส
bass	แบ
bass	แบต
bass	เบส
super	super
complex	ปม
complex	complex
academic	วิชาการ
stars	ดวงดาว
stars	ดารา
stars	ดาว
accounts	บัญชี
appearance	ลักษณะ
asian	เอเชีย
asian	บอล
asked	ถาม
friends	เพื่อนๆ
friends	เพื่อน
kind	ชนิด
kind	ใจดี
till	จนถึง
till	จนกว่า
entry	รายการ
asia	เอเชีย
sense	sense
actress	actress
map	แผนที่
bishop	บิชอป
boston	บอสตัน
boston	boston
rate	อัตรา
literature	วรรณกรรม
literature	วรรณคดี
forest	ป่า
forest	ฟอเรส
forest	ฟอเรสต์
voice	เสียง
jack	แจ๊ค
jack	แจ๊ก
jack	แจ็ค
jack	jack
jack	แจ็ก
pre	pre
champion	แชมป์
double	ดับเบิล
double	ดับเบิ้ล
polish	โปแลนด์
numbers	ตัวเลข
numbers	หมายเลข
columbia	โคลัมเบีย
temple	วิหาร
temple	วัด
defeated	พ่าย
israel	อิสราเอล
sister	น้อง
nine	เก้า
table	ตาราง
table	โต๊ะ
pop	ป็อป
pop	ป๊อป
pop	pop
newspaper	หนังสือพิมพ์
friend	friend
friend	เพื่อน
chart	แผนภูมิ
chart	ชาร์ต
chart	ภูมิ
starting	เริ่ม
architecture	สถาปัตยกรรม
relations	สัมพันธ์
supported	สนับสนุน
contract	สัญญา
face	ใบหน้า
face	หน้า
face	หน้าตา
face	face
directly	โดยตรง
girl	สาว
clearly	ชัด
junior	junior
junior	เยาวชน
politics	การเมือง
mar	มาร์
cause	เพราะ
cause	สาเหตุ
volume	ปริมาตร
tom	ทอม
tom	tom
except	ยกเว้น
oil	น้ำมัน
weeks	อาทิตย์
weeks	สัปดาห์
allow	อนุญาต
branch	สาขา
retired	เกษียณ
communities	ชุมชน
train	รถไฟ
paper	หนังสือพิมพ์
paper	กระดาษ
remains	ซาก
victoria	วิกตอเรีย
victoria	วิคตอเรีย
metal	โลหะ
metal	เหล็ก
wrong	ธรรม
wrong	ผิด
direct	ตรง
direct	โดยตรง
direct	direct
miles	ไมลส์
miles	ไมล์
blocked	บล็อก
blocked	บล็อค
mass	มวล
mass	ก้อน
chairman	ประธาน
comedy	ตลก
relationship	สัมพันธ์
format	ฟอร์แมต
creek	รีก
meeting	พบปะ
meeting	ประชุม
draft	ร่าง
fight	ต่อสู้
fight	สู้
figure	คิด
faculty	คณาจารย์
faculty	คณะ
camp	ค่าย
owner	owner
owner	เจ้าของ
statistics	สถิติ
heavy	หนักๆ
heavy	หนัก
alone	ลำพัง
episodes	ตอน
completely	สมบูรณ์
products	สินค้า
products	ผลิตภัณฑ์
dark	เข้ม
dark	มืด
attention	ใส่ใจ
attention	สนใจ
religion	ศาสนา
mind	มายด์
mind	จิต
mind	ใจ
mind	mind
mind	รังเกียจ
corps	คอร์ป
administrative	ธุรการ
cut	กรีด
cut	คัท
cut	ตัด
scott	สก็อตต์
scott	สก็อต
scott	สก๊อต
scott	สกอต
jean	ยีน
jean	จีน
jean	ฌอง
mayor	เทศมนตรี
pro	pro
pro	โปร
beach	ชายหาด
beach	หาด
cast	เฝือก
cast	โยน
territory	อาณาเขต
write	เขียน
joe	โจ
joe	joe
inside	ภายใน
wanted	ต้องการ
solid	ทึบ
solid	ของแข็ง
solid	มั่นคง
solid	solid
solid	แข็ง
authority	อำนาจ
projects	โครงการ
continue	ต่อ
cost	ต้นทุน
vice	รอง
drive	ไดรฟ์
drive	ไดร์ฟ
notice	สังเกต
notice	สังเกตุ
johnson	johnson
forced	บังคับ
looks	หน้าตา
reasons	เหตุผล
job	งาน
photo	รูป
photo	ภาพถ่าย
photo	รูปภาพ
hope	โฮป
hope	หวัง
entered	ป้อน
mike	ไมค์
scientific	วิทยาศาสตร์
amount	จำนวน
spring	spring
spring	สปริง
kong	ฮ่องกง
opera	opera
