apie	關於
rūšių	魚種
rūšių	物種
institutas	研究所
raj	raj
išrinktas	當選
pavasarį	地下
pavasarį	地底
senovės	古代
senovės	古老
direktorius	主任
direktorius	導演
direktorius	司長
kartus	時代
kartus	times
kartus	時報
motina	母后
motina	母親
ilgis	長度
filmas	電影
filmas	影片
filmas	電影
filmas	膠片
filmas	影片
didysis	big
didysis	大
augalų	廠
augalų	植物
augalų	工廠
parkas	樸
parkas	公園
daina	歌曲
daina	宋
daina	首歌
daina	歌
išleistas	獲釋
katalikų	天主教
katalikų	天主教徒
tada	那
tada	然後
tada	那麼
šachmatų	象棋
šachmatų	棋
šachmatų	西洋棋
bgcolor	bgcolor
miestai	城鎮
miestai	城市
kelių	公路
kelių	道路
kelių	路
kalnų	山
kalnų	山區
kalnų	山地
sala	海島
sala	島嶼
sala	島
profesorius	教授
apsaugos	保護
komanda	團隊
komanda	球隊
komanda	隊伍
kūno	屍體
kūno	體
kūno	身體
bus	將
bus	威爾
radijo	電台
radijo	廣播
radijo	無線電廣播
radijo	收音機
radijo	廣播電台
radijo	無線電
komandos	團隊
komandos	球隊
komandos	隊伍
afrikos	非洲
colspan	colspan
jaunimo	青年
jaunimo	青春
jaunimo	青少年
žydų	猶太人
žydų	猶太
žydų	猶太教
prekybos	行銷
aleksandras	亞歷山大
aleksandras	alexander
žinoma	課程
rūšys	魚種
rūšys	物種
televizijos	電視機
televizijos	電視
televizijos	電視台
jūrų	海事
premija	獎金
premija	紅利
premija	獎勵
premija	獎品
premija	獎賞
premija	獎
politikas	政客
politikas	政治家
statybos	建
statybos	建立
choro	合唱團
choro	唱詩班
japonijos	日本
japonijos	日本人
japonijos	日文
didžiausias	最大值
didžiausias	最大限度
graikų	希臘文
graikų	希臘
pareigas	職責
dvaras	莊園
čempionatas	錦標賽
jai	她
aukso	金
aukso	金子
aukso	黃金
aukso	金色
aukso	gold
gydytojas	內科醫生
gydytojas	醫師
gydytojas	醫生
gydytojas	博士
taurė	盃
taurė	杯
taurė	杯子
uab	uab
vasaros	summer
vasaros	夏日
vasaros	夏季
vasaros	暑假
vasaros	夏天
poetas	詩人
verslo	企業
verslo	業務
verslo	商業
verslo	商務
dainos	歌曲
dainos	宋
dainos	首歌
dainos	歌
dainos	歌曲
dainos	歌
spalvos	顏色
spalvos	色彩
spalvos	彩色
spalvos	顏色
spalvos	色彩
ispanijos	西班牙
ispanijos	西班牙文
ispanijos	西班牙語
reikia	需求
reikia	需要
sienos	壁
sienos	牆壁
sienos	圍牆
sienos	牆
karinis	軍方
karinis	軍事
katedros	大教堂
žurnalistas	記者
imperija	帝國
tsr	tsr
marijos	神秘
marijos	謎團
marijos	謎
armijos	集團軍
armijos	軍隊
armijos	軍
armijos	陸軍
turnyras	錦標賽
kultūra	文化
geriausias	best
geriausias	最好
vokietija	德國
švietimo	教育
gitara	吉他
kunigaikštystės	公國
gana	迦納
gana	漂亮
paveldo	遺產
visiškai	充分
kunigas	祭司
aktorė	男主角
aktorė	演員
aktorė	女主角
aktorė	女演員
aktorė	演員
moteris	女人
moteris	女
moteris	女子
moteris	女
moteris	女性
čempionato	錦標賽
pro	pro
clubnat	clubnat
krepšinio	籃球
kinijos	中文
kinijos	漢語
kinijos	華人
vyr	資深
kaimai	鄉村
kaimai	村莊
žmogus	人類
žmogus	人
žmogus	男人
žmogus	man
namai	住家
namai	房屋
namai	房子
žaidėjas	球員
žaidėjas	玩家
teatras	電影院
teatras	劇場
teatras	戲劇
teatras	劇院
teatras	戲院
teatras	劇場
teatras	戰區
teatras	戲劇
teatras	劇院
teatras	戲院
saulės	陽光
stotis	站
stotis	車站
sutuoktinis	配偶
paminklų	古蹟
paminklų	紀念碑
lygos	聯盟
lygos	同盟
lygos	聯賽
filmų	影片
kapinės	墓園
kapinės	墓地
kapinės	公墓
taikos	平安
taikos	和平
gamybos	製作
gamybos	產量
gamybos	生產
kompozitorius	作曲家
vietų	席位
vietų	座位
aukštis	海拔
daugiausiai	最多
daugiausiai	max
daugiausiai	最大
karas	戰
karas	戰爭
darbai	工程
darbai	作品
anglijos	英國
anglijos	英格蘭
knyga	圖書
knyga	書
knyga	書籍
parapija	教區
vidaus	內部
nepriklausomybės	獨立
indijos	印度
greitai	快速
greitai	不久
greitai	很快
greitai	快速
sovietų	蘇維埃
technologijos	技術
technologijos	技術
technologijos	科技
departamentas	部門
palaidotas	埋
palaidotas	埋葬
biblioteka	圖書館
teisininkas	律師
paminklas	碑
paminklas	紀念碑
klasės	階級
klasės	類
klasės	類別
klasės	課堂
klasės	班級
pilis	城堡
pilis	castle
pilis	城
čempionas	冠軍
informacija	資訊
ffffff	ffffff
garbės	名譽
garbės	榮譽
garbės	名譽
garbės	榮譽
miško	林子
miško	樹林
architektas	建築師
jurgis	jurgis
upių	河流
rowspan	rowspan
medžiagų	物料
medžiagų	材料
koplyčia	禮拜堂
organizacija	組織
galerija	畫廊
valstiečių	農民
imperatorius	皇帝
imperatorius	天皇
savivaldybė	市
knygą	圖書
knygą	書
knygą	書籍
tomas	tomas
tomas	tom
kunigaikštis	公爵
elektros	電力
elektros	供電
elektros	電
knygos	圖書
knygos	書
knygos	書籍
ministerijos	部委
ministerijos	各部
medžiagos	物料
medžiagos	材料
kranto	岸上
kranto	岸
kranto	岸邊
kranto	海岸
kompanija	公司
dramos	電視劇
dramos	劇情
dramos	戲劇
dramos	劇
azijos	亞洲
min	閔
min	敏
treneris	教練
filosofijos	哲學
filosofijos	理念
amerikoje	美洲
amerikoje	美國
ataskaita	報告
ataskaita	檢舉
rinkimų	選舉
istorikas	歷史學家
apdovanojimai	獎品
studentų	學生
miškai	森林
finalas	決賽
kalnas	山
kalnas	山區
kalnas	山地
linija	line
linija	線
linija	線路
nuolat	持續
nuolat	連續
policijos	警方
policijos	警務
policijos	警察
augalas	廠
augalas	植物
augalas	工廠
dainininkė	singer
dainininkė	歌手
medžiaga	物料
medžiaga	材質
medžiaga	材料
medžiaga	實質
medžiaga	物質
mano	礦山
katedra	大教堂
akademija	學院
apima	封面
ispanų	西班牙文
ispanų	西班牙語
kurti	curtis
didžiausia	峰
didžiausia	峰峰
didžiausia	山頂
dalys	共享
dalys	分享
dalys	股份
žaidynėse	奧運會
žaidynėse	奧運
akmuo	岩
akmuo	岩石
akmuo	石頭
akmuo	rock
akmuo	搖滾
romanas	小說
kariuomenė	集團軍
kariuomenė	軍隊
kariuomenė	軍
kariuomenė	陸軍
gyvūnų	動物
gyvūnų	動物
vaivadija	省
brolis	弟弟
brolis	哥
brolis	師兄
brolis	哥哥
brolis	兄弟
temperatūra	氣溫
temperatūra	溫度
temperatūra	體溫
temperatūra	氣溫
temperatūra	溫度
asociacijos	社團
asociacijos	結社
asociacijos	協會
fizikos	物理學
fizikos	物理
pajėgų	退
pajėgų	撤退
nationalcaps	nationalcaps
popiežius	教皇
popiežius	教宗
didelis	big
didelis	大
didelis	大型
greta	greta
žiemos	winter
žiemos	冬
žiemos	冬季
žiemos	冬天
lyga	聯盟
lyga	同盟
lyga	聯賽
federacijos	聯邦
išleista	花費
varžybose	競賽
lauko	室外
lauko	戶外
amžius	年紀
amžius	年齡
gamyba	製造業
gamyba	製造
gamyba	生產
gamyba	製作
gamyba	產量
gamyba	生產
gamyba	製造業
gamyba	製造
arabų	阿拉伯
kraštas	幀
kraštas	框框
kraštas	框架
kraštas	框
gimnazija	體育館
vengrijos	匈牙利
vengrijos	匈牙利語
argentinos	阿根廷
galiausiai	最終
baigęs	過期
mokymo	教書
mokymo	教學
mokymo	教
mokymo	培訓
mokymo	訓練
dolerių	美元
dolerių	元
dolerių	美元
japonų	日本人
japonų	日文
žaidimų	games
žaidimų	遊戲
kilmė	出處
kilmė	原產地
kilmė	起源
leftarm	leftarm
įmonė	公司
įmonė	企業
įmonė	業務
įmonė	商業
įmonė	商務
aktyviai	積極
aktyviai	活躍
liberalų	自由主義
tiltas	橋
tiltas	艦橋
tiltas	大橋
tiltas	橋梁
tiltas	橋牌
bendrovė	公司
save	自我
dinastija	朝代
dinastija	王朝
darbas	工作
darbas	工作
metalo	金屬
gyvenimas	生命
gyvenimas	人生
gyvenimas	生活
žaidžia	玩
žaidžia	播放
bendrovės	公司
bendrovės	公司
bendrovės	公司
tiesiog	只是
tiesiog	只要
žaidimas	game
žaidimas	比賽
žaidimas	博弈
žaidimas	遊戲
medžio	樹
medžio	樹木
akmens	stone
akmens	石
akmens	斯通
akmens	石頭
currentclub	currentclub
pilies	城堡
pilies	castle
pilies	城
pilies	皇宮
pilies	宮殿
pilies	王宮
pilies	宮廷
pilies	宮
kaimų	鄉村
kaimų	村莊
paliko	左側
paliko	左
paliko	左翼
paliko	左邊
modelis	模範
modelis	示範
modelis	模型
modelis	型號
modelis	模特兒
naftos	油
naftos	石油
naftos	機油
karinės	軍方
karinės	軍事
bendras	常見
bendras	通用
bendras	共同
nationalyears	nationalyears
ligos	病
ligos	疾病
ligos	病
ligos	疾病
teisėjas	法官
teisėjas	裁判
dievas	神
david	大衛
david	david
pulkininkas	象徵
pulkininkas	符號
pulkininkas	山口
žurnalas	雜誌
didelės	big
didelės	大
vyras	男性
vyras	男
vyras	丈夫
vyras	人
vyras	男人
vyras	man
armija	集團軍
armija	軍隊
armija	軍
armija	陸軍
jūra	大海
jūra	海上
jūra	海
finansų	財務
pinigų	現金
darbuotojas	僱員
darbuotojas	員工
darbuotojas	職工
darbuotojas	勞動者
darbuotojas	工人
projektas	項目
mokytoja	老師
mokytoja	教師
krikščionių	基督教徒
krikščionių	基督徒
kinų	中文
kinų	漢語
kinų	華人
ištekėjusi	已婚
mergelės	處女座
sen	sen
sen	森
linijos	線條
linijos	線
linijos	環
linijos	迴圈
humanitarinių	人文
vietose	地點
teorija	理論
teorija	論
filosofas	哲學家
kūnas	屍體
kūnas	體
kūnas	身體
politechnikos	理工學院
politechnikos	理工
atlikėjas	藝術家
atlikėjas	藝人
gyventi	居住
gyventi	住宅
gyventi	居所
gyventi	住所
gyventi	活
gyventi	直播
gyventi	live
gyventi	生活
egipto	埃及
galvos	頭
galvos	頭部
partijų	批次
dalyvavimas	參與
dalyvavimas	參與
atvyko	抵達
atvyko	到達
spalva	色
spalva	彩色
spalva	顏色
spalva	色彩
spalva	彩色
spalva	顏色
spalva	色彩
sėkmingai	成功
laikas	時光
laikas	時間
henrikas	heinrich
grand	grand
kalnuose	山
kalnuose	山脈
kalnuose	山區
projekto	項目
aviacijos	航空
tapti	成為
tvenkinys	水庫
tvenkinys	水塘
visada	始終
visada	永遠
visada	總是
moterys	女
moterys	女性
moterys	婦女
moterys	女性
gynėjas	後衛
formulės	公式
formulės	方程式
formulės	配方
formulės	公式
kanados	加拿大
žuvų	魚類
žuvų	魚
žuvų	魚兒
teorijos	理論
teorijos	論
turėtų	應該
pareigos	責任
terminas	成熟
terminas	到期
kūriniai	工程
kūriniai	作品
ežerų	湖泊
google	google
šviesos	發光
šviesos	燈
šviesos	燈光
pėstininkų	步兵
demokratų	民主黨
emblema	國徽
surengė	主辦
archeologijos	考古學
archeologijos	考古
tyrimai	研究
tyrimai	調查
kalnai	山
kalnai	山脈
kalnai	山區
danijos	丹麥
psl	psi
širdies	心
širdies	心臟
ekonomistas	經濟學家
viktoras	victor
funkcija	功能
funkcija	職能
funkcija	函數
liga	病
liga	疾病
geriausia	best
geriausia	最好
pagalba	援助
darbininkų	勞動者
darbininkų	工人
duktė	女兒
kiekis	數量
kiekis	量
vidutinis	中等
vidutinis	適度
vidutinis	適中
vidutinis	溫和
žaisti	玩
žaisti	彈
žaisti	播放
objektų	物體
objektų	天體
objektų	物件
enciklopedija	百科全書
teatre	劇院
teatre	戲院
teatre	電影院
teatre	劇場
teatre	戲劇
teatre	劇院
teatre	戲院
teatre	劇場
teatre	戰區
teatre	戲劇
teatre	劇院
teatre	戲院
simbolis	象徵
simbolis	符號
šventės	假期
šventės	假日
šventės	節假日
šventės	節日
metrų	公尺
metrų	米
metrų	公尺
dalyvis	同行
dalyvis	同儕
medinė	木質
medinė	木
medinė	木制
vertė	價值
vertė	數值
vertė	值
gynybos	辯護
gynybos	國防
gynybos	防禦
gynybos	防守
gynybos	防衛
gynybos	國防
gynybos	防衛
karui	戰
karui	戰爭
elementų	項目
serijos	系列
turto	資產
interneto	web
interneto	網
interneto	網路
interneto	網路
interneto	網際網路
stoties	站
stoties	車站
tikslas	目標
statusą	狀況
statusą	狀態
statusą	現況
augalai	莊稼
augalai	農作物
augalai	作物
studijos	錄音室
studijos	studio
studijos	工作室
tom	tom
klasė	階級
klasė	類
klasė	類別
klasė	課堂
klasė	班級
leonas	leon
gaminti	做飯
gaminti	煮
gaminti	廚師
žodžiai	詞
žodžiai	word
žodžiai	單詞
žodžiai	字
žodžiai	單字
žodžiai	言語
žodžiai	詞語
žodžiai	字
žodžiai	詞
mokslas	科學
medienos	木
medienos	木材
medienos	wood
medienos	木頭
žaidėjai	球員
žaidėjai	玩家
aukščiausia	best
aukščiausia	最好
pašto	郵政
akmenų	岩
akmenų	岩石
japonija	日本
stadionas	體育館
stadionas	運動場
stadionas	球場
odos	皮革
odos	皮
odos	肌膚
savininkas	所有者
savininkas	業主
žiedai	環
žiedai	戒指
pasiekti	實現
genčių	部落
geležies	鋼鐵
geležies	鐵
prisijungė	加入
vyrai	男性
vyrai	男人
vyrai	男子
vyrai	男性
vyrai	男
žvaigždės	星星
žvaigždės	恆星
žvaigždės	star
žvaigždės	星
žvaigždės	明星
meto	dash
ginklų	武器
ginklų	兵器
ginklų	槍支
ginklų	槍械
ginklų	軍火
bankas	銀行
dėmesio	注意
dėmesio	注意力
rinkimai	選舉
rinkimai	選舉
mokymosi	學習
mokymosi	學
greitis	速度
greitis	速度
greitis	速
miškas	林子
miškas	樹林
miškas	森林
sezonas	季
sezonas	季節
biografija	傳記
biografija	自傳
abi	修道院
abi	abi
veterinarijos	獸醫
žiemą	winter
žiemą	冬
žiemą	冬季
žiemą	冬天
tekstilės	紡織
tekstilės	紡織品
tekstilės	紡織業
tekstilės	紡織
tekstilės	紡織品
rūdos	礦石
rūdos	礦石
pasienio	邊界
pasienio	邊框
pasienio	邊境
kunigaikštystė	公國
kandidatas	候選人
kandidatas	候選
komunistų	共產主義
žvaigždžių	星星
žvaigždžių	明星
žvaigždžių	星空
žvaigždžių	星
žvaigždžių	恆星
nuotraukos	照片
nuotraukos	像片
nuotraukos	像片
nuotraukos	照片
aleksandro	亞歷山大
aleksandro	alexander
fondo	基金
paroda	展覽
paroda	展
paroda	展覽會
mindaugas	mindaugas
foto	像片
foto	照片
mokinių	瞳孔
ispanija	西班牙
geriau	更好
saulius	saul
futbolas	足球
futbolas	足球
futbolas	美式足球
futbolas	橄欖球
airijos	愛爾蘭
asociacija	結社
asociacija	協會
korėjos	韓國
korėjos	韓語
radvila	radziwiłł
nba	nba
video	視訊
video	影片
laivyno	艦隊
laivyno	船隊
laivyno	車隊
laivyno	海軍
tiesa	真實
tiesa	真理
tiesa	事實
tiesa	真相
pagalbos	援助
menų	藝術
vyro	丈夫
lengvai	容易
lengvai	輕鬆
lengvai	簡單
siena	壁
siena	牆壁
siena	圍牆
siena	牆
partizanų	游擊
partizanų	游擊隊
julius	julius
klimatas	氣候
gatvė	街頭
gatvė	街道
gatvė	街
viduje	內在
viduje	裡面
viduje	內心
viduje	內部
baleto	芭蕾
baleto	芭蕾舞
paukščiai	鳥類
paukščiai	鳥
paukščiai	鳥兒
ląstelių	細胞
ląstelių	牢房
gatvės	街頭
gatvės	街道
gatvės	街
gatvės	街道
draudimo	保險費
draudimo	保險
vienuolynas	修道院
vienuolynas	寺院
izraelio	以色列
irena	irena
irena	irene
sostą	王座
sostą	王位
sostą	寶座
james	james
james	詹姆士
mokesčių	珍寶
mokesčių	寶藏
ana	ana
ana	安娜
ana	anna
geležinkelis	鐵路
geležinkelis	鐵道
geležinkelis	鐵路
geležinkelis	鐵路
geležinkelis	鐵道
keliai	公路
keliai	道路
spalvų	顏色
spalvų	色彩
spalvų	彩色
spalvų	顏色
spalvų	色彩
kijevo	基輔
alfonsas	alphonse
vns	vns
galios	電力
galios	電源
galios	動力
galios	權力
aktoriai	演員
pakeisti	變更
pakeisti	修改
pakeisti	更改
upelio	溪
kolonija	殖民地
pieno	乳製品
įpėdinis	繼任者
įpėdinis	繼任
teigė	認領
teigė	聲稱
šakos	分行
šakos	樹枝
šakos	分支
ford	福特
ford	ford
ilgai	久
ilgai	長
konstantinas	君士坦丁
paulius	保羅
paulius	paul
mūšio	戰地
mūšio	戰場
atr	atr
laimėtojas	勝者
laimėtojas	贏家
choras	合唱團
choras	唱詩班
kūrybos	創作
kūrybos	創意
kūrybos	創造性
revoliucijos	革命
revoliucijos	革命
žiūrovų	觀眾
laikyti	店
laikyti	商店
kapitonas	機長
kapitonas	隊長
kapitonas	主人
kapitonas	大師
kapitonas	師父
kapitonas	師傅
eilėraščiai	詩
eilėraščiai	詩歌
technologijų	技術
technologijų	技術
technologijų	科技
federacija	聯邦
atitinka	匹配
atitinka	火柴
disertaciją	命題
disertaciją	論文
tarnyba	辦公
tarnyba	辦公室
tarnyba	辦事處
ligų	疾病
festivalis	節
festivalis	節慶
festivalis	節日
jėga	酷
turkijos	土耳其
judėjimas	運動
gyvenviečių	定居點
fondas	基金
įvykiai	事件
įvykiai	活動
juosta	皮帶
vladimiras	vladimir
elena	ellen
elena	海倫
elena	helen
robertas	roberto
laivas	船隻
kritulių	降雨量
kritulių	雨量
kritulių	降雨
kritulių	降水
kritulių	降水量
uosto	海港
uosto	港灣
uosto	港口
uosto	港
turizmo	旅遊
turizmo	遊客
turizmo	旅遊
rock	岩
rock	岩石
rock	石頭
rock	rock
rock	搖滾
artilerijos	大炮
artilerijos	火炮
artilerijos	炮兵
įkūrėjas	創辦人
įkūrėjas	創始人
atgal	落後
atgal	倒退
saugomų	保護
balsų	選票
serija	系列
vykdyti	執行
vykdyti	跑
vykdyti	跑步
vykdyti	運行
vykdyti	開車
vykdyti	駕駛
val	val
val	瓦爾
jūroje	海外
jūroje	離岸
jūroje	境外
jūroje	近海
žvaigždė	星星
žvaigždė	恆星
žvaigždė	star
žvaigždė	星
žvaigždė	明星
dėmesį	注意
dėmesį	注意力
gruzijos	喬治亞
milijonų	百萬
chorų	合唱
gamyklos	工廠
šventė	假期
šventė	holiday
šventė	假日
šventė	度假
šventė	節日
šventė	宴會
šventė	盛宴
šventė	慶典
šventė	慶祝
galia	電力
galia	電源
galia	動力
galia	權力
žaidėjų	球員
žaidėjų	玩家
kanadoje	加拿大
dangaus	天國
dangaus	天堂
dangaus	天空
dangaus	sky
jėgos	權力
vyresnysis	前輩
vyresnysis	長輩
vyresnysis	長老
vyresnysis	資深
pranciškus	francis
gintaras	amber
gintaras	安培
gintaras	琥珀
karalienė	女王
karalienė	皇后
karalienė	queen
karalienė	王后
dideli	大型
dideli	big
dideli	大
filmai	影片
filmai	電影
filmai	電影
filmai	影片
anglies	碳
anglies	炭
šiandien	今日
šiandien	今天
klimato	氣候
klimato	氣候
praleido	花費
energija	能量
energija	能源
varžybų	競賽
gaminami	製造
bokštas	tower
bokštas	塔
bokštas	塔台
drama	電視劇
drama	劇情
drama	戲劇
drama	劇
institucija	體制
institucija	機構
institucija	權威
stilius	style
stilius	樣式
stilius	風格
įtaka	影響力
įtaka	影響
dukra	女兒
vedęs	已婚
studija	錄音室
studija	studio
studija	工作室
slėnis	河谷
slėnis	谷
slėnis	山谷
slėnis	谷地
didelių	大型
įrengti	凡人
įrengti	凡人
atrodo	看起來
gamykla	廠
gamykla	植物
gamykla	工廠
gamykla	廠
gamykla	工廠
dinamo	dinamo
kariai	勇士
kariai	部隊
kariai	士兵
lenktynių	賽車
problemų	麻煩
augo	親屬
augo	親戚
namas	屋
namas	房屋
namas	房子
įranga	機械
įranga	機
įranga	機器
įranga	裝備
menas	藝術
šaka	分行
šaka	分支
kanalas	運河
kanalas	canal
mini	mini
mini	迷你
dainas	歌曲
dainas	歌
tamsiai	黑
tamsiai	暗
tamsiai	黑暗
filmuose	影片
renesanso	復興
renesanso	文藝復興
ligoninės	醫院
ligoninės	醫院
ankstesnis	先前
mokytis	學習
mokytis	學
mokytis	學習
mokytis	學
mokslininkas	科學家
kompleksas	複雜
unikalus	獨特
unikalus	獨一無二
krikščionys	基督教徒
krikščionys	基督徒
bangos	波長
bangos	浪
bangos	海浪
bangos	波浪
bangos	揮手
bangos	浪潮
bangos	波
bangos	浪
bangos	波浪
šokio	舞蹈
šokio	跳舞
šokio	舞
statyba	施工
statyba	建設
statyba	建築
lauke	室外
lauke	戶外
technika	技術
technika	技巧
park	樸
park	公園
namus	住家
lėktuvas	飛機
lėktuvas	平面
lėktuvas	飛機
lėktuvas	飛機
užsiėmimas	職業
užsiėmimas	佔領
vienuolyno	修道院
vienuolyno	寺院
ukrainoje	烏克蘭
ramiojo	太平洋
live	活
live	直播
live	live
york	約克
karinė	軍方
karinė	軍事
raudona	紅
raudona	red
raudona	紅色
reformos	改革
turnyro	錦標賽
rašyti	撰寫
rašyti	寫
rašyti	寫信
rašyti	寫入
rašyti	寫作
medžiai	樹
medžiai	樹木
veiksmas	動作
veiksmas	行動
religijos	宗教
karalystę	王國
karalystę	境界
gylis	深
gylis	深度
tyrimus	詢問
tyrimus	查詢
tyrimus	調查
kolegijos	學院
kolegijos	書院
kolegijos	大學
airių	愛爾蘭
įlanka	灣
įlanka	海灣
verslininkas	商人
verslininkas	創業者
riba	門檻
festivalio	節
festivalio	節慶
festivalio	節日
anglija	英國
anglija	英格蘭
meilės	戀愛
meilės	愛
meilės	love
meilės	愛情
pusiasalio	半島
ryšiai	電訊
ryšiai	電信
elementai	元素
elementai	要件
baseinas	盆地
baseinas	海盆
baseinas	流域
baseinas	盆
tilto	橋
tilto	艦橋
tilto	大橋
tilto	橋梁
tilto	橋牌
išrinkta	當選
pora	配對
pora	夫妻
pora	情侶
pora	夫婦
regina	regina
dalia	dalia
žydai	猶太人
žydai	猶太
musulmonų	穆斯林
miestus	城鎮
artūras	阿瑟
artūras	arthur
kova	鬥爭
kova	奮鬥
kova	掙扎
kūryba	創作
kūryba	創建
kūryba	創造
kūryba	建立
skulptūra	雕塑
skulptūra	雕刻
žodynas	詞彙
žodynas	詞典
žodynas	字典
žodynas	詞彙
žodynas	字彙
biuro	辦公
biuro	辦公室
biuro	辦事處
augimo	成長
augimo	增長
monetos	硬幣
monetos	錢幣
monetos	硬幣
monetos	錢幣
liekanos	殘留物
liekanos	殘餘物
liekanos	殘留
liekanos	殘渣
liekanos	殘留物
liekanos	殘餘物
liekanos	殘渣
savybės	功能
savybės	特色
savybės	特徵
savybės	地物
savybės	特點
įvykių	事件
įvykių	活動
smegenų	腦子
smegenų	大腦
smegenų	腦袋
smegenų	腦
žvejyba	釣魚
žvejyba	漁業
žvejyba	捕撈
žvejyba	捕魚
tikras	real
tikras	真實
pasirodo	記憶
pasirodo	回憶
zona	區
zona	區域
būrys	班長
būrys	班
būrys	小隊
būrys	排
vietovės	地形
vietovės	地勢
vietovės	地點
atminimo	紀念
atminimo	紀念館
atminimo	紀念碑
atminimo	紀念
ričardas	理查
ričardas	richard
muziejų	博物館
don	唐
don	don
klubai	俱樂部
klubai	梅花
klubai	臀
klubai	臀部
geobox	geobox
advokatas	律師
ežerai	湖泊
sąvoka	概念
gyvūnai	動物
gyvūnai	牲畜
gyvūnai	畜牧
gyvūnai	動物
ukraina	烏克蘭
matematikas	數學家
archeologas	考古學家
kursus	課程
viršuje	樓上
sesuo	妹妹
sesuo	姐姐
sesuo	姐妹
sesuo	姊妹
sesuo	姊姊
instrumentai	儀器
instrumentai	樂器
instrumentai	文書
karjeros	職業
karjeros	職業
supa	supa
karjera	職業
karjera	職業
kalvos	希爾
kalvos	山
taškai	點
galbūt	或許
galbūt	或許
galbūt	也許
pobūdžio	大自然
pobūdžio	自然
pobūdžio	性質
ekonomika	經濟學
ekonomika	經濟
ekonomika	經濟
vartai	門戶
vartai	門
vartai	大門
