भित्ति	väggmålning
स्वर्गीय	himmelska
स्वर्गीय	himmelsk
पते	adresser
मैसाचुसेट्स	massachusetts
ध्वन्यात्मक	fonetiska
निपुण	kunniga
निपुण	husse
निपुण	master
निपुण	mäster
निपुण	mästare
ताजिकिस्तान	tadzjikistan
मिसाल	liknelse
निलंबित	upphävd
निलंबित	avstängda
निलंबित	avstängd
डार्विन	darwin
बंदूक	pistol
बंदूक	gun
कलश	kruka
कलश	pot
कलश	pott
कलश	gräs
जुडी	judy
कंपन	vibrationer
कंपन	vibrerar
कंपन	vibrationer
कंपन	vibration
खुर्द	khurd
एयरवेज	luftvägarna
एयरवेज	airways
संतुष्टि	belåtenhet
संतुष्टि	tillfredsställelse
संवेग	slagkraft
संवेग	drivkraft
बाघों	tiger
बाघों	tigrarna
बाघों	tigrar
बाघों	tigers
वंशावली	släktforskning
वंशावली	släktträd
रहीम	rahim
निमोनिया	lunginflammation
बचाया	räddade
बचाया	räddats
बचाया	räddad
एस्टेट	egendom
गुरुवार	torsdagar
गुरुवार	torsdag
वॉल्ट	walt
वॉल्ट	valvet
वॉल्ट	valv
विस्थापित	fördrivna
अयोग्य	värdelös
अयोग्य	värdelöst
अयोग्य	värdelösa
अयोग्य	olämplig
अयोग्य	olämpliga
जटिलताओं	komplikationer
उत्पीड़न	trakasserier
उत्पीड़न	misshandel
उत्पीड़न	angrepp
उत्पीड़न	överfall
कोकेन	kokain
आमिर	amir
पापों	synder
उमर	umar
उमर	omar
मिलर	miller
मिलर	millers
रज़ा	raza
जोन	joan
शाखाएं	branscher
शाखाएं	filialer
शाखाएं	grenar
जानबूझकर	avsiktlig
जानबूझकर	avsiktliga
जानबूझकर	avsiktligt
मानकीकरण	standardisering
नशे	fulla
नशे	full
नशे	berusade
नशे	berusad
पुकारा	ringde
पुकारा	ringt
पुकारा	kallas
पुकारा	kallad
झंडा	flagga
झंडा	flagg
झंडा	flaggan
ग्लास	glas
घेर	omge
घेर	omringar
घेर	omringa
घेर	omger
आंत	tarmarna
आंत	tarmar
आंत	tarmen
आंत	tarm
आंत	inälvor
आंत	magkänsla
फ़ुट	fot
फ़ुट	fötterna
फ़ुट	fötter
क्रियान्वयन	genomförande
क्रियान्वयन	implementering
क्रियान्वयन	genomförandet
सिगार	cigarr
यूक्रेन	ukrainska
यूक्रेन	ukraina
वाइल्ड	wilde
निसान	nissan
पाद	fis
दैत्य	jätte
दैत्य	monstret
दैत्य	monster
प्रक्रम	process
प्रक्रम	processen
गवाह	vittnen
गवाह	vittne
गवाह	vittne
गवाह	bevittna
क्रिश्चियन	kristet
क्रिश्चियन	christian
क्रिश्चियन	kristna
क्रिश्चियन	kristen
पत्रकारों	journalister
पत्रकारों	reportrar
पत्रकारों	journalister
माथुर	mathur
मजाक	skämt
मजाक	skämta
बेकर	baker
बेकर	bagare
बेकर	becker
कांड	skandal
कांड	skandalen
कांड	skandaler
गर्व	stolt
गर्व	stolta
क्लोरीन	klor
संगीतकारों	musiker
मिठाई	söt
मिठाई	sött
मिठाई	söta
मिठाई	efterrätt
मिठाई	dessert
मिठाई	godis
मिठाई	sötsaker
मिठाई	karameller
तोमर	tomar
चांद	måne
चांद	månen
चांद	moon
बदलना	ändra
बदलना	ändrar
बदलना	byta
बदलना	ersättning
बदलना	ersättande
बदलना	ersättare
सड़कें	vägar
सड़कें	gator
सड़कें	streets
सड़कें	gatorna
प्रीमियम	premier
प्रीमियम	premie
प्रीमियम	premium
घेरा	omkrets
घेरा	belägring
घेरा	belägringen
घेरा	circle
घेरा	cirkel
घेरा	cirklar
घेरा	cirkeln
एक्सेस	åtkomst
एक्सेस	tillgång
एक्सेस	tillträde
वेबसाईट	webbplatser
वेबसाईट	hemsidor
वेबसाईट	webbsidor
सब्जियों	grönsaker
यूएसए	usa
हाथियों	elefanterna
हाथियों	elefanter
स्क्रिप्ट	manus
स्क्रिप्ट	skript
स्क्रिप्ट	manus
स्क्रिप्ट	skript
घूमती	roterande
गर्भगृह	helgedomen
डिजाइनर	designer
डिजाइनर	formgivare
अग्र	front
अग्र	främre
अग्र	framsidan
अग्र	fram
अग्र	framsida
विपक्षी	antagonist
बहिष्कार	bojkott
बहिष्कार	bojkotta
टमाटर	tomater
टमाटर	tomat
टमाटर	tomater
खरीदारी	köpa
खरीदारी	inköp
खरीदारी	köp
खरीदारी	köpet
खरीदारी	shopping
फेयर	mässa
फेयर	rättvist
फेयर	rättvis
प्रतीकात्मक	symboliskt
प्रतीकात्मक	symboliska
प्रतीकात्मक	symbolisk
शंकु	konisk
शंकु	kon
वृद्ध	gamla
वृद्ध	gammal
वृद्ध	gammalt
वृद्ध	äldre
सिक्का	mynt
सिक्का	slant
पर्दे	gardiner
घोटाले	skandal
घोटाले	skandalen
घोटाले	skandaler
रनों	körs
लाभांश	utdelning
लाभांश	utdelningen
ब्रह्मपुत्र	brahmaputra
दबा	dämpar
राजी	övertyga
राजी	övertala
उत्कीर्ण	gravyr
आटा	mjöl
आटा	deg
सभ्यताओं	civilisationer
निर्णयों	bedömningar
जासूस	kriminalinspektör
जासूस	detektiv
जासूस	spion
जासूस	spy
जासूस	spionera
जासूस	detektiver
नमस्कार	hallå
नमस्कार	hello
नमस्कार	hej
नमस्कार	hejsan
निर्मल	genomskinligt
निर्मल	genomskinliga
निर्मल	genomskinlig
कार्यक्षेत्र	omfång
कार्यक्षेत्र	omfattning
कार्यक्षेत्र	tillämpningsområde
कार्यक्षेत्र	räckvidd
कार्यक्षेत्र	arbetsplatsen
कार्यक्षेत्र	arbetsplats
मोटरसाइकिल	motorcyklar
मोटरसाइकिल	motorcyklar
मोटरसाइकिल	motorcykel
पुनरावृत्ति	repris
गल्फ	viken
अंटार्कटिक	antarktis
अंटार्कटिक	antarktis
खतरों	faror
डैनी	danny
बेड़े	flotta
बेड़े	flottan
किशोरावस्था	tonåring
किशोरावस्था	tonåren
पंद्रह	femton
पंद्रह	fifteen
महंगा	dyra
महंगा	dyr
महंगा	dyrt
प्रबंधित	hanteras
प्रबंधित	hanterade
प्रबंधित	lyckades
प्रबंधित	förvaltade
मनोरंजक	roliga
मनोरंजक	kul
मनोरंजक	rolig
मनोरंजक	skoj
मनोरंजक	roligt
मनोरंजक	underhåller
मनोरंजक	underhållande
सजाया	inredda
सजाया	dekorerade
सजाया	dekorerad
एडम	adam
अनगिनत	oändlig
अनगिनत	oändligt
अनगिनत	oändliga
अनगिनत	myriad
अनगिनत	oräkneliga
अनगिनत	otaliga
सुन्नी	sunni
आदर्शों	idealen
आदर्शों	ideal
डिवाइस	anordning
डिवाइस	enhet
डिवाइस	enheten
डिवाइस	enheter
डिवाइस	anordningar
लियोन	leon
हीन	minderårig
हीन	mindre
हीन	minor
ऑब्जेक्ट	objektet
ऑब्जेक्ट	objekt
ऑब्जेक्ट	föremål
ऑब्जेक्ट	objekt
ऑब्जेक्ट	föremål
पेंटिंग	tavla
पेंटिंग	målar
पेंटिंग	målning
सूचियाँ	listor
सूचियाँ	förteckningar
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	militanta
आतंकवादियों	terrorister
बकरी	getter
बकरी	get
महीन	finare
स्विफ्ट	swift
कुर्सी	stol
सांचे	mögel
सिंधी	sindhi
क्षितिज	horisont
क्षितिज	horizon
क्षितिज	horisonten
दोहरा	dubbel
दोहरा	dubbelt
दोहरा	dubbla
दोहरा	fördubbla
दोहरा	dubbel
दोहरा	dubbla
रैली	rally
रैली	jamboree
कलन	kalkyler
संविदा	pakt
संविदा	pakten
संविदा	kontraktet
संविदा	kontrakt
शोधकर्ता	forskaren
शोधकर्ता	forskare
नेटस्केप	netscape
रॉबिन	robin
बैंगनी	lila
बैंगनी	violer
बैंगनी	aubergine
बैंगनी	violet
व्यू	dörrvakt
प्रक्षेपास्त्र	raket
प्रक्षेपास्त्र	rocket
प्रक्षेपास्त्र	missil
प्रक्षेपास्त्र	robot
बीजिंग	beijing
बीजिंग	peking
स्वैच्छिक	frivilliga
स्वैच्छिक	frivilligt
स्वैच्छिक	frivillig
फोटोग्राफी	fotografering
फोटोग्राफी	fotografi
प्रौढ़	vuxen
प्रौढ़	vuxna
कैलिफ़ोर्निया	kalifornien
कैलिफ़ोर्निया	california
धड़	överkropp
धड़	bålen
धड़	bål
धड़	bröstkorg
कैलगरी	calgary
पैकेट	packet
प्रतिभूति	värdepapper
साउंडट्रैक	soundtrack
महलों	palats
वार्तालाप	konversation
वार्तालाप	samtal
वार्तालाप	konversationer
वार्तालाप	konversationen
वार्तालाप	konversationer
वार्तालाप	samtal
टीले	sanddyner
बुद्धिमान	intelligenta
बुद्धिमान	intelligent
बुद्धिमान	skarpsinnig
उभरते	framväxande
फोकस	fokus
फोकस	fokusera
फोकस	focus
वन्यजीव	djurliv
वर्चस्व	domineras
वर्चस्व	dominerade
वर्चस्व	dominerat
रुझान	trend
रुझान	tendens
रुझान	trenden
रुझान	trender
रुझान	tendenser
रुझान	populärt
वेशभूषा	dräkt
वेशभूषा	kostym
वेशभूषा	kostymer
वेशभूषा	dräkter
भागीदार	deltagare
भागीदार	deltagarna
भागीदार	deltagare
स्पेंसर	spencer
अस्पतालों	sjukhusen
अस्पतालों	sjukhus
विक्रेताओं	säljare
वान	van
वान	skåpbil
पुस्तिका	broschyr
पुस्तिका	häfte
नाभि	navel
नाभि	naveln
तुर्कमेनिस्तान	turkmenistan
देखिए	see
देखिए	se
आधुनिकता	modernitet
रॉबर्ट्स	roberts
क्लाइंट	klienten
क्लाइंट	kunden
क्लाइंट	klient
क्लाइंट	kund
क्लाइंट	klienterna
क्लाइंट	klienter
क्लाइंट	kunder
गर्भाधान	insemination
डायरी	dagboken
डायरी	dagbok
अपडेट	uppdatera
अपडेट	uppdatering
अपडेट	uppdateringar
अपडेट	uppdaterar
चैम्पियन	champ
चैम्पियन	mästaren
चैम्पियन	förkämpe
चैम्पियन	champion
चैम्पियन	mästare
डेनिस	denise
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	tidningar
मैगज़ीन	tidskrifter
सीमाएं	begränsningar
सीमाएं	inskränkningar
शंघाई	shanghai
आयुर्वेदिक	ayurveda
वाइस	vice
किट	kit
भ्रमित	förvirrat
भ्रमित	förvirrade
भ्रमित	förvirrad
संस्मरण	memoarer
बाप	far
बाप	fader
बाप	fadern
बाप	pappa
राजेंद्र	rajendra
थाली	registreringsskylt
थाली	plåt
थाली	tallrik
नग्न	naket
नग्न	naken
नग्न	nakna
नग्न	naket
नग्न	naken
नग्न	nakna
कार्यभार	uppdrag
कार्यभार	uppdrag
कार्यभार	överlåtelse
एनालॉग	analogt
एनालॉग	analoga
एनालॉग	analog
रुकावट	blockering
रुकावट	hinder
रुकावट	hindrande
प्रतिबिंब	eftertanke
प्रतिबिंब	reflektion
प्रतिबिंब	spegelbild
प्रतिबिंब	spegel
प्रतिबिंब	spegla
ब्लेड	blade
ब्लेड	klinga
ब्लेड	blad
सदिश	vektor
सदिश	vektorer
स्थगित	viloläge
स्थगित	uppskjutet
स्थगित	uppskjuten
स्थगित	inväntar
स्थगित	väntande
गिरोह	gäng
गिरोह	gänget
गिरोह	gang
दायित्वों	förpliktelser
दायित्वों	skyldigheter
पावन	fy
पावन	heliga
पावन	helig
पावन	helige
पावन	heligt
मर्यादा	värdighet
बैले	balett
बैले	baletten
बसंत	våren
बसंत	vårens
शर्ट	skjorta
शर्ट	shirt
शर्ट	tröja
शर्ट	skjortor
शर्ट	tröjor
न्यायाधीशों	domare
न्यायाधीशों	domarna
तेरी	teri
सेंसर	sensorer
सेंसर	sensorerna
सेंसर	givare
सेंसर	sensor
सेंसर	givare
सेंसर	sensorn
स्टैंड	stå
स्टैंड	stand
स्टैंड	står
उपनिवेशों	koloni
उपनिवेशों	kolonin
बहुवचन	plural
एकाधिकार	monopolet
एकाधिकार	monopol
एकाधिकार	monopolställning
विनाशकारी	katastrofalt
विनाशकारी	katastrofal
विनाशकारी	katastrofala
विनाशकारी	förkrossande
विनाशकारी	förödande
मिसौरी	missouri
बहुराष्ट्रीय	multinationell
बहुराष्ट्रीय	multinationella
बहुराष्ट्रीय	multinationellt
मारी	marie
मारी	mari
कार्गो	frakt
कार्गो	last
कार्गो	gods
शुभारंभ	lansering
शुभारंभ	sjösättning
आमेर	amer
दारा	darius
दारा	dara
फ़्रांसीसी	fransk
फ़्रांसीसी	franska
फ़्रांसीसी	franskt
फ़्रांसीसी	fransmän
जादूगर	guiden
जादूगर	trollkarlen
जादूगर	trollkarl
जादूगर	trollkarlar
जादूगर	magiker
जादूगर	trollkarl
जादूगर	magiker
पड़ेगा	gotta
प्रतिमान	mönster
प्रतिमान	mönstret
प्रतिमान	paradigm
सच्चा	sanna
सच्चा	sann
सच्चा	sant
सच्चा	true
वोल्ट	volt
अमोनिया	ammoniak
विश्लेषणात्मक	analytisk
विश्लेषणात्मक	analytiska
विश्लेषणात्मक	analytiskt
प्रतिबद्धता	förpliktelse
प्रतिबद्धता	åtagande
प्रतिबद्धता	engagemang
डू	doo
कॉफ़ी	avskuren
कॉफ़ी	fika
कॉफ़ी	kaffe
उल्टा	omvänd
उल्टा	omvänt
उल्टा	omvända
उल्टा	vända
उल्टा	vändas
एलेन	ellen
किराए	hyr
किराए	hyran
किराए	hyra
न्यायालयों	domstolar
न्यायालयों	domstolarna
न्यायालयों	domstol
एस्टन	aston
मांसपेशी	muskel
मांसपेशी	muskler
मांसपेशी	musklerna
मांसपेशी	muskeln
विषाक्त	giftiga
विषाक्त	toxisk
विषाक्त	giftig
विषाक्त	giftigt
तूफ़ान	oväder
तूफ़ान	stormar
तूफ़ान	tyfonen
तूफ़ान	stormen
तूफ़ान	storm
कड़ा	trångt
कड़ा	tight
कड़ा	snäv
कड़ा	hårt
कड़ा	jobbigt
कड़ा	hård
कड़ा	svårt
कड़ा	hårda
कड़ा	hårt
बारूद	krut
बदली	mulet
पड़ाव	milstolpar
पड़ाव	milstolpe
एंजाइम	enzym
एंजाइम	enzymet
मूसा	mose
मूसा	moses
मूसा	musa
पिंक	rosa
बैरी	barry
बैरी	antagonist
कॉमर्स	handeln
कॉमर्स	handel
विशालकाय	palatsliknande
राजन	rajan
जीप	jeep
चलाना	avrättning
चलाना	verkställande
चलाना	utförande
दादी	farmor
दादी	mormor
दादी	farmor
दादी	mormor
कमिश्नर	kommissionär
कमिश्नर	polismästaren
पहाड़ियाँ	kullarna
पहाड़ियाँ	kullar
पहाड़ियाँ	hills
मैथ्यू	matthew
मैथ्यू	matteus
गंधक	svavel
गंधक	svavel
षड्यंत्र	konspiration
षड्यंत्र	sammansvärjning
प्रशस्त	asfalterade
प्रशस्त	belagd
दूषित	korrupt
दूषित	korrumperad
दूषित	förstörd
पश्च	bakre
पश्च	bak
रीडर	läsaren
रीडर	läsare
मिर्ज़ा	mirza
क्रांतिकारियों	revolutionärer
हीरे	diamanter
प्रशिक्षक	tränare
प्रशिक्षक	utbildare
प्रशिक्षक	instruktör
नास्तिक	ateism
नास्तिक	ateist
जासूसी	spionerar
जासूसी	spioneri
जासूसी	spionera
प्रचारित	befordrad
प्रचारित	marknadsfört
प्रचारित	främjas
प्रचारित	marknadsförs
सांसारिक	världsliga
प्रवर्धक	förstärkare
फसलें	odlingar
फसलें	gröda
फसलें	grödor
डायोड	diod
अमूर्त	sammanfattning
अमूर्त	abstrakt
अमूर्त	abstrakta
सौभाग्य	lyckligtvis
सौभाग्य	förmögenheter
सौभाग्य	fortune
सौभाग्य	förmögenhet
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	simon
सामंत	samanta
हिब्रू	hebreiska
बर्ड	fågel
बर्ड	fågeln
आत्मसमर्पण	kapitulera
आत्मसमर्पण	överlämnande
आत्मसमर्पण	kapitulation
एथलेटिक्स	friidrott
तैराकी	simning
तैराकी	simmar
तैराकी	simma
हक	huck
हक	haq
संस्थागत	institutionell
संस्थागत	institutionella
चिट्ठा	blog
चिट्ठा	bloggen
चिट्ठा	blogg
ठंड	kallt
ठंड	förkylning
ठंड	kall
ठंड	cold
ठंड	kyla
चूहे	möss
चूहे	råttor
लीड	leads
लीड	leder
लीड	leda
लीड	bly
लीड	lead
दरार	rift
दरार	spricka
दरार	knäcka
दरार	crack
दार्शनिकों	filosofer
नेहरु	nehru
संवेदना	beklagar
सॉफ़्टवेयर	software
सॉफ़्टवेयर	mjukvara
सॉफ़्टवेयर	programvara
परवाह	skötsel
परवाह	bryr
परवाह	omsorg
परवाह	vård
परवाह	care
परवाह	bryr
बमबारी	bombardemang
बमबारी	bomba
बमबारी	bomb
कीड़े	maskar
कठपुतली	marionett
अधीनस्थ	underordnat
अधीनस्थ	underordnade
अधीनस्थ	underordnad
ग्रीनहाउस	växthuset
ग्रीनहाउस	växthus
कैम्प	lägret
कैम्प	camp
कैम्प	läger
कैम्प	lägren
कैम्प	läger
किस्में	linor
किस्में	sorterna
किस्में	sorter
किस्में	sort
किस्में	variation
विषाक्तता	förgiftning
खोजी	prospektering
खोजी	utforskning
सम्मेलनों	konferenserna
सम्मेलनों	konferenser
चिंतित	angelägen
चिंतित	orolig
चिंतित	ängslig
चिंतित	bekymrad
चिंतित	berört
चिंतित	berörda
चिंतित	berörd
चिंतित	oroliga
चिंतित	oroad
चिंतित	oroade
चिंतित	orolig
चिंतित	bekymrad
स्टारबक्स	starbucks
छुटकारा	räddar
जॉर्डन	jordan
जॉर्डन	jordanien
एथलीट	idrottsman
एथलीट	idrottare
एथलीट	idrottare
एथलीट	idrottsmän
विधिक	rättsligt
विधिक	rättslig
विधिक	lagligt
विधिक	juridiska
विधिक	rättsliga
असुरक्षित	osäkert
असुरक्षित	osäkra
असुरक्षित	osäker
असुरक्षित	osäkert
असुरक्षित	osäkra
असुरक्षित	osäker
रेखीय	linjär
रेखीय	linjära
रेखीय	linjärt
शहद	älskling
शहद	honung
अम्लीय	surt
अम्लीय	sura
ऑपरेटर	aktör
ऑपरेटर	operatören
ऑपरेटर	operatör
ऑपरेटर	operatörer
ऑपरेटर	aktörer
ऑपरेटर	operatorer
नल	null
प्रेसीडेंसी	ordförandeskapet
प्रेसीडेंसी	ordförandeskap
कुक	cook
कुक	kock
मनी	money
मनी	pengar
मनी	mani
नारा	slogan
चढ़	rost
चढ़	rosta
सेक्टर	sektor
सेक्टर	sektorn
सेक्टर	branscher
सेक्टर	sektorer
महासागरीय	oceanien
क्रियाशील	aktiva
क्रियाशील	aktiv
क्रियाशील	aktivt
क्रियाशील	adjektiv
बैठकों	möten
बैठकों	sammanträden
बैठकों	sammanträden
भट्ठी	ugn
कारें	bilar
क्योकि	eftersom
सभ्य	anständigt
सभ्य	anständig
सभ्य	hyfsad
विकलांगता	handikapp
विकलांगता	funktionshinder
विकलांगता	funktionsnedsättning
दरिया	darja
अनजाने	ovetande
अनजाने	omedvetet
नोट्स	sedlar
नोट्स	anteckningar
नोट्स	noterar
नोट्स	anmärkningar
नोट्स	noter
विलास	vilas
कहें	say
कहें	säg
कहें	säga
एव	ave
सामी	sami
धर्मशास्त्र	teologi
सीखा	lärt
आर्क	båge
आर्क	arc
ट्रम्प	trump
मौद्रिक	monetär
मौद्रिक	monetära
यीशु	jesus
चश्मे	glasögon
चश्मे	glasögon
एक्यूपंक्चर	akupunktur
प्लूटो	pluto
डेनियल	daniel
डेनियल	danne
डेनियल	danilo
थोक	grossist
थोक	grossister
थोक	partihandel
पैरिस	paris
कामयाबी	framgångar
कामयाबी	succé
कामयाबी	framgång
प्रोटोटाइप	prototypen
प्रोटोटाइप	prototyp
प्रोटोटाइप	prototyper
सिलसिले	silas
कुरु	kuru
फर्क	skilja
फर्क	särskilja
फर्क	urskilja
फर्क	skillnad
फर्क	skillnaden
इयान	lan
इयान	ian
दुग्ध	mejeriprodukter
दुग्ध	dairy
भयभीत	skrämd
भयभीत	rädd
भयभीत	rädd
वसूली	återvinning
वसूली	återhämtning
वसूली	indrivning
मौन	dämpade
मौन	dämpad
मौन	inaktivera
मौन	stum
मौन	tystnad
मौन	tystnaden
डिप्लोमा	diplom
घटा	sänkning
घटा	minska
घटा	minskning
पॉइंट	points
पॉइंट	poäng
पॉइंट	punkter
पॉइंट	punkterna
पॉइंट	punkt
पॉइंट	peka
पॉइंट	poäng
पॉइंट	point
त्वरण	acceleration
जमैका	jamaica
स्केल	fjäll
स्केल	skalan
स्केल	skala
मुंशी	munshi
मक्खन	smör
साम्राज्यवाद	imperialism
सूत	garn
सूत	bomull
सूत	cotton
इज़राइल	israel
वैधता	giltighet
अनन्य	exklusivt
अनन्य	ensamrätt
अनन्य	exklusiva
अनन्य	exklusiv
सीना	cena
मिथक	myter
मिथक	myt
श्रृंगार	makeup
श्रृंगार	smink
प्रावधानों	bestämmelser
प्रावधानों	avsättningar
नतीजा	nedfall
अर्ल	earl
वेदान्त	vedanta
निर्देशिका	katalogen
निर्देशिका	katalog
निर्देशिका	förteckning
निर्देशिका	index
निर्देशिका	kataloger
आंग्ल	anglo
समता	paritet
समता	jämlikhet
समता	jämställdhet
एवेन्यू	avenyn
एवेन्यू	avenue
बेरोजगारी	arbetslösheten
बेरोजगारी	arbetslöshet
लत	missbruk
लत	beroende
जुर्माना	fine
जुर्माना	böter
क़ुरान	koranen
पूर्णता	färdigställande
पूर्णता	komplettering
पूर्णता	perfektion
ओमान	oman
मार्केटिंग	marknadsföring
मार्केटिंग	marknadsföringen
पीड़ितों	offren
पीड़ितों	offers
पीड़ितों	brottsoffer
पीड़ितों	offer
शक्तियां	krafter
शक्तियां	powers
शक्तियां	befogenheter
शक्तियां	maktbefogenheter
शक्तियां	krafter
शक्तियां	styrkor
बादलों	molnen
बादलों	moln
चतुर्भुज	fyrhörning
चतुर्भुज	rektangel
चीता	cheetah
चीता	leopard
मूक	dämpade
मूक	dämpad
मूक	tysta
मूक	tyst
मूक	tiga
मूक	inaktivera
मूक	stum
लीन	lyn
प्रतिभाशाली	genialitet
प्रतिभाशाली	snille
प्रतिभाशाली	geni
प्रतिभाशाली	begåvade
प्रतिभाशाली	begåvad
प्रतिभाशाली	talangfull
प्रतिभाशाली	duktiga
पनीर	ost
स्मार्ट	smarta
स्मार्ट	smart
नियोक्ता	arbetsgivarna
नियोक्ता	arbetsgivare
नियोक्ता	arbetsgivares
नियोक्ता	arbetsgivaren
नियोक्ता	arbetsgivarens
नियोक्ता	arbetsgivare
नियोक्ता	arbetsgivares
पश्तो	pashto
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	självlysande
चमकदार	blank
चमकदार	blanka
चमकदार	glänsande
चमकदार	skinande
चमकदार	bländande
नाड़ी	pulsen
नाड़ी	puls
स्पीकर	högtalare
स्पीकर	talare
गैसें	gaser
सहभागिता	interaktioner
सहभागिता	förlovning
सहभागिता	interaktion
सहभागिता	engagemang
सहभागिता	samspel
सहभागिता	interaktion
सहभागिता	växelverkan
सहभागिता	samverkan
यों	plankan
यों	planka
गतिविधियाँ	verksamheter
गतिविधियाँ	verksamhet
गतिविधियाँ	aktiviteter
इसराइल	israel
वाट	watt
वाट	wat
कच्छ	kutch
कोच्चि	kochi
कृषक	jordbrukare
कृषक	bönder
कृषक	lantbrukare
ब्राउजर	webbläsaren
ब्राउजर	webbläsare
गुदा	anus
गुदा	anal
टीकाकरण	vaccination
टीकाकरण	vaccinering
मूर्तिकला	skulptur
मूर्तिकला	staty
मूर्तिकला	skulpturer
शाश्वत	evigheten
शाश्वत	evighet
किरणें	strålar
वैश्वीकरण	globalisering
वैश्वीकरण	globaliseringen
पूना	poona
बैग	bag
बैग	väska
बैग	påse
बैग	påsar
बैग	väskor
बैग	säckar
नर्तक	dansare
नर्तक	dansarna
नर्तक	dansare
नर्तक	dansös
ग्लूकोज	glukos
ग्लूकोज	druvsocker
नीतियाँ	politik
नीतियाँ	policyer
प्रतिभागियों	deltagare
प्रतिभागियों	deltagarna
दत्ता	datta
दत्ता	dutta
पढ़ना	läser
पढ़ना	avläsning
पढ़ना	läsa
पढ़ना	läsning
आपरेशन	insats
आपरेशन	operation
आपरेशन	drift
ब्रॉडबैंड	bredband
मैनुअल	manuell
मैनुअल	manual
मैनुअल	handbok
मैनुअल	manuellt
दर्जन	dussin
सुखद	behaglig
सुखद	behagligt
सस्ती	snål
सस्ती	snåla
सस्ती	billigt
सस्ती	billig
सस्ती	billiga
बेखम	beckham
स्याही	bläck
स्याही	ink
रॉस	ross
हल्दी	gurkmeja
हवाओं	vindar
हवाओं	vindarna
परम्पराओं	traditioner
पूछे	frågar
पूछे	frågat
पूछे	tillfrågad
पूछे	frågade
सेब	äpple
सेब	apple
रो	rho
रो	gråta
रो	gråtande
रो	gråt
रो	gråter
पुस्तकालयों	biblioteken
पुस्तकालयों	bibliotek
पुस्तकालयों	bibliotek
पुस्तकालयों	biblioteket
चौकी	checkpoint
चौकी	utposten
चौकी	utpost
बहनों	systrar
अश्लील	porr
