ve	та
kısa	short
kısa	короткий
kısa	коротка
kısa	скорочено
kısa	коротке
kısa	короткі
kısa	коротко
güney	південна
güney	південний
güney	південна
güney	південь
güney	південний
almanya	німеччини
almanya	німеччині
almanya	німеччина
almanya	німеччину
kişi	особа
kişi	особи
değil	не
değil	not
kuzey	північна
kuzey	норт
kuzey	північний
kuzey	північ
kuzey	північна
kuzey	північний
kuzey	північне
çeşitli	parus
çeşitli	різноманітність
çeşitli	сорти
çeşitli	різноманітності
çeşitli	різні
çeşitli	різне
çeşitli	різноманітні
çeşitli	різні
açıklama	напис
açıklama	підпис
açıklama	пояснення
açıklama	опис
team	команда
ortaya	розкривати
bilgileri	info
bilgileri	інформації
bilgileri	інформація
fransa	франції
fransa	франція
fransa	францію
ingilizce	англійською
ingilizce	англійська
olmak	проводиться
olmak	будучи
olmak	буття
olmak	стає
olmak	становлення
olmak	ставши
amerika	америка
amerika	сша
amerika	usa
el	кисть
el	хенд
el	правиця
el	рука
el	руку
başka	іще
başka	інше
burada	тут
yok	жодного
yok	відсутнє
yok	немає
yok	жодних
yok	відсутній
yok	ні
yok	неа
gol	озеро
gol	озера
gol	мета
gol	цілі
gol	голи
sağlayan	вмикання
sağlayan	увімкнення
sağlayan	надання
ana	головний
ana	основне
ana	головна
ana	головні
ana	головне
ana	анно
ana	ана
ana	ена
ana	матір
ana	мати
ana	матері
suyu	сік
özellikle	особливо
özellikle	особливо
özellikle	спеціально
özellikle	конкретно
özellikle	спеціально
ilköğretim	елементарні
ilköğretim	початковій
birleşik	уніфіковані
birleşik	універсальний
birleşik	united
birleşik	юнайтед
ödülü	винагороду
ödülü	нагорода
ödülü	премія
ödülü	нагорода
altyapı	інфраструктура
altyapı	інфраструктур
yerine	натомість
yerine	замість
yerine	замініть
yerine	заміна
yerine	замінити
gün	день
gün	дню
gün	дня
geçen	проходила
geçen	складе
geçen	пройшло
doğu	схід
doğu	східних
doğu	східна
doğu	східної
doğu	східні
süre	тайм
süre	час
süre	тривалість
sabit	стабільний
sabit	рівно
sabit	фіксована
sabit	виправлено
sabit	фіксований
sabit	постійна
sabit	стала
sabit	постійний
sabit	стабільна
sabit	стійкий
eğitim	тренування
eğitim	тренінг
eğitim	тренінги
eğitim	освіта
eğitim	освіти
eğitim	education
eğitim	освітня
eğitim	навчальна
eğitim	освітні
eğitim	навчальних
eğitim	підручник
eğitim	навчальної
eğitim	навчання
su	вода
su	водні
su	водяний
su	водяне
sırasında	підчас
uluslararası	міжнародний
uluslararası	міжнародна
uluslararası	міжнародні
uluslararası	інтернаціонал
uluslararası	міжнародне
olur	трапляється
olur	стається
yaklaşık	приблизно
yaklaşık	приблизно
yaklaşık	інфо
yaklaşık	про
yaklaşık	щодо
yaklaşık	приблизні
yaklaşık	приблизно
alman	німецька
alman	німець
alman	герман
alman	німецькою
alman	німецький
alman	німці
az	маленька
az	маленький
az	маленькі
az	менше
millî	національна
millî	націонал
millî	національне
millî	національний
millî	національні
kaynak	джерело
kaynak	джерела
kaynak	виконавця
kaynak	ресурсу
kaynak	ресурс
kaynak	виконавець
kaynak	ресурси
kaynak	виконавців
kaynak	виконавці
kaynak	ресурси
kaynak	зварювання
evi	еві
ali	алі
kullanılan	використовується
kullanılan	використана
kullanılan	використані
kullanılan	використано
paşa	паша
ligi	ліга
görev	задачу
görev	завдання
görev	задачі
görev	призначення
görev	присвоєння
görev	місія
halk	народи
halk	публічний
halk	громадське
halk	паблік
halk	відкритий
halk	публічна
halk	громадського
halk	народ
halk	людей
halk	люди
tv	телебачення
onun	його
onun	her
onun	нею
onun	її
onun	їй
yine	знов
yine	знову
ekonomisi	господарство
ekonomisi	економіка
ekonomisi	економія
yılı	рік
telefon	телефон
telefon	телефон
telefon	телефоном
yeniden	знов
yeniden	знову
yeniden	відбудувати
yeniden	заново
içme	пили
içme	пити
içme	пиття
içme	алкогольні
etki	вплив
etki	перебіг
etki	впливати
etki	вплив
etki	ефект
ben	бене
ben	бен
ben	ben
sezon	season
sezon	сезон
sezon	сезону
john	джон
john	іоанн
john	іван
albüm	альбому
albüm	альбом
albüm	альбомів
albüm	альбоми
ingiliz	британець
ingiliz	brit
ingiliz	англієць
ingiliz	британці
ingiliz	британська
ingiliz	британські
ingiliz	british
ingiliz	англієць
ingiliz	англійською
ingiliz	англійська
puan	точка
puan	точку
puan	point
puan	рейтинг
puan	оцінкою
puan	оцінка
puan	рахунок
puan	результат
puan	оцінка
puan	точки
puan	очки
puan	пункти
puan	очок
puan	балів
nedeniyle	через
nüfus	населення
batı	захід
batı	вест
batı	західний
batı	західні
batı	західна
altında	під
altında	під
altında	under
altında	під
tür	жанр
tür	типу
tür	тип
tür	виді
tür	вид
tür	види
amerikan	американський
amerikan	американець
amerikan	американські
amerikan	американська
amerikan	американської
savaş	battle
savaş	битва
savaş	бій
savaş	війна
savaş	combat
savaş	бійця
savaş	комбат
savaş	бойове
savaş	бій
savaş	бійка
savaş	fight
tekrar	знов
tekrar	знову
tekrar	повторювати
tekrar	повторити
tekrar	повторюю
tekrar	повторення
tekrar	відтворити
tekrar	повтор
tekrar	повторити
anadolu	анатолія
anadolu	азія
söz	обіцяю
söz	обіцянку
söz	обіцяють
söz	словом
söz	слово
rağmen	незважаючи
grubu	група
grubu	групова
grubu	груповий
grubu	групу
grubu	спільнота
bgcolor	bgcolor
elde	придбані
elde	отримання
elde	досягнуто
elde	досяг
elde	досягти
https	https
ait	належить
ait	належності
ait	належить
ait	належать
ait	володів
kadın	жінка
kadın	жіноча
kadın	жіночий
kadın	самка
kadın	жінка
kadın	жінок
kadın	жінки
türkçe	англійською
türkçe	англійська
türkçe	турецька
türkçe	турецький
türkçe	турецькою
türkçe	турецькі
wikipedia	вікіпедія
kullanıcı	користувача
kullanıcı	користувач
kullanıcı	користувачі
kullanıcı	користувачів
tam	повна
tam	повний
tam	повне
tam	завершене
tam	завершити
tam	повний
tam	завершення
tam	завершений
tam	tam
birliği	union
birliği	союз
birliği	юніон
kanalizasyon	каналізацію
kanalizasyon	каналізації
kanalizasyon	каналізація
maç	mac
maç	мак
maç	гра
maç	гри
maç	гру
maç	збіг
maç	відповідність
maç	матч
maç	двобій
maç	сірники
white	білий
white	біла
white	біле
white	білі
white	вайт
http	http
roma	рим
roma	roma
roma	роми
roma	рома
at	кінь
at	викидати
at	молота
at	кинути
bölüm	розділ
bölüm	глава
bölüm	главу
bölüm	ділення
bölüm	дивізіон
bölüm	поділ
bölüm	епізод
bölüm	розділ
bölüm	секція
bölüm	секції
bölüm	частина
bölüm	департамент
bölüm	відділ
yazar	writer
yazar	письменник
yazar	автор
yazar	автора
yazar	автором
sıra	рядками
sıra	рядків
sıra	черевички
sıra	рядки
sıra	рядок
ulusal	національна
ulusal	націонал
ulusal	національне
ulusal	національний
ulusal	національні
köyü	село
teknik	технічні
teknik	технічна
teknik	технічний
teknik	техніка
teknik	методика
teknik	tech
teknik	тех
nüfusu	населення
deniz	морська
deniz	море
uygun	вмістити
uygun	підбір
uygun	підійде
uygun	влаштувати
uygun	підходить
uygun	зручний
uygun	зручно
uygun	зручна
uygun	відповідний
uygun	відповідні
uygun	відповідну
uygun	підходить
bütün	цілу
bütün	цілий
bütün	ціла
yakın	ближче
yakın	поблизу
yakın	поруч
yakın	поряд
yakın	близько
yakın	біля
yakın	закрити
yakın	близький
yakın	близько
yakın	близькі
yakın	закриття
yakın	поблизу
yakın	поруч
listesi	перелік
listesi	list
listesi	список
eder	едер
dört	четвірка
dört	чотирьох
dört	чотири
iç	зітхання
iç	напої
iç	пити
iç	напій
club	club
club	клуб
ingiltere	англія
from	від
alt	нижній
alt	опустити
alt	нижня
alt	нижча
alt	sub
alt	внизу
alt	знизу
alt	били
alt	біт
alt	побили
alt	ал
alt	alt
asfalt	асфальт
fransız	француза
fransız	француз
fransız	френч
fransız	французька
fransız	французькою
fransız	французький
mehmet	мехмет
mehmet	мехмед
belediye	муніципалітет
belediye	край
belediye	муніципальна
belediye	муніципальний
stadyumu	стадіон
stadyumu	стедіум
sonucu	наслідок
rusya	білорусі
rusya	білорусь
rusya	росії
rusya	росію
rusya	росія
genellikle	здебільшого
genellikle	переважно
genellikle	зазвичай
genellikle	зазвичай
space	простору
space	пробіл
space	простір
com	com
bar	bar
bar	бар
bar	смужка
bar	паб
bar	pub
sonunda	нарешті
parti	вечірка
parti	партії
parti	вечірки
parti	партія
parti	party
erkek	чоловіки
erkek	чоловічий
erkek	самець
erkek	чоловічі
erkek	чоловіча
erkek	людина
erkek	чоловік
erkek	мужчина
erkek	man
beyaz	білий
beyaz	біла
beyaz	біле
beyaz	білі
beyaz	вайт
beyaz	кавказька
bölge	ділянку
bölge	регіон
bölge	територія
bölge	улус
bölge	округ
bölge	нохія
bölge	район
bölge	зона
bölge	область
bölge	ділянка
bölge	площа
bölge	місцевість
italya	італії
italya	італія
italya	італію
onu	нього
onu	постане
onu	йому
onu	ним
onu	його
onu	her
onu	нею
onu	її
onu	їй
hava	погода
hava	air
hava	повітряна
hava	повітря
verilen	вказаний
verilen	дано
verilen	надано
verilen	даного
çünkü	адже
çünkü	бо
çünkü	спричинити
çünkü	причина
çünkü	причиною
birkaç	кілька
birkaç	небагато
birkaç	декілька
il	провінція
dönem	термін
dönem	строк
dönem	період
dönem	семестр
açık	чисто
açık	очистити
açık	відкрити
açık	відкрита
açık	відкрито
açık	відкриті
açık	відкритий
futbolcu	футболіст
insan	особа
insan	особи
insan	людина
insan	чоловік
insan	мужчина
insan	man
insan	людина
insan	людський
merkez	штаб
merkez	central
merkez	центральний
merkez	центральна
merkez	центр
merkez	центр
düşük	викидень
düşük	низький
düşük	низька
düşük	low
olmayan	non
olmayan	нон
altın	золотий
altın	голден
altın	золоті
altın	золоте
altın	золота
altın	gold
altın	золоті
altın	золото
bilinen	відома
bilinen	відоме
bilinen	відомі
neden	чому
neden	нащо
neden	навіщо
bin	скринька
bin	тисяча
genç	teen
genç	підлітків
genç	молодша
genç	молодший
genç	молодшою
genç	молодше
genç	янг
genç	молода
genç	молоді
genç	молодою
genç	молодий
genç	молодим
genç	молодість
genç	юнацтва
genç	юність
genç	молодь
genç	підлітка
dışında	окрім
dışında	крім
kır	break
kır	перерва
kır	розбити
kır	розрив
kır	перерви
nowrap	nowrap
stadyum	стадіон
stadyum	стедіум
ülke	країни
ülke	країна
ülke	кантрі
dil	мови
dil	мов
dil	язик
dil	язика
dil	мова
dil	мови
dil	мову
pozisyon	розташування
pozisyon	позиція
pozisyon	положення
pozisyon	позиції
pozisyon	позиції
pozisyon	позицій
mustafa	мустафа
dahil	включено
dahil	включені
dahil	вкл
dahil	включення
dahil	включити
dahil	включати
dahil	включаючи
dahil	включно
dahil	зокрема
dahil	включення
dahil	входить
dahil	включає
an	момент
an	мить
iş	завдання
iş	робота
iş	роботи
iş	робота
iş	працюю
iş	працюють
iş	роботу
iş	робочий
iş	завдання
iş	задачі
iş	джобс
iş	бізнес
iş	справа
iş	ділова
iş	business
iş	діловий
bölümü	розділ
bölümü	секція
bölümü	секції
bölümü	департамент
bölümü	відділ
ili	губернія
gelir	прибутки
gelir	надходжень
gelir	прибуток
gelir	дохід
gelir	вклади
gelir	прибуток
gelir	дохід
gelir	прибутки
kullanım	користування
kullanım	використання
kullanım	використати
kullanım	використовувати
kullanım	користування
kullanım	використання
sanat	мистецтво
sanat	арт
sanat	мистецтво
sanat	художня
arasındaki	поміж
arasındaki	між
üçüncü	третє
üçüncü	третій
üçüncü	третя
bunu	цей
bunu	ця
bunu	той
sonraki	наступний
sonraki	наступна
sonraki	next
sonraki	наступне
sonraki	далі
ele	підкорити
ele	підкорення
güzel	прекрасні
güzel	красивий
güzel	красива
güzel	красиві
güzel	хороші
güzel	гарні
güzel	добрий
güzel	добре
güzel	гарно
web	web
web	веб
alır	фотографує
alır	приймає
alır	набуває
çocuk	хлопчик
çocuk	закохалася
çocuk	малиш
çocuk	діти
çocuk	дітьми
çocuk	дітей
çocuk	дитя
çocuk	дитяче
çocuk	дитяча
çocuk	дитина
çocuk	нащадок
sinema	фільм
sinema	кіно
sinema	знімали
sinema	фільми
sinema	кіно
sinema	кінематограф
sinema	cinema
sinema	кіно
askeri	військові
askeri	військовий
örneğin	приклад
örneğin	прикладу
üst	вгорі
üst	верхня
üst	верхні
üst	верхній
üst	згори
üst	вгорі
üst	топ
üst	верхній
üst	найпопулярніші
üst	зверху
paris	paris
paris	париж
kara	кара
kara	чорні
kara	чорне
kara	чорна
kara	чорний
kara	земля
oyun	ігри
oyun	гра
oyun	гри
oyun	гру
oyun	ігор
oyun	games
oyun	ігри
oyun	відтворити
oyun	грати
oyun	програти
beraber	разом
sırada	наступний
sırada	наступна
sırada	next
sırada	наступне
sırada	далі
york	йорк
şablon	шаблони
şablon	взірець
şablon	взірцем
şablon	візерунок
şablon	шаблон
şablon	шаблон
şablon	template
aday	кандидат
milyon	мільйон
milyon	мільйонами
milyon	мільйони
top	гармата
top	гармати
top	згори
top	вгорі
top	топ
top	верхній
top	найпопулярніші
top	зверху
top	кулька
top	бал
hakem	арбітр
hakem	рефері
hakem	суддя
ay	місяця
ay	місяць
ay	місяці
ay	місяцями
ay	місяців
ay	місяця
ay	місяць
ay	мун
ay	місячні
ay	супутник
imparatorluğu	імперія
internet	web
internet	веб
internet	інтернет
herhangi	якісь
tiyatro	драматичний
tiyatro	драма
tiyatro	драми
tiyatro	театрі
tiyatro	театр
tiyatro	театр
oldukça	зовсім
oldukça	досить
bey	бей
kazandı	перемог
kazandı	посіла
kazandı	виграє
kazandı	переміг
kazandı	виграв
kazandı	вон
kazandı	виграли
kültür	культура
kültür	культурний
kültür	культурні
kültür	культур
karar	вердикт
karar	рішенням
karar	рішення
karar	вирішили
karar	вирішив
karar	вирішила
karar	рішення
karar	рішень
tarih	дату
tarih	дата
tarih	датою
tarih	журнал
tarih	історія
tarih	історії
ilçe	графство
ilçe	повіт
ilçe	жупанія
ilçe	улус
ilçe	округ
ilçe	нохія
ilçe	район
temel	foundation
temel	фундамент
temel	бази
temel	фонд
temel	основи
temel	базові
temel	базове
temel	основні
temel	базовий
temel	основний
konu	темою
konu	тему
konu	тема
konu	теми
konu	темою
konu	тема
konu	предмет
bağlantı	контакт
bağlantı	контактна
bağlantı	посиланням
bağlantı	посилання
bağlantı	link
bağlantı	лінк
çin	china
çin	китаї
çin	китаю
çin	китай
ünlü	відома
ünlü	знамениті
ünlü	відомий
ünlü	знаменитий
ünlü	celebrity
ünlü	знаменитості
spor	спорт
spor	спорт
spor	спортивні
spor	спорту
kalan	залишилося
kalan	залишилось
kalan	лишилось
meslek	професія
meslek	професійно
meslek	посада
meslek	окупаційні
meslek	окупація
meslek	окупації
sultan	султан
sultan	султан
günümüzde	сучасних
iran	іран
iran	ірану
iran	перська
telif	авторство
ahmet	ахмет
ahmet	ахмед
ahmet	ахмад
çıktı	вивести
çıktı	вивід
çıktı	виведення
çıktı	висловлювання
çıktı	виводу
ispanya	іспанію
ispanya	іспанія
ispanya	іспанії
php	php
bile	навіть
bile	даже
sosyal	соціальне
sosyal	соціальні
sosyal	соціальна
sosyal	соціальний
cm	дюймів
cm	дюйми
japonya	японія
japonya	японію
japonya	японії
ün	славу
ün	слави
geldi	прибуло
geldi	прибули
geldi	приїхав
geldi	приїхали
liste	перелік
liste	list
liste	список
liste	списки
isbn	isbn
caps	кінчики
caps	кубків
oy	голосування
oy	голосуйте
oy	проголосувати
oy	голосувати
oy	голоси
oy	голосів
oy	голосує
oy	голосування
geniş	широкий
geniş	широка
geniş	широкі
geniş	широке
geniş	великі
geniş	великих
clubnat	clubnat
ev	дім
ev	домівка
ev	домашній
ev	додому
ev	хати
ev	будинок
transfer	трансфер
transfer	перенесення
transfer	перенесення
transfer	передавання
transfer	передачі
transfer	передач
transfer	перенесення
önceki	попереднє
önceki	попередні
önceki	попередній
önceki	попередня
önceki	попереднє
önceki	попередній
önceki	попередня
önceki	перед
önceki	before
mısır	єгипту
mısır	єгипет
mısır	єгипті
mısır	кукурудза
mısır	кукурудзи
mısır	єгипетський
mısır	єгипетська
rus	російська
rus	російською
rus	російську
yarı	крапкою
yarı	напів
yarı	пів
yarı	півтори
yarı	половина
yarı	половину
yarı	наполовину
afrika	африка
afrika	африканська
afrika	африканський
afrika	африканські
afrika	африканських
hareket	русі
hareket	рух
hareket	пересунути
hareket	хід
hareket	перемістити
hareket	пересування
hareket	рух
adil	ярмарок
adil	справедливо
adil	справедлива
adil	справедливий
bölgesi	ділянку
bölgesi	регіон
bölgesi	територія
kontrol	контроль
kontrol	контрольна
kontrol	керування
kontrol	перевірка
kontrol	керування
kontrol	перевірити
kontrol	перевірте
sahibi	власник
bilim	наука
bilim	науки
üreten	виробництвом
william	вільям
sistemi	система
sistemi	системи
sistemi	системний
sistemi	системне
sistemi	системна
başarılı	успішно
başarılı	успішне
başarılı	вдало
başarılı	успішний
başarılı	вдалась
başarılı	успішно
başarılı	успіх
çoğu	найцікавіше
çoğu	більшість
ordu	військові
ordu	військовий
ordu	орду
ordu	армії
ordu	армія
ordu	військо
ordu	армійський
verdi	дали
verdi	віддала
verdi	дав
verdi	віддали
verdi	дала
verdi	верді
yaşayan	живі
profesyonel	фахівець
profesyonel	професійний
profesyonel	професіонал
profesyonel	professional
profesyonel	професійні
profesyonel	pro
profesyonel	профі
profesyonel	правозахисники
profesyonel	спеціалістів
profesyonel	професіонали
süper	розкішна
süper	супер
süper	круті
süper	круто
süper	класні
hiç	жодного
hiç	відсутнє
hiç	немає
hiç	жодних
hiç	відсутній
hiç	никогда
hiç	ніколи
hiç	never
hiç	ever
ngc	ngc
ifade	express
ifade	експрес
ifade	заява
ifade	виписка
ifade	твердження
ifade	свідчення
ifade	показання
ifade	вираз
şey	фішка
şey	річ
şey	затори
rol	ролі
rol	роль
rol	ролі
islam	ісламський
islam	іслам
rapor	повідомити
rapor	скарга
rapor	звіт
kullanılır	використовується
kullanılır	використана
kullanılır	використані
kullanılır	використано
yerel	локальне
yerel	локальні
yerel	місцеві
yerel	локальна
yerel	локальний
yerel	місцевий
yönetim	управління
yönetim	менеджмент
yönetim	керівництво
yönetim	керування
yönetim	адміністрація
yönetim	адміністрації
yönetim	адміністрування
yönetim	управління
video	відео
video	відеозапис
video	відео
kurulan	встановлено
kurulan	подальшому
kurulan	заснований
kurulan	заснував
kurulan	засновано
altı	шістки
altı	шість
