cuarteto	kvarteta
teléfonos	tālruņi
teléfonos	telefoni
estruturas	konstrukcijas
estruturas	struktūras
fusión	kodolsintēzes
suma	sum
suma	summa
mentais	garīgi
mentais	garīgā
mentais	garīgās
tanque	tvertne
eventos	notikumi
eventos	notikumiem
eventos	pasākumi
america	amerika
america	amerikā
america	ameriku
bancos	bankas
bancos	bankās
pensaron	domāja
pensaron	doma
pensaron	domāju
pensaron	likās
pensaron	viņi
pensaron	tie
pensaron	tās
instrucións	instrukcija
instrucións	instrukcijas
instrucións	norādījumi
chamábase	viņa
chamábase	vārds
chamábase	nosaukums
chamábase	bija
chamábase	tika
chamábase	saucās
chamábase	saukts
pluma	pen
pluma	spalvu
pluma	spalva
murray	murray
espido	kaila
espido	kails
espido	neapbruņotu
técnicos	speciālisti
técnicos	tehniķi
técnicos	tehniskais
técnicos	tehniskā
verbas	vārdi
deixalos	viņiem
deixalos	atstāt
deixalos	atvaļinājumu
deixalos	atvaļinājums
deixalos	atvaļinājuma
vanme	viņi
vanme	tie
vanme	tās
conclusión	ka
conclusión	tas
conclusión	noslēgšana
conclusión	secinājums
orgullosos	lepni
orgullosos	lepna
converterse	kļūt
converterse	kļuvis
chegarán	būs
chegarán	viņi
chegarán	tie
chegarán	tās
escoitou	sadzirdēt
escoitou	dzirdēts
escoitou	dzirdēju
músculos	muskuļi
demostración	demonstrācija
demostración	demonstrēšana
demostración	demonstrējumu
computador	datoram
computador	datoru
computador	dators
xogadores	spēlētāji
xogadores	atskaņotāji
gañando	uzvara
gañando	uzvaras
gañando	uzvaru
quedaron	viņi
quedaron	tie
quedaron	tās
preguntando	jautā
supostamente	domājams
facelos	viņiem
facelos	padarīt
facelos	padarītu
facelos	make
facelos	marka
violación	izvarošana
violación	rapšu
violación	izvarošanu
escribiume	rakstīja
escribiume	uzrakstīju
escribiume	uzrakstīja
gustoume	patīk
gustoume	like
gustoume	iepatikās
gustoume	patika
xefa	vadītājs
xefa	galvu
xefa	galvas
xefa	galva
manchas	plankumi
vestida	ģērbies
neveira	ledusskapja
potente	spēcīgi
potente	spēcīgs
hanoi	hanojas
islam	islāma
profeta	pravietis
chámanlle	saukt
cas	ar
devanceiros	senči
perigosa	bīstamas
perigosa	bīstams
perigosa	bīstama
perigosa	bīstamā
perigosa	bīstami
categoría	kategoriju
categoría	kategorija
categoría	kategorijā
estatal	valsts
estatal	štats
amargo	rūgta
amargo	rūgts
equivocado	nepareizi
equivocado	nepareiza
equivocado	nepareizs
representante	pārstāvis
levárono	ieņēma
levárono	paņēma
levárono	ņēma
levárono	viņam
levárono	viņu
levárono	viņi
levárono	tie
levárono	tās
xogamos	spēlējis
xogamos	spēlēja
xogamos	atskaņot
xogamos	play
xogamos	spēlē
xogamos	spēlēt
feitas	izgatavots
feitas	made
renunciar	dodam
renunciar	sniedzot
logro	sasniegšanas
logro	sasniegšanu
logro	sasniegums
logro	sasniegumu
logro	sasniegšana
estranxeira	ārvalstu
estranxeira	ārzemju
estranxeira	ārzemnieks
favorita	mīļākie
favorita	mīļākās
favorita	mīļākais
favorita	mīļākā
subtítulos	subtitriem
ciclo	cikls
dirán	viņi
dirán	tie
dirán	tās
dirán	pateikt
dirán	saki
dirán	teikt
viaxa	ceļo
viaxa	braucieni
viaxa	ceļošana
viaxa	ceļot
viaxa	ceļojumi
néboa	migla
néboa	miglā
néboa	miglas
ducia	desmiti
localización	vieta
localización	novietojums
levado	ņemta
levado	ņemts
levado	veikti
cidadás	pilsoņus
cidadás	pilsoņi
cidadás	iedzīvotāji
satisfacer	apmierināt
pioneiros	pionieru
esperan	cerību
esperan	cerības
esperan	ceru
esperan	cerība
esperan	gaidu
esperan	gaidot
esperan	gaida
esperan	gaidām
taza	kauss
lémbrome	atceries
lémbrome	atceros
lémbrome	atcerieties
lémbrome	atcerēties
brincar	joko
brincar	joko
lote	partija
metais	metāli
lixeiro	gaismu
lixeiro	gaišs
lixeiro	gaismas
lixeiro	gaisma
lixeiro	gaiši
acumulación	uzkrāšanas
acumulación	uzkrāšanās
acumulación	uzkrāšana
manchester	manchester
raíces	saknes
evidentemente	acīmredzami
evidentemente	acīmredzot
tina	tīna
prometín	solīts
prometín	apsolīja
prometín	solīja
condena	laiks
condena	laika
defunto	vēlu
defunto	novēloti
defunto	mirusi
defunto	miris
defunto	beigts
defunto	miruši
fuga	ekstremitāšu
fantasma	pārvadājumi
fantasma	pārvadāšana
fantasma	pārvadājumiem
fantasma	spoks
fantasma	spoku
fantasma	rēgs
regrese	muguru
regrese	atpakaļ
regrese	mugura
escapou	prom
escapou	no
escapou	izbēga
tumbas	kapos
tumbas	kapi
amada	patika
cooperativas	kooperatīvā
cooperativas	kooperatīvs
cooperativas	kooperatīvi
cooperativas	kooperatīviem
jenny	dženija
colgar	pakārt
óesme	tu
óesme	tevi
óesme	jums
óesme	tev
óesme	jūs
óesme	dzird
óesme	dzirdu
óesme	dzirdēt
internado	slimnīcā
internado	slimnīca
pensado	domāja
pensado	doma
pensado	domāju
pensado	likās
sabas	loksnes
refires	vidējais
gustaríalle	patīk
gustaríalle	like
gustaríalle	būtu
parado	stāvēt
mátote	nogalināt
mátote	nokaut
mátote	novākt
mátote	nogalina
mátote	tu
mátote	tevi
mátote	jums
mátote	tev
mátote	jūs
esperas	tu
esperas	tevi
esperas	jums
esperas	tev
esperas	jūs
esperas	gaidu
esperas	gaidot
esperas	gaida
esperas	gaidām
caín	krita
caín	nokrita
caín	iekrita
escravo	vergs
escravo	vergu
socorro	palīgā
socorro	palīdzība
socorro	palīdzēt
socorro	help
mandou	nosūtīta
mandou	nosūtīja
mandou	nosūtīti
mandou	nosūtīts
joseph	džozefs
joseph	joseph
seda	zīda
seda	zīds
secreta	secret
secreta	slepeni
secreta	slepens
secreta	noslēpums
xusta	tikai
vido	nāc
vido	atnācu
vido	atnāca
ombreiro	pleca
ombreiro	plecs
dispararon	šāviens
dispararon	sitiens
dispararon	sašāva
dispararon	viņi
dispararon	tie
dispararon	tās
potencia	power
potencia	jaudas
potencia	jauda
potencia	vara
terlle	viņam
terlle	viņu
prometo	solīt
prometo	apsolu
prometo	solījums
planos	plānus
planos	plāni
polis	policisti
seguirá	būs
seguirá	vēl
seguirá	vēljoprojām
seguirá	joprojām
vervos	redz
vervos	skatīt
vervos	tu
vervos	tevi
vervos	jums
vervos	tev
vervos	jūs
sóltame	iegūsti
sóltame	dabūt
ataques	uzbrukumiem
ataques	uzbrukumi
ataques	uzbrukumos
cometer	apņemas
estabades	tu
estabades	tevi
estabades	jums
estabades	tev
estabades	jūs
interesada	ieinteresēts
interesada	interesē
interesada	interesenti
interesada	ieinteresēti
interesada	ieinteresēta
escoitaches	tu
escoitaches	tevi
escoitaches	jums
escoitaches	tev
escoitaches	jūs
escoitaches	dzird
escoitaches	dzirdu
escoitaches	dzirdēt
escoitaches	sadzirdēt
escoitaches	dzirdēts
escoitaches	dzirdēju
fálame	par
vendas	pārdošanas
vendas	pārdošana
vendas	noiets
vendas	pārdošana
parezo	ieskaties
parezo	izskaties
parezo	skaties
parezo	skatiens
vinnie	vinnijs
permíteme	var
permíteme	drīkst
permíteme	maijs
pague	maksāt
pague	atalgojums
pague	maksā
pague	samaksa
pague	samaksāt
colar	kaklarota
levarte	tu
levarte	tevi
levarte	jums
levarte	tev
levarte	jūs
levarte	ņemt
levarte	ņem
sacaches	iegūsti
sacaches	dabūt
sacaches	did
sacaches	tu
sacaches	tevi
sacaches	jums
sacaches	tev
sacaches	jūs
xudea	jūdeja
xudea	priekšējais
xudea	fronte
xudea	priekšpusē
xudea	priekšā
xudea	priekšējie
boh	labi
boh	nu
lima	limas
refíreste	tu
refíreste	tevi
refíreste	jums
refíreste	tev
refíreste	jūs
refíreste	vidējais
soñando	sapņo
soñando	sapņot
soñando	sapņi
adoro	mīlestība
adoro	mīli
adoro	love
adoro	mīla
adoro	mīlu
dillo	viņam
dillo	viņu
trent	trent
jean	žans
jean	džīna
ámoa	mīlestība
ámoa	mīli
ámoa	love
ámoa	mīla
ámoa	mīlu
ámoa	viņai
ámoa	viņas
dakar	dakāras
dylan	dilans
enxergar	saprast
enxergar	izprast
enxergar	saprotu
tetas	krūtis
quizabes	varēja
quizabes	varētu
boulevard	boulevard
autoestrada	šoseja
geneviève	geneviève
imperfecto	nepilnīgs
imperfecto	nepilnīgi
imperfecto	nepilnīga
refuxiados	bēgļi
refuxiados	bēgļa
refuxiados	bēglis
refuxiados	bēgļu
refuxiados	bēgļi
viñan	nāc
viñan	atnācu
viñan	atnāca
viñan	viņi
viñan	tie
viñan	tās
levei	ieņēma
levei	paņēma
levei	ņēma
cambian	mainīt
cambian	maiņa
cambian	izmaiņas
cambian	pārmaiņas
honestidade	godīgumu
honestidade	godīgums
granxas	fermas
granxas	audzētavas
granxas	saimniecības
mozart	mocarts
dados	kauliņu
mestra	pasniedzēja
mestra	skolotāju
mestra	skolotāja
mestra	skolotājs
mestra	meistardarbs
occidental	rietumu
occidental	western
occidental	rietumu
occidental	rietumos
occidental	rietumi
occidental	west
representar	pārstāvēt
representar	pārstāv
actuación	sniegums
actuación	veiktspēja
impresionante	iespaidīga
impresionante	iespaidīgi
impresionante	iespaidīgs
encaixa	iederas
encaixa	der
tomaba	ieņēma
tomaba	paņēma
tomaba	ņēma
king	king
king	karalis
king	ķēniņš
andy	endijs
fantasía	fantāzijas
xulgar	tiesnesis
xulgar	tiesnese
vicepresidente	prezidents
vicepresidente	priekšsēdētāja
vicepresidente	priekšsēdētājs
fase	posms
fase	stadija
fase	fāze
fase	posms
fase	etaps
veredes	redz
veredes	skatīt
veredes	tu
veredes	tevi
veredes	jums
veredes	tev
veredes	jūs
deixala	viņai
deixala	viņas
deixala	tu
deixala	tevi
deixala	jums
deixala	tev
deixala	jūs
extraordinario	ārkārtas
anderson	andersone
anderson	andersons
contesta	atbildēt
contesta	atbildi
contesta	atbilde
pagas	maksāt
pagas	atalgojums
pagas	maksā
pagas	samaksa
pagas	samaksāt
pagas	tu
pagas	tevi
pagas	jums
pagas	tev
pagas	jūs
preguntoume	un
preguntoume	lūdza
impedir	pietura
impedir	apstāties
impedir	apturēt
impedir	beidz
impedir	turēt
impedir	paturēt
congreso	kongresa
congreso	kongress
recibiron	saņemts
recibiron	saņemtas
recibiron	saņemtās
recibiron	saņemti
recibiron	saņēma
collen	ņemt
collen	ņem
béisbol	beisbola
béisbol	beisbolu
medrei	pieauga
electrónico	elektroniskais
electrónico	elektroniskie
electrónico	elektroniski
reto	challenge
reto	izaicinājums
postura	poza
postura	amats
postura	novietojums
postura	pozīcija
interacción	mijiedarbība
interacción	mijiedarbības
relacionado	saistīts
tocas	tu
tocas	tevi
tocas	jums
tocas	tev
tocas	jūs
despedida	atvadu
convencer	pārliecinātu
convencer	pārliecināt
ego	ego
prioridades	prioritātes
largo	iegūsti
largo	dabūt
largo	ārā
largo	out
experto	eksperts
experto	eksperte
referencia	atsauces
referencia	atsauce
tiveses	tu
tiveses	tevi
tiveses	jums
tiveses	tev
tiveses	jūs
tiveses	bija
preocupar	par
preocupar	jāuztraucas
preocupar	raizes
necesitaba	nepieciešami
necesitaba	vajadzīgs
necesitaba	nepieciešams
gafas	brilles
gafas	stikli
gafas	glāzes
secundarios	pusē
secundarios	side
secreto	secret
secreto	slepeni
secreto	slepens
secreto	noslēpums
pavos	tītari
pavos	zaļos
verdadeiros	reāli
verdadeiros	īstais
verdadeiros	īsta
verdadeiros	reālā
verdadeiros	reālās
verdadeiros	īstas
verdadeiros	patiesība
verdadeiros	taisnība
verdadeiros	patiess
verdadeiros	patiesa
similares	līdzīgs
similares	līdzīgi
similares	līdzīgas
similares	līdzīga
desafío	challenge
desafío	izaicinājums
capturar	uztveršanas
capturar	uztveršana
profundidade	dziļums
profundidade	dziļa
profundidade	dziļā
profundidade	dziļi
profundidade	deep
profundidade	dziļš
capas	slāņi
capas	zeltā
capas	zelta
capas	zelts
utiliza	lietošana
utiliza	lietojums
utiliza	lietot
utiliza	izlietot
utiliza	izmantošana
virán	nāc
operar	darboties
orientais	austrumu
adolescente	pusaudžu
nalgures	kautkur
maquinaria	iekārtas
maquinaria	mehānismi
maquinaria	tehnika
maquinaria	mašīnas
maquinaria	mašīna
renda	īri
renda	īre
renda	ienākumus
renda	ienākums
renda	ienākuma
renda	ienākumi
renda	ieņēmumi
admitir	atzīt
admitir	gribu
admitir	gribam
admitir	gribi
admitir	grib
inxección	injekcijām
inxección	injekcija
instrumento	instruments
instrumento	instrumenta
instrumento	instrumentu
diaños	ellē
diaños	elle
micrófono	mikrofons
micrófono	mic
cheguen	viņi
cheguen	tie
cheguen	tās
cheguen	iegūsti
cheguen	dabūt
cheguen	nāc
placas	plates
placas	plātnes
placas	plāksnes
habitacións	telpas
actuais	pašreizējais
actuais	pašreizējo
actuais	pašreizējie
actuais	strāva
actuais	pašreizējā
construíu	celta
construíu	būvēts
construíu	uzbūvēts
construíu	veidots
construíu	būvēti
construíu	būvēta
contrasinal	parole
contrasinal	paroli
dispositivos	ierīces
mandela	mandela
mark	atzīmēt
mark	zīme
mark	marks
particularmente	īpaši
porca	netīra
porca	netīrs
entrevistas	intervijas
lendo	lasīšana
lendo	lasījumā
sa	veselīgi
sa	veselīga
sa	veseli
sa	veselīgs
queixa	sūdzība
verdades	patiesības
tomen	ņemt
tomen	ņem
manifestación	demonstrācija
manifestación	demonstrēšana
manifestación	demonstrējumu
ética	ētika
ética	ētikas
ética	ētika
cruzando	šķērsot
cruzando	šķērso
cruzando	šķērsošanas
cruzando	šķērsošana
opresión	apspiešanu
opresión	apspiešana
serra	sierra
argumento	arguments
xen	gēns
xen	gēnu
asilo	mājās
asilo	home
asilo	mājas
asilo	majas
autor	autors
autor	autore
ducha	dušas
simon	simons
nucleares	kodolenerģijas
nucleares	kodolenerģija
propiedades	īpašums
propiedades	īpašība
propiedades	īpašības
henry	henrijs
gañadores	ieguvēji
gañadores	uzvarētājus
gañadores	uzvarētāji
use	lietošana
use	lietojums
use	lietot
use	izlietot
use	izmantošana
paramos	pietura
paramos	apstāties
paramos	apturēt
paramos	beidz
aparecer	rādīt
aparecer	parādīt
buracos	caurumi
ensaio	izmēģinājums
ensaio	pētījums
ensaio	prāva
ensaio	pētījumā
mercados	tirgus
mercados	tirgū
mercados	tirgus
mercados	tirgi
suecia	zviedrija
pares	pietura
pares	apstāties
pares	apturēt
pares	beidz
dentista	zobārsts
dentista	zobārsta
obtivo	saņēmu
comín	ēdu
comín	apēda
reside	meli
reside	meliem
reside	melus
reside	melu
farían	būtu
farían	viņi
farían	tie
farían	tās
xerais	vispārējā
xerais	vispārējais
xerais	vispārīgi
xerais	vispārēji
xerais	ģenerāļi
meniño	mazulis
meniño	bērns
meniño	mazā
meniño	zēns
meniño	puika
colleron	viņi
colleron	tie
colleron	tās
debiamos	būtu
debiamos	vajadzētu
debiamos	bija
teredes	tu
teredes	tevi
teredes	jums
teredes	tev
teredes	jūs
nazis	nacisti
nazis	nacistu
cazadores	mednieki
cazadores	medību
cazadores	medībās
cazadores	medības
trataba	bija
trataba	tika
musulmáns	musulmaņi
musulmáns	musulmaņiem
barrios	jomas
barrios	apgabali
barrios	teritorijas
barrios	platības
reláxate	atpūties
reláxate	atpūsties
entendía	sapratis
entendía	saprata
entendía	saprast
entendía	izprast
entendía	saprotu
bater	hit
perdoar	piedot
manteñen	turēt
manteñen	paturēt
manteñen	viņi
manteñen	tie
manteñen	tās
existiu	pastāvējusi
existiu	pastāvēja
elemento	elementa
elemento	elements
elemento	elementam
elemento	elementā
mecánico	mehāniskais
mecánico	mehāniskās
mecánico	mehāniska
mecánico	mehāniskā
mecánico	mehāniķi
mecánico	mehāniķis
desaparición	izzušana
desaparición	pazušanu
desaparición	pazušanas
piden	ask
piden	prasīt
piden	jautāt
piden	lūgt
piden	jautā
piden	par
piden	priekš
piden	for
piden	viņi
piden	tie
piden	tās
durmimos	miegs
durmimos	miega
durmimos	gulēt
esquezo	aizmirst
esquezo	aizmirsti
refire	vidējais
espacial	habla
espacial	telpa
espacial	kosmoss
estacións	sezonas
estacións	stacijas
barra	bāri
barra	bar
barra	bārs
barra	stienis
barra	kilogramu
rabaño	saimes
rabaño	saime
national	nacionālais
osos	lāči
osos	lāčiem
diálogo	dialogu
diálogo	dialogs
personalidade	personība
personalidade	personības
gertrude	ģertrūde
sinceramente	patiešām
sinceramente	tiešām
perdidos	zaudēti
perdidos	pazaudēts
perdidos	zaudēja
perdidos	pazudis
perdidos	zaudēts
bebendo	dzeršanas
bebendo	dzeramā
bebendo	dzeramais
acusación	apsūdzību
acusación	apsūdzība
acusación	uzlādes
vivido	dzīvoja
vivido	dzīvojis
lanzamento	piliens
lanzamento	nomest
recorda	atceries
recorda	atceros
recorda	atcerieties
recorda	atcerēties
recorda	tu
recorda	tevi
recorda	jums
recorda	tev
recorda	jūs
green	zaļas
green	zaļa
green	zaļā
green	zaļš
green	zaļi
clásico	klasiskais
clásico	klasisko
clásico	klasiskā
clásico	klasisks
clásico	klasika
clásico	klasiska
clásico	klasisks
armado	bruņots
armado	bruņota
armado	bruņotajiem
armado	bruņoti
mobles	mēbeles
afastados	prom
afastados	no
xestos	žestus
intelectual	intelektuālais
intelectual	intelektuālā
gravitacional	gravitācijas
averiguar	ārā
averiguar	out
averiguar	atrodi
averiguar	meklēt
averiguar	atrast
presencia	esamība
presencia	klātbūtni
presencia	esība
presencia	klātbūtne
teríamos	būtu
brando	mīksto
brando	mīksti
brando	maiga
brando	mīkstie
brando	mīksta
brando	mīksts
sospeita	aizdomas
mestura	samaisa
mestura	maisījums
mestura	mix
mestura	sajaukšanas
novidade	jauna
novidade	jaunums
novidade	jauni
novidade	jauns
novidade	jaunais
novidade	jaunas
mañán	rīts
mañán	rīt
tua	tavas
tua	tavu
tua	tavs
tua	jūsu
tua	tava
tua	mīlošs
sintes	jūtu
sintes	jūtos
sintes	justies
sintes	sajust
sintes	just
asentos	sēdekļi
asentos	sēdvietas
fondos	fondi
soto	pagrabu
soto	pagrabs
soto	pagrabā
soto	pagraba
soto	pagrabs
soto	pagrabā
príncipes	prinči
ocuparse	kopšana
ocuparse	aprūpe
ocuparse	aprūpi
ocuparse	ņemt
ocuparse	ņem
eterna	mūžīgs
eterna	mūžīgā
elixido	ievēlēta
elixido	ievēlēti
elixido	ievēlēts
elixido	viens
elixido	viena
elixido	vienu
fíxate	ieskaties
fíxate	izskaties
fíxate	skaties
fíxate	skatiens
socialismo	sociālismu
traio	atved
créame	noticēt
créame	tici
créame	ticu
georgie	džordžija
dareille	iedot
dareille	dod
dareille	dot
dareille	dodiet
mantemento	uzturēšanas
mantemento	uzturēšana
mantemento	apkope
privilexios	tiesības
privilexios	privilēģijas
sabíao	zināja
sabíao	zināju
sabíao	zināji
sabíao	pazina
cansos	apnicis
cansos	noguruši
cansos	noguris
pases	laiks
pases	laika
botes	laivas
tivésemos	bija
algodón	kokvilna
tirado	melo
pazo	pils
pazo	pilij
pazo	palace
pazo	villa
volvería	būtu
volvería	muguru
volvería	atpakaļ
volvería	mugura
volvería	atkal
volvería	vēlreiz
saes	tu
saes	tevi
saes	jums
saes	tev
saes	jūs
saes	ārā
saes	out
solitario	vientuļš
solitario	vientuļa
solitario	vientuļi
aturo	var
aturo	varam
aturo	ņemt
aturo	ņem
aturo	stāvēt
responsábeis	atbildīgais
responsábeis	atbildīgs
responsábeis	atbildīga
responsábeis	atbildīgā
responsábeis	atbildīgās
responsábeis	par
responsábeis	priekš
responsábeis	for
desexaría	vēlme
desexaría	vēlos
aparta	iegūsti
aparta	dabūt
municións	munīcija
municións	munīcijas
municións	munīcija
escocés	skotu
quite	ņemt
quite	ņem
quite	nost
quite	off
quite	izslēgts
louis	luiss
louis	luis
recordas	atceries
recordas	atceros
recordas	atcerieties
recordas	atcerēties
miami	maiami
descansa	atpūta
pedido	pasūtījums
pedido	kārtība
pedido	pasūtīt
pedido	rīkojums
pedido	secība
francesas	francijas
francesas	franču
perdes	tu
perdes	tevi
perdes	jums
perdes	tev
perdes	jūs
perdes	pazaudēt
perdes	zaudē
perdes	zaudēt
falaron	viņi
falaron	tie
falaron	tās
falaron	runāja
detente	pietura
detente	apstāties
detente	apturēt
detente	beidz
servirá	būs
digno	cienīgs
digno	vērts
digno	cienīgi
digno	cienīga
amarelo	dzeltens
amarelo	dzeltena
amarelo	dzeltenas
amarelo	dzeltenais
wheeler	vīlers
fama	slava
fama	slavas
fama	fame
canibalismo	kanibālisma
duras	cieto
duras	smagi
duras	cietās
duras	grūti
duras	cietais
aceno	žestu
aceno	žests
estouche	tu
estouche	tevi
estouche	jums
estouche	tev
estouche	jūs
della	della
trucos	trikus
alumnado	skolēni
alumnado	skolēniem
alumnado	ir
alumnado	studenti
alumnado	skolēni
alumnado	studentiem
vera	vera
tentativa	mēģināts
tentativa	mēģinājusi
tentativa	mēģinājis
tentativa	mēģinājums
tentativa	mēģinājumi
tentativa	mēģinājums
bárbaros	barbari
entendín	sapratis
entendín	saprata
movédevos	pārvietot
movédevos	gājiens
movédevos	pārvietoties
stan	stens
stan	tu
stan	tevi
stan	jums
stan	tev
stan	jūs
west	rietumu
west	rietumos
west	rietumi
west	west
bild	bild
marines	karaspēks
marines	marine
marines	jūras
cóidate	ņemt
cóidate	ņem
cóidate	kopšana
cóidate	aprūpe
cóidate	aprūpi
cóidate	sevi
armenia	armēnija
correde	darbināt
correde	skrien
correde	palaist
turista	tūristu
turista	tūrisma
mann	mann
kathy	ketija
alicia	alise
alicia	pati
won	uzvarēja
won	uzvarējis
won	ieguva
heavy	smags
heavy	smagas
heavy	smaga
heavy	smagais
heavy	smagi
heavy	smago
wey	wei
cora	kora
doutora	ārsts
envioume	nosūtīta
envioume	nosūtīja
envioume	nosūtīti
envioume	nosūtīts
conquistar	iekarot
equipos	komandām
equipos	komandas
procede	nāk
procede	atnāk
procede	no
vise	redzēju
vise	redzēja
vise	ieraudzīju
vise	redz
vise	skatīt
altar	altāra
refírome	vidējais
debates	apspriedes
debates	diskusijas
debates	debates
redes	tīkli
redes	tīkli
investigadores	pētniekiem
investigadores	pētnieki
utilidade	lietošana
utilidade	lietojums
utilidade	lietot
utilidade	izlietot
utilidade	izmantošana
crece	aug
entretemento	izklaide
entretemento	izklaides
diapositiva	slaidu
trampas	lamatas
trampas	slazdus
soben	ka
soben	tas
vense	ir
cometeu	apņēmusies
cometeu	izgatavots
cometeu	made
favoritos	mīļākie
favoritos	mīļākās
favoritos	mīļākais
favoritos	mīļākā
favoritos	mīlulis
comparten	akcija
comparten	dalies
comparten	dalīties
comparten	share
comparten	daļa
volvía	muguru
volvía	atpakaļ
volvía	mugura
musical	mūzikas
musical	muzikāls
musical	mūzika
musical	music
musical	mūzikā
funcionamento	kā
detector	detektoru
detector	detektors
detector	detektora
illado	izolēta
illado	izolētas
illado	izolēts
illado	izolēti
illado	ka
illado	tas
fundamental	fundamentāli
xuízos	spriedumi
xuízos	izmēģinājumi
causas	cēloņi
causas	iemesli
causas	cēloņus
bate	sitas
substituír	nomainīt
substituír	aizvietot
substituír	aizstāt
substituír	aizstājējs
substituír	par
substituír	priekš
substituír	for
debuxo	zīmējums
debuxo	zīmēšanas
debuxo	rasējums
rostros	sejas
rostros	seju
rostros	seja
aula	istaba
aula	istabā
aula	istabas
aula	telpa
aula	istabu
aula	šķira
aula	klase
manipulación	manipulācijām
manipulación	manipulācijas
sentirse	jūtu
sentirse	jūtos
sentirse	justies
sentirse	sajust
sentirse	just
campá	zvans
saíde	iegūsti
saíde	dabūt
saíde	ārā
saíde	out
corrupción	korupcija
corrupción	korupciju
corrupción	korupcijas
entras	nāc
elo	ka
elo	tas
