در	ajtó
متر	mérő
کاربر	felhasználó
کاربر	felhasználói
مناطق	körzetek
مناطق	térségek
مناطق	területek
هر	minden
هر	bármelyik
هر	bármely
هر	bármilyen
باشگاه	klub
باشگاه	club
باشگاه	edzőterem
شهرهای	önkormányzatok
شهرهای	települések
دانشگاه	university
دانشگاه	egyetem
دانشگاه	kollégium
دانشگاه	főiskola
دانشگاه	egyetem
مورد	ügy
مورد	case
مورد	eset
سده	évszázad
سده	század
ثبت	fakitermelés
ثبت	napló
ثبت	log
وجود	lét
وجود	létezése
وجود	létezés
زبان	nyelveket
زبان	nyelvek
زبان	nyelveken
زبان	nyelve
زبان	nyelv
زبان	nyelv
زادگان	leszármazottja
مسکونی	bentlakásos
مسکونی	lakossági
شماره	szám
شماره	száma
کار	állás
کار	meló
کار	munka
کار	munkahelyi
کار	munka
کار	dolgozó
کار	dolgozik
کار	dolgozom
کار	dolgozok
اما	de
بازیگران	forgatás
بازیگران	szereplők
بازیگران	színészek
روی	roy
روی	cink
فرودگاه	reptér
فرودگاه	repülőtér
صورت	arcát
صورت	arc
صورت	arca
مرکز	központi
مرکز	középre
مرکز	központ
مرکز	center
مرکز	középre
مرکز	központ
مرکز	centrum
زمان	ideje
زمان	időpont
زمان	idő
شرکت	vállalati
شرکت	társaság
شرکت	vállalat
شرکت	cég
شرکت	század
مقاله	árucikk
مقاله	cikk
مقاله	árucikkek
مقاله	cikkek
تیم	tim
تیم	csapat
تیم	team
مرد	férfi
مرد	ember
انگلیسی	angolul
انگلیسی	angol
نظر	hozzászólás
نظر	megjegyzés
نظر	vélemény
نظر	véleményt
نظر	vélemények
جهانی	international
جهانی	nemzetközi
جهانی	univerzális
جهانی	egyetemes
جهانی	globális
جهانی	global
جهانی	világ
جهانی	world
جهانی	vilag
همچنین	szintén
همچنین	egyben
همچنین	úgyszintén
همچنین	is
همچنین	túl
همچنین	hasonlóképpen
زندگی	élni
زندگی	élő
زندگی	élet
زندگی	életem
زندگی	life
زن	nő
زن	asszony
زن	nö
زن	nőnemű
زن	nő
زن	női
زن	nőstény
زن	feleségem
زن	felesége
زن	feleség
زیر	alul
زیر	alatt
زیر	alatta
زیر	alább
زیر	lent
زیر	alatt
زیر	alatta
زیر	alá
آنها	ők
آنها	őket
آنها	ők
جوایز	díjak
جوایز	gála
جوایز	díjak
جوایز	díjakat
جوایز	nyeremény
روستا	település
روستا	falusi
روستا	falu
تهران	teherán
بازی	játék
بازی	game
بازی	meccs
بازی	játék
بازی	játékok
بازی	játék
بازی	játszani
بازی	play
بازی	játssz
تاریخی	történelmi
تاریخی	történelmi
تاریخی	történeti
سرشماری	népszámlálás
فرانسه	francia
فرانسه	franciák
فرانسه	franciaország
فرانسه	france
جنگ	háború
باید	kell
دست	kéz
دست	kezek
دست	kar
دست	karját
دست	kezét
دست	kéz
شورای	tanács
محل	hely
محل	helyszín
محل	hely
محل	elhelyezkedés
های	hai
توابع	funkciók
توابع	feladatok
کتاب	könyv
کتاب	könyvet
کتاب	könyveket
کتاب	könyvek
کتاب	könyv
آلمان	németül
آلمان	német
آلمان	németország
سطح	szintek
سطح	szint
سطح	felszín
سطح	felület
سطح	felszíni
سطح	szint
سطح	szintű
اصلی	fő
اصلی	main
اصلی	főbb
اصلی	eredeti
اصلی	elsődleges
اصلی	primer
ساخت	építkezés
ساخت	építési
ساخت	építés
ساخت	előállítás
ساخت	gyártási
ساخت	gyártás
المپیک	olimpiai
المپیک	olimpia
اول	először
اول	első
سازمان	szervezés
سازمان	szervezet
سازمان	szervezés
سازمان	szervezet
سازمان	ügynökség
سه	három
دارای	neves
مرکزی	központi
ایالت	állapot
ایالت	állami
ایالت	állam
زنده	élve
زنده	életben
زنده	él
فارسی	fárszi
فارسی	perzsa
بین	bab
بین	között
انگلستان	anglia
انگلستان	england
انگلستان	angliai
دوم	másodszor
دوم	másodperc
دوم	második
موسیقی	zene
گروه	band
گروه	banda
گروه	együttes
گروه	zenekar
گروه	csoport
گروه	csoportban
جایزه	prémium
جایزه	bónusz
جایزه	díj
جایزه	jutalom
جایزه	nyeremény
جایزه	díj
جایزه	díjat
بیشتر	legtöbb
بیشتر	több
بیشتر	more
بیشتر	további
بیشتر	tobb
جنوبی	dél
جنوبی	déli
جنوبی	dél
جنوبی	délre
جنوبی	déli
روز	nap
روز	napon
روز	nappal
روز	napot
روز	nappal
روز	nappali
جمهوری	köztársaság
مرگ	halál
ولی	de
داد	dodd
آمریکایی	amerikai
نقش	szerepet
نقش	szerep
نقش	szerepe
منطقه	régió
منطقه	régiók
منطقه	övezet
منطقه	zóna
منطقه	körzet
منطقه	járás
منطقه	kerület
منطقه	terület
منطقه	környék
بسیار	nagyon
بسیار	sok
بسیار	sokan
بسیار	sok
بسیار	sokat
اسلامی	iszlám
بزرگ	nagyok
بزرگ	nagyméretű
بزرگ	nagy
بزرگ	nagyok
بزرگ	nagy
اروپا	európa
اروپا	europe
اروپا	európában
اروپا	europa
روستایی	vidék
روستایی	vidéki
روستایی	falusi
روستایی	paraszt
آمار	statisztika
آمار	statisztikák
فعالیت	tevékenységek
فعالیت	tevékenység
فعالیت	aktivitás
اشاره	tipp
زاده	született
زاده	megszületett
محمد	mohammad
محمد	muhammad
محمد	mohammed
محمد	mohamed
محمد	mohamed
بریتانیا	britannia
بریتانیا	britek
بریتانیا	angol
بریتانیا	brit
بریتانیا	britannia
مانند	mint
مانند	like
مانند	tetszik
چند	kevesen
چند	pár
چند	kevés
چند	kevesek
چند	néhány
چند	multi
شمالی	észak
شمالی	északi
شمالی	északra
شمالی	észak
شمالی	északi
شمالی	carolina
شمالی	karolina
آب	víz
آب	vizet
خورشیدگرفتگی	napfogyatkozás
ایرانی	perzsa
ایرانی	iráni
اطلاعات	info
اطلاعات	infó
اطلاعات	információ
اطلاعات	infók
اطلاعات	információk
اطلاعات	információ
اطلاعات	tájékoztatás
اطلاعات	információk
ایجاد	létrehozása
ایجاد	létrehozása
ایجاد	alkotás
ایجاد	teremtés
ایجاد	létrehozása
ایجاد	létrehozva
مالک	tulaj
مالک	tulajdonos
مالک	tulajdonosa
مالک	malik
امنیت	biztonsági
امنیت	biztonság
امنیت	biztonsági
امنیت	biztonság
نوع	típus
نوع	típusa
مردم	emberek
دلیل	oka
روستای	település
روستای	falusi
روستای	falu
دور	far
دور	messze
دور	messzire
اولین	evelyn
مربوط	vonatkozó
مربوط	releváns
مربوط	relevánsak
مربوط	lényeges
مربوط	összefüggő
مربوط	kapcsolódó
مربوط	rokonok
مربوط	rokon
مربوط	kapcsolatban
بار	terhelés
بار	barr
بار	bar
بار	bár
دریا	tengeren
دریا	tengeri
دریا	tenger
شما	te
برابر	egyenlők
برابر	egyenlőek
برابر	egyenlő
برابر	egyenlők
برابر	egyenlő
تولید	előállítás
تولید	gyártás
تولید	előállítás
تولید	gyártás
تولید	termelés
تولید	termelési
تولید	generálni
تپه	dombon
تپه	domb
تپه	hegy
تپه	dombra
تپه	hegyen
تپه	hill
تنها	egyedül
تنها	csak
تنها	kizárólag
تنها	magányos
تنها	magányosan
تنها	magány
علی	ali
شرقی	keletre
شرقی	keleti
شرقی	kelet
شرقی	keleti
شرقی	kelet
شرقی	keleti
یونسکو	unesco
یونسکو	helyszínek
یونسکو	oldalak
برخی	néhány
میان	között
جهان	világ
جهان	world
جهان	vilag
جام	kupa
جام	csésze
جام	cup
جام	pohár
جام	bögre
ها	huh
ارتفاع	magasság
ارتفاع	magassága
ارتفاع	magasság
کد	kód
کشف	felfedezte
کشف	felfedezett
کشف	felfedezés
کشف	felfedezni
کشف	felfedezése
کشف	felfedezés
کشف	discovery
نشان	jelvény
نشان	jelvényt
حذف	eltávolítása
حذف	eltávolítás
حذف	eltávolítása
حذف	törlése
حذف	töröld
حذف	törlés
تلویزیونی	tv
تلویزیونی	televízió
غربی	nyugat
غربی	nyugati
غربی	nyugati
غربی	nyugat
غربی	western
گرفته	foglalt
دوران	időszakok
دوران	korszak
شامل	tartalmazza
بهترین	legjobbak
بهترین	legjobb
بهترین	best
دولت	állapot
دولت	állami
دولت	állam
دولت	kormány
دولت	kormányzat
همراه	mobilos
همراه	mobile
همراه	mobil
همراه	kísérte
همراه	kísérő
چپ	bal
چپ	balra
ایتالیا	italia
ایتالیا	olaszország
ایتالیا	olasz
ایتالیا	olaszország
صفحه	oldalt
صفحه	oldal
مجلس	parlament
مجلس	közgyűlés
مجلس	gyűlés
مجلس	szerelvény
تحت	alatt
تحت	alatta
تحت	alá
آغاز	start
آغاز	kezdés
آغاز	kezdeni
آغاز	kezdetek
آغاز	kezdete
آغاز	eleje
آغاز	kezdet
آغاز	kezdem
آغاز	kezdő
آغاز	kezdve
ویکی	wiki
ویکی	vicky
راه	utat
راه	ösvény
راه	útvonal
راه	út
کشتی	hajók
کشتی	hajóval
کشتی	hajó
کشتی	hajón
کشتی	birkózás
کشتی	birkózó
کشتی	csónak
کشتی	hajó
کشتی	hajós
بودند	voltak
الگو	minta
بن	ben
همه	mindenki
همه	mindenkinek
همه	mindegyik
همه	mind
همه	minden
همه	mindenki
همه	mindenkinek
کوچک	kis
کوچک	kicsik
کوچک	kicsi
کوچک	kis
کوچک	kicsi
کوچک	kevés
کوچک	kiskorú
کوچک	kisebb
ژاپن	japán
رسمی	hivatalos
رسمی	tisztviselő
رسمی	formális
اسلام	iszlám
سپتامبر	szeptemberben
سپتامبر	szeptember
سپتامبر	szeptemberi
پرونده	ügy
پرونده	case
پرونده	eset
پرونده	fájl
پرونده	file
پرونده	akta
ماه	hónap
ماه	hónapja
ماه	hónap
ماه	hónapokig
ماه	hónapok
ماه	hold
ماه	holdon
ماه	holdat
ماه	moon
اوت	augusztusban
اوت	august
اوت	augusztus
اوت	aug
هزار	ezer
تابستانی	summer
تابستانی	nyári
تابستانی	nyáron
تابستانی	nyár
چون	mert
چون	mikor
چون	amikor
آوریل	apr
آوریل	april
آوریل	április
آوریل	áprilisi
آوریل	áprilisban
تغییر	változik
تغییر	módosítható
تغییر	módosítani
تغییر	módosítás
تغییر	változás
تغییر	változtatás
تغییر	megváltozott
تغییر	változások
مجموعه	adatgyűjtés
مجموعه	gyűjtés
مجموعه	gyűjtemény
مجموعه	kollekció
سیاسی	politikai
سیاسی	politika
شکل	alakja
شکل	forma
شکل	formát
شکل	alakzat
شکل	űrlap
شکل	forma
شکل	formájában
شکل	nyomtatvány
شکل	figura
شکل	ábra
شکل	alakú
مارس	március
مارس	márciusi
مارس	marson
مارس	mars
درخواست	megkeresés
درخواست	kérésére
درخواست	kérésre
درخواست	kérés
درخواست	kérelem
کیلومتر	kilométer
جمله	ítélet
جمله	mondat
گردشگری	turizmus
گردشگری	idegenforgalom
گردشگری	turisták
گردشگری	turista
گردشگری	városnézés
شهری	városi
شهری	önkormányzati
شهری	city
شهری	városi
شهری	város
ممکن	lehetséges
لیگ	league
لیگ	liga
روسیه	orosz
روسیه	oroszul
روسیه	oroszország
روسیه	oroszország
منابع	forrás
منابع	források
منابع	erőforrások
منابع	erőforrás
منابع	források
نخستین	először
نخستین	első
شاه	kinga
شاه	shah
جنوب	dél
جنوب	déli
جنوب	dél
جنوب	délre
جنوب	déli
طور	mount
طور	hegy
تشکیل	kialakult
تشکیل	alakított
تشکیل	alakult
تشکیل	formáció
تشکیل	alakzat
فوت	gyalog
فوت	láb
اکتبر	októberi
اکتبر	októberben
اکتبر	október
ژوئن	júniusi
ژوئن	june
ژوئن	június
ژوئن	júniusban
امکان	lehetséges
امکان	lehetőség
نویسندگان	írók
نویسندگان	szerzői
نویسندگان	szerzők
سر	sar
سر	fejet
سر	fej
سر	fejét
سر	fej
سر	fejek
سر	fejeket
حزب	party
حزب	buli
حزب	parti
فرهنگ	tenyésztés
فرهنگ	kultúra
برندگان	győztesek
برندگان	nyertesek
بدون	nélkül
بدون	anélkül
خانه	house
خانه	ház
خانه	házon
خانه	otthon
خانه	itthon
خانه	haza
دسامبر	december
دسامبر	decemberi
دسامبر	decemberben
موارد	tárgyak
موارد	tételek
موارد	elemek
موارد	ügyek
موارد	esetekben
موارد	esetek
هند	india
آلبوم	album
آزاد	ingyenes
آزاد	ingyen
آزاد	free
آزاد	szabad
چاپ	ujjlenyomat
چاپ	nyomtatás
چاپ	nyomda
چاپ	nyomtatás
علمی	tudomány
علمی	tudományos
نوامبر	november
نوامبر	novemberi
نوامبر	novemberben
نوامبر	nov
آسیا	ázsiai
شمال	észak
شمال	északi
شمال	északra
شمال	észak
شمال	északi
پایان	befejezés
پایان	vége
پایان	vég
پایان	befejezés
علوم	tudomány
علوم	tudományok
جان	john
جان	jános
سید	sid
کالیفرنیا	kaliforniai
کالیفرنیا	california
کالیفرنیا	kalifornia
کالیفرنیا	kaliforniában
قرن	évszázad
قرن	század
بازیگر	színésznő
بازیگر	színésznek
بازیگر	színész
صنایع	ágazatok
صنایع	iparágak
صنایع	ágazat
صنایع	iparág
صنایع	ipar
گونه	faj
گونه	állatfaj
گونه	fajok
کانادا	kanada
کانادا	kanadai
کانادا	kanadai
اسپانیا	spanyolország
اسپانیا	spanyolul
اسپانیا	spanyolok
اسپانیا	spanyol
زمین	föld
رئیس	főnök
برزیل	brazília
برزیل	brazil
برزیل	brazília
سبک	fény
سبک	light
سبک	fényt
سبک	stílus
بالا	felül
بالا	top
بالا	csúcs
بالا	felső
بالا	legfelső
بالا	bala
جدید	újdonság
جدید	új
تصویر	kép
تصویر	képet
حضور	részvétel
حضور	jelenlét
حضور	jelenlét
حضور	jelenléte
وارد	ward
عضو	tag
عضو	adomány
عضو	adományt
میراث	öröksége
میراث	örökség
میراث	örökség
زنان	nők
زنان	asszonyok
زنان	női
زنان	nő
نظامی	katonaság
نظامی	katonai
نظامی	hadsereg
آذربایجان	azerbajdzsán
جای	hely
جای	jai
هیچ	bármelyik
هیچ	bármely
هیچ	bármilyen
چین	chin
چین	csin
چین	porcelán
چین	kína
چین	china
سیستم	rendszer
سیستم	system
ظاهر	látszat
ظاهر	megjelenés
ظاهر	megjelenése
ظاهر	zahir
ادامه	folytasd
ادامه	folytatás
ادامه	folyamatos
ادامه	folytatása
ادامه	folytatta
ادامه	folytatás
ادامه	folytatódott
درجه	fokozat
درجه	fokban
درجه	fok
درجه	rang
درجه	rangja
درجه	fokozat
درجه	diploma
درجه	fok
انتخاب	válasszon
انتخاب	választás
انتخاب	kiválasztás
انتخاب	döntés
انتخاب	választás
موجود	elérhető
موجود	rendelhető
موجود	meglévő
موجود	meglevő
موجود	létező
دستی	kézikönyv
دستی	kézi
دستی	manuális
فقط	csak
اعلام	bejelentett
اعلام	nyilatkozat
اعلام	nyilatkozata
اعلام	bejelenteni
نسبت	arány
اعضای	tagjai
اعضای	tagok
اعضای	tagoknak
اعضای	képviselők
مسابقات	torna
مسابقات	bajnokság
تلفن	telefonon
تلفن	telefon
تلفن	telefont
تلفن	telefonszám
تلفن	telefon
داستان	sztori
داستان	történet
داستان	story
داستان	története
داستان	mese
داستان	történetek
داستان	történeteket
داستان	mesék
داستان	bejegyzések
سوم	iii
سوم	harmadik
سوم	harmadszor
خط	line
خط	sor
خط	vonal
قانون	jogszabályok
قانون	jog
قانون	jogszabály
قانون	törvény
قانون	szabály
درگذشت	meghalt
علت	oka
مهم	fontos
منبع	forrás
منبع	erőforrás
منبع	forrás
میلیون	millió
کمک	segíteni
کمک	segítség
جهت	irány
جهت	irányba
جهت	eligazítás
جهت	orientációs
جهت	irányultság
هوایی	légi
هوایی	antenna
هوایی	levegő
هوایی	air
حتی	még
نمایش	mutasd
نمایش	show
آمریکای	amerika
آمریکای	america
ناحیه	régió
ناحیه	régiók
ناحیه	körzet
ناحیه	járás
ناحیه	kerület
ناحیه	terület
ناحیه	környék
طراحی	dizájn
طراحی	tervezési
طراحی	design
طراحی	tervezés
آموزش	tanít
آموزش	tanítani
آموزش	tanítás
آموزش	tréning
آموزش	képzési
آموزش	kiképzés
آموزش	képzés
آموزش	edzés
آموزش	oktatási
آموزش	oktatás
قلعه	vár
قلعه	várban
قلعه	castle
قلعه	kastély
قلعه	erőd
ویرایش	edit
ویرایش	módosítás
ویرایش	szerkesztés
ویرایش	szerkesztése
ویرایش	vágás
ویرایش	szerkesztés
ویرایش	vágó
حکومت	kormány
حکومت	kormányzat
نمایندگان	képviselői
نمایندگان	képviselők
نمایندگان	küldöttek
بازدید	meglátogatta
بازدید	meglátogatott
بازدید	látogatott
بازدید	felkeresett
بازدید	felülvizsgálat
بازدید	kritika
بازدید	látogatás
بازدید	látogatás
بازدید	látogatások
بازدید	látogató
بازدید	látogatás
بازدید	látogatóban
شیمیایی	kémiai
شیمیایی	vegyszerek
مساحت	terület
مساحت	környék
ادبیات	irodalom
موضوع	téma
موضوع	alany
موضوع	figyelemmel
موضوع	tárgy
شبکه	rács
شبکه	hálózat
شبکه	hálózati
شبکه	network
برنامه	app
برنامه	alkalmazás
برنامه	program
برنامه	menetrend
برنامه	ütemezés
برنامه	ütemterv
برنامه	beosztás
برنامه	program
کاربران	felhasználói
کاربران	felhasználók
تولد	születésnap
تولد	szülinapi
تولد	szülinapot
تولد	születésnapi
تولد	születés
تولد	születési
تولد	szülés
تبدیل	átalakítás
تبدیل	konverziós
تبدیل	átalakítás
تبدیل	átalakítás
تبدیل	átalakulás
تبدیل	átalakítás
دریایی	tengerész
دریایی	tengeri
دریایی	tengerészgyalogos
سن	sen
سن	kor
سن	életkor
سن	seine
سن	szan
سن	san
سن	saint
سن	szent
عربی	arab
عربی	arabul
عربی	arab
روش	roche
روش	módszer
بازیکن	lejátszó
بازیکن	játékos
بازیکن	játékosok
بازیکن	szereplők
رفته	elment
رفته	eltűnt
بودن	lenni
نتیجه	végeredmény
نتیجه	eredmény
نتیجه	eredmények
نتیجه	eredményei
نتیجه	eredmény
نتیجه	következtetés
نتیجه	következtetések
انقلاب	forradalom
تگزاس	texasi
تگزاس	texas
تگزاس	texasban
عراق	irak
عراق	iraki
شروع	start
شروع	kezdés
شروع	kezdeni
شروع	kezdem
شروع	kezdő
شروع	kezdve
هنر	művészet
هنر	művészetek
هنر	művészeti
هنر	művészet
هنر	art
زمینه	háttér
زمینه	háttere
زمینه	háttérben
قسمت	részben
قسمت	rész
قسمت	része
قسمت	epizód
قسمت	rész
بررسی	ellenőrzése
بررسی	csekk
بررسی	csekket
بررسی	ellenőrzés
مدیر	menedzser
مدیر	vezető
مدیر	kezelő
مدیر	igazgató
مدیر	adminisztrátor
مدیر	ügyvezető
مدیر	ügyintéző
مدیر	tisztviselő
مدیر	igazgató
باز	nyitva
باز	vissza
باز	nyitva
ترکیه	pulyka
ترکیه	törökország
ترکیه	török
مدال	érem
مدال	medál
مدال	kitüntetés
حقوق	fizetés
حقوق	jogszabályok
حقوق	jog
حقوق	jogszabály
حقوق	törvény
حقوق	jogai
حقوق	jogokkal
حقوق	jogok
عمومی	általános
عمومی	generikus
عمومی	nyilvános
عمومی	nyilvánosság
عمومی	nyilvánosan
عمومی	publikus
عمومی	általános
عمومی	tábornok
حسین	hossein
حسین	hussein
حسین	hussain
ترجمه	fordít
ترجمه	fordítás
ترجمه	fordítás
ترجمه	lefordítani
دقیقه	perc
دقیقه	jegyzőkönyv
دقیقه	percek
دقیقه	perc
رنگ	színek
رنگ	színes
رنگ	színe
رنگ	szín
رنگ	színes
رنگ	színe
رنگ	szín
افزایش	növekedés
افزایش	növelése
افزایش	emelkedés
افزایش	növelje
افزایش	növekszik
افزایش	növekvő
افزایش	fokozott
افزایش	emelkedett
افزایش	megnövelt
افزایش	megnőtt
افزایش	megnövekedett
افزایش	nőtt
طبیعی	természetes
طبیعی	szokásos
طبیعی	normális
طبیعی	normál
معروف	híres
معروف	híresség
مدیریت	kezelése
مدیریت	menedzsment
مدیریت	irányítás
مدیریت	vezetőség
مدیریت	gazdálkodás
مدیریت	irányítási
گل	virágok
گل	virág
گل	virágot
گل	virág
گل	virágos
گل	gól
گل	cél
انتشار	diffúziós
انتشار	kiadás
انتشار	kiadó
انتشار	közzététel
انتشار	kihirdetik
انتشار	közzététel
انتشار	kibocsátás
ایشان	ők
نیاز	kell
نیاز	szükséges
نیاز	kellett
نیاز	szükséges
نیاز	kell
نیاز	szükséglet
نیاز	szükségletei
نیاز	szükségletek
نیاز	szükséges
توضیح	hozzászólás
توضیح	megjegyzés
ترکیب	keverék
ترکیب	kombinálni
ترکیب	összetétel
ترکیب	összetétele
ترکیب	kombináció
ترکیب	összetett
ترکیب	vegyület
دریافت	átvevő
دریافت	kapni
دریافت	fogadás
دریافت	recepció
دریافت	befogadás
دریافت	vétel
رشته	string
رشته	szál
کننده	előadó
کننده	fellépő
موافق	egyetértek
هنری	henrik
هنری	henry
مواد	kábítószerek
مواد	gyógyszerek
مواد	drogot
مواد	kábítószer
مواد	drogok
مواد	drog
مواد	anyagok
مواد	anyag
مواد	anyaga
مواد	alapanyagok
مواد	anyagok
درباره	kb
درباره	nagyjából
درباره	körülbelül
کارگردانی	rendezte
کارگردانی	rendezett
کارگردانی	irányított
کارگردانی	rendezés
استرالیا	ausztrál
استرالیا	ausztrália
اجتماعی	társadalmi
اجتماعی	szociális
بانی	bonnie
جریان	áramlat
جریان	jelenlegi
جریان	aktuális
جریان	streaming
جریان	flow
جریان	áramlás
جریان	patak
طریق	via
نویسنده	író
نویسنده	író
نویسنده	szerző
ژانویه	januári
ژانویه	január
ژانویه	januárban
کنار	félre
کنار	oldalra
کنار	oldalam
کنار	side
انرژی	energia
انتخابات	választási
انتخابات	választás
انتخابات	választások
انتخابات	választások
حسن	hasan
حسن	hassan
ملیت	állampolgársága
ملیت	állampolgárság
مه	may
مه	május
مه	májusi
مه	májusban
مه	köd
مه	köd
مه	pára
کسی	valaki
کسی	valakit
ثانیه	másodpercek
ثانیه	másodperc
ثانیه	másodszor
ثانیه	másodperc
ثانیه	második
کل	teljes
کل	összesen
کل	egészben
کل	egész
کل	kal
اصفهان	iszfahán
خان	kahn
خان	khan
خان	kán
دکتر	orvos
انجمن	tanács
انجمن	társadalom
انجمن	testvériség
انجمن	közösség
انجمن	közösségi
انجمن	társulás
انجمن	társulási
انجمن	szövetség
انجمن	egyesület
غرب	nyugat
غرب	nyugati
توسعه	fejlesztés
توسعه	fejlődés
توسعه	fejlesztési
توسعه	fejlődő
توسعه	fejlesztése
فصل	fejezet
فصل	szezont
فصل	idény
فصل	évszak
فصل	évad
فصل	szezon
معمولاً	általában
رسید	elérte
رسید	elért
رسید	nyugta
رسید	átvétel
رسید	megérkezett
رسید	megérkeztek
ژوئیه	júliusban
ژوئیه	júliusi
ژوئیه	július
شوروی	szovjetek
شوروی	szovjetek
شوروی	szovjet
افغانستان	afganisztán
افغانستان	afganisztáni
ورزش	edzőterem
ورزش	sport
ورزش	gyakorlás
ورزش	testmozgás
ورزش	gyakorlat
ورزش	sport
ورزش	sportban
معماری	felépítés
معماری	építészet
معماری	építészet
معماری	építészeti
باند	kötés
باند	kötvény
باند	kötelék
باند	bond
آنجا	ott
پرندگان	madarak
آخرین	utoljára
آخرین	utolsónak
آخرین	last
آخرین	utolsó
آخرین	döntő
آخرین	végleges
آخرین	záró
آخرین	utolsó
آخرین	végső
آخرین	legújabb
آخرین	legutóbbi
آخرین	legfrissebb
پزشکی	orvosság
پزشکی	gyógyszert
پزشکی	gyógyszer
پزشکی	orvostudomány
پزشکی	orvosi
فرهنگی	tenyésztés
فرهنگی	kultúra
فرهنگی	kulturális
تلویزیون	tv
تلویزیون	televízió
دنیا	világ
دنیا	world
دنیا	vilag
خوانندگان	énekesek
خوانندگان	olvasó
خوانندگان	olvasók
خوانندگان	olvasó
جغرافیای	földrajz
حالت	állapot
حالت	állami
حالت	állam
حالت	mód
حالت	mode
حالت	üzemmód
حالت	hangulatban
حالت	hangulat
کوه	hegyen
کوه	hegyi
کوه	hegy
کوه	hegyek
کوه	mount
کوه	hegy
کوه	kuh
مقالات	árucikkek
مقالات	cikkek
مقالات	esszéket
عمل	művelet
عمل	fellépés
عمل	cselekvési
عمل	cselekvés
عمل	akció
عمل	operáció
عمل	művelet
عمل	működés
عمل	üzemeltetés
عمل	aktus
عمل	felvonás
کره	vaj
کره	vajat
کره	koreai
کره	korea
کره	koreai
کره	koreából
انتقال	átvitel
انتقال	továbbítás
انتقال	adás
انتقال	átviteli
انتقال	átvitel
انتقال	áthelyezés
انتقال	transzfer
انتقال	átállás
انتقال	átmenet
انتقال	áttérés
انتقال	átmeneti
انتقال	közlekedés
انتقال	fuvarozás
انتقال	szállítás
انتقال	közlekedési
فوریه	sürgős
فوریه	februárban
فوریه	februári
فوریه	február
ارائه	megjelenítés
ارائه	bemutatása
ارائه	bemutató
رود	folyami
رود	folyó
رود	rúd
رود	rod
رود	rud
سیاست	szabályzat
سیاست	politika
سیاست	politika
سیاست	diplomácia
فرانسوی	francia
فرانسوی	franciák
وطن	otthon
وطن	itthon
وطن	haza
