och	그리고
columbia	콜롬비아
columbia	콜럼비아
columbia	컬럼비아
tyskland	독일
svg	svg
fuktigt	습작
fuktigt	습윤
fuktigt	습기
fuktigt	촉촉한
eftersom	왜냐면
eftersom	왜냐하면
mexiko	멕시코
london	런던
används	사용함
används	사용됨
används	사용
hur	어떻게
bay	베이
barn	키즈
barn	애들
barn	아이들
barn	어린이
barn	아동
barn	어린이들
barn	자녀
barn	어린이
barn	아이들
barn	아이유
ekonomiska	경제
dem	그들
både	둘다
övrigt	기타
övrigt	다른
övrigt	기타
artikel	기사
england	잉글랜드
hennes	그녀의
hennes	그녀
hennes	그녀의
argentina	아르헨티나
argentina	아르헨티나인
mountain	산악
grund	기초
grund	근거
grund	기저
grekland	그리스
deras	그들의
förekommer	발생합니다
förekommer	발생
dam	숙녀
dam	레이디
dam	아줌마
karl	샤를
karl	찰스
karl	카를
idag	오늘도
idag	오늘
skådespelare	배우
skådespelare	배우
personer	국민
personer	사람
personer	명인
personer	사람들
endast	단발
endast	오직
öar	제도
danmark	덴마크
son	아들
österrike	오스트리아
helt	완전히
helt	완전히
artiklar	기사
redan	이미
redan	벌써
cirka	대략
före	이전
före	전에
william	윌리엄
känd	알려진
känd	유명한
känd	유명해
känd	유명인
känd	유명하다
känd	유명
engelska	영어
engelska	잉글리시
departement	부서
antal	카운트
antal	숫자
antal	번호
des	des
författare	작가
författare	제작자
författare	작성자
författare	작가
författare	작가
författare	작가
författare	저자
författare	제작자
författare	작성자
wikipedia	위키백과의
wikipedia	위키백과
vissa	특정
vissa	일부
cst	cst
äldre	노인
äldre	이전
gamla	늙은
gamla	오래된
allt	모두
allt	전체
lag	team
lag	법칙
lag	법률
lag	법학
diskussion	토론
diskussion	논의
medan	동안
kommuner	코뮌
kyrkan	교회
kullar	힐스
kullar	언덕
black	검은색
black	검정
black	검정색
black	블랙
asien	아시아
varje	꼴찌
varje	각각
bild	사진
bild	그림
bild	그림
bild	이미지
france	프랑스
vik	접어
vik	fold
politiker	정치
politiker	정치학
politiker	정치인들
politiker	정치인
politiker	정치가
politiker	정치인
politiker	정치가
politiker	정치
göra	make
left	좌파
left	왼쪽
band	테이프
band	밴드
band	밴드
band	테이프
band	리본
rio	리오
rock	바위
rock	rock
söderut	남부
söderut	사우스
söderut	남쪽
sista	마지막
sista	라스트
sista	기말고사
sista	파이널
sista	결승전
george	조지
george	죠지
delar	공유
delar	부품
delar	부분
delar	주식
delar	공유
auto	자동
hett	덥다
hett	hot
hett	뜨겁다
hett	뜨거운
norrut	북부
norrut	북쪽
norrut	노스
åren	수년
höjd	고도
höjd	고도
höjd	높이
höjd	키는
säsongen	시즌
säsongen	계절
poäng	점수
poäng	지점
poäng	포인트
poäng	점수
poäng	득점
poäng	점수
poäng	득점
poäng	지점
poäng	포인트
istället	대신
istället	대신에
peking	베이징
peking	베이징
tyska	독일
tyska	독일인
tyska	독일어
sätt	방법
sätt	웨이팅
sätt	way
sätt	웨이
egypten	이집트
stad	시내
stad	도시
stad	타운
stad	마을
stad	도시
stad	시티
norge	노르웨이
area	구역
area	영역
area	지역
area	면적
york	요크
därför	그러므로
makedonien	마케도니아
makedonien	마케도니아인
peter	베드로
peter	피터
franska	프랑스
franska	프랑스어
franska	프렌치
franska	프랑스인
vilken	어느
dominikanska	도미니카
västerut	서쪽
västerut	서부
västerut	웨스트
österut	동부
österut	이스트
österut	동쪽
omkring	주위
omkring	주변
schweiz	스위스
fall	대소문자
fall	케이스
fall	사례
fall	케이스
fall	사례
fall	떨어지지
fall	떨어지는
fall	떨어짐
tiden	시간
tiden	타임
tiden	time
bästa	최고
bästa	베스트
style	스타일
artikeln	기사
fil	파일
brasília	브라질리아
främst	주로
främst	주로
källa	소스
källa	원본
källa	출처
båda	둘다
kabul	카불
delas	공유
slutet	종료
slutet	끝내기
ast	ast
annan	기타
annan	다른
uppsala	웁살라
mätare	미터
mätare	미터
madrid	마드리드
antarktis	남극
antarktis	남극
erik	에리크
erik	에릭
erik	에리크
erik	에릭
paul	파울로스
paul	파울로
paul	바울
paul	파울
film	영화
film	필름
film	영화
robert	로버트
serien	시리즈
bra	좋다
fem	다섯
fem	파이브
ryssland	러시아
thomas	토머스
thomas	토마스
santiago	산티아고
deltog	참가
tysk	독일
tysk	독일인
tysk	독일어
vilka	who
vilka	어느
språk	언어
språk	언어
kinesiska	중국인
kinesiska	중국어
nuvarande	현재
nuvarande	전류
nuvarande	현재
nuvarande	선물
officiell	공식
officiell	official
källor	소스
källor	출처
stort	대형
sång	보컬
sång	노래
sång	송송
sång	노래
amerikanska	아메리칸
amerikanska	미국인
samband	커넥션
samband	연결
samband	상관
samband	상관관계
globalt	글로벌
globalt	전역
kroatien	크로아티아
kroatien	크로아티아인
egen	소유
egen	커스텀
egen	맞춤
pst	pst
utanför	밖에서
utanför	외부
utanför	바깥
mestadels	주로
mestadels	대부분
kvinnor	암컷
kvinnor	여성
kvinnor	여자들
kvinnor	여자
kvinnor	여성
tredje	세번째
tredje	셋째
charles	샤를
charles	찰스
art	예술
art	미술
art	아트
art	종족
riket	왕국
wales	웨일스
david	데이비드
david	다윗
david	데이빗
david	다비드
com	com
sidan	페이지
sidan	측면
sidan	사이드
resultat	공연
resultat	성과
resultat	성능
resultat	결과
resultat	결과
når	도달
ibland	때로는
ibland	가끔은
ibland	가끔
ibland	때때로
ibland	가끔씩
ibland	가끔
ibland	때때로
enda	싱글
enda	단일
enda	발바닥
kända	알려진
kända	유명한
kända	유명해
kända	유명인
kända	유명하다
kända	유명
universitet	대학
universitet	대학교
universitet	대학
rgb	rgb
libanon	레바논
paris	파리
utgör	포즈
kamerun	카메룬
border	국경
border	경계
border	경계선
border	테두리
trots	불구하고
musik	음악
musik	뮤직
maria	메리
maria	마리아
maria	마리아
tillbaka	다시
tillbaka	뒤로
form	형태
form	모양
form	형식
form	형태
form	양식
fått	받았습니다
fått	받은
fått	받음
historia	이야기
historia	스토리
historia	소식
historia	역사
historia	내역
historia	히스토리
historia	기록
nova	노바
dal	골짜기
dal	밸리
dal	계곡
låten	송송
låten	노래
fiji	피지
tjeckien	체코
tjeckien	체코어
james	제임스
albumet	앨범
albumet	음반
kring	주위
kring	주변
män	남성
män	수컷
män	멘트
män	남성
män	남자
alger	녹조류
alger	조류
alger	미역
gift	결혼
gift	독도
album	앨범
album	음반
album	앨범
album	음반
ner	다운
ner	아래로
innehåller	포함함
innehåller	포함
innehåller	포함됨
disk	디스크
räknas	카운트
little	리틀
gånger	타임스
gånger	타임즈
brook	브룩
övriga	기타
övriga	다른
övriga	기타
professor	교수
professor	교수님
las	라스
division	사단
division	디비전
martin	마르틴
martin	마틴
urval	선택
urval	표본
urval	견본
urval	샘플링
urval	샘플
city	도시
city	시티
totalt	총액
totalt	전체
totalt	전반적으로
totalt	전체적으로
totalt	전반
alexander	알렉산드르
alexander	알렉산더르
alexander	알렉산더
arena	아레나
period	기간
period	시대
period	주기
utc	utc
utc	표준시
grönland	그린란드
dag	하루
dag	데이
låg	낮은
låg	낮음
låg	low
året	year
året	연도
europa	유럽
kalifornien	캘리포니아
aldrig	절대
aldrig	never
aldrig	절대로
gruppen	그룹
gruppen	집단
miljoner	백만명
miljoner	백만
miljoner	수백만
henry	헨리
växter	식물
växter	식물학
växter	공장
växter	식물
växter	식물학
står	standing
står	스탠딩
står	스탠드
seed	시드
seed	seed
seed	씨앗
sex	여섯
sex	성교
sex	섹스
sex	성관계
sex	성별
spelar	연극
spelar	연주
spelar	재생
peak	피크
ledamot	멤버
ledamot	회원
orkidéer	난초과
orkidéer	난초
särskilt	특히
särskilt	특히
liv	생명
liv	생활
liv	라이프
liv	인생
liv	리브
queensland	퀸즐랜드
kvar	좌파
kvar	왼쪽
medlemmar	멤버
medlemmar	구성원
medlemmar	멤버들
sida	페이지
område	구역
område	영역
område	지역
område	면적
gustaf	구스타프
gustaf	가필드
fortfarande	아직도
fortfarande	여전히
min	광산
min	민아
min	민지
min	민수
airport	공항
airport	국제공항
befolkningen	인구순
befolkningen	인구
översättning	번역기
översättning	번역
louis	루이스
louis	루이
ordförande	회장
ordförande	대통령
ordförande	회장님
ordförande	회장
http	http
joseph	조셉
joseph	요제프
joseph	조제프
joseph	조지프
joseph	요셉
kanske	아마도
kanske	아마
kanske	아마도
kanske	아마
smith	스미스
världen	월드
världen	세상
världen	세계
användare	사용자
användare	사용자
varierad	다양하다
far	아버지
honduras	온두라스
bolivia	볼리비아
guld	골드
guld	황금
kuba	쿠바
center	중앙
center	중심
center	센터
dotter	딸이
god	좋다
luanda	루안다
grupp	그룹
grupp	집단
rätt	오른쪽
rätt	정답
rätt	올바른
roll	역할
svampar	버섯
svampar	버섯
svampar	곰팡이
ryska	러시아인
ryska	러시아어
henne	그녀
henne	그녀의
wien	비엔나
via	비아
via	via
italien	이탈리아
syrien	시리아
matcher	일치하는
matcher	성냥
matcher	일치
matcher	게임
arter	종족
hjälp	도움
hjälp	도움말
kriget	전쟁
klassen	학급
klassen	계급
klassen	클래스
klassen	수업
gustav	구스타프
gustav	가필드
university	대학교
university	대학
anna	안나
fredrik	프레더릭
fredrik	프리드리히
fler	기타
kort	카드
kort	짧게
kort	쇼트
kort	짧은
kort	카드
ungern	헝가리
gitarr	guitar
gitarr	기타
serie	시리즈
serie	직렬
serie	시리얼
gjort	완료
ledde	led
guinea	기니
ecuador	에콰도르
michael	마이클
michael	미하엘
michael	미카엘
rapport	신고
rapport	보고서
rapport	보고
lika	평등
tycker	생각하기
tycker	생각
brittisk	브리티시
brittisk	영국인
brittisk	영국
använda	사용하기
använda	이용하기
använda	사용하기
använda	사용
använda	이용
använda	사용하다
använda	사용함
använda	사용됨
använda	사용
fransk	프랑스
fransk	프랑스어
fransk	프렌치
fransk	프랑스인
ungefär	소개
ungefär	대략
ungefär	대충
ungefär	대략
tal	연설
tal	음성
tal	숫자
tal	번호
tal	숫자
gäller	적용
gäller	적용됩니다
gäller	적용된다
sarajevo	사라예보
människor	인간들
människor	인간
människor	국민
människor	사람
människor	명인
människor	사람들
slutade	중단됨
slutade	종료되었습니다
world	월드
world	세상
world	세계
august	아우구스트
visar	디스플레이
head	헤드
head	머리
flyttade	감동
nästan	거의
egna	소유
ursprungligen	원래
brittiska	브리티시
brittiska	영국인
brittiska	영국
etiopien	에티오피아
grande	그란데
grottor	동굴
christian	기독교
christian	크리스티안
christian	크리스천
christian	크리스찬
just	정확하게
just	정확히
newfoundland	뉴펀들랜드
klubben	클럽
yta	표면
yta	지표면
yta	구역
yta	영역
yta	지역
yta	면적
vatten	물이
vatten	워터
vatten	워터스
spelare	플레이어
spelare	재생기
spelare	선수
spelare	플레이어
spelare	선수
spelare	플레이어스
andersson	안데르손
igen	다시
igen	또다시
start	시작하기
start	시작
start	스타트업
start	시작
oftast	보통
oftast	주로
oftast	대부분
richard	리차드
richard	리처드
reservoar	저수지
berlin	베를린
byte	바이트
medlem	멤버
medlem	회원
ännu	아직
liten	작아
liten	소작
liten	리틀
guatemala	과테말라
version	버전
manitoba	매니토바
information	정보
guyana	가이아나
stränder	바닷가
stränder	해변
love	러브
love	사랑
national	국립
national	내셔널
national	국민
sur	사워
sur	sur
använder	사용하기
använder	사용
typ	형식
typ	타입
typ	종류
typ	유형
arbete	퇴근
arbete	직장
arbete	작업
problem	문제
problem	문제
problem	쟁점
problem	이슈
problem	문제
grand	그랜드
irland	아일랜드
säga	say
alltså	그러므로
edward	에드워드
grundades	설립
varmt	덥다
varmt	hot
varmt	뜨겁다
varmt	뜨거운
varmt	따뜻하다
laget	team
botten	바닥
botten	아래쪽
botten	밑바닥
botten	아래
botten	하단
botten	바닥
lilla	리틀
year	year
year	연도
bror	오빠
bror	아우
washington	워싱턴
hög	높음
hög	하이
vuxna	성인
vuxna	어른
vuxna	성인
vuxna	어른
internationella	국제
internationella	인터내셔널
daniel	다니엘
daniel	대니얼
mark	표시
mark	마르크
mark	마크
marie	마리야
marie	마리
japan	재팬
japan	일본
förutom	빼고
dagar	데이즈
direkt	직접
direkt	직통
direkt	direct
direkt	다이렉트
records	레코드
stift	pin
stift	고정
lund	룬드
politiska	정치
politiska	정치적
mitten	중간
mitten	가운데
mitten	중앙
mitten	중심
mitten	센터
georg	조지
georg	죠지
alltid	항상
alltid	언제나
otto	오토
united	united
united	유나이티드
aktiv	활성화
aktiv	활동
aktiv	액티브
aktiv	활성
inget	아무것도
silver	실버
henrik	헨리
walker	워커
karriär	경력
karriär	직업
karriär	커리어
karriär	커리어
president	회장
president	대통령
federationen	연맹
federationen	연방
mitt	광산
kungliga	로열
kungliga	로얄
alto	알토
nils	닐스
slut	종료
slut	끝내기
liknande	비슷함
liknande	유사한
liknande	비슷한
liknande	유사
league	동맹
league	리그
person	사람
anspråk	주장
anspråk	발급
anspråk	주장
komma	쉼표
komma	출시
komma	coming
små	작아
små	소작
spela	놀기
spela	재생
spela	연주
spela	플레이
bilder	그림
bilder	이미지
bilder	사진
bilder	사진들
bilder	픽처스
bilder	슬라이드
bilder	사진
bilder	사진들
nummer	숫자
nummer	번호
nummer	숫자
hand	핸드
slaget	전투
slaget	배틀
spelet	게임
spelet	경기
väg	노선
väg	경로
väg	도로
väg	로드
rum	객실
pierre	피에르
djur	동물들
djur	동물
djur	애니멀
djur	동물
djur	동물학
central	중부
central	센트럴
färg	색상
färg	컬러
färg	색상
färg	컬러
färg	paint
färg	페인트
färg	페인팅
strand	해안
strand	해변
strand	바닷가
strand	해변
strand	비치
säsong	시즌
säsong	계절
företaget	회사
företaget	컴퍼니
företaget	기업
regi	감독
regi	연출
punkt	문단
punkt	단락
punkt	dot
punkt	지점
punkt	포인트
områden	지역
områden	영역
gifte	결혼
skriva	쓰기
skriva	글쓰기
skriva	타이핑
skriva	쓰기
skriva	글쓰기
international	국제
international	인터내셔널
börjar	시작
börjar	시작
avsnitt	섹션
avsnitt	섹션
avsnitt	에피소드
avsnitt	에피소드
bas	기지
bas	베이스
bas	베이스
bas	배스
sankt	세인트
verkar	나타납니다
eget	소유
fotboll	축구
fotboll	축구
fotboll	미식축구
fotboll	풋볼
sven	스벤
white	하얀
white	화이트
white	흰색
white	하얀색
white	하얗게
ord	워드
ord	word
ord	단어
ord	words
ord	단어
referens	참조
referens	참고
tall	소나무
tall	파인
delvis	부분적
delvis	부분
delvis	부분적으로
delvis	부분적으로
museum	박물관
sju	세븐
sju	일곱
unit	유닛
unit	unit
unit	단위
verksamhet	작전
verksamhet	운영
verksamhet	활동
verksamhet	활동
lever	간간
lever	간디
position	직위
position	위치
position	포지션
minst	최소
minst	최소
adolf	아돌프
albert	알베르트
albert	앨버트
belgien	벨기에
texas	텍사스
victoria	빅토리아
officiella	공식
officiella	official
bakom	뒤에
rev	레브
rev	암초
heinrich	하인리히
solid	단색
solid	고체
solid	입체
solid	솔리드
magnus	매그너스
magnus	마누스
magnus	마그누스
slott	궁궐
slott	궁전
familj	가족
familj	가족과
familj	패밀리
huset	하우스
regeringen	내각
regeringen	정부
trummor	드럼
trummor	드럼은
spel	도박
spel	게임
spel	경기
spel	게임
aten	아테네
svenskt	스웨덴어
svenskt	스웨덴
svenskt	스웨덴인
rad	라인
rad	라드
sett	읽음
hus	하우스
hus	주택
långt	멀다
förlorade	분실
förlorade	로스트
förlorade	잃어버린
par	커플
par	부부
par	켤레
par	커플
par	부부
enbart	단발
enbart	오직
stefan	스테파노
stefan	스티븐
stefan	스테판
stefan	슈테판
fast	고정
åtta	여덟
åtta	eight
arabiska	아랍인
arabiska	아랍
arabiska	아라비아어
arabiska	아라비아
arabiska	아랍어
santo	산토
bern	베른
bern	베른
tror	believe
tror	믿기
tror	생각하기
tror	생각
peru	페루
djibouti	지부티
costa	코스타
chef	관리자
chef	매니저
chef	과장
chef	치프
chef	사장님
chef	보스
system	체계
system	시스템
system	체계
system	시스템
stöd	원조
stöd	지원
stöd	지지
stöd	후원
stöd	원조
nilsson	닐슨
brukar	보통
innehåll	콘텐츠
innehåll	컨텐츠
innehåll	내용
innehåll	목차
innehåll	콘텐츠
innehåll	내용
mellersta	중간
mellersta	가운데
mellersta	중부
mellersta	센트럴
låtar	노래
låtar	songs
axel	어깨
omfattar	커버
ackumulerade	누적
skolan	학교
skolan	학교는
skolan	스쿨
skolan	학원
kontinent	대륙
roman	로만
roman	로마
roman	소설
stadium	경기장
stadium	스타디움
stadium	스테이지
stadium	무대
gränsen	국경
gränsen	경계
gränsen	경계선
gränsen	테두리
radio	라디오방송
radio	라디오
dansk	덴마크어
dansk	덴마크
företag	업체
företag	사업
företag	비즈니스
företag	회사
företag	컴퍼니
företag	기업
företag	회사
företag	비즈니스
företag	엔터프라이즈
företag	기업
startade	시작되었습니다
startade	시작했습니다
startade	시작됨
orten	도시
orten	시티
nere	다운
nere	아래로
örebro	외레브로
rom	로마
rom	rom
betydelse	중요성
betydelse	의미
starkt	강력하게
starkt	강한
starkt	스트롱
finska	핀란드어
finska	핀란드
köpenhamn	코펜하겐
skapa	만듭니다
skapa	만들기
skapa	생성
skapa	만드세요
skapa	만들기
musiker	음악가
musiker	연주자
musiker	뮤지션
musiker	음악가
musiker	연주자
musiker	뮤지션
sångare	가수
sångare	싱어
sångare	보컬
hem	집에
hem	고향
hem	집으로
hem	가정
ursprung	출처
polen	폴란드
håller	동의
bulgarien	불가리아
ordning	순서
ordning	주문
förslag	제안
förslag	추천
förslag	제안
förslag	제안
förlag	출판사
förlag	퍼블리셔
förlag	출판
förlag	게시
förlag	출판
förlag	출판사
parti	party
parti	파티
parti	위탁
parti	배치
parti	일괄
äldsta	장수
singel	싱글
singel	단일
behöver	필요
alfred	알프레드
alfred	앨프레드
alfred	앨프리드
jar	항아리
vanligen	보통
danska	덴마크어
danska	덴마크
genre	장르
colorado	콜로라도
procent	백분율
procent	퍼센트
procent	비율
procent	퍼센트
procent	백분율
procent	비율
territorium	영토
territorium	준주
live	생방송
live	라이브
ludwig	루트비히
ludwig	루드비히
vägen	도로
vägen	로드
gammal	늙은
gammal	오래된
tryckta	인쇄물
tryckta	인쇄
modern	모던
modern	현대
modern	근대
modern	근황
centrum	다운타운
centrum	시내
centrum	중앙
centrum	중심
centrum	센터
centrum	중앙
centrum	센터
hemsida	웹사이트
hemsida	홈페이지
studier	공부해
studier	공부하기
studier	공부
studier	연구
studier	공부
filmer	필름
filmer	영화
filmer	영화
byn	빌리지
byn	마을
carolina	카롤리나
carolina	캐롤라이나
ben	다리
ben	다리
montana	몬태나
roller	롤러
roller	역할
skopje	스코페
uppdrag	미션
uppdrag	할당
uppdrag	미션
uppdrag	선교
uppdrag	할당
francis	프랜시스
vita	하얀
vita	화이트
vita	흰색
vita	하얀색
vita	하얗게
kanal	운하
kanal	채널
ålder	연령
ålder	나이에
ålder	나이
fjärde	넷째
fjärde	네번째
club	클럽
flertal	다중
tidigt	초기
tidigt	일찍
konstnär	화가
konstnär	음악가
konstnär	예술가
konstnär	아티스트
konstnär	아티스트가
stil	스타일
troligen	아마도
troligen	아마
troligen	가능성
senaste	최근
senaste	마지막
senaste	라스트
senaste	최근
senaste	최신
ändå	아직도
ändå	여전히
ändå	아직
kastilien	카스티야
die	죽는다
tidningen	신문
tidningen	잡지
tidningen	매거진
gräs	냄비
gräs	화분
gräs	잔디
port	항구
port	포트
mine	광산
beirut	베이루트
ledare	리더
ledare	지도자
ledare	리더
ledare	지도자
dalarna	골짜기
mst	mst
material	물질
material	재료
material	소재
material	재료
don	don
norska	노르웨이어
norska	노르웨이
folk	포크
folk	민속
folk	국민
folk	사람
folk	명인
folk	사람들
nästa	다음
nästa	넥스트
skogar	우즈
monte	몬테
cup	cup
skottland	스코틀랜드
historiska	사적
historiska	역사
norsk	노르웨이어
norsk	노르웨이
längd	기간
längd	길이
längd	높이
längd	키는
brown	갈색
brown	브라운
skillnad	차이
skillnad	차이점
omfattande	포괄적
karta	지도
insekter	곤충
insekter	벅스
insekter	버그
insekter	곤충
möjligt	가능한
möjligt	가능
grekiska	그리스어
grekiska	그리스
snabbt	빠른
snabbt	빠르다
snabbt	빨라
snabbt	빠름
snabbt	빠르게
armén	육군
armén	군대
program	프로그램
program	프로그램
egentligen	사실
egentligen	실제로
programmet	프로그램
venezuela	베네수엘라
visade	표시됨
visade	추천
visade	대표
visade	조회
gud	하느님
gud	하나님
sommaren	여름
svårt	열심히
svårt	하드
svårt	어려워
svårt	어려운
svårt	어려움
svårt	어려워
mera	기타
star	항성
alaska	알래스카
mor	엄마
mor	어머니
green	녹색
green	그린
green	초록색
green	초록
klippa	잘라
klippa	클리프
klippa	절벽
klippa	바위
klippa	rock
röda	레즈
röda	붉은
röda	붉은색
röda	레드
röda	빨간색
röda	빨강
one	하나
williams	윌리암스
williams	윌리엄스
beach	바닷가
beach	해변
beach	비치
aktiva	활성화
aktiva	활동
aktiva	액티브
aktiva	활성
