rahman	рахман
entrat	въведен
conscient	съзнание
conscient	съзнателно
conscient	съзнателен
capitals	столици
sensible	чувствително
sensible	чувствителен
sensible	чувствителни
sensible	чувствителна
criminal	престъпник
criminal	престъпно
warner	уорнър
humits	влажна
humits	влажно
humits	влажни
humits	влажен
bank	банк
bank	банката
bank	bank
bank	банка
essència	същността
essència	същност
franges	слотове
vectors	вектори
bit	бит
gustav	густав
decorats	награден
decorats	награждаван
fans	вентилатори
fans	фенове
fans	почитатели
fans	феновете
domina	доминира
julien	джулиън
julien	жулиен
josef	йозеф
josef	йосиф
esclau	роб
esclau	робиня
tebes	тива
hms	hms
ajudat	помогнал
setena	седмо
setena	седма
setena	седми
maduresa	зрялост
maduresa	падеж
schmidt	шмит
schmidt	шмид
condemna	осъждане
condemna	осъжда
adjacents	съседни
construeix	построяване
anatòlia	анадола
bany	банята
bany	тоалетна
bany	баня
estimació	оцени
barba	брада
barba	брадата
exportació	изнасяне
exportació	износ
suports	реквизит
suports	подпори
notre	notre
notre	нотр
anatomia	анатомия
anatomia	анатомията
codificació	кодиране
codificació	кодиране
francesca	франческа
jurament	клетва
venjança	отмъщението
venjança	отмъщение
venjança	мъст
venjança	мъст
venjança	отмъщение
venjança	отмъщението
mercenaris	наемници
alep	алепо
medicaments	лекарства
habitacions	стаите
habitacions	стаи
tija	стволови
exclusiva	изключително
exclusiva	ексклузивно
exclusiva	изключителни
exclusiva	изключителна
integrant	интегриране
contractat	наета
contractat	наети
contractat	нает
subclassis	subclassis
sumatra	суматра
scala	скала
passatge	проход
passatge	преминаване
passatge	пасаж
veïnat	квартал
veïnat	съседство
recuperat	възстановено
recuperat	възстановен
recuperat	възстановени
recuperat	възстановена
registrat	регистриран
registrat	регистрирана
registrat	регистрирано
registrat	регистрирани
relatiu	относителна
relatiu	роднина
relatiu	относително
next	следващо
next	следващ
next	следваща
proporcional	пропорционална
proporcional	пропорционални
proporcional	пропорционално
gastronomia	гастрономия
pisa	пиза
dependent	зависима
dependent	зависими
dependent	зависимо
dependent	зависим
esperant	чакаме
esperant	изчакване
esperant	чакане
esperant	чакам
concentrar	концентрат
gonzalo	гонсало
característics	характерен
característics	характерни
característics	характеристика
incendis	огньове
incendis	пожари
pretor	претор
sony	sony
sony	сони
kurt	кърт
kurt	курт
ibm	ibm
suggerir	предполагат
sou	заплатата
sou	заплати
sou	заплата
focs	фойерверки
dividits	разделена
dividits	разделено
dividits	разделени
dividits	разделен
preservació	запазване
preservació	съхранение
preservació	опазване
thompson	томсън
thompson	томпсън
oportunitats	възможности
cook	готви
cook	кук
cook	готвач
cook	готвене
eugeni	юджийн
assistents	участници
assistents	асистентите
assistents	асистенти
assistents	сътрудници
assistents	помощници
targetes	картите
targetes	карти
targetes	картички
latitud	ширина
agrària	agraria
motocròs	мотокрос
concentracions	концентрациите
concentracions	концентрации
caçadors	ловци
catherine	катрин
catherine	катерина
uganda	уганда
reglament	регламент
reglament	регулация
reglament	регулиране
residir	пребивават
beguda	напитка
beguda	пийте
beguda	пий
beguda	питие
bicicleta	велосипед
bicicleta	велосипеди
bicicleta	колело
duració	времетраене
duració	продължителност
consolidació	консолидиране
consolidació	консолидация
neolític	неолитна
determinació	решителност
determinació	решимост
determinació	определяне
elevades	повишени
elevades	повишена
elevades	повишен
pep	пеп
combinat	комбинирана
combinat	комбинирано
combinat	комбинирани
combinat	комбиниран
facció	фракция
sultanat	султанат
école	école
folre	накладки
carlota	шарлот
carlota	шарлота
carlota	шарлът
estels	звездички
estels	звездите
estels	звезди
khanat	ханство
negatius	негативите
negatius	негативи
esclavitud	робство
paleolític	палеолит
àtom	атом
àtom	атома
segòvia	сеговия
pastoral	пасторална
ortega	ортега
ramírez	рамирез
ramírez	рамирес
dinosaures	динозаврите
dinosaures	динозаври
immediata	незабавно
esquadra	отряд
esquadra	взвод
levi	ливай
levi	леви
dead	мъртви
dead	мъртва
dead	мъртъв
brut	брут
lang	ланг
clans	кланове
porció	порция
tubs	тръби
celebracions	празненства
celebracions	тържества
accidents	инциденти
accidents	злополуки
accidents	аварии
accidents	произшествия
entrant	титуляр
entrant	стартов
lloyd	лойд
fix	фиксирани
fix	фиксирана
fix	поправен
fix	фиксиран
privilegi	привилегии
privilegi	привилегия
apòstols	пратеници
càlculs	изчисления
càlculs	изчисленията
acompanyament	площадка
acompanyament	подложка
acompanyament	съпровод
descàrrega	сваляне
descàrrega	изтегли
descàrrega	изтегляне
realista	реалистични
realista	реалистично
realista	реалистична
realista	реалистичен
ras	рас
angel	ейнджъл
angel	ангел
angel	angel
angel	анхел
handbol	хандбал
mercedes	мерцедес
mercedes	мерседес
bizanci	византия
hondures	хондурас
malawi	малави
primari	първична
primari	първични
primari	първичен
primari	първично
mobilitat	мобилност
mobilitat	подвижност
crustacis	ракообразни
presidir	председателства
racó	ъгъл
racó	ъгъла
canet	кане
troia	трой
troia	троя
pintada	токачка
erupció	изригване
gats	котките
gats	котки
homer	хомър
homer	омир
homer	хоумър
perpendicular	перпендикулярна
perpendicular	перпендикулярни
costaneres	крайбрежните
costaneres	крайбрежни
poderosa	мощен
poderosa	мощно
poderosa	мощна
sàhara	сахара
promotor	организатор
tabac	тютюн
metropolitan	метрополитън
pics	куршумите
pics	патрони
pics	куршуми
pics	върхове
fiable	надеждно
fiable	надежден
fiable	надеждни
fiable	надеждна
montpeller	монпелие
assassí	убийствен
assassí	убиец
precipitacions	валежи
eficiència	кпд
eficiència	ефективност
eficiència	ефикасност
sencera	цялата
sencera	цяла
sencera	цял
sencera	цялото
entesa	разбирателство
entesa	разбиране
coberts	прибори
stanford	станфорд
info	информация
info	info
info	инфо
virgili	върджил
classic	класик
classic	класическо
classic	класическа
classic	класика
classic	класически
cràter	кратер
cràter	кратера
esquadró	ескадрила
suprema	върховен
suprema	върховния
suprema	върховна
suprema	върховно
antologia	антология
franquícia	франчайз
declaracions	отчети
declaracions	изявления
declaracions	твърдения
mecànic	механика
mecànic	монтьор
mecànic	механик
mecànic	механична
mecànic	механично
mecànic	механични
mecànic	механичен
explorar	изследва
hereva	наследница
diferencial	диференциал
martell	мартел
esplendor	великолепие
esplendor	разкош
baker	бейкър
turistes	туристи
calcària	варовик
revela	разкрива
leiden	лайден
limitacions	ограничения
annals	анали
consola	конзолата
consola	конзола
partició	дял
partició	разделяне
postura	поза
postura	стойка
postura	стойката
tribunals	съдилищата
tribunals	съдилища
sagristia	ризницата
descomposició	разлагане
significativament	значително
conreus	култури
conreus	насаждения
respostes	отговори
respostes	отговори
respostes	отговори
conservadors	консерваторите
conservadors	консерватори
candidatures	заявки
candidatures	номинации
candidatures	кандидатури
gòbids	попче
mariners	моряците
mariners	моряци
suportar	изтърпи
horari	график
horari	графика
horari	разписание
annexió	анексирането
kurdistan	кюрдистан
devoció	преданост
devoció	отдаденост
kent	кент
remei	лек
portals	портали
melodies	мелодии
mixta	смесен
mixta	смесени
mixta	смесено
mixta	смесена
gules	таласъми
mosaic	мозайка
proa	поклон
auxiliars	спомагателна
desenes	десетки
atacant	атакува
atacant	нападам
agnès	агнес
evans	евънс
evans	еванс
utrecht	утрехт
infeccions	инфекция
infeccions	инфекции
explotar	експлодира
lliurement	свободно
olivier	оливие
genèric	общи
gendarmeria	жандармерия
gendarmeria	жандармерията
vocació	призвание
successives	последователни
complement	приставка
estesa	полагане
graham	греъм
prosperitat	благоденствие
prosperitat	благополучие
prosperitat	просперитет
tràcia	тракия
savi	мъдра
savi	мъдро
savi	мъдри
savi	мъдър
andes	андите
cantàbria	кантабрия
gutiérrez	гутиерес
belgrad	белград
ingredients	съставки
ingredients	съставките
advocats	адвокати
advocats	адвокатите
advocats	юристи
mills	милс
mills	мелници
fuga	фуга
fuga	бягство
rom	ром
rom	ром
louise	луиз
hospitals	болници
hospitals	болниците
obligació	задължение
obligació	задължения
esteban	естебан
sara	сара
villanueva	вилануева
oslo	осло
prevenció	предотвратяване
prevenció	профилактика
prevenció	превенция
mussolini	мусолини
bombarders	бомбардировачи
comparar	сравни
comparar	сравнение
comparar	сравняване
vespre	вечер
vespre	вечерта
vespre	вечерно
morales	моралес
jeff	джеф
descans	прекъсване
descans	почивка
descans	почивка
bryan	браян
bryan	брайън
tallada	издълбани
radar	радар
radar	радара
radar	радарът
sopar	вечерята
sopar	вечеря
sopar	вечеря
contingent	контингент
residencial	жилищна
residencial	жилищни
residencial	жилищен
johan	йохан
caracteritzat	характеризира
lisa	лиза
lisa	лиса
plasma	плазмена
plasma	плазмен
plasma	плазма
plasma	плазмените
plasma	плазмата
ratolí	маус
ratolí	миши
ratolí	мишки
ratolí	мишка
folk	фолк
folk	народни
basilea	базел
corbes	криви
correcció	поправка
correcció	корекция
correcció	коригиране
correcció	коректност
àvia	бабо
àvia	баба
cooper	купър
guillermo	гилермо
mostrat	показано
mostrat	показан
mostrat	показани
mostrat	показано
néta	внучката
néta	внучка
folklore	фолклор
gant	гент
seine	сена
raïm	грозде
solo	соло
hot	горещи
hot	гореща
hot	горещо
hot	секси
administracions	администрации
conqueridor	завоевател
herman	хърман
herman	херман
werner	вернер
rituals	ритуалите
rituals	обреди
rituals	ритуали
discursos	изказвания
discursos	речи
discursos	речите
bust	бюст
amfibis	земноводни
sts	sts
detinguts	задържани
detinguts	задържаните
desenvolupats	разработена
desenvolupats	развит
desenvolupats	разработени
desenvolupats	разработен
desenvolupats	развитите
desenvolupats	развита
mikhaïl	михаил
caledònia	каледония
detenció	арест
detenció	арестуван
detenció	задържане
entrevistes	интервюта
entrevistes	разпити
entrevistes	интервютата
audiovisual	аудиовизуални
subespècie	подвид
sofre	сяра
aïllada	изолирана
aïllada	изолирано
aïllada	изолирани
aïllada	изолиран
manhattan	манхатън
hopkins	хопкинс
haia	хага
melbourne	мелбърн
sociologia	социология
estratègic	стратегическо
estratègic	стратегическа
estratègic	стратегически
teva	твой
teva	твоя
teva	твоята
jerry	джери
namíbia	намибия
ramos	рамос
teòrica	теоретично
teòrica	теоретични
teòrica	теоретична
timbre	бел
timbre	камбана
timbre	звънче
timbre	звънец
acumulació	натрупване
magatzems	складове
mali	мали
weimar	ваймар
pous	уелс
pous	кладенци
taverna	механа
montblanc	монблан
true	истина
true	верни
true	вярно
connecticut	кънектикът
impost	данъци
impost	данък
aurora	аврора
aurora	аурора
terrat	покрив
darwin	дарвин
institucional	институционални
institucional	институционална
institucional	институционално
lugo	луго
coets	ракети
romàntic	романтични
romàntic	романтично
romàntic	романтична
romàntic	романтик
romàntic	романтика
romàntic	романтичен
precipitació	валежи
precipitació	утаяване
executiva	изпълнителна
executiva	изпълнителни
matthew	матю
matthew	матей
preservar	запазване
intermedi	междинна
intermedi	междинно
intermedi	междинен
beatriu	беатрис
polígon	многоъгълник
corregir	правилно
traspàs	трансфер
traspàs	преместване
traspàs	прехвърляне
compartit	споделено
compartit	споделена
compartit	споделени
pero	перо
desapareguda	липсващ
desapareguda	изчезнал
desapareguda	липсва
desapareguda	липсваща
desapareguda	липсващи
desapareguda	изчезнала
butlletí	бюлетин
butlletí	бюлетина
butlletí	бюлетин
hercegovina	херцеговина
groenlàndia	гренландия
inca	инките
maquinari	хардуер
oceania	океания
studio	ателие
studio	студио
nadiu	родна
nadiu	местни
shadow	сенки
shadow	сянката
shadow	сянка
obtinguts	получено
obtinguts	получена
obtinguts	получен
obtinguts	получени
indo	индо
faccions	фракции
aixeca	асансьори
zoologia	зоология
efectius	войски
efectius	военнослужещи
efectius	войска
efectius	войници
toro	торо
campanes	камбаните
campanes	камбани
campanes	звънчета
extraordinària	необикновено
extraordinària	необикновен
extraordinària	изключителна
basar	базар
vuitè	осма
vuitè	осми
vuitè	осмо
ron	рон
migració	миграцията
migració	миграция
antropologia	антропология
princeton	принстън
baptiste	батист
baptiste	баптист
carro	карт
carro	количката
carro	количка
carro	каруца
estatuts	устав
estatuts	устава
assignat	назначена
assignat	назначен
solana	солана
solana	слънчице
solana	слънце
precisa	точен
precisa	точна
precisa	точни
turner	търнър
palaus	дворци
auge	авга
mesopotàmia	месопотамия
pradesh	прадеш
tiges	произтича
vestuari	гардероб
vestuari	гардероба
vestuari	костюми
vestuari	костюмите
renúncia	оставката
renúncia	оставка
caigut	паднал
caigut	паднали
caigut	паднало
caigut	паднала
disset	седемнадесет
disset	седемнайсет
controlada	контролирана
controlada	контролиран
controlada	контролирани
controlada	контролирано
circumferència	кръгче
circumferència	кръгът
circumferència	окръжност
circumferència	кръговрат
circumferència	кръг
epidèmia	епидемия
epidèmia	епидемията
epidèmia	епидемии
prehistòria	праисторията
transversal	напречен
transversal	напречно
divulgació	разкриване
divulgació	оповестяване
divulgació	разгласяване
salvatges	диваци
naturalista	естественик
moderat	умерено
moderat	умерен
moderat	умерена
moros	маврите
guillaume	гийом
meca	мека
tve	tve
visitant	посетител
dolç	сладък
dolç	мило
dolç	сладко
dolç	сладки
dolç	сладка
géry	géry
larry	лари
patent	патент
twitter	twitter
twitter	туитър
wayne	уейн
cerimònies	церемонии
fictici	измислен
fictici	измислени
escates	везни
escates	люспи
vocabulari	речник
vocabulari	речника
pila	купчина
dick	кур
dick	дик
dick	хуй
edimburg	единбург
narbona	нарбон
motocicletes	мотори
motocicletes	мотоциклети
arsenal	арсенал
transformacions	трансформации
desapareix	изчезва
acusació	обвинение
delictes	престъпления
afirmació	утвърждаване
ortiz	ортиз
avenç	пробив
cia	цру
cia	цру
pink	розово
pink	розов
pink	розова
pink	розови
iglesias	иглесиас
dave	дейв
ventre	утробата
ventre	утроба
ventre	матка
hannover	хановер
submarí	подводница
submarí	подводницата
llibertats	свободи
servidors	сървъри
servidors	сървърите
excepcions	изключения
jamaica	ямайка
letó	латвийски
evolucionar	еволюира
generat	генерирани
sals	соли
ken	кен
observador	наблюдател
tiberi	тиберий
fotogràfica	фотографски
fotogràfica	фотографска
controlat	контролирана
controlat	контролиран
controlat	контролирани
controlat	контролирано
almeria	алмерия
quintana	кинтана
valoració	оценяване
valoració	оценка
interaccions	взаимодействия
interaccions	взаимодействията
pesant	тежка
pesant	тежки
pesant	тежък
pesant	тежко
atlanta	атланта
substitueix	замяна
substitueix	замени
substitueix	заместване
recomana	препоръчваме
recomana	препоръчвам
recomana	препоръча
recomana	препоръчва
houston	хюстън
singapur	сингапур
deure	мито
deure	дълг
deure	задължение
assíria	асирия
aprenent	чирак
rubí	руби
northern	северни
northern	северен
northern	северна
sul	сул
fritz	фриц
marxista	марксист
edgar	едгар
fallida	фалит
fallida	банкрут
fallida	несъстоятелност
pietat	мърси
pietat	милосърдие
pietat	милост
phil	фил
andreas	андреас
joies	бижута
joies	скъпоценности
antecedents	фон
antecedents	контекст
ryan	райън
ryan	раян
versalles	версай
pica	пайк
qualificació	рейтинги
qualificació	рейтинг
qualificació	квалификация
búlgar	българка
búlgar	българско
búlgar	българска
búlgar	българин
búlgar	български
borrell	борел
deutsche	deutsche
deutsche	дойче
albacete	албасете
repúbliques	републики
susan	сюзън
convidats	гостите
convidats	гости
bàrbara	барбара
infern	ад
infern	ада
infern	ад
revolucionaris	революционери
lost	изгубено
lost	изгубени
lost	изгубена
lost	загубен
lost	загуби
lost	изгубен
mini	мини
filòsofs	философи
rosario	росарио
buits	пропуски
salvat	спасена
salvat	спасен
salvat	спасени
carbonell	карбонел
permanents	постоянен
permanents	постоянни
permanents	постоянна
modest	скромен
modest	скромно
modest	скромна
modest	скромни
segments	сегменти
mansur	мансур
nikolai	николай
nikolai	николай
marcos	маркос
amplitud	амплитуда
inter	inter
inter	интер
especialitzats	специализирана
especialitzats	специализиран
especialitzats	специализирани
geologia	геология
avaluar	оцени
banca	пейката
banca	пейка
llars	домакинства
llars	домакинствата
gall	петел
desnivell	склон
desnivell	наклон
aristocràcia	аристокрация
piscina	басейн
piscina	пул
piscina	билярд
atles	атлас
imdb	imdb
allegro	алегро
clars	ясно
clars	изчистване
acusats	обвиняемите
acusats	обвиняеми
nuevo	нуево
artesans	занаятчии
suplent	алтернативно
suplent	алтернативна
suplent	алтернативен
participacions	акции
participacions	дялове
marató	маратон
ànimes	души
ànimes	душите
cec	сляпа
cec	слепи
cec	сляп
cec	сляпо
secretària	секретар
secretària	секретарка
feliç	щастлив
feliç	щастливи
feliç	щастлива
feliç	щастливо
feliç	хепи
exiliats	изгнаници
distribuïts	разпределена
distribuïts	разпределени
distribuïts	разпределен
distribuïts	разпределено
marino	марино
madame	мадам
emigració	емиграция
multimèdia	мултимедийни
creades	създадени
creades	създадено
creades	създадена
creades	създаде
creades	създаден
fosfat	фосфат
ipa	ипп
enclavament	анклав
ferrara	ферара
mag	фокусник
mag	магьосник
mag	маг
act	act
act	акт
autobusos	автобуси
autobusos	автобусите
ovelles	овце
ovelles	овче
ovelles	овца
confirma	потвърждение
confirma	потвърждавам
confirma	потвърждаване
confirma	потвърди
mariner	моряк
adjacent	съседни
matilde	матилда
gloria	глория
logotip	лого
logotip	логото
infinit	безкрайни
infinit	безкрайно
infinit	безкраен
infinit	безкрайна
infinit	безкрайност
infinit	безкрайността
jason	джейсън
jason	язон
guerrer	воин
guerrer	войн
guerrer	боец
römer	römer
revestiment	покрития
revestiment	покритие
pineda	пинеда
comandants	командирите
comandants	командири
perfecta	перфектна
perfecta	перфектно
perfecta	перфектен
perfecta	съвършен
charlotte	шарлот
charlotte	шарлота
charlotte	шарлът
actualització	актуализира
actualització	актуализиране
actualització	обновяване
actualització	актуализация
cromosoma	хромозома
diccionaris	речници
predominant	преобладаващ
coca	кокаин
coca	кока
inundacions	наводнения
inundacions	наводнение
sanz	санс
salts	гмуркане
salts	скокове
salts	скача
gregorio	грегорио
zur	zur
milícia	милиция
milícia	милицията
helen	хелен
helen	хелън
sergent	сержант
narrador	разказвач
ambulància	линейка
peña	пеня
excavació	разкопки
barons	барони
legions	легиони
kosovo	косово
emès	издадена
emès	издаден
emès	емитирани
emès	издадени
emès	издадено
gots	готи
gots	готите
vaca	крава
econòmicament	икономически
sebastián	себастиан
sebastián	себастиян
ciment	цимент
cadira	стол
cadira	столче
cadira	столът
transbordador	ферибот
transbordador	ферибота
transbordador	фери
làser	лазерно
làser	лазер
claudio	клаудио
apòstol	апостол
apòstol	пратеник
coloració	оцветяване
progressiva	прогресивна
progressiva	прогресивно
quaderns	тетрадки
libro	libro
evita	евита
adhesió	членството
adhesió	членство
fum	пуши
fum	дим
fum	пушек
niu	гнездо
niu	гнездото
equivalents	еквиваленти
consolat	консулството
consolat	консулство
neoclàssic	неокласически
masters	господари
masters	мастърс
masters	майстори
wallace	уолас
wallace	уолъс
amos	амос
amos	еймъс
amos	господари
amos	мастърс
amos	майстори
pretendent	кандидат
peó	пешка
peó	пионка
comissionat	комисар
infraphylum	infraphylum
dotzena	twelfth
significatius	значителен
significatius	значително
significatius	значителни
significatius	значим
significatius	значителна
mon	мон
erosió	ерозия
verona	верона
sabor	вкус
sabor	аромат
civilitzacions	цивилизации
hugh	хю
lara	лара
butaca	кресло
simpson	симпсън
implementació	осъществяване
implementació	прилагане
implementació	изпълнение
implementació	внедряване
guido	гуидо
robinson	робинсън
cabells	косми
cabells	косъм
cabells	коси
cabells	косата
cabells	коса
bemoll	плоски
bemoll	апартамент
bemoll	плоско
bemoll	плоска
bemoll	плосък
arturo	артуро
divuit	eighteen
divuit	осемнадесет
bobby	боби
revelació	разкритие
revelació	откровението
revelació	откровение
estrasburg	страсбург
inventar	измислят
horda	орда
ajuntaments	общините
ajuntaments	общини
adolfo	адолфо
gneu	гней
budisme	будизма
cretaci	креда
volant	летене
volant	летящи
volant	лети
sostingut	остро
sostingut	шарп
sostingut	остър
sostingut	остра
sostingut	остри
sostingut	траен
bakr	бакр
oceans	океаните
oceans	океани
consorci	консорциум
otan	нато
denominacions	обозначения
denominacions	наименования
denominacions	означения
denominacions	наименования
honda	хонда
pastures	пасища
pastures	пасища
empat	равенство
empat	вратовръзка
desena	десети
desena	tenth
desena	десета
aguda	остро
aguda	остър
aguda	остра
compatible	съвместимо
compatible	съвместим
compatible	съвместими
compatible	съвместима
pastors	овчари
telecomunicacions	телекомуникациите
precursor	предшественик
morris	морис
side	страна
side	страничен
consentiment	съгласието
consentiment	съгласие
pàdua	падуа
paradís	рай
paradís	раят
paradís	рая
caserna	казармата
presentant	представяме
múltiple	множествена
múltiple	многобройни
múltiple	множество
laos	лаос
kara	кара
respectius	съответна
respectius	съответни
respectius	съответен
llegendari	легендарно
llegendari	легендарен
fires	панаири
adaptada	адаптирани
cristall	кристъл
cristall	кристална
cristall	кристал
cristall	кристално
duo	дуо
duo	дует
musa	муса
musa	муза
musa	музата
transparent	прозрачен
transparent	прозрачно
transparent	прозрачна
transparent	прозрачни
olimpíada	олимпиада
martiri	мъченичество
acusacions	обвинения
auguste	огюст
potassi	калиев
potassi	калий
espiral	спирала
espiral	спиралата
feminista	феминистка
einstein	айнщайн
bitllets	билетите
bitllets	билети
companya	спътник
companya	придружител
warren	уорън
forçat	принудени
forçat	принуден
forçat	принудително
quars	кварц
quentin	куентин
garantia	гаранция
garantia	гаранция
garantia	гаранции
eficient	ефективна
eficient	ефикасно
eficient	ефикасен
eficient	ефективен
eficient	ефективно
trilogia	трилогия
tonalitat	оттенък
destacable	забележително
destacable	забележителен
destacable	забележителна
electrodomèstics	апарати
electrodomèstics	уреди
consecutives	последователно
consecutives	последователни
forjat	подправени
forjat	подправяне
forjat	коване
palerm	палермо
mòduls	модули
mòduls	модулите
sorprenent	изненадваща
sorprenent	изненадващ
sorprenent	учудващо
sorprenent	изненадващо
arrebossat	тесто
formentera	форментера
combatents	бойци
pedrera	кариера
pedrera	кариерата
nenes	момичетата
nenes	момичета
nenes	девойки
xbox	xbox
correus	имейли
correus	мейли
llenç	платно
llenç	платна
operatius	оперативно
operatius	оперативен
operatius	оперативни
operatius	оперативна
atòmica	атомна
atòmica	атомни
exiliat	заточен
compliment	съответствие
compliment	спазване
vladimir	владимир
adolescent	тинейджър
adolescent	тийнейджърка
adolescent	тийнейджър
mònaco	монако
estalvis	спестявания
estalvis	икономии
vie	vie
erik	ерик
firma	подписване
firma	подпис
diversa	разнообразни
balcans	балкани
balcans	балканите
conversa	разговор
conversa	разговори
conversa	беседа
somnis	сънища
somnis	мечтите
somnis	мечти
müller	мюлер
palmas	палмас
yusuf	юсуф
bari	барий
bari	бари
estratègies	стратегии
heidelberg	хайделберг
concedida	предоставено
concedida	предоставен
