الانتقام	bosszú
الخبرات	élmények
الخبرات	élmény
الخبرات	tapasztalat
الخبرات	tapasztalatok
الخبرات	tapasztalattal
المدار	pályára
متسابق	racer
متسابق	versenyző
التشريح	anatómia
التشريح	boncolás
التشريح	boncolást
تشي	chi
تشي	che
ظاهر	látható
ظاهر	látszólagos
دفعة	kiemelés
دفعة	tétel
دفعة	fizetési
دفعة	kifizetés
دفعة	fizetség
دفعة	fizetés
النسوية	feminizmus
النسوية	feminista
لوح	deszka
لوح	fedélzeten
لوح	tábla
لوح	tabletta
لوح	tábla
لوح	hullám
عينات	minták
عينات	mintákat
الميل	döntsd
الميل	mérföld
مزايا	előnyök
مزايا	előnyei
مغلقة	bezárt
مغلقة	zárva
مغلقة	zárt
منصات	platform
منصات	platformok
المدرج	kifutón
المدرج	futópálya
المدرج	kifutó
المليون	millió
تقليد	tradíció
تقليد	hagyomány
ميكانيكية	mechanikai
ميكانيكية	mechanikus
السعة	kapacitások
السعة	kapacitás
السعة	amplitúdó
التهديد	fenyegetés
الموانئ	kikötők
عقل	agya
عقل	agyat
عقل	agyam
عقل	agy
عقل	elme
دنيا	minimum
دنيا	minimális
دنيا	legkisebb
دنيا	minimálisan
الطلاق	válást
الطلاق	válás
خفيف	fény
خفيف	light
خفيف	fényt
مونتريال	montreali
جلدية	bőr
الفائزين	győztesek
الفائزين	nyertesek
المرجح	súlyozott
بطليموس	ptolemaiosz
تهديد	fenyegető
تهديد	fenyeget
تهديد	fenyegetés
المعيار	kritérium
المعيار	normál
المعيار	szabványos
المعيار	szabvány
المعيار	standard
الهياكل	struktúrák
الهياكل	szerkezetek
المنفى	száműzetés
المنفى	száműzött
تشابه	hasonlóság
تشابه	hasonlóságot
الرباعي	kvartett
المصلحة	érdeklődés
المصلحة	kamat
المصلحة	érd
المصلحة	kamatok
مجلدات	mappák
مجلدات	mennyiségek
مجلدات	kötet
مجلدات	volumen
الحفظ	megtakarítás
الحفظ	mentés
الحفظ	megmenteni
الحفظ	megőrzése
باراغواي	paraguay
يوميات	idővonal
يوميات	journal
يوميات	napló
يوميات	lap
يوميات	lapjában
يوميات	napló
يوميات	naplója
فرديناند	ferdinand
تعليقات	megjegyzések
تعليقات	hozzászólás
تعليقات	megjegyzés
تعليقات	hozzászólások
تعليقات	észrevételek
المهن	szakmák
المهن	karrier
المهن	foglalkozások
تلفاز	tv
تلفاز	televízió
السلبي	passzív
قيود	korlátok
قيود	korlátozások
قيود	korlátozás
قيود	korlátozások
قيود	korlátozás
قيود	megszorítások
قيود	korlátok
جيب	jeep
جيب	zseb
جيب	zsebében
حقن	injekció
حقن	injekció
ساوث	dél
ساوث	délre
ساوث	déli
بالضبط	pontosan
البطالة	munkanélküliségi
البطالة	munkanélküli
البطالة	munkanélküliség
تجهيز	feldolgozás
الجلسة	ülés
الجلسة	gyűlés
الجلسة	találkozás
الجلسة	találkozó
الجلسة	megbeszélés
الحريات	szabadságjogok
الحريات	szabadságok
تغلب	legyőzni
احداث	történetek
احداث	történeteket
احداث	mesék
احداث	bejegyzések
احداث	események
احداث	esemény
احداث	rendezvények
ركوب	lovaglás
ركوب	lovagolni
ركوب	lovagol
ركوب	lovagolni
نمر	tigris
نمر	tiger
نمر	leopárd
نمر	párduc
الخريف	ősz
الخريف	őszi
الخريف	ősszel
الخريف	esés
الخريف	őszi
الخريف	zuhanás
الخريف	ősszel
الخريف	ősz
شمسية	esernyő
شمسية	napenergia
النجار	ács
النجار	carpenter
النجار	asztalos
النهج	megközelítések
النهج	megközelítése
النهج	megközelítés
جامايكا	jamaica
جامايكا	jamaikai
روضة	óvodás
روضة	óvoda
روضة	óvodában
تدمر	elpusztítani
الكثيرون	sok
الكثيرون	sokan
التوجهات	tendenciák
تقاطع	kereszteződés
نشيد	himnuszt
نشيد	himnusz
تاريخيا	történelmileg
عنف	erőszakos
عنف	erőszak
عنف	erőszakos
المناظر	látnivalók
وين	wayne
وين	wen
مستر	miszter
تدهور	romlás
الصراعات	konfliktusok
الصراعات	konfliktus
الصراعات	ütközés
الصراعات	konfliktusok
الصراعات	konfliktus
بيانو	zongorát
بيانو	zongorán
بيانو	zongora
تتطور	fejlődő
تتطور	fejlődik
مسافات	terek
مسافات	távolságok
اخذ	foglalt
اخذ	szed
اخذ	vedd
سامة	mérgező
سامة	toxikus
سامة	mérgező
الفترات	időszakok
واقعية	realista
واقعية	reális
واقعية	realizmus
النيتروجين	nitrogén
زرقاء	kék
زرقاء	blue
هياكل	struktúrák
هياكل	szerkezetek
الورد	rózsa
الورد	rózsák
منطق	logika
منطق	logikai
يرفع	felvonók
يرفع	felvonó
شحنة	rakomány
شحنة	szállítmány
شحنة	szállítmány
شحنة	szállítmány
شحنة	szállítás
نشطة	aktív
نشطة	aktívak
قنابل	bomba
قنابل	bombák
قنابل	bombákat
الفرص	esélyek
الفرص	esély
الفرص	lehetőséget
الفرص	lehetőség
الفرص	lehetőségek
الفرص	lehetőségeket
الفولاذ	steel
الفولاذ	acél
المثل	közmondás
السجناء	rabok
السجناء	foglyok
سلمية	békés
ترميم	helyreállítási
ترميم	helyreállítása
عيوب	hátrányok
عيوب	hibáit
عيوب	hibák
المحافظين	konzervatívok
راية	banner
الملاك	angyal
الملاك	angel
الملاك	angyalka
العروس	menyasszony
كابتن	kapitány
كوبنهاغن	koppenhága
كوبنهاغن	koppenhágai
عارض	megjelenítő
عارض	néző
عارض	model
عارض	minta
عارض	modell
بيكر	baker
بيكر	pék
فلوريد	fluorid
ضريبة	adó
ضريبة	adózás
ضريبة	adók
مطالب	követel
مطالب	követelés
مطالب	követelések
مطالب	igények
ثانوي	középfokú
ثانوي	másodlagos
جاذبية	vonzalom
جاذبية	gravitáció
غني	énekelni
غني	énekelj
غني	énekel
غني	gazdag
غني	gazdagok
غني	rich
سعادة	boldogság
سعادة	boldogságot
العشرات	tucatnyi
شين	chin
شين	csin
شين	shin
المبلغ	összeg
المبلغ	összeg
وارسو	varsó
ذكية	okos
ذكية	intelligens
ذكية	smart
الزيارة	látogatás
الزيارة	látogató
الزيارة	látogatás
الزيارة	látogatóban
دوما	mindig
ملاكم	bokszoló
ملاكم	boxer
تنزانيا	tanzánia
ميلر	molnár
ميلر	miller
البوب	fater
البوب	pop
حاشية	lábjegyzet
حاشية	kíséret
حاشية	kísérete
حاشية	postscript
بيتي	betty
دمرت	megsemmisült
دمرت	elpusztult
دمرت	elpusztította
العلاجات	kezelések
العلاجات	terápiák
ضروري	szükségesek
ضروري	szükséges
سديم	köd
لاوس	laosz
التراب	kosz
فرضية	hipotézis
فرضية	feltevés
فرضية	feltételezés
فرضية	elmélet
موثوقة	megbízható
موثوقة	megbízhatóak
تجار	kereskedők
تجار	kereskedők
تجار	kereskedők
التوصيل	kézbesítés
التوصيل	szállítás
التوصيل	teljesítés
التوصيل	szállítási
بشري	ember
بشري	emberi
الرحالة	utazók
العلاجية	terápiás
ركاب	utas
ركاب	utasok
رينيه	renee
الكهف	barlang
الكهف	barlangot
الحارس	őr
لينين	lenin
المطاعم	éttermek
حازم	cég
حازم	határozott
معماري	építész
معماري	építészet
معماري	építészeti
الروك	szikla
الروك	kő
الروك	rock
خشبية	fából
عانت	szenvedett
الترخيص	engedély
الترخيص	engedély
الترخيص	engedélyezés
الترخيص	felhatalmazás
الترخيص	engedélyezési
الترخيص	engedélyezés
الترخيص	engedély
الترخيص	jogosítvány
الترخيص	jogosítványt
المعاملات	tranzakció
المعاملات	ügylet
المعاملات	tranzakció
المعاملات	ügyletek
المعاملات	tranzakciók
المختبر	laboratórium
المختبر	laboratóriumi
المختبر	laboratórium
المختبر	labor
شعاع	sugár
التحرك	mozgás
التحرك	költözés
التحرك	mozgó
التحرك	mozog
اكتملت	befejeződött
اكتملت	elkészült
اكتملت	befejezett
سلمى	selma
واقعة	incidens
ستيفان	stefan
التمريض	ápolói
التمريض	ápoló
قضائية	igazságügyi
الشريك	társ
الشريك	partner
الشريك	társa
الشريك	társam
القران	korán
كاميرا	kamera
كاميرا	fényképezőgép
التجريبي	bemutató
التجريبي	demó
وجبة	étkezés
وجبة	étel
هوارد	howard
دافع	motiváció
دافع	indíték
دافع	motiváció
بارد	hidegen
بارد	hideg
مسجلة	bejegyzett
مسجلة	regisztrált
مسجلة	nyilvántartott
الاشتراك	előfizetés
كيلي	kelly
الجذر	gyökér
قمع	elnyomás
قمع	elnyomni
قمع	tölcsér
قمع	elnyomás
الولاء	hűség
تنافس	versengés
تنافس	konkurencia
تنافس	verseny
مستقرة	stabil
مستقرة	istálló
يقسم	esküszik
متفرقة	szétszórt
ريفر	folyami
ريفر	folyó
ميلا	mila
جيرمان	germain
السند	kötés
السند	kötvény
السند	kötelék
السند	bond
السند	szindh
بلانك	planck
بلانك	plank
الاحتراق	égésű
الاحتراق	égés
تقاليد	tradíció
تقاليد	hagyomány
تقاليد	hagyományok
تقاليد	hagyomány
جيري	jerry
مكتوم	tompa
مكسيكو	mexikó
هاوس	house
هاوس	ház
هاوس	házon
الشك	kétely
الشك	kétséges
الشك	kétség
الشك	kétségek
المخيم	camp
المخيم	tábor
كيس	táska
كيس	zacskó
كيس	táskát
كيس	zsák
كيس	zsák
كيس	zsákot
مد	dagály
مد	árapály
مد	dagály
لورنس	lawrence
شخصيا	személyesen
البشير	bashir
موثقة	dokumentált
عصابة	banda
هلسنكي	helsinki
البخار	gőz
البخار	gőzzel
مسارات	nyomok
مسارات	nyomokat
مسارات	sínek
الحفريات	kövületek
الحفريات	ásatások
تفجيرات	robbantások
تفجيرات	bombázás
تفجيرات	robbanások
براين	brian
الانفصال	szétválasztás
التحدث	beszélni
التحدث	beszélgetés
وال	és
هان	han
القطط	macskák
القطط	cicák
المرمى	gól
المرمى	cél
مصير	végzet
مصير	sors
زنجبار	zanzibár
بون	bonn
المرتبط	kapcsolódó
المرتبط	társult
بلغراد	belgrád
وهب	adta
وهب	adott
صدى	visszhang
صدى	echo
الحجاب	fátyol
معمل	laboratórium
معمل	labor
يرسل	küld
يرسل	küldi
ذهبي	golden
ذهبي	arany
ذهبي	arany
ساكسونيا	szászország
ساكسونيا	szász
عموم	pán
عموم	pan
القنبلة	bomba
مسبق	előleg
مسبق	előre
مسبق	hírnök
مسبق	előzetes
دعاية	propaganda
وزيرة	miniszter
احتفال	ünnepel
احتفال	ünneplés
احتفال	ünnepelni
احتفال	ünnep
احتفال	ünneplés
احتفال	ünnepség
التحديد	kiválasztási
التحديد	válogatás
التحديد	kiválasztás
التحديد	kijelölés
التحديد	azonosítás
التحديد	azonosító
ليفي	levy
ليفي	illeték
العبودية	rabszolgaság
العبودية	rabszolgaság
فوج	fogg
فوج	vogue
منحنى	görbe
منحنى	kanyar
السلك	drót
السلك	vezeték
لغوية	nyelvi
يعترف	elismeri
يعترف	elismeri
استضافة	hosting
المحاكمة	tárgyalás
المحاكمة	vádemelés
المحاكمة	ügyészség
المحاكمة	büntetőeljárás
المحاكمة	vád
الشبكية	retina
وجوه	arcokat
وجوه	arcok
تعامل	kezelni
تعامل	kezeljük
عنق	nyakát
عنق	nyaka
عنق	nyak
التشريع	jogszabályok
التشريع	jogszabály
التشريع	jogalkotás
انعدام	hiánya
انعدام	hiány
كونيتيكت	connecticut
بادن	baden
الاطفال	gyerekek
الاطفال	kölykök
الاطفال	gyerekek
الاطفال	gyermekeknek
الاطفال	gyermek
الاطفال	gyermekek
الاطفال	babák
الاطفال	csecsemők
بار	bar
بار	bár
قراصنة	kalózok
ثالثة	harmadik
ثالثة	harmadszor
سويدي	svéd
سويدي	svédország
الضرب	szorzás
ملح	só
ملح	sót
ملح	sós
بوخارست	bukarest
حبيبي	baba
حبيبي	bébi
فقرات	csigolyák
الشروق	napfelkelte
الشروق	napkelte
مزدوج	duplex
مزدوج	kettős
مزدوج	dupla
مزدوج	duplán
كلود	claude
العمق	mélység
مصنوع	készítette
مصنوع	készült
مصنوع	tett
غازات	benzin
غازات	gáz
غازات	gázok
داروين	darwin
كارول	carol
تطبق	alkalmazták
تطبق	alkalmazni
تطبق	jelentkezz
كوسوفو	koszovó
كوسوفو	koszovói
المستحيل	lehetetlen
الدجاج	tyúk
الدجاج	csirke
السباقات	races
السباقات	versenyek
السباقات	racing
التحديات	kihívások
التحديات	kihívás
التحديات	kihívásokkal
كريمة	tejszín
كريمة	krém
كريمة	krémet
جونغ	jung
ساكن	lakói
ساكن	lakosok
ساكن	lakos
ساكن	statikus
شهيرة	híres
شهيرة	híresség
التجديد	innováció
التجديد	innovációs
التجديد	felújítás
التجديد	felújítás
المدرعة	páncélos
المدرعة	páncélozott
المدرعة	páncélos
المدرعة	páncélozott
تروي	troy
ميغيل	miguel
المتقدم	előleg
المتقدم	előre
المتقدم	fejlett
المتقدم	haladó
المتقدم	előrehaladott
لوحظ	megfigyelhető
لوحظ	megfigyelt
لوحظ	megjegyzendő
لوحظ	megjegyeztem
عداد	méter
عداد	mérő
يسمع	hallani
مسحوق	por
مسحوق	port
موجه	rendezte
موجه	rendezett
موجه	irányított
موجه	vektor
بطن	has
بطن	belly
بطن	hasa
بطن	has
السعر	árak
السعر	ár
السعر	ára
المهرة	szakképzett
المهرة	képzett
تصفية	szűrés
تصفية	szűrő
تصفية	felszámolási
تصفية	felszámolás
التذاكر	jegyek
التذاكر	jegyeket
التذاكر	jegy
التذاكر	jegyet
التذاكر	jegy
الكتيبة	zászlóalj
المشاهير	híresség
المشاهير	celeb
المشاهير	hírességek
المشاهير	sztárok
المشاهير	hírességek
التفتيش	vizsgálat
التفتيش	ellenőrzési
التفتيش	ellenőrzés
المعتاد	szokásos
سوار	karkötő
تكشف	felfedje
تكشف	felfedni
نيلسون	nelson
المحاولات	kísérletek
الزنك	cink
استيعاب	felszívódás
استيعاب	asszimilációs
سحر	varázs
سحر	magic
سحر	varázslat
سحر	mágia
تنشيط	aktiválás
تنشيط	aktiválni
تنشيط	aktiválva
الورقة	papír
الورقة	lap
الورقة	lepedő
لوثر	luther
شطرنج	sakk
متجر	műhely
متجر	üzlet
متجر	bolt
متجر	vásárlás
متجر	áruház
متجر	üzlet
متجر	bolt
التنس	tenisz
المتطلبات	követelmény
المتطلبات	előírások
المتطلبات	követelmények
النسر	sas
النسر	eagle
النسر	keselyű
فرعي	leányvállalat
فرعي	leányvállalata
فرعي	tengeralattjáró
استئصال	felszámolás
استئصال	felszámolására
الموالية	lojalista
مهددة	fenyegetett
جوني	johnny
ضفدع	varangy
ضفدع	béka
جزئية	részleges
جزئية	részlegesen
المتطوعين	önkéntesek
المتطوعين	önkéntes
المشاركون	résztvevőknek
المشاركون	résztvevők
المشاركون	résztvevő
اجتماعات	találkozók
اجتماعات	ülésein
اجتماعات	ülései
اجتماعات	ülések
اجتماعات	megbeszélések
فضيلة	erény
التغلب	leküzdése
منهجية	módszer
منهجية	módszertan
منهجية	szisztematikus
منهجية	módszeres
منهجية	módszeres
المعادلات	egyenletek
البلطيق	balti
تحفيز	ösztönzése
السويسرية	svájc
السويسرية	svájci
زائد	plus
زائد	plussz
زائد	plusz
خشب	fa
خشب	wood
خشب	erdő
خشب	fát
تشييد	építkezés
تشييد	építési
تشييد	építés
المساحات	terek
ضيقة	szoros
ضيقة	szűk
ضيقة	szorosan
الحوت	halak
الحوت	bálna
ياسمين	jázmin
ياسمين	jasmine
لوبيز	lopez
ادعى	igényelt
ادعى	állította
المساء	este
المساء	estét
جوليا	julia
جوليا	júlia
الكل	mindegyik
الكل	mind
الكل	minden
المعاملة	tranzakció
المعاملة	ügylet
المعاملة	kezelés
المعاملة	kezelésre
المعاملة	kezelése
شريان	artéria
المتغير	változtatható
المتغير	változó
شارلوت	charlotte
ديانا	diana
منتزه	park
الوفاء	teljesítve
الوفاء	teljesítése
الوفاء	teljesíteni
الوفاء	hűség
تسهيل	elősegítése
تسهيل	megkönnyítése
تسهيل	megkönnyítése
انتقد	kritizálta
انتقد	kritizálni
انتقد	bírálta
الاحتفالات	ünnepségek
الاحتفالات	ünneplés
فرعون	fáraó
يفسر	megmagyarázza
شكر	köszönöm
شكر	köszi
شكر	koszi
تلقائيا	automata
تلقائيا	automatikus
تلقائيا	automatikusan
تلقائيا	automatikus
تعاليم	tanítások
زائر	látogatói
زائر	látogató
معتمد	akkreditált
معتمد	hitelesített
معتمد	minősített
معتمد	tanúsított
معتمد	igazolt
الكوارث	katasztrófák
الكوارث	katasztrófa
ميديا	médea
تلسكوب	teleszkóp
التنقل	mobilitás
سمعة	hírneve
سمعة	hírnév
هانز	hans
جسيم	részecske
حنا	hanna
فدان	hektár
فدان	hektáros
الاعلى	felül
الاعلى	top
الاعلى	csúcs
الاعلى	felső
الاعلى	legfelső
الاعلى	feljebb
الاعلى	magasabb
الاعلى	nagyobb
تفقد	csekk
تفقد	csekket
تفقد	ellenőrzés
امبراطورية	birodalom
امبراطورية	empire
تلبية	találkozni
تلبية	találkozó
بخار	pára
بخار	gőz
بخار	gőzzel
الاصابة	sérülés
الاصابة	károkozás
الاصابة	kár
وضعية	póz
وضعية	pózt
التدقيق	ellenőrzése
الاراضي	földeket
الاراضي	földek
الاراضي	területek
الاراضي	föld
الاراضي	földterület
الاراضي	szárazföld
الاراضي	telek
الاراضي	földterületek
المكسيكي	mexikói
مضاعفات	komplikáció
مضاعفات	szövődmények
مضاعفات	komplikációk
العينات	minták
العينات	mintákat
عادات	szokások
عادات	szokásai
مدرعة	páncélos
مدرعة	páncélozott
مدرعة	páncélos
مدرعة	páncélozott
مطلوب	kellett
مطلوب	szükséges
مطلوب	szükséges
مطلوب	akartam
مطلوب	körözött
جدوى	megvalósítható
جدوى	megvalósíthatósági
هارت	hart
التزلج	síelés
التزلج	síelni
الكمال	tökéletes
الكمال	tökéletesség
الكمال	tökély
الجسور	hidak
الجسور	hidakat
اللاهوت	teológia
مهن	szakmák
مهن	karrier
مهن	foglalkozások
بيتش	beach
بيتش	part
بيتش	tengerpart
بيتش	tengerparton
بيتش	strand
بيتش	barack
بيتش	őszibarack
مترجمة	lefordított
مترجمة	fordító
مترجمة	tolmács
الجين	gén
الجين	gene
الوصل	kapcsolódás
الوصل	csatlakozás
الوالدين	szülei
الوالدين	szülők
الوالدين	szüleim
وعاء	hajó
وعاء	edény
وعاء	fű
وعاء	füvet
وعاء	füves
وعاء	tál
وعاء	bowl
ميرزا	mirza
يشهد	tanúskodni
يشهد	tanúskodni
المفصل	részletesen
المفصل	részletes
المفصل	részletezett
جيبوتي	dzsibuti
لاحظت	észre
لاحظت	feltűnt
فاكهة	gyümölcs
فاكهة	gyümölcsök
فاكهة	gyümölcsöt
عتبة	küszöb
نولان	nolan
موراي	moray
موراي	murray
ارتداء	viselni
ارتداء	viselni
نادية	nadia
تكامل	integráció
تكامل	beilleszkedés
المنفذ	kikötők
المنفذ	kikötő
المنفذ	port
معتدل	közepes
معتدل	mérsékelt
عجز	rokkantsági
عجز	fogyatékosság
عجز	hiány
المسافات	távolságok
رفيع	vékony
رفيع	sovány
رائدة	úttörő
رائدة	úttörő
ديف	dave
ديف	dev
استعراض	felülvizsgálat
استعراض	kritika
ذكريات	emlékek
ذكريات	emlék
هوك	hook
هوك	kampó
هوك	horog
هوك	horgot
هوك	hawk
هوك	sólyom
هوك	héja
الصمام	szelep
الصمام	billentyű
الزواحف	hüllő
الزواحف	hüllők
صمام	szelep
صمام	billentyű
المثليين	melegek
المثليين	lmbt
فضة	silver
فضة	ezüst
السلف	elődje
السلف	előleg
القلاع	kastélyok
القلاع	erődök
عشوائية	random
عشوائية	véletlenszerű
عشوائية	véletlen
السعي	küldetés
السعي	törekszik
السعي	törekvés
السعي	törekvés
السعي	üldözés
الخادم	szolga
الخادم	cseléd
الخادم	kiszolgáló
الخادم	szerver
اعتراف	vallomás
فلو	flo
البولندي	lengyel
الفئران	egerek
ارض	föld
ارض	földterület
ارض	szárazföld
ارض	telek
ارض	földterületek
تصدير	exportálni
تصدير	export
تصدير	kivitel
تصدير	kiviteli
ناقل	fuvarozó
ناقل	szállító
ناقل	hordozó
ناقل	fuvarozó
ناقل	szállító
ناقل	transzporter
ناقل	vektor
اربعة	négy
الفعال	hatékony
الفعال	hatásos
الفعال	effektív
الفعال	eredményes
البنكرياس	hasnyálmirigy
تيودور	theodore
تيودور	tudor
تضخم	inflációs
تضخم	infláció
المحامي	ügyvéd
المحامي	jogász
المحامي	ügyvéd
شلل	bénulás
الفعاليات	szereplők
الفعاليات	színészek
الفعاليات	események
الفعاليات	esemény
الفعاليات	rendezvények
ضع	rakd
ضع	tedd
نوبة	roham
نصيحة	tanácsadás
نصيحة	tanácsok
نصيحة	tanács
نصيحة	tanácsot
نصيحة	tipp
نصيحة	füles
كتل	tömb
الكاف	caf
منشور	poszt
منشور	posta
منشور	post
منشور	bejegyzést
منشور	bejegyzésre
منشور	bejegyzés
منشور	közzétette
منشور	publikált
منشور	közzétett
سنوي	éves
سنوي	évenkénti
سنوي	évenként
سنوي	évente
سنوي	éves
سنوي	évente
سنوي	havas
المؤمن	biztosított
المؤمن	biztosítás
المؤمن	biztosítottak
المؤمن	biztosítva
المؤمن	hívő
فاسو	faso
انفصال	szakítás
انفصال	szétválasztás
المواهب	tehetséges
المواهب	tehetség
التقاعد	nyugdíjba
التقاعد	nyugdíj
التقاعد	nyugdíjas
نايت	nate
استعداد	kész
استعداد	felkészült
استعداد	elkészítve
استعداد	előkészítve
استعداد	elkészített
جثة	test
جثة	testem
جثة	holttest
جثة	tetem
جثة	hulla
جثة	holttest
الزي	jelmezt
الزي	jelmez
الزي	jelmezes
المتمردين	felkelők
المتمردين	lázadók
المتمردين	felkelő
المتمردين	lázadók
المتمردين	lázadó
كلهم	mindegyik
كلهم	mind
كلهم	minden
المؤلفين	írók
المؤلفين	szerzői
المؤلفين	szerzők
برو	prue
برو	pro
برو	profi
العناوين	címeket
العناوين	címek
العناوين	címek
الغبار	por
الغبار	port
بوركينا	burkina
مادية	materializmus
جزيء	molekula
الفخذ	comb
غامضة	titokzatos
غامضة	misztikus
غامضة	rejtélyes
المرجانية	coral
سويفت	swift
زامبيا	zambia
جارية	folyamatos
جارية	folyamatban
ليبي	libby
داني	danny
نمت	aludtam
نمت	aludt
نمت	aludtak
سمو	fenség
رويس	royce
اشتباكات	összecsapások
مرادفات	szinonimák
شجر	fákon
شجر	fák
شجر	fákat
كوب	kupa
كوب	csésze
كوب	cup
كوب	pohár
كوب	bögre
المدربين	edzők
المدربين	oktatók
المدربين	oktatók
البربر	berber
المواطنة	polgárság
المواطنة	állampolgárság
دوت	dot
بلورات	kristályok
الاسلامية	iszlám
البركانية	vulkáni
الهرب	szökés
الهرب	menekülés
الهرب	megszökni
منظم	szervező
الحرجة	kritikus
عريض	széles
عريض	merész
عريض	bátor
عريض	tág
عريض	széles
كهف	barlang
كهف	barlangot
النمل	hangyák
النمل	hangya
النمل	hangyák
برية	wild
برية	vadon
برية	vadak
برية	vad
برية	vadon
سرد	elbeszélés
المصرف	bank
النازي	nácik
النازي	náci
مرسيدس	mercedes
مرسيدس	merci
متكررة	ismételte
متكررة	ismétlődő
متكررة	ismételt
متكررة	visszatérő
متكررة	ismétlődő
متكررة	visszatérő
متكررة	gyakori
الحلم	álmodj
الحلم	álma
الحلم	álom
الحلم	álmodik
الحلم	álmodom
وزارات	minisztériumok
نيكولاي	nikolai
نيكولاي	nyikolaj
نيكولاي	nicolae
شريحة	szeletet
شريحة	szelet
شريحة	szegmens
العتيقة	antik
المقاتلين	harcosok
المقاتلين	vadászok
مشغل	operátor
مشغل	kezelő
مشغل	üzemeltető
مشغل	lejátszó
مشغل	játékos
سويسري	svájc
سويسري	svájci
مهاجمة	támad
يدير	fut
يدير	vezeti
دفعت	fizetve
دفعت	fizetett
دفعت	kifizetett
نعمة	áldás
نعمة	áldást
نعمة	kegyelem
نعمة	grace
ستانفورد	stanford
اندماج	fúzió
اندماج	egyesülés
اندماج	összefonódás
اندماج	fúzió
اندماج	fúziós
السقوط	esés
