yang	yang
baru	neuer
baru	neue
baru	neu
baru	neuen
baru	neues
baru	baru
buah	beeren
buah	obst
buah	früchte
buah	fruchtsaft
buah	früchten
buah	frucht
buah	obst
buah	früchte
buah	früchten
buah	frucht
jawa	java
jawa	javanischen
bawah	unterer
bawah	unten
bawah	unterseite
bawah	under
bawah	unter
hari	tage
hari	tag
hari	tages
hari	tage
hari	tagen
google	google
pemain	akteure
pemain	spieler
pemain	spielern
pemain	player
pemain	spieler
melayu	malaien
melayu	malaiischen
melayu	persische
kerajaan	königreich
kerajaan	kaiserreich
kerajaan	empire
kerajaan	reich
kerajaan	reich
kerajaan	regierungen
kerajaan	staat
kerajaan	regierung
sama	sama
sama	gleich
sama	gleiche
sama	gleichen
sama	equal
sama	gleiche
sama	gleich
sama	gleichen
sama	selbe
sama	dasselbe
iran	iraner
iran	iran
iran	persien
iran	iranischer
iran	iraner
iran	iran
iran	iranischen
iran	iranische
ahli	mitglieds
ahli	mitglied
ahli	mitglieder
ahli	mitgliedstaat
ahli	mitgliedstaaten
ahli	mitgliedern
ahli	mitglieder
poskod	plz
poskod	postleitzahl
kedua	zweitens
kedua	sekunde
kedua	zweiter
kedua	zweite
kedua	zweiten
pasukan	soldaten
pasukan	truppen
pasukan	mannschaften
pasukan	teams
pasukan	truppe
pasukan	mannschaft
pasukan	team
islam	islamischen
islam	islamisten
islam	islamischer
islam	islamische
islam	islamischen
islam	islamische
islam	islam
mana	mana
mana	wo
mana	wohin
ketua	chef
ketua	chief
ketua	häuptling
ketua	vorsitzende
ketua	vorstandsvorsitzender
ketua	präsident
ketua	vorsitzender
masa	zeit
masa	uhrzeit
masa	zeiten
masa	zeitraum
masa	zeitpunkt
lagu	gesang
lagu	lied
lagu	song
lagu	liedern
lagu	stücke
lagu	lieder
lagu	songs
style	stil
style	style
tengah	middle
tengah	mittlere
tengah	mitte
tengah	nahen
tengah	mittlerer
jerman	deutschen
jerman	deutscher
jerman	deutsche
jerman	deutsch
jerman	deutschland
jerman	deutschen
jerman	deutscher
jerman	deutsche
jalan	strasse
jalan	straßenverkehr
jalan	straße
gmt	gmt
cet	mez
utama	wichtigsten
utama	main
utama	wichtigste
utama	hauptsache
utama	haupt
utama	primäre
utama	primär
utama	primären
utama	grundschule
banyak	viele
banyak	vieles
banyak	zahlreiche
banyak	vielen
salah	unzutreffend
salah	falsch
salah	falsche
salah	fehlerhaft
salah	falschen
salah	unrecht
salah	falsch
salah	falsche
apabila	wenn
apabila	wann
bahagian	division
bahagian	abteilung
bahagian	geschäftsbereich
bahagian	unternehmensbereich
bahagian	sektion
bahagian	bereich
bahagian	abschnitt
bahagian	einzelteile
bahagian	ersatzteile
bahagian	teile
bahagian	sektionen
bahagian	abschnitte
bahagian	teilweise
bahagian	teil
menggunakan	mit
menggunakan	benutzen
menggunakan	verwenden
lagi	wieder
lagi	nochmal
lagi	erneut
lagi	weiteres
lagi	mehr
lagi	weitere
jenis	type
jenis	art
jenis	typ
jenis	tippen
jenis	arten
jenis	typen
sungai	flüsse
sungai	flüssen
sungai	rivers
sungai	sungai
sungai	river
sungai	fluss
sungai	flusses
sungai	fluß
kota	stadt
kota	kota
jepun	japan
jepun	japanische
jepun	japanischen
jepun	japanisch
jepun	japaner
jepun	japanischer
anak	anak
anak	kind
ada	dort
ada	dorthin
ada	da
ada	ada
tanah	grundstück
tanah	land
tanah	grundstücke
tanah	erde
tanah	böden
tanah	bodens
tanah	boden
tanah	erdboden
tanah	länder
tanah	land
tanah	ländereien
tanah	grundstücke
tanah	gemahlen
tanah	erdgeschoss
tanah	boden
tanah	erdboden
national	nationaler
national	nationale
national	nationalen
national	national
bersama	gegenseitiger
bersama	gegenseitigem
bersama	gegenseitigen
bersama	gegenseitige
bersama	zusammen
bersama	gemeinsam
dikenali	erkannte
dikenali	anerkannte
dikenali	erkannt
dikenali	anerkannt
dikenali	bekannter
dikenali	bekannt
dikenali	bekannte
dikenali	bekannten
dikenali	erkennbare
dikenali	erkennbar
dikenali	erkennbaren
hanya	gerade
hanya	eben
hanya	nur
hanya	einfach
hanya	just
sebelum	zuvor
sebelum	davor
sebelum	vorher
sebelum	vor
sebelum	bevor
air	wasser
air	wasserwirtschaft
air	trinkwasser
air	gewässer
air	wasserversorgung
air	wasser
air	waters
air	gewässern
air	gewässer
air	air
air	luft
sepanyol	spanien
sepanyol	kanaren
sepanyol	spanisch
sepanyol	spanischer
sepanyol	spanischen
sepanyol	spanische
raja	raja
raja	königs
raja	king
raja	könig
perang	krieg
perang	kriege
perang	krieg
perang	kriegen
perang	wars
wanita	damen
wanita	ladies
wanita	weib
wanita	frau
wanita	frauen
kuala	zusammenfluss
kuala	einmündung
kuala	kuala
sistem	system
sistem	systemen
sistem	systeme
sistem	system
pulau	pulau
pulau	island
pulau	insel
team	mannschaft
team	team
provinsi	bundesland
provinsi	provinz
provinsi	provinz
provinsi	provinzen
provinsi	bundesländer
kanak	kind
termasuk	inbegriffen
termasuk	enthalten
termasuk	eingeschlossen
termasuk	aufgenommen
termasuk	inklusive
termasuk	einschließlich
termasuk	darunter
termasuk	einschliesslich
termasuk	inklusive
termasuk	inbegriffen
termasuk	inklusiv
termasuk	inclusive
termasuk	inklusive
termasuk	eingeschlossen
termasuk	umfasst
termasuk	enthält
termasuk	beinhaltet
termasuk	inklusive
pendidikan	bildungs
pendidikan	ausbildung
pendidikan	weiterbildung
pendidikan	bildung
pendidikan	unterricht
pendidikan	erziehung
musim	spielzeit
musim	staffel
musim	jahreszeit
musim	saison
musim	jahreszeiten
musim	staffeln
musim	jahreszeit
musim	spielzeiten
penduduk	anwohner
penduduk	einwohner
penduduk	bewohner
penduduk	bevölkerung
penduduk	bevölkerungszahl
penduduk	grundgesamtheit
penduduk	einwohner
penduduk	einwohnerzahl
kini	nun
kini	jetz
kini	now
kini	jetzt
semasa	aktuell
semasa	aktuellen
semasa	aktuelle
semasa	aktueller
semasa	aktuelles
semasa	während
semasa	weile
carian	sucht
carian	recherchen
carian	suchen
carian	suche
carian	durchsuchen
carian	suchmaschine
carian	suchbegriff
carian	suchen
carian	suche
cest	cest
kemudian	dann
kemudian	anschließend
kemudian	damals
kemudian	danach
serbia	serbien
serbia	serben
serbia	serbisch
serbia	serbische
serbia	serbischen
tiga	drei
tiga	dreien
tiga	three
tiga	dreier
tiga	tiga
keseluruhan	überblick
keseluruhan	übersicht
keseluruhan	gesamt
keseluruhan	insgesamt
keseluruhan	ganzes
keseluruhan	ganzen
keseluruhan	ganze
tinggi	high
tinggi	hohe
tinggi	hohen
tinggi	hoch
tinggi	höhere
tinggi	höheren
tinggi	höher
tinggi	körpergröße
tinggi	größe
tinggi	grösse
tinggi	höhe
guru	lehrer
guru	dozent
guru	lehrerin
guru	lehrer
guru	lehrerinnen
guru	lehrkräfte
guru	dozenten
czech	tschechien
czech	tschechische
czech	czech
czech	tschechischen
czech	tschechisch
wikipedia	wikipedia
melalui	via
melalui	über
melalui	per
melalui	durch
setiap	jedes
setiap	jeder
setiap	jeden
setiap	jede
setiap	jedes
setiap	jeder
setiap	jedem
setiap	jeden
setiap	jede
menteri	minister
menteri	ministerin
menteri	minister
menteri	ministerrat
semua	alle
semua	alles
semua	all
bulan	mond
bulan	moon
bulan	monate
bulan	monaten
bulan	monat
bulan	monats
bulan	monate
bulan	monaten
kapal	gefäß
kapal	schiffe
kapal	schiff
kapal	schiff
kapal	schiffs
kapal	schiffen
kapal	schiffe
kecil	kleines
kecil	kleiner
kecil	kleine
kecil	kleinen
kecil	klein
kecil	klein
kecil	kleinen
kecil	winzig
kecil	tiny
kecil	winzige
taman	freizeitpark
taman	park
taman	naturpark
taman	nationalpark
taman	gartenanlage
taman	garten
taman	gartens
taman	nationalparks
taman	freizeitparks
taman	naturparks
taman	parks
taman	parkanlagen
album	album
album	fotoalbum
album	alben
album	albums
azerbaijan	aserbaidschan
azerbaijan	aserbaidschanischen
azerbaijan	aserbaidschan
new	neuer
new	neue
new	neu
new	neuen
new	neues
club	club
club	klub
club	verein
mukim	parish
mukim	pfarrei
mukim	kirchengemeinde
mukim	pfarrkirche
mukim	gemeinde
eropah	europa
eropah	europäische
eropah	europäisch
eropah	europäischen
eropah	europäisches
eropah	europäischer
inggeris	england
inggeris	grossbritannien
inggeris	englisch
inggeris	englische
inggeris	deutsch
gambar	bild
gambar	abbildungen
gambar	bildmaterial
gambar	bildern
gambar	bilder
gambar	bildergalerie
gambar	bilder
gambar	fotografien
gambar	fotos
batu	steine
batu	steinen
batu	steine
batu	gestein
batu	stone
batu	stein
batu	batu
batu	rockmusik
batu	rock
batu	gestein
batu	felsen
buku	buch
buku	bücher
rumah	startseite
rumah	zuhause
rumah	haus
rumah	heimat
rumah	landhäuser
rumah	häuser
rumah	ferienhäuser
rumah	haus
rumah	haus
bola	bola
bola	ball
bola	kugel
bola	bälle
kedudukan	position
kedudukan	stellung
kedudukan	gesamtwertung
kedudukan	rangliste
kedudukan	positionieren
kedudukan	positionierung
huruf	buchstaben
huruf	briefe
huruf	schreiben
huruf	buchstaben
huruf	brief
huruf	buchstabe
itali	italien
itali	italiener
itali	italienischer
itali	italienischen
itali	italienisch
itali	italienische
laporan	bericht
laporan	berichte
laporan	report
laporan	meldung
laporan	melden
laporan	berichte
laporan	berichterstattung
laporan	meldung
laporan	berichte
laporan	reportagen
laporan	meldungen
laporan	berichten
data	angaben
data	datenschutz
data	daten
flag	flagge
flag	fahnen
flag	flaggen
china	porzellan
china	china
china	chinesischer
china	chinesische
china	chinesischen
china	chinesen
china	chinesisch
pusat	zentren
pusat	zentren
pusat	zentriert
pusat	zentrale
pusat	central
pusat	zentral
pusat	zentrum
pusat	mitte
pusat	zentriert
pusat	center
pusat	zentrum
pusat	stadtzentrum
pusat	mitte
pusat	stadtmitte
pusat	mittelpunkt
sultan	sultan
country	land
paling	most
paling	meist
paling	meisten
rasmi	beamter
rasmi	offizielles
rasmi	offizielle
rasmi	offizieller
rasmi	offiziellen
murid	jünger
murid	schüler
murid	schülerinnen
murid	studenten
murid	kursteilnehmer
murid	studierende
murid	jünger
kali	kali
bersatu	unified
bersatu	einheitlich
bersatu	einheitlichen
bersatu	einheitliche
bersatu	vereinheitlicht
bersatu	vereinigten
bersatu	united
bersatu	vereinigtes
bersatu	vereinen
bersatu	vereinigt
bersatu	vereint
bersatu	vereinigen
masih	noch
masih	still
masih	trotzdem
naib	vize
naib	sitte
naib	vizepräsidentin
naib	vizepräsident
naib	vice
anjing	hund
anjing	hunde
anjing	hündin
anjing	hunden
anjing	hund
anjing	hunde
mula	starten
mula	anfangen
mula	start
mula	anfang
mula	beginnen
mula	beginn
semula	wieder
semula	nochmal
semula	erneut
awal	früh
awal	anfang
awal	frühen
awal	early
awal	früher
pelakon	akteure
pelakon	schauspieler
pelakon	schauspielerinnen
pelakon	darsteller
pelakon	schauspielerin
pelakon	schauspielerinnen
pelakon	schauspieler
pelakon	akteur
pelakon	darsteller
terhadap	gegen
terhadap	dagegen
peta	anfahrt
peta	karte
peta	stadtplan
peta	lageplan
peta	landkarte
peta	karten
peta	stadtplan
peta	maps
peta	landkarten
peta	landkarte
bentuk	formgebung
bentuk	form
pernah	jemals
pernah	je
pernah	niemals
pernah	ever
bin	bin
waktu	zeit
waktu	uhrzeit
waktu	zeiten
waktu	zeitraum
waktu	zeitpunkt
mendapat	kriegt
mendapat	bekommt
kereta	mietwagen
kereta	auto
kereta	wagen
kereta	pkw
kereta	autovermietung
kereta	autos
kereta	fahrzeuge
kereta	kraftfahrzeuge
kereta	pkw
kereta	pkws
kereta	trainieren
kereta	bahnhof
kereta	eisenbahn
kereta	zug
kereta	bahn
kuasa	befugnisse
kuasa	powers
kuasa	kräfte
kuasa	macht
kuasa	leistung
kuasa	stromversorgung
kuasa	kraft
kuasa	energie
sejarah	historisches
sejarah	historische
sejarah	historischen
sejarah	vergangenheit
sejarah	werdegang
sejarah	geschichte
walaupun	zwar
walaupun	obgleich
walaupun	obwohl
walaupun	obwohl
walaupun	allerdings
report	bericht
report	berichte
report	report
report	meldung
report	melden
masjid	moschee
masjid	masjid
masjid	moscheen
masjid	moscheen
masjid	moschee
sendiri	allein
sendiri	alleine
sendiri	eigenes
sendiri	eigener
sendiri	eigene
sendiri	eigenen
piala	pokal
piala	trophy
piala	trophäen
piala	trophäe
piala	pokal
piala	becher
piala	kelch
piala	tasse
piala	cup
pecahan	aufgliederung
pecahan	aufschlüsselung
pecahan	aufteilung
pecahan	gliederung
pecahan	brüche
pecahan	fraktionen
pecahan	aufschlüsselung
pecahan	untergliederungen
pecahan	bruchteil
pecahan	fraktion
pecahan	anteil
kira	kira
kira	kalkulation
kira	berechnung
kira	errechnen
kira	berechnen
pilihan	wahlmöglichkeit
pilihan	wahlmöglichkeiten
pilihan	wahl
pilihan	auswahl
pilihan	optionale
pilihan	wahlweise
pilihan	fakultativ
pilihan	optional
pilihan	freiwillig
pilihan	auswahlmöglichkeiten
pilihan	entscheidungen
pilihan	wahlmöglichkeiten
sejak	seitdem
sejak	seit
agama	religion
agama	religionen
agama	religiöse
agama	religiösen
agama	religionen
agama	religiös
agama	religionen
pos	pos
pos	beitrag
pos	post
pos	pfosten
pos	posten
pos	post
pos	postanschrift
pos	postleitzahl
jakarta	jakarta
universiti	hochschule
universiti	hochschulen
universiti	universitäten
universiti	universität
universiti	hochschule
universiti	universitäten
antarabangsa	international
antarabangsa	internationalen
antarabangsa	internationaler
antarabangsa	internationale
kuno	alte
kuno	alten
kuno	antike
kuno	antiken
namun	dennoch
namun	trotzdem
namun	gleichwohl
namun	nichtsdestotrotz
namun	dennoch
namun	allerdings
namun	jedoch
namun	noch
namun	doch
namun	trotzdem
namun	dennoch
tiada	keine
tiada	keiner
tiada	keines
parti	feiern
parti	feier
parti	party
parti	partei
parti	vertragsparteien
parti	parteien
parti	partys
bermula	begonnen
bermula	angefangen
bermula	begann
bermula	gestartet
bermula	startet
bermula	fängt
bermula	beginnt
bermula	starten
bermula	ab
bermula	angefangen
bermula	fängt
bermula	beginnt
para	ziffer
para	para
pula	pula
pula	jedenfalls
pula	egal
pula	trotzdem
pula	ohnehin
pula	sowieso
saya	saya
pelbagai	vielfachen
pelbagai	mehrfache
pelbagai	multiple
pelbagai	mehrere
pelbagai	mehrfach
pelbagai	multi
pelbagai	verschieden
pelbagai	verschiedenen
pelbagai	diverse
pelbagai	verschiedene
pelbagai	verschiedenes
kadar	zinssatz
kadar	satz
kadar	steuersatz
kadar	steuersätze
kadar	preise
kadar	tarife
bukan	not
bukan	nicht
bukan	kein
perak	perak
perak	silber
perak	silberne
perak	silver
meter	metern
meter	meter
meter	metern
meter	zähler
meter	messgeräte
meter	meter
meter	zähler
meter	meter
meter	messgerät
meter	metern
meter	meter
abdul	abdul
abdul	abd
asia	asiatisch
asia	asiatischen
asia	asiatische
asia	asiaten
asia	asien
burung	vogelarten
burung	vögel
burung	vogel
burung	bird
burung	vogelarten
burung	vögel
september	september
bukit	bukit
bukit	anhöhe
bukit	berg
bukit	hill
bukit	hügel
diri	selbst
diri	mich
diri	selbständig
diri	self
diri	selbst
diri	selber
diri	selbst
kepelbagaian	vielfalt
kepelbagaian	diversity
kepelbagaian	diversität
kepelbagaian	vielfältigkeit
kepelbagaian	vielfalt
kepelbagaian	sorte
kepelbagaian	vielzahl
kepelbagaian	abwechslung
kepelbagaian	sorten
kepelbagaian	diversifizierung
kepelbagaian	diverse
kepelbagaian	verschiedene
kepelbagaian	varianten
kepelbagaian	variante
jantina	geschlecht
jantina	gender
jantina	geschlecht
jantina	geschlechter
jantina	geschlecht
jantina	geschlechtsverkehr
jantina	sex
januari	jänner
januari	januar
januari	january
pokok	baum
pokok	baumes
pokok	bäume
pokok	bäumen
pokok	bäume
jun	juni
jun	jun
jun	juni
jun	june
bar	stäbe
bar	bars
bar	balken
bar	nachtleben
bar	gitter
bar	bar
bar	balken
perdana	prime
perdana	premierminister
pentadbiran	verwaltungsrat
pentadbiran	administrator
pentadbiran	verwalter
pentadbiran	administratoren
pentadbiran	gouvernement
pentadbiran	verwaltung
pentadbiran	administratoren
pentadbiran	admins
ibu	mama
ibu	mum
ibu	mutti
ibu	mutter
ibu	mom
ibu	muttertag
ibu	mutter
cina	porzellan
cina	china
cina	chinesischer
cina	chinesische
cina	chinesischen
cina	chinesen
cina	chinesisch
cina	cina
ogos	dezember
ogos	dec
ogos	dez
ogos	august
datuk	großväter
datuk	großvaters
datuk	grandpa
datuk	opa
datuk	großvater
datuk	großvaters
datuk	opa
datuk	großvater
nombor	nummer
nombor	anzahl
nombor	zahl
nombor	telefonnummern
nombor	zahlen
nombor	nummern
siri	reihe
siri	serie
siri	zeitreihen
siri	baureihe
siri	reihen
siri	siri
mungkin	möglicherweise
mungkin	eventuell
mungkin	vielleicht
mungkin	womöglich
mungkin	möglicherweise
mungkin	eventuell
mungkin	vllt
mungkin	vielleicht
mungkin	womöglich
rakyat	leute
rakyat	volksmusik
rakyat	volk
rakyat	folk
rakyat	leute
rakyat	menschen
rakyat	personen
jpg	jpg
bahan	bestandteile
bahan	zutaten
bahan	inhaltsstoffe
bahan	materialien
bahan	material
bahan	werkstoffe
bahan	werkstoff
bahan	baustoffe
bahan	materialien
bahan	werkstoffe
lama	lama
populasi	bevölkerung
populasi	bevölkerungszahl
populasi	grundgesamtheit
populasi	einwohner
populasi	einwohnerzahl
april	april
empat	four
empat	vier
kode	kodex
kode	vorwahl
kode	code
kode	quelltext
ideologi	ideologien
ideologi	ideologie
ideologi	ideologien
muzik	musik
mac	mac
mac	marsch
mac	march
mac	märz
biasa	übliche
biasa	üblich
biasa	üblichen
biasa	gewöhnlich
biasa	normal
biasa	regulär
biasa	regelmäßige
biasa	reguläre
biasa	regelmäßiger
biasa	regelmäßig
bangunan	bauwesen
bangunan	baugewerbe
bangunan	bauen
bangunan	gebäude
bangunan	gebäuden
bangunan	bauwerke
bangunan	gebäude
pesawat	luftfahrzeuge
pesawat	luftfahrzeug
pesawat	flugzeuge
pesawat	flugzeug
pesawat	luftfahrt
pesawat	flugzeuge
pesawat	flugzeug
pesawat	flugzeug
manusia	mensch
manusia	menschen
manusia	mensch
manusia	menschlicher
manusia	menschen
manusia	menschliche
manusia	menschlichen
nasional	nasional
mei	mai
mei	kann
mei	may
mei	möge
mei	darf
mei	mei
garuda	garuda
november	november
zaman	zaman
sekitar	um
sekitar	rund
sekitar	herum
british	britischen
british	britische
british	britisch
berjaya	erfolgreich
berjaya	erfolgreichen
berjaya	erfolgreiche
berjaya	erfolgreich
berjaya	erfolg
berjaya	erfolgs
berjaya	erfolgreich
berjaya	erfolgsgeschichte
berjaya	erfolge
hidup	leben
hidup	life
hidup	lebens
anugerah	verschenken
anugerah	geschenk
anugerah	schenkung
anugerah	geschenke
anugerah	schenken
anugerah	ausgezeichnet
anugerah	auszeichnung
anugerah	award
anugerah	preisverleihung
anugerah	auszeichnungen
anugerah	awards
anugerah	preise
anugerah	prämien
lumpur	dreck
lumpur	schlamm
lumpur	schlamm
johor	johor
juta	million
juta	millionen
juta	mio
utc	utc
location	lage
location	ort
location	standorte
location	standort
mampu	fähige
mampu	fähig
mampu	fähiger
arab	arabischen
arab	arabische
arab	arabisch
arab	araber
arab	arabien
arab	arabischen
arab	arabische
arab	arabisch
arab	araber
arab	arabern
arab	araber
biasanya	normalerweise
biasanya	üblicherweise
biasanya	gewöhnlich
biasanya	meist
biasanya	normalerweise
biasanya	üblicherweise
biasanya	gewöhnlich
biasanya	typisch
biasanya	typischerweise
pembangunan	entwicklungspolitik
pembangunan	entwicklungen
pembangunan	entwicklung
membaca	gelesen
membaca	liest
membaca	lektüre
membaca	lesung
membaca	lesen
membaca	lese
disember	december
disember	dezember
lahir	born
lahir	geboren
lahir	geb
lahir	geburten
lahir	geburt
lahir	entbindung
perlawanan	übereinstimmungen
perlawanan	spiele
perlawanan	treffer
perlawanan	widerstände
perlawanan	widerstand
perlawanan	resistenz
perlawanan	beständigkeit
perlawanan	widerstandsfähigkeit
peringkat	ränge
peringkat	reihen
selangor	selangor
politik	politik
politik	politiker
politik	politischen
politik	politisch
politik	politisches
politik	politischer
politik	politische
united	vereinigten
united	united
united	vereinigtes
julai	juli
julai	july
julai	nov
julai	november
tanpa	ohne
tanpa	without
label	aufkleber
label	labels
label	etiketten
label	beschriftung
label	beschriftungen
label	kennzeichnung
label	etikett
label	aufkleber
label	label
label	beschriftung
udara	air
udara	luft
gunung	berge
gunung	berg
gunung	gebirge
gunung	bergwelt
gunung	mount
gunung	besteigen
gunung	berg
gunung	montieren
gunung	einbinden
majlis	rat
majlis	council
majlis	anlass
majlis	gelegenheit
oktober	oktober
oktober	october
sukan	sportarten
sukan	sport
sukan	freizeit
sukan	sportarten
sukan	sport
kebanyakan	most
kebanyakan	meist
kebanyakan	meisten
seri	reihe
seri	serie
seri	zeitreihen
seri	baureihe
seri	reihen
seri	seri
asal	herkunftsort
asal	entstehung
asal	ursprung
asal	herkunft
sahaja	einzige
sahaja	einzig
