উইলিস	vilis
কানে	auss
ম্যাথিউস	mathews
এসেক্স	essex
শোভা	rotas
জাস্টিন	džastins
ফিশার	fišers
ফিশার	puslodē
ফিশার	fischer
মাইক্রোসফটের	microsoft
জাম্প	lec
বুলেট	lode
কঠোরভাবে	strikti
কঠোরভাবে	stingri
দেওয়ালে	sienas
দেওয়ালে	sienu
দেওয়ালে	mūris
দেওয়ালে	siena
যোদ্ধাদের	cīnītāji
আর্ল	grāfs
পাবলিশার্স	izdevēji
পাবলিশার্স	izdevējiem
সেলাই	šūšanas
সেলাই	šuves
সুরা	sūra
প্রোটোকল	protokolā
প্রোটোকল	protokols
প্রোটোকল	protokoliem
প্রোটোকল	protokoli
সৃষ্টিকর্তা	radītāju
সৃষ্টিকর্তা	radītājs
সৃষ্টিকর্তা	radītāja
সন্ত্রাসবাদ	terorisms
যত্ন	kopšana
যত্ন	aprūpe
যত্ন	aprūpi
তাজিকিস্তান	tadžikistāna
তাজিকিস্তান	tadžikistānas
অনশন	badošanās
সুগার	cukura
সুগার	cukurs
সুগার	cukuru
মোদী	modi
মাননীয়	majestāte
ফান্ড	fondi
ফান্ড	fonda
ফান্ড	fonds
নির্মম	nežēlīgi
নির্মম	brutāli
নির্মম	skarbi
তন্তু	šķiedras
তন্তু	šķiedrām
তন্তু	šķiedru
তন্তু	šķiedras
বাটলার	batlers
কৈশোর	pusaudžu
কৈশোর	pilngadībai
চিনতে	atpazīt
চিনতে	atzīst
চিনতে	atpazīt
চিনতে	atzīt
সাবান	ziepes
স্বরধ্বনি	patskanis
জেনিফার	dženifera
ক্ষেত্রগুলি	lauki
ক্ষেত্রগুলি	laukiem
ক্ষেত্রগুলি	laukus
মরক্কো	maroka
সিরীয়	sīrijas
এভিনিউ	avenue
হকিং	hokings
অর্থহীন	bezjēdzīgi
অর্থহীন	nelietderīgi
পাখনা	spārni
পাখনা	spārnus
ক্রিশ্চিয়ান	kristians
ক্রিশ্চিয়ান	kristiešu
ক্রিশ্চিয়ান	kristiāns
অভ্যর্থনা	saņemšana
অভ্যর্থনা	pieņemšana
অভ্যর্থনা	uzņemšana
ট্রিপল	trīskāršā
মস্তিষ্কে	smadzenes
মস্তিষ্কে	smadzeņu
পলায়ন	bēgt
পলায়ন	bēg
নিঃসন্দেহে	neapšaubāmi
নিবিড়	intensīvs
নিবিড়	intensīva
নিবিড়	intensīvā
নিবিড়	intensīvi
প্রোডাকশন	ražošana
প্রোডাকশন	produkcija
একনিষ্ঠ	veltīta
একনিষ্ঠ	veltīts
অ্যাঞ্জেলো	andželo
এলেন	elena
এলেন	elēna
সিকিম	sikima
ব্যাঙের	vardi
ব্যাঙের	vardes
ব্যাঙের	varde
সম্ভাবনার	iespējas
জুরিখ	zürich
জুরিখ	cīrihe
বাহুর	ieroču
বাহুর	rokām
বাহুর	ieročus
বাহুর	rokas
বাহুর	ieroči
মাইক্রো	mikro
ফ্লাওয়ার	zieds
ফ্লাওয়ার	ziedu
অভিযোজন	pielāgošanās
অভিযোজন	pielāgošana
স্থানাংক	koordinē
স্থানাংক	koordinēt
স্থানাংক	koordinātas
স্থানাংক	koordinātes
ইব্রাহীম	ibrahim
কোমর	vidukļa
উদ্বাস্তু	bēgļi
বিপর্যয়ের	katastrofu
বিপর্যয়ের	katastrofa
মোড	režīms
কাঁকড়া	krabji
কাঁকড়া	krabju
নিয়মাবলী	noteikumi
মায়ার	maiju
মায়ার	maija
মায়ার	maja
গন্য	skaitās
হিন্দুস্তানি	hindustāņu
শত্রুদের	pretinieki
শত্রুদের	ienaidnieki
ভিড়	pūļi
ভিড়	pūļa
ভিড়	pūlis
ভিলা	villa
গোসল	dušas
গোসল	pirts
গোসল	vanna
কোটা	kvotas
কোটা	kvota
কোটা	kota
টার্গেট	mērķi
বাজেয়াপ্ত	konfiscētas
ফসফরাস	fosforu
ফসফরাস	fosfora
ফসফরাস	fosfors
গোপনীয়তা	privātums
গোপনীয়তা	privātuma
ইস্তানবুল	stambulas
ইস্তানবুল	stambulā
পিতামাতা	vecāki
পিতামাতা	vecākiem
পিতামাতা	vecāks
পিতামাতা	vecāka
অবিচ্ছিন্ন	nepārtrauktu
অবিচ্ছিন্ন	nepārtraukts
অবিচ্ছিন্ন	nepārtrauktā
অবিচ্ছিন্ন	nepārtraukti
নামগুলো	nosaukumi
নামগুলো	vārdi
গ্রীষ্মকাল	vasarai
গ্রীষ্মকাল	vasara
গ্রীষ্মকাল	vasarā
জাকার্তা	džakarta
হেল	hel
সিনেট	senāta
সিনেট	senāts
টুইটার	twitter
বাঁক	līknes
বরখাস্ত	atlaists
বরখাস্ত	noraidīts
বরখাস্ত	noraidīja
বরখাস্ত	atlaišana
যুগল	pāris
যুগল	pāra
জার	caram
জার	jar
জার	burkas
লায়ন	lauva
অভিযোগের	maksas
ভাঙন	eroziju
ভাঙন	erozija
ভাঙন	erozijas
বাহামা	bahamu
ফিলিপস	philips
ফিলিপস	filipss
টুকরা	šķēles
টুকরা	gabaliņš
টুকরা	gabals
টুকরা	gab
টুকরা	gabali
অসুস্থতা	slimība
অসুস্থতা	slimības
অসুস্থতা	slimība
লাগানোর	stādīšana
লাগানোর	stādīšanu
লাগানোর	stādīšanas
রহমত	žēlastības
সারের	komposta
কিথ	kīts
দেওয়াল	sienas
দেওয়াল	sienu
দেওয়াল	mūris
দেওয়াল	siena
দেওয়াল	sienas
দেওয়াল	sienām
নোভা	nova
অ্যাক্ট	akts
অ্যাক্ট	act
অ্যাক্ট	rīkoties
টহল	patrulēšanu
টহল	patruļa
কোস্টা	costa
লাইক	patīk
লাইক	like
লাইক	patīk
জুরি	jure
জুরি	žūrijas
জুরি	žūrija
পিঠা	kūka
পিঠা	tortes
পিঠা	torte
ডাটাবেস	datubāzēs
ডাটাবেস	datubāzes
স্থানসমূহ	vietām
স্থানসমূহ	vietas
সি++	c++
স্পষ্টভাবে	noteikti
নিহিত	finansētā
নিহিত	finansēts
নিহিত	finansē
শ্রোতাদের	klausītājiem
গোয়ার	av
ঢোল	bungas
ঢোল	tvertne
মন্ত্রনালয়	ministrijas
মন্ত্রনালয়	ministrija
জারী	jari
ভেজা	slapjas
ভেজা	slapjš
ভেজা	mitra
কুমির	krokodils
মাওবাদী	maoistu
খুনের	slepkavības
খুনের	slepkavības
খুনের	slepkavība
খুনের	slepkavību
মিছিলে	gājiens
আর্কিটেকচার	arhitektūra
তেহরান	teherāna
তেহরান	teherānas
তাপস	tapas
প্রার্থীদের	kandidāti
প্রার্থীদের	kandidātus
প্রার্থীদের	kandidātiem
ম্যাজিক	maģija
ম্যাজিক	burvība
আগ্রাসন	agresija
আগ্রাসন	agresiju
পেনিসিলিন	penicilīna
রোমানদের	romieši
একশ	simti
একশ	simtu
একশ	simtus
একশ	simts
হোল	caurumu
হোল	caurums
ট্রানজিস্টর	tranzistors
স্প্রিং	pavasaris
ক্রেইগ	kreigs
কীট	kukaiņu
কীট	kukaiņi
আদর্শে	ideāli
মিগ	mig
সারসংক্ষেপ	apskats
সারসংক্ষেপ	pārskats
সারসংক্ষেপ	kopsavilkums
শিক্ষাগত	izglītības
উদ্ভিদবিজ্ঞান	botānika
তাক	rack
তাক	plaukti
সুড়ঙ্গ	tunelis
সুড়ঙ্গ	tuneļi
জুল	žils
ফ্যাক্টর	faktoram
ফ্যাক্টর	koeficients
ফ্যাক্টর	faktoru
ফ্যাক্টর	faktors
তুই	tu
তুই	tevi
তুই	jums
তুই	tev
তুই	jūs
ডেল্টা	delta
লুসিয়া	lūcija
চিত্রগ্রহণ	filmē
চিত্রগ্রহণ	filmēt
চিত্রগ্রহণ	filmēšana
চিত্রগ্রহণ	filmēšanas
নৈতিকতা	ētikas
নৈতিকতা	ētika
নৈতিকতা	morālais
নৈতিকতা	morālā
নৈতিকতা	morālo
নৈতিকতা	morāli
নৈতিকতা	morāli
রাজহাঁস	zosu
রাজহাঁস	gūs
গ্যালিলিও	galileo
গাদ্দাফি	kadafi
উষ্ণতা	siltums
স্টকহোম	stokholmā
স্টকহোম	stokholmas
স্টকহোম	stokholma
ভাবতে	domājat
ভাবতে	domā
ভাবতে	domāju
ভাবতে	domāt
ভাবতে	domājam
ভাবতে	padomā
সংকোচন	saspiest
প্রসারণ	izvērst
প্রসারণ	paplašinās
প্রসারণ	paplašināt
প্রসারণ	pagarinājumu
প্রসারণ	pagarināšana
প্রসারণ	paplašināšana
প্রসারণ	paplašinājums
প্রসারণ	pagarinājums
আংটি	gredzens
আংটি	gredzeni
পশ্চিমী	rietumu
পশ্চিমী	western
কিড	bērns
কিড	puika
দিচ্ছে	dodam
দিচ্ছে	sniedzot
উট	kamieļi
উট	kamieļa
জামা	krekli
জামা	kreklus
জামা	krekls
চাওয়া	vēlme
গ্রীষ্মের	vasarai
গ্রীষ্মের	vasara
গ্রীষ্মের	vasarā
দিবালোক	dienasgaismas
ইউয়ান	juaņ
বাঁচতে	dzīvas
বাঁচতে	dzīvot
বাঁচতে	dzīvi
বাঁচতে	dzīvo
বাঁচতে	live
বাঁচতে	tiešraide
কলম্বাস	kolumbs
ট্যাঙ্ক	tvertne
ট্যাঙ্ক	tanku
ট্যাঙ্ক	tvertnes
ট্যাঙ্ক	tanki
ট্যাঙ্ক	cisternas
সুত্র	pavediens
ঋগ্বেদ	rigvēda
স্বাভাবিকভাবেই	dabiski
স্বাভাবিকভাবেই	dabīgi
ব্রিটানিকা	britannica
আরোগ্য	dziedināt
আরোগ্য	izārstēt
আরোগ্য	dzīšanas
ক্রোয়েশীয়	horvātijas
ক্রোয়েশীয়	horvātu
হতাশ	neapmierināts
হতাশ	vīlušies
হতাশ	vīlies
বাহরাইনের	bahreinas
উত্পাদন	izgatavošana
উত্পাদন	ražošana
উত্পাদন	ražošana
উত্পাদন	produkcija
উত্পাদন	ražošana
অযোগ্য	nepiemērots
অযোগ্য	nederīgas
অযোগ্য	nederīgām
তেরেসা	terēze
ক্রিসেন্ট	pusmēness
ভিক্ষুদের	mūki
নেচার	daba
নেচার	raksturs
নেচার	dabu
প্লাটুন	kaujinieks
লিখুন	rakstīt
লিখুন	rakstiet
লিখুন	ievadīt
লিখুন	ievadi
লিখুন	ieiet
মরিশাস	maurīcija
মরিশাস	maurīcijas
ফাঁদ	lamatas
ফাঁদ	slazdā
ফাঁদ	lamatas
ফাঁদ	slazdus
গ্যালারী	alejas
গ্যালারী	galerijas
ব্যঞ্জনধ্বনি	līdzskanis
বোস্টন	bostonas
সুইফট	swift
অপশন	iestatījumi
অপশন	iespējas
অপশন	opcijas
মার্কস	atzīmes
মার্কস	zīmes
পকেট	kabatas
পকেট	kabatā
পকেট	kabatas
আনুষঙ্গিক	aksesuāri
আনুষঙ্গিক	piederumi
কাঁধ	pleca
কাঁধ	plecs
কাঁধ	pleciem
কাঁধ	plecus
স্পিরিট	spirti
স্পিরিট	gari
স্পিরিট	gars
টিকেট	biļete
ডিজেল	dīzeļdegviela
ডিজেল	dīzeļdegvielas
মোস্ট	vairums
মোস্ট	visvairāk
স্নেহ	pieķeršanās
মার্ক্স	markss
ছোঁয়া	pieskarties
অঙ্গীকার	solīt
অঙ্গীকার	apsolu
অঙ্গীকার	solījums
অঙ্গীকার	apņēmība
অঙ্গীকার	apņemšanās
অঙ্গীকার	saistības
অঙ্গীকার	ķīlu
অঙ্গীকার	ķīla
হোস্ট	uzņēmēja
হোস্ট	dators
হোস্ট	saimnieki
ইভা	eva
ইভা	priekšvakarā
বিস্ফোরিত	eksplodēt
বিস্ফোরিত	eksplodēja
সরানো	pārcelts
সরানো	pārcelta
সরানো	pārcelti
সরানো	pārvietots
ড্রাম	bungas
ড্রাম	tvertne
দড়ি	trošu
দড়ি	virves
দড়ি	virvju
টিউটোরিয়াল	pamācības
টিউটোরিয়াল	pamācība
পাসপোর্ট	pase
পাসপোর্ট	pasē
পাসপোর্ট	pasi
পাসপোর্ট	pases
ফেরি	prāmja
উল্লম্ব	vertikāls
উল্লম্ব	vertikālais
উল্লম্ব	vertikāli
উল্লম্ব	vertikālas
উল্লম্ব	vertikālā
অগ্রগামী	pioneer
ফিকে	garlaicīgs
প্রিন্টার	printeris
প্রিন্টার	printeri
প্রিন্টার	printeri
জাস্টিস	tieslietas
জাস্টিস	taisnīgums
জাস্টিস	tiesiskums
মার্টিনেজ	martinez
ফুসফুসের	plaušas
ফুসফুসের	plaušu
গেজেট	vēstnesis
রেসিং	sacīkšu
রেসিং	racing
রেসিং	sacīkstes
যাদু	maģija
যাদু	burvība
এয়ারওয়েজ	airways
সাম	sum
সাম	summa
পিস্তল	pistole
কেরি	kerry
দুধের	piens
পরজীবী	parazītu
কাঁটার	ērkšķiem
জ্যাজ	jazz
জ্যাজ	džeza
আর্সেনিক	arsēna
আর্সেনিক	francijas
আর্সেনিক	franču
বিস্মিত	pārsteigta
বিস্মিত	pārsteigts
বিস্মিত	pārsteidz
বিস্মিত	pārsteigti
বিস্মিত	pārsteidza
বিস্মিত	pārsteigta
বিস্মিত	šokā
আয়না	spoguļi
আয়না	spogulis
আয়না	spogulīt
অঞ্চলগুলি	reģioni
পয়সা	monētas
পয়সা	monēta
পয়সা	monētu
পার্কিং	stāvvieta
পার্কিং	stāvvietas
ক্ষুব্ধ	sašutuši
সর্বোত্তম	visaugstākā
সর্বোত্তম	augstākā
সর্বোত্তম	augstākais
সর্বোত্তম	augstāko
সর্বোত্তম	labākie
সর্বোত্তম	vislabāk
সর্বোত্তম	labākās
সর্বোত্তম	labākais
সর্বোত্তম	lielisks
সর্বোত্তম	izcila
সর্বোত্তম	izcili
সর্বোত্তম	izcils
বাক্যে	teikumu
বাক্যে	teikums
বাক্যে	sods
পরিকাঠামো	infrastruktūra
পরিকাঠামো	infrastruktūras
ভিজুয়াল	redzes
ভিজুয়াল	vizuālā
অপর্যাপ্ত	nepietiekami
অপর্যাপ্ত	nepietiekamas
অপর্যাপ্ত	nepietiekama
অপর্যাপ্ত	nepietiekams
অপর্যাপ্ত	neatbilstošs
অপর্যাপ্ত	neatbilstoša
অপর্যাপ্ত	nepietiekama
অপর্যাপ্ত	nepietiekams
হি	hee
অবজেক্ট	objekts
অবজেক্ট	iebilst
অবজেক্ট	objekti
অবজেক্ট	priekšmeti
পোলার	polar
মনস্তাত্ত্বিক	psiholoģisko
মনস্তাত্ত্বিক	psiholoģiskā
মনস্তাত্ত্বিক	psiholoģiska
সিল্ক	zīda
সিল্ক	zīds
অনুকরণ	imitācija
অনুকরণ	imitācijas
অনুকরণ	imitē
রুডলফ	rūdolfa
কেলি	kelly
তীক্ষ্ণ	ass
তীক্ষ্ণ	asas
তীক্ষ্ণ	krasas
তীক্ষ্ণ	asu
থিওডোর	teodors
ব্র্যাড	breds
রোভার	rover
টার্নার	tērnera
খরা	sausums
জোরে	skaļi
বক	novirze
বক	gārnis
বেলারুশ	baltkrievija
কঙ্কাল	skeleta
কঙ্কাল	skeletu
পাত্রের	podus
ফিদে	fide
ডেরেক	dereks
শোষিত	ekspluatēti
শোষিত	absorbēts
শোষিত	uzsūcas
টিয়া	til
টিয়া	papagailis
টিয়া	papagailis
রূপালী	sudrabs
রূপালী	sudraba
রূপালী	silver
ঘুড়ি	klija
ক্যাবিনেট	kabinets
ক্যাবিনেট	skapis
উইন্ডসর	vindzoras
ডকুমেন্ট	dokuments
ডকুমেন্ট	dokumentu
ডকুমেন্ট	dokumenti
ডকুমেন্ট	dokumentus
কর্মসংস্থান	nodarbinātība
কর্মসংস্থান	nodarbinātības
ঘাসের	zāle
ঘাসের	zāli
বলছে	saka
লাফ	lec
লাফ	paspējuši
তৃণভূমি	pļavas
তৃণভূমি	ganību
তৃণভূমি	ganības
তৃণভূমি	medalus
গানগুলি	dziesmas
আইওএস	ios
উজ্জ্বলতা	uzsvērt
উজ্জ্বলতা	akcentēt
উজ্জ্বলতা	uzsverot
উজ্জ্বলতা	spilgtuma
ডেবিয়ান	debian
রিম	loks
রিম	loka
যাজক	mācītājs
যাজক	garīdzniecības
অনুভূতির	jūtām
অনুভূতির	sajūtas
অনুভূতির	jūtas
যোগফল	sum
যোগফল	summa
পাখা	ventilatora
পাখা	fans
পাখা	fanu
পাখা	ventilators
মাংসের	gaļas
মাংসের	gaļa
মাংসের	gaļai
ফাটল	plaisas
ফাটল	plaisu
ফাটল	plaisa
জলবিদ্যুৎ	hidroenerģijas
সন্ত্রাসবাদী	teroristu
সন্ত্রাসবাদী	teroristiem
সন্ত্রাসবাদী	teroristi
মতবিরোধ	domstarpības
মতবিরোধ	nesaskaņas
গ্লাসগো	glāzgovas
ফোটন	fotonu
নির্ভুল	perfekta
নির্ভুল	ideāli
নির্ভুল	perfekti
নির্ভুল	ideāla
নির্ভুল	perfekts
ম্যানগ্রোভ	mangroves
লক্ষণীয়	pamanāms
লক্ষণীয়	pamanāma
ইসিবি	ecb
গিল	žaunu
গিল	gil
সজীব	svaiga
সজীব	svaigas
সজীব	svaigs
সজীব	svaigi
রোপণ	stādīšana
রোপণ	stādīšanu
রোপণ	stādīšanas
উত্তরপশ্চিম	ziemeļrietumu
শহরতলি	piepilsētas
কেনেথ	kenneth
অ্যালগোরিদম	algoritms
অ্যালগোরিদম	algoritmu
হোমো	homo
সন্নিবেশিত	iestrādāta
প্যাকেট	paketes
প্যাকেট	pakešu
কাছিম	bruņurupucis
আল্প	alp
বর্গাকার	kvadrātveida
বর্গাকার	laukumā
কাঁচা	raw
কাঁচা	neapstrādāts
জিব্রাল্টার	gibraltārs
নিরো	niro
নিরো	nero
রাসূল	messenger
রাসূল	matejs
উড়োজাহাজ	lidmašīna
কালেক্টর	kolekcijas
সালমা	salma
গণ্ডার	degunradzis
বর্ম	bruņas
ব্যস্ততম	noslogotākajām
ফ্লোরেন্স	florence
সরিষা	sinepes
সরিষা	sinepju
ভোরের	rītausma
স্লোভেনিয়া	slovēnija
স্লোভেনিয়া	slovēnijā
চিতা	gepards
চিতা	leopards
সমৃদ্ধির	labklājību
সমৃদ্ধির	labklājība
সমৃদ্ধির	labklājības
যাচ্ছেন	braucam
প্লেটো	plato
খোসা	mizu
খোসা	miza
খোসা	mizas
মালি	mali
ডাকাত	laupītāji
ডাকাত	bandīti
ফ্রান্সিস্কো	francisco
অন্যান্যরা	citas
অন্যান্যরা	citi
অন্যান্যরা	pārējie
বিচ	pludmale
বিচ	pludmales
বিচ	beach
ফেলিক্স	fēlikss
ভ্রমন	brauciens
ভ্রমন	ceļojums
ওবামা	obamas
ওবামা	obama
জাগ্রত	pamodināt
জাগ্রত	nomodā
জাগ্রত	pamodies
বান্ধবী	draudzene
ছোটখাটো	miniatūru
ধারালো	ass
ধারালো	asas
ধারালো	krasas
ধারালো	asu
ভিটা	vita
পেঁয়াজ	sīpoli
পেঁয়াজ	sīpolu
পেঁয়াজ	sīpoli
অসহায়	slikta
অসহায়	vāja
অসহায়	nabaga
অসহায়	bezpalīdzīgi
হসপিটাল	slimnīcā
হসপিটাল	slimnīca
হিরোশিমা	hirosimas
হর	har
হর	saucējs
হর	saucēju
সচিত্র	ilustratīvs
ট্রি	koku
ট্রি	koks
ট্রি	kokā
কানের	ausī
কানের	auss
রোদ	saule
রোদ	saulīte
দেখলাম	marsiešu
দেখলাম	redzēju
দেখলাম	redzēja
দেখলাম	ieraudzīju
ফরওয়ার্ড	pārsūtīt
স্টেফি	štefi
রেবেকা	rebeka
হিপ	hip
হিপ	gūžas
হিপ	gurnu
চাও	gribu
চাও	gribam
চাও	gribi
চাও	grib
পাম্প	sūknis
পাম্প	sūkņa
পাম্প	sūkņi
নিষ্পত্তি	nokārtot
নিষ্পত্তি	nokārtotu
এভিয়েশন	aviācija
কাস্পিয়ান	kaspijas
নিকোলা	nicolas
নিকোলা	nicola
নিকোলা	nikola
নিন	ņemt
নিন	ņem
মিং	minu
দৈত্য	milzu
পোর্টল্যান্ড	portland
এক্সপ্লোরার	explorer
ঝর্ণা	pavasaris
ঝর্ণা	ūdenskritums
ঝর্ণা	strūklakas
ঝর্ণা	strūklaka
ঝর্ণা	ūdenskritumu
প্রদাহ	iekaisums
অনুভূমিক	horizontāls
অনুভূমিক	horizontālas
অনুভূমিক	horizontāli
অনুভূমিক	horizontālo
অনুভূমিক	horizontālā
অনুভূমিক	horizontāla
স্বশাসিত	autonoms
স্বশাসিত	autonomā
স্বশাসিত	autonomais
স্বশাসিত	autonoma
স্বশাসিত	autonomi
ব্যাধি	traucējums
দামি	dārga
দামি	dārgi
দামি	dārgas
দামি	dārgs
টেকসই	ilgtspējīga
টেকসই	ilgtspējīgas
টেকসই	noturīgi
ইন্টেলিজেন্স	izlūkošanas
নিশ্চয়	patiešām
মিনেসোটা	minesotas
হাডসন	hadsona
স্পট	vietas
গোলাবর্ষণ	apšauda
গোলাবর্ষণ	bombardēšanas
ব্যর্থতা	neveiksme
ব্যর্থতা	defekts
ব্যর্থতা	neveiksmes
রিকো	riko
নাক্ষত্রিক	stellar
জোরালো	skaļi
আবশ্যক	nepieciešami
আবশ্যক	nepieciešama
আবশ্যক	prasīts
আবশ্যক	pieprasīts
আবশ্যক	nepieciešams
আপেল	apple
আপেল	ābols
আপেল	ābolu
আপেল	āboli
বারান্দা	lieveņa
বারান্দা	balkons
বারান্দা	balkona
বন্ধুরা	draugi
বন্ধুরা	draugiem
নিরীহ	muļķīgi
নিরীহ	nevainīgi
নিরীহ	nevainīgs
নিরীহ	nevainīgu
দুনিয়া	pasaule
দুনিয়া	pasaulē
স্বেচ্ছাসেবী	brīvprātīgie
স্বেচ্ছাসেবী	brīvprātīgais
স্বেচ্ছাসেবী	brīvprātīgā
স্বেচ্ছাসেবী	brīvprātīgie
স্বেচ্ছাসেবী	brīvprātīgo
ভেড়ার	jērs
ভেড়ার	jēra
সুস্বাদু	garšīga
ইনডোর	iekštelpās
ইনডোর	telpās
ইনডোর	iekštelpu
ইনডোর	telpās
ইরাকী	irākas
তুর্কমেনিস্তান	turkmenistānu
তুর্কমেনিস্তান	turkmenistāna
ভারোত্তোলন	weightlifting
শিকল	važām
শিকল	ķēdēm
শিকল	ķēdes
শিকল	ķēdēs
শারীরিকভাবে	fiziski
বোল	trauks
বোল	bļodu
বোল	bols
বিভ্রান্তি	apjukums
বিশ্লেষন	analītiskā
এক্সিকিউটিভ	izpildvaras
এক্সিকিউটিভ	izpildu
ভিউ	skats
ভিউ	apskatīt
বানু	banu
আর্ক	ark
আর্ক	loks
আর্ক	loka
পোকার	pokera
হুইল	ritenis
হুইল	riteņi
হুইল	rati
লাগবে	vajag
লাগবে	vajadzība
লাগবে	nepieciešams
লাগবে	nepieciešamība
দেখেছেন	redzējusi
দেখেছেন	redzēti
দেখেছেন	redzējuši
দেখেছেন	redzējis
শর্করা	pedāli
বাড়ে	aug
ঈমান	noticēt
ঈমান	tici
ঈমান	ticu
খুচরা	mazumtirdzniecība
উইলি	villijs
নানাভাবে	daudzveidīga
নানাভাবে	daudzveidīgu
ব্রীজ	tilts
ব্রীজ	tilta
প্রিজম	prizmas
মেগা	mega
প্রান্তবিন্দু	virsotni
উদ্বেগ	bažas
উদ্বেগ	trauksme
উদ্বেগ	nemiers
উদ্বেগ	bažas
সমাজকে	sabiedrība
নিঃশ্বাস	elpa
গালে	vaiga
গালে	vaigu
মানমন্দির	observatorija
সন্ধ্যার	vakars
সন্ধ্যার	vakara
সন্ধ্যার	vakarā
হেনরিক	henrik
প্যারাগুয়ে	paragvajas
রামোন	ramon
নারদ	narada
কার্টুনিস্ট	karikatūrists
দক্ষিণাঞ্চলীয়	dienvidu
রাজকন্যা	princeses
রাজকন্যা	princese
রাজকন্যা	princesei
ক্রুশ্চেভ	hruščovs
হান্টার	mednieks
হান্টার	mednieku
চক্ষু	acs
চক্ষু	acī
চক্ষু	acu
লজিক	loģiku
লজিক	loģika
লজিক	loģikas
হার্ভে	hārvijs
বহুবচন	daudzskaitlī
লক	slēgt
লক	lock
পাসওয়ার্ড	parole
পাসওয়ার্ড	paroli
পাসওয়ার্ড	paroles
হাইব্রিড	hibrīds
হাইব্রিড	hibrīda
বার্ন	bernē
নটর	notre
নর্তকী	dejotāja
নর্তকী	dejotāju
নর্তকী	dejotāji
নর্তকী	dejotājas
আলোকচিত্রী	fotogrāfs
মাল্টা	maltas
মাল্টা	maltā
মাল্টা	malta
শপিং	iepirkšanās
শপিং	iepirkties
মিথেন	metānu
মিথেন	metāns
মিথেন	metāna
সংযুক্তি	pielikumu
সংযুক্তি	pielikums
সংযুক্তি	pielikumi
সংযুক্তি	pielikumus
টিস্যু	audus
টিস্যু	audu
টিস্যু	audos
টিস্যু	audi
পাওলো	paulo
পাওলো	paulu
আলেপ্পো	aleppo
সন্ন্যাসীদের	mūki
গতানুগতিক	tipiska
গতানুগতিক	raksturīgi
গতানুগতিক	tipiski
গতানুগতিক	raksturīgs
গতানুগতিক	tipiskas
গতানুগতিক	tipisks
শক	šoks
বোধগম্য	sapratis
বোধগম্য	saprata
বোধগম্য	saprotams
বোধগম্য	saprotami
বোধগম্য	saprotama
