gibson	깁슨
taiwan	대만
sfarbenie	색칠
spravodlivosť	정의
spravodlivosť	공정성
naživo	생방송
naživo	라이브
nájdený	찾았다
nájdený	찾았습니다
nájdený	발견됨
cpu	cpu
svätec	세인트
slobodná	싱글
slobodná	단일
stoviek	수백명이
stoviek	수백
osvetlenie	조명
osvetlenie	조명
ein	ein
vyvinutá	선진
alpách	알프스
odstúpil	사임
odstúpil	사직
fish	피쉬
fish	피시
fish	생선
fish	물고기
štandardné	기본값
štandardné	기본
štandardné	기본값
štandardné	스탠더드
štandardné	표준
sobáš	혼인
sobáš	결혼
sobáš	결혼식
sobáš	웨딩
tance	댄스
abraham	아브라함
abraham	에이브러햄
temple	템플
temple	신전
temple	사원
objaviť	찾기
objaviť	발견
objaviť	찾아보기
oslo	오슬로
užívateľov	사용자
mladšieho	어려
got	got
budhizmus	불교
reggae	레게
greg	그레그
greg	그렉
pasažierov	승객
príjmy	수익
príjmy	소득
príjmy	수입
príjmy	수익
príjmy	영수증
vírus	바이러스
partner	파트너
dokončené	완료
dokončené	완료되었습니다
dokončené	완료
dokončené	완료되었습니다
závislé	종속
závislé	종속
závislé	의존성
italia	이탈리아
turecké	터키식
turecké	터키어
turecké	터키
ilustrátor	삽화가
ilustrátor	일러스트레이터
oblečenie	의류
oblečenie	의류
oblečenie	옷이
zima	춥다
zima	감기
zima	추위
zima	차가운
zima	겨울
zima	윈터
dennis	데니스
java	자바
mpeg	mpeg
kresťania	기독교인
columbus	콜롬버스
columbus	콜럼버스
jednotné	통합
jednotné	싱글
jednotné	단일
jednotné	유니폼
železné	철쭉
pen	pen
jadrá	커널
jadrá	코어
atlantic	애틀랜틱
atlantic	대서양
suché	건조
suché	드라이
opraviť	수리
opraviť	fix
opraviť	고쳐
opraviť	고치
opraviť	고치기
opraviť	정답
opraviť	올바른
snehu	스노우
známu	알려진
url	url
url	url
civilistov	민간인
závody	경주
závody	인종
bruseli	브뤼셀
zimy	윈터스
stratu	상실
stratu	손실
montana	몬태나
blake	블레이크
tunela	터널
trofej	트로피
jeruzaleme	예루살렘
zásadne	근본적으로
zásadne	근본적
kultúr	문화
plná	가득
námorníctvo	해군
námorníctvo	네이비
riadiť	관리하기
riadiť	관리
mladšie	어려
učiteľka	선생님
učiteľka	교사
učiteľka	스승
pivo	맥주
jednotný	통합
jednotný	유니폼
jednotný	싱글
jednotný	단일
pripojený	첨부
pripojený	첨부된
pripojený	연결됨
pripojený	온라인
stiahnuť	다운로드
obľúbený	favourite
obľúbený	즐겨
obľúbený	좋아하는
evanjelium	복음
evanjelium	복음주의
evanjelium	복음서
craig	크레이그
kvalitné	품질
kvalitné	퀄리티
kvalitné	화질
kvalitné	화질이
korisť	전리품
korisť	전리품
korisť	먹이
pozemky	플롯
pozemky	육지
pozemky	랜드
stály	꾸준히
rna	rna
prototypy	프로토타입
kov	메탈
kov	금속
rola	역할
písania	타이핑
pečene	간간
pečene	간디
pete	피터
pete	피트
stupnice	저울
brať	take
kvalifikáciu	자격
kvalifikáciu	자격증
reforiem	개혁개방
reforiem	개혁
vstúpiť	입력
vstúpiť	입력합니다
vstúpiť	입력하기
multi	멀티
kazateľ	설교
kazateľ	설교자
klein	클라인
telefóny	전화
telefóny	전화기
vonkajšia	실외
vonkajšia	야외
vonkajšia	외부
cruz	크루즈
dobytok	가축
dobytok	가축
muzikál	뮤지컬
strachu	공포
strachu	두려움
strachu	공포증
zostavy	어셈블리
zostavy	세트
zostavy	키트
zostavy	명단
zostavy	라인업
fanúšikovia	팬들
plyny	가스
ryba	피쉬
ryba	피시
ryba	생선
ryba	물고기
nádoby	컨테이너
ľavé	좌파
ľavé	왼쪽
väzni	죄수
priehrada	저수지
money	머니
money	돈이
zranení	부상
zranení	부상
zachovať	보존
zachovať	유지
výskumné	조사
výskumné	연구
platforma	플랫폼
car	자동차
car	차량
príslušné	관련
príslušné	관련성
anti	안티
platformy	플랫폼
platformy	플랫폼
brankára	골키퍼
preč	gone
islamu	이슬람교
islamu	이슬람주의
islamu	이슬람
esperanto	에스페란토
hrobu	무덤
dátumu	날짜
dátumu	데이트
hĺbku	깊이
hĺbku	농도
hercov	배우
ohrozený	위협
ohrozený	훼손
ohrozený	해킹
poéziu	문학
viditeľný	표시
viditeľný	표시됨
videa	동영상
videa	비디오
kresby	스케치
rozhodnúť	opt
rozhodnúť	결정하기
rozhodnúť	결정
podaní	행정학
nápisom	비문
kube	쿠바
bolesť	아픔
bolesť	통증
bolesť	통증이
bolesť	고통
deriváty	파생상품
konkrétny	콘크리트
originálny	원본
originálny	오리지널
komik	희극인
komik	코미디언
komik	희극
walker	워커
štvrtého	넷째
štvrtého	네번째
natrvalo	영구적
natrvalo	영구
lúč	레이
orientované	지향
prežili	생존
prežili	생존자
vyšetrovanie	조사
vyšetrovanie	수사
vyšetrovanie	문의
vyšetrovanie	문의
vyšetrovanie	수사
vyšetrovanie	탐구
šachu	체스
austin	오스틴
vinyl	비닐
ideálne	아이디얼
ideálne	이상
abc	abc
občan	시민
občan	시티즌
cia	cia
disky	디스크
disky	디스크
disky	드라이브
vzácny	소중한
vzácny	희귀한
vzácny	귀한
vzácny	희귀
vzácny	드문
strauss	스트라우스
strauss	슈트라우스
dokonale	완벽하게
krivka	곡선
krivka	커브
sláva	명성
sláva	페임
sláva	영광
sláva	글로리
niektorý	일부
šéf	사장님
šéf	보스
nádor	종양
nádor	종양
hliníka	알루미늄
finančná	재무
finančná	금융
wrestling	레슬링
ono	오노
ono	오노노
zhrnutie	요약
cestný	도로
cestný	로드
vetu	문장
analýzu	해석학
analýzu	해석
analýzu	분석
trhy	시장
dávid	데이비드
dávid	다윗
dávid	데이빗
dávid	다비드
geograf	지리학자
lasica	족제비
lasica	족제비과
irak	이라크
jasná	밝아
jasná	밝고
jasná	밝은
jasná	밝게
znížiť	축소
znížiť	줄이기
znížiť	감소
inšpiroval	영감
ltd	ltd
pologuli	반구
pilota	조종사
pilota	파일럿
spomínajú	언급
slnečný	써니
slnečný	화창한
slnečný	맑음
okna	창문
budapest	부다페스트
pristátia	착륙
pristátia	착륙
pristátia	랜딩
raj	파라다이스
raj	천국
raj	낙원
budovanie	건물
budovanie	건축
budovanie	빌딩
otvára	열립니다
otvára	열기
otvára	오프닝
otvára	개봉
bývanie	주택
bývanie	숙소
bis	bis
nepretržite	지속적으로
hustoty	밀도
zobrazí	디스플레이
viditeľná	표시
viditeľná	표시됨
trend	추세
trend	trend
trend	경향
trend	트렌드
júlia	율리아
júlia	쥘리아
júlia	줄리아
júlia	줄리엣
kuchyňa	부엌
kuchyňa	주방
carolina	카롤리나
carolina	캐롤라이나
pravdepodobnosti	확률
pravdepodobnosti	확률론
reagovať	공감
reagovať	응답
reagovať	응답하라
srb	세르비아인
srb	세르비아
srb	세르비아인
srb	세르비아어
vyhrať	win
vyhrať	승리
plošiny	플랫폼
referendum	국민투표
spánku	수면
fyzická	물리적
fyzická	물리
piata	fifth
piata	다섯번째
rex	렉스
fame	명성
fame	페임
cestovný	여행
tempo	속도
tempo	페이스
tempo	템포
stĺpy	기둥
stĺpy	폴란드인
stĺpy	칼럼
stĺpy	기둥
hostí	손님
hostí	게스트
hostí	참석자
hostí	손님들
liečba	치료법
liečba	치료
liečba	시술
liečba	치료
premenných	변수
sms	sms
komerčný	상용
komerčný	상업용
komerčný	상업
králik	토끼
indická	인도인
indická	인도
indická	인디언
presvedčenie	설득
presvedčenie	신념
presvedčenie	믿음
presvedčenie	종교
produktom	제품
učebnice	교과서
učebnice	교과서
prechodné	전이
poľnohospodárska	농업
poľnohospodárska	농지
tmavé	어둡게
tmavé	다크
tmavé	어두운
tmavé	어둠
kancelária	사무소
kancelária	사무실
kancelária	오피스
vstupné	입력
vstupné	입력기
vstupné	입력하기
vstupné	입출력
finančný	재무
finančný	금융
rozhrania	인터페이스
toyota	토요타
promo	프로모션
valca	실린더
porsche	포르쉐
zvýšená	증가
predčasne	조산
versailles	베르사이유
versailles	베르사유
plánovaný	예정된
plánovaný	계획
identity	정체성
identity	정체성
identity	본인
anjel	천사
anjel	엔젤
vnuk	손자
kritický	크리티컬
army	육군
army	군대
ida	ida
ekológia	생태주의
ekológia	생태학
biológ	생물학자
enterprise	엔터프라이즈
enterprise	기업
šach	샤샤
šach	샤이니
šach	체스
hustotu	밀도
hrubé	두껍게
hrubé	두꺼운
správcovia	운영자
správcovia	관리자
správcovia	매니저
ekonómovia	경제학자
zvolená	선정
zvolená	선출
značiek	브랜드
značiek	마르크
značiek	마크스
kolónia	식민지
súčasti	구성요소
súčasti	부품
súčasti	성분
orientácia	오리엔테이션
orientácia	방향
orientácia	지향
prístupný	접근
campbell	캠벨
majiteľov	소유자
luther	루터
američan	아메리칸
američan	미국인
demokratické	민주당
nosiť	착용
svetlá	불빛
svetlá	조명
pochopenie	이해
pochopenie	이해하기
termíny	날짜
termíny	데이트
termíny	약관
termíny	용어
termíny	마감
catherine	캐서린
catherine	카트린
oviec	양양
einstein	아인슈타인
disney	디즈니
býk	황소자리
býk	황소
bitov	비트
odporúča	추천
odporúča	권장
tkaniva	조직
majiteľa	주인
majiteľa	소유자
seminár	워크샵
seminár	워크숍
seminár	세미나
drogy	약물
drogy	의약품
drogy	약품
drogy	마약
drogy	쩔어
klient	클라이언트
definovať	정의하기
definovať	정의
čiara	라인
gps	gps
trup	몸통
schválený	승인
presvedčiť	설득력
presvedčiť	설득
presvedčiť	납득
presvedčiť	설득
účtovníctvo	회계
účtovníctvo	회계학
účtovníctvo	계좌
účtovníctvo	계정
senát	상원
senát	상원의원
zelených	녹색당
prežila	survivor
prežila	생존자
luxembursko	룩셈부르크
systematicky	체계적
kódex	코덱스
niekomu	누군가
lorenzo	로렌조
castro	카스트로
spotrebu	소비
moslimovia	무슬림
koho	who
ustanovenia	조항
bavorsko	바이에른
námorné	해군
námorné	네이비
vylúčený	제외됨
zničenie	파괴
plaza	플라자
partnera	파트너
diaľnici	고속도로
diaľnici	하이웨이
keramiky	도자기
keramiky	세라믹
keramiky	도자기
konštanty	상수
gotická	고딕
jazdec	기사
jazdec	나이트
jazdec	라이더
realizácie	깨달음
šíriť	배포
šíriť	분배
plánovanie	스케줄링
plánovanie	플래닝
plánovanie	계획
plánovanie	기획
plánovanie	프로그래밍
distribúcie	분포
distribúcie	배포판
benátkach	베네치아
benátkach	베니스
maternice	자궁
maternice	자궁
napadol	습격
kovové	메탈
kovové	금속
kovové	금속
afganistanu	아프가니스탄
poškodené	손상
poškodené	손상된
licencia	라이선스
licencia	라이센스
licencia	면허
licencia	허가서
licencia	라이선스
licencia	라이센스
licencia	면허
pripravené	준비
kristína	크리스티나
kristína	크리스티나
pošta	편지
pošta	메일
pošta	우편
pošta	게시
pošta	게시글
pošta	포스트
pošta	게시물
lucas	루카스
lucas	루커스
zaznamenaný	녹음
zaznamenaný	녹화
vyučovanie	명령어
vyučovanie	교육
vyučovanie	교사
vyučovanie	가르침
presunúť	움직여
presunúť	움직임
presunúť	이동
kratšie	짧게
rovné	똑바로
rovné	스트레이트
rovné	평등
oasis	오아시스
počíta	카운트
vektor	벡터
tichá	침묵
portáli	포탈
portáli	포털
zverejnené	게시
zverejnené	출판
zverejnené	출판됨
zverejnené	게시
stíhačky	파이터스
stíhačky	파이터
stíhačky	파이터즈
koža	가죽
koža	스킨
koža	피부
strih	잘라
kentucky	켄터키
paláce	궁전
jennifer	제니퍼
mat	mat
mat	매트
cisári	황제
lyžiarske	스키
prázdne	비어
prázdne	비어
obeh	순환
školské	학교
školské	학교는
školské	스쿨
školské	학원
dôležitosť	중요성
dôležitosť	관련성
navždy	영원
navždy	영원히
navždy	forever
navždy	영원한
významy	의미
stan	스탄
stan	스탠리
stan	스텐
stan	스탠
stan	텐트
stan	천막
licenciu	라이선스
licenciu	라이센스
licenciu	면허
licenciu	허가서
stáť	standing
stáť	스탠딩
stáť	스탠드
rovno	똑바로
rovno	스트레이트
sýria	시리아
sýria	소말리아
nos	코코
nos	nos
výbuch	분출
výbuch	폭발
výbuch	폭발
maple	메이플
maple	단풍나무
maple	단풍
julian	율리우스
julian	율리아누스
julian	율리안
thompson	톰프슨
orientovaný	지향
štvrtok	목요일
tábory	캠프
grafov	그래프
terén	지형
hrúbka	두께
strýko	삼촌
strýko	아저씨
xml	xml
predáva	판매
parkov	파크
parkov	공원
parkov	파크스
venezuela	베네수엘라
srbskej	세르비아
srbskej	세르비아인
srbskej	세르비아어
nancy	낸시
pochod	행진
pochod	행진곡
franco	프랑코
franco	프랭코
farebný	색상
farebný	컬러
farebný	색상
farebný	컬러
farebný	채색
obchodníci	딜러
naprieč	건너편
podnikatelia	사업가
podnikatelia	기업가
predĺženie	확장
predĺženie	연장
predĺženie	확장자
predĺženie	확대
predĺženie	확장자
zákazníkov	고객
ponorky	잠수함
lloyd	로이드
odvetvia	업종
odvetvia	산업
odvetvia	섹터
jazda	승마
jazda	라이딩
jazda	여행
jazda	드라이빙
jazda	운전
pacient	환자
máriu	마리아
albánsko	알바니아
proroka	예언자
iráne	이란
bond	채권
bond	결합
bond	본드
zliatiny	합금
rozdelili	분리됨
rozdelili	별거
rozdelili	나눈
plávanie	수영
plávanie	수영
eso	에이스
eso	ace
biblia	성경
sexuálne	성적
tradícií	전통
podzemné	지하
podzemné	언더그라운드
podmienkami	조건
justin	저스틴
kritike	평론
kritike	비판
kritike	비평
viere	믿음
viere	신념
viere	신앙
srí	sri
výnimku	예외
celoživotné	평생
podporil	지원합니다
podporil	지원
podporil	지원함
slabý	약한
slabý	약해
kazachstan	카자흐스탄
unix	유닉스
reštaurácie	음식점
reštaurácie	레스토랑
reštaurácie	식당
reštaurácie	음식점
reštaurácie	장소
reštaurácie	음식점
reštaurácie	레스토랑
reštaurácie	식당
odklon	출발
odklon	출국
civilné	민간
civilné	민간인
latinská	라틴
latinská	라틴어
štádium	스테이지
štádium	무대
mlieko	우유
mlieko	밀크
gruzínsko	조지아어
gruzínsko	조지아
gruzínsko	조지아어
gruzínsko	조지아
plnenie	구현
plnenie	공연
plnenie	성과
plnenie	성능
plnenie	채우기
plnenie	처형
plnenie	실행
kanály	채널
kanály	피드
tradičná	전통적
tradičná	전통적인
tradičná	전통
vodopády	폭포
vodopády	폭포
kodaň	코펜하겐
poslali	보냄
poslali	전송
vedomostí	지식인
vedomostí	지식
crew	크루
crew	승무원
mediawiki	미디어위키
postihnutých	장애인
zastavenie	멈추기
kopy	발차기
pivovar	맥주
pivovar	양조
elektronická	전자
elektronická	일렉트로닉
zobrazený	표시됨
špecializované	전문가
špecializované	전문
make	make
bombardér	폭격기
autonómne	자치구
hercegovine	헤르체고비나
innsbruck	인스브루크
fbi	fbi
podrobne	자세히
odmenu	보상
plod	태아
divadlá	영화관
divadlá	극장
lineárne	직선형
lineárne	선형
tendenciu	경향
westminster	웨스트민스터
tajomstvo	비밀
tajomstvo	미스테리
tajomstvo	미스터리
tajomstvo	시크릿
tajomstvo	비밀
dusíka	질소
lekárov	의사
lekárov	의사
stratégia	전략
marcos	마르코스
čítaj	읽음
čítaj	읽어보기
čítaj	읽기
čítaj	읽는다
čítaj	읽고
airways	항공
ľudstvo	인류
ľudstvo	인류
vyrobiť	제조
vyrobiť	make
vyrobiť	프로듀스
spoznal	인식
mozog	두뇌
mozog	브레인
babylon	바빌론
schválil	승인
duet	듀엣
duet	duet
hnedé	갈색
hnedé	브라운
kláštorov	수도원
psp	psp
počítačom	컴퓨터
dizajnér	디자이너는
dizajnér	설계자
dizajnér	디자이너
dizajnér	디자이너가
železný	철쭉
príbuzný	상대
príbuzný	상대적
príbuzný	친척
dawn	새벽
generáli	제너럴
forum	포럼
logické	논리적
logické	논리학
logické	논리
obvinený	피고
obvinený	피고인
zlúčenina	화합물
zlúčenina	복합
zlúčenina	복합체
portréty	portraits
portréty	초상화
hymny	찬송가
hymny	찬송
uhla	각도
uhla	앵글
podstata	본질
nacistické	나치즘
dobrovoľníkov	자원봉사자
dobrovoľníkov	자원봉사
dobrovoľníkov	봉사자
plavby	항해
plavby	크루즈
plavby	크루즈
používatelia	사용자
svaly	근육
svaly	근육
modlitby	기도
thajsko	태국
thajsko	타이
vykonávanie	구현
vykonávanie	처형
vykonávanie	실행
zvýšený	길러
zvýšený	증가
vyhľadávanie	찾기
vyhľadávanie	검색
vyhľadávanie	검색하기
vyhľadávanie	찾기
vyhľadávanie	검색
pracovná	일하기
kórea	한국
kórea	코리아
pridelený	할당된
hamburgu	함부르크
hostia	손님
hostia	게스트
hostia	참석자
hostia	손님들
warren	워렌
fenomén	현상
fenomén	현상
hroby	무덤
horizont	지평선
horizont	호라이즌
flotila	함대
flotila	플리트
obecné	시영
študijné	공부해
študijné	공부하기
študijné	공부
študijné	연구
problem	문제
šimon	시몬
šimon	사이몬
šimon	사이먼
slávne	유명한
slávne	유명해
slávne	유명인
slávne	유명하다
slávne	유명
viktória	빅토리아
súvislosť	링크
napadli	침략
závislá	종속
závislá	중독자
závislá	중독
žily	정맥
kritické	크리티컬
obrovská	거대
obrovská	거대한
prechodne	일시적
prechodne	일시적으로
súčiastky	부품
súčiastky	부분
súčiastky	구성요소
súčiastky	부품
súčiastky	성분
sobotu	토요일
odstránené	삭제됨
odstránené	삭제함
odstránené	삭제되었습니다
odstránené	삭제됨
odstránené	삭제되었습니다
dost	충분해
dost	충분한
dost	충분히
čistá	청소
čistá	깨끗한
čistá	깨끗하다
čistá	순수한
čistá	순수
rasy	경주
rasy	인종
rasy	레이스
rasy	경주
rasy	인종
rasy	경쟁
opatrení	조치
opatrení	측정
opatrení	대책
lokomotíva	기관차
gate	대문
gate	게이트
gate	바지
klíma	기후학
klíma	기후
tesla	테슬라
pancier	갑옷
pancier	기갑
pancier	갑옷
pary	증기
pary	스팀
pary	증기
amy	에이미
dec	적위
chudobných	불쌍한
robotníci	노동자
robotníci	노동자들
robotníci	근로자
bratmi	형제
bratmi	브라더스
bratmi	형제들
kontextu	맥락
kontextu	문맥
odchodu	출발
odchodu	출국
macedónsko	마케도니아
macedónsko	마케도니아인
varu	끓는
otrokov	노예
letísk	공항
biologické	생물학
zásobovanie	용품
zásobovanie	공급
zásobovanie	공급
mysle	마인드
detská	키즈
detská	애들
detská	아이들
detská	어린이
detská	아동
detská	어린이들
detská	자녀
detská	어린이
detská	아이들
ramena	어깨
ramena	팔이
ukázať	표시
ukázať	보이기
ukázať	공연
arab	아랍인
arab	아랍
otvorila	개설
marshall	마샬
marshall	마셜
hypotéza	가설
belgické	벨기에
realizuje	구현
požiadať	요청
požiadať	요청하기
viazané	바운드
minerálne	미네랄
minerálne	광물
klanu	클랜
atlantiku	애틀랜틱
atlantiku	대서양
zlyhanie	실패
zlyhanie	실패
pozvanie	초대
pozvanie	초청
peace	피스
peace	peace
peace	평화
kurzy	강좌
kurzy	코스
kurzy	과정
tuhé	단색
tuhé	고체
tuhé	입체
tuhé	솔리드
domácností	가구
cohen	코헨
poroty	배심원
five	다섯
five	파이브
balady	발라드
marian	마리안
povedala	말했다
porazený	패배
porazený	루저
porazený	패자
monarchia	군주제
monarchia	군주
virginia	버지니아
pridané	추가되었습니다
pridané	추가됨
gruzínska	조지아어
gruzínska	조지아
gruzínska	조지아어
gruzínska	조지아
koncepciu	concept
koncepciu	컨셉
koncepciu	개념
výnos	수익
radikálne	급진주의
prevod	전송
prevod	변환
prevod	전환
olympia	올림피아
samce	남성
samce	수컷
fraser	프레이저
sviatky	휴일
sviatky	명절
sviatky	연휴
sviatky	홀리데이
sviatky	휴가
sviatky	공휴일
sviatky	휴일
sviatky	연휴
sviatky	공휴일
sviatky	명절
sumu	금액
pochybnosti	의심
pochybnosti	의심
turner	터너
orion	오리온자리
orion	오리온
jedla	푸드
jedla	음식
jedla	식량
jedla	식품
kolektívne	집단
ťažká	무겁게
ťažká	무거워
ťažká	무거운
ťažká	무거움
nezávislá	독립
nezávislá	독립적
narodenie	출산
narodenie	출산
narodenie	출생
narodenie	출생
narodenie	탄생
narodenie	출산
conrad	콘라트
conrad	콘라드
conrad	콘래드
low	낮은
low	낮음
low	low
pokrytý	커버
pokrytý	덮여
pokrytý	코팅
originál	원본
originál	오리지널
hrubá	두껍게
hrubá	두꺼운
zamestnanec	직원
aliancie	동맹
aliancie	얼라이언스
aliancie	동맹
veliteľstvo	커맨드
veliteľstvo	명령
veliteľstvo	명령어
veliteľstvo	사령부
veliteľstvo	지휘
veliteľstvo	본부
veliteľstvo	본사
weber	웨버
nedostatky	약점
nedostatky	결점
fínske	핀란드어
fínske	핀란드
srbi	세르비아인
poschodie	윗층
poschodie	위층
poschodie	바닥
spojenectvo	동맹
spojenectvo	얼라이언스
nicole	니콜
cisársky	임페리얼
komponenty	구성요소
komponenty	부품
komponenty	성분
santo	산토
orientácie	오리엔테이션
orientácie	방향
orientácie	지향
konkrétnych	구체적
konkrétnych	특정
konkrétnych	구체
iránu	이란
holandské	네덜란드
holandské	네덜란드인
holandské	네덜란드령
holandské	네덜란드어
entropia	엔트로피
roth	로스
riga	리가
personál	직원
personál	스탭
personál	직원들
krivky	곡선
krivky	커브
krivky	곡선
pilotom	조종사
pilotom	파일럿
ohrozenia	협박
ohrozenia	위협
mohamed	무하마드
mohamed	무함마드
mohamed	모하메드
mohamed	무함마드
mohamed	모하메드
obsadené	점령
hmotu	물질
koncepty	임시
koncepty	컨셉
koncepty	개념
koncepty	concepts
angelo	젤로
angelo	안젤로
spotreby	소비
plniť	수행
náhodne	무작위로
náhodne	무작위
náhodne	무작위로
náhodne	랜덤
náhodne	우연히
lietať	날아라
lietať	플라이
prímerie	휴전
prímerie	휴전
poškodená	손상
poškodená	손상된
pobočka	지점
pobočka	분기
hudson	허드슨
estónska	에스토니아어
estónska	에스토니아
estónska	에스토니아
kontinentu	대륙
zemetrasení	지진
dokončenie	완성
amos	아모스
brit	브릿
uliciach	거리
uliciach	길거리
arabi	아랍인
ľavý	좌파
ľavý	왼쪽
admirál	제독
spore	분쟁
kolumbie	콜롬비아
menšina	소수
tajné	시크릿
tajné	비밀
frankfurte	프랑크푸르트
andersson	안데르손
áut	자동차
áut	차량
áut	aut
pripojiť	첨부
pripojiť	부착
pripojiť	마운트
pripojiť	참여하기
pripojiť	가입하기
pripojiť	참여
pripojiť	가입
pripojiť	연결
pripojiť	연결하기
pripojiť	추가
vietnamu	베트남
dylan	딜런
pokúša	시도
muhammad	무하마드
muhammad	무함마드
minimálna	최소
minimálna	최소
uhlík	탄소
itunes	아이튠스
itunes	아이튠즈
egyptský	이집트
egyptský	이집트어
rozvod	이혼
archíve	아카이브
archíve	보관
antény	안테나
antény	안테나
playstation	플레이스테이션
zdrojový	소스
zdrojový	원본
zdrojový	출처
popredia	전경
úzke	좁은
úzke	좁아
úzke	좁다
león	레온
face	얼굴
face	얼굴이
dodávky	배달
dodávky	용품
dodávky	공급
digitálny	디지털
gay	게이
gay	게이이
kazachstane	카자흐스탄
monitor	모니터
monitor	모니터링
vizuálne	시각
vizuálne	비주얼
panely	패널
rytier	기사
rytier	나이트
liečby	치료법
liečby	시술
liečby	치료
krížnik	크루저
pásy	벨트
túžba	욕망
túžba	욕구
túžba	욕망이
túžba	그리움
gitare	guitar
gitare	기타
prijímať	받기
board	보드
board	게시판
board	이사회
guatemala	과테말라
pluto	명왕성
odvetvie	섹터
odvetvie	부문
izby	침실
izby	객실
manželov	남편
manželov	배우자
nápravy	보정
ubytovanie	주택
ubytovanie	숙소
ubytovanie	숙박시설
ubytovanie	숙박
ubytovanie	숙박
ubytovanie	숙소
vraždu	살인사건
vraždu	살인죄
vraždu	살인
spojka	클러치
crazy	미쳐
crazy	미친
digitálna	디지털
fragmenty	단편
amor	amor
amor	큐피드
komunisti	공산주의자
dramatický	극적
mŕtve	사망
mŕtve	데드
rozmnožovanie	전파
spolupracovali	협력
spolupracovali	협업
sánchez	산체스
naznačujú	제안
jose	조제
nôh	다리
