天花	pokke
甘蔗	suikerriet
甘蔗	kierie
甘蔗	cane
哭泣	huil
哭泣	cry
哭泣	huil
賭博	dobbel
賭博	gamble
紀律	dissipline
紀律	disciplines
酷刑	marteling
口服	mondelinge
三叉戟	drietand
展品	uitstalling
展品	bewysstukke
仰光	yangon
南昌市	nanchang
史詩	epic
推斷	ekstrapolasie
花絮	trivia
暹羅	siamese
暹羅	siam
礦物	minerale
礦物	mineraal
麻醉	narkose
攝政	regent
芳香	fragrance
芳香	aroma
民謠	ballad
民謠	folk
明文	eksplisiet
明文	eksplisiete
服務業	dienste
守衛	guards
守衛	wagte
氣球	ballon
氣球	ballonne
倫理	etiese
倫理	etiek
一幕	scene
一幕	toneel
摸	touch
摸	aanraking
投放	aflewering
投放	aflewer
投放	lewering
神學院	seminary
憲政	ingryping
憲政	konstitusionele
憲政	grondwetlike
瀋陽	shenyang
艾瑪	emma
類比	analoog
類比	analogie
雅加達	djakarta
對照	kontras
營利	profit
營利	winsgewende
良心	bewussyn
位移	displacement
招標	tender
波羅的海	baltiese
雨傘	sambreel
花生	grondboontjie
花生	peanuts
閃光	flits
閃光	flash
和弦	koord
子爵	vicomte
子爵	burggraaf
削減	cut
視察	inspeksie
視察	insae
髮型	hare
里根	reagan
叛變	mutiny
殘酷	cruel
殘酷	wreed
殘酷	wreedheid
殘酷	brutal
牧場	ranch
單身	enkel
大自然	aard
大自然	prent
大自然	natuur
大自然	nature
犀	renoster
九個	nege
雇用	hire
雇用	jonger
悲傷	hartseer
悲傷	hartseer
僧侶	monk
粉紅	pienk
反向	omgekeer
反向	reverse
反向	agteruit
北九州	kitakyushu
浴	bad
浴	bath
感恩	dankbaarheid
感恩	dankbaar
感恩	dankbaar
感恩	thanksgiving
生氣	kwaai
星期天	sondae
星期天	sondag
塵埃	stof
平滑	glad
側面	flank
穆爾	moore
薄弱	swak
謊言	lie
謊言	jok
謊言	leuen
謊言	lies
宙斯	zeus
野獸	beast
野獸	monster
填充	invul
填充	silwer
填充	volmaak
起因	sake
起因	oorsake
高分子	polimeer
反省	refleksie
敲	knock
敲	klop
頂端	bokant
頂端	bo
頂端	hoogs
郵輪	cruise
燈光	lig
燈光	ligte
瑪利亞	maria
太陽能	solar
儲備	webbediener
儲備	gereserveer
儲備	reserveer
儲備	bespreek
反對派	opposisie
池塘	dammetjie
講話	spraak
講話	toespraak
講話	speech
離任	uitgaande
激發	inspireer
禁忌	verbode
假說	hipotese
邪教	cult
噴	sproei
榮耀	glorie
榮耀	glory
鳩	dove
叛軍	rebel
叛軍	rebels
叛軍	rebelle
家園	bantoestan
層次	lae
矽	silikon
繡	borduurwerk
匹茲堡	pittsburgh
笨	dom
少了	minder
康復	healing
康復	rehabilitasie
大院	saamgestelde
大院	compound
布希	bush
莊園	manor
欺騙	kul
欺騙	deception
磁性	magnetiese
磁性	magnetisme
內政	interior
內政	binneste
花朵	blomme
花朵	blom
炸藥	dinamiet
炸藥	plofbare
炸藥	plofstof
皮革	leer
徒弟	apprentice
下限	vloer
下限	floor
牛仔	cowboys
牛仔	cowboy
親戚	relatief
親戚	relatiewe
勘探	exploration
橢圓形	oval
橢圓形	ovaal
疑慮	twyfel
上學	skool
乳房	breast
正宗	eg
正宗	aandag
諾亞	noag
諾亞	noah
歸屬	toeskrywing
偷偷	sluip
史學	historiography
泳池	swembad
舉例	voorbeelde
黏	grof
黏	klewerig
黏	taai
灰姑娘	cinderella
牙買加	jamaika
主宰	domineer
渡假	vakansie
偏差	bias
陰影	skaduwees
陰影	skadu
陰影	skaduwee
陰影	skadu
陰影	shade
驚訝	verras
驚訝	verbaas
鱷魚	krokodil
殘骸	wrak
幾內亞	guinee
籽	seeds
付款	pay
付款	betaal
付款	betalings
付款	betaling
白銀	silwer
水牛	buffalo
面部	gelaatstrekke
護航	escort
各部	ministries
共生	simbiose
厭惡	afgryse
厭惡	afsku
孫子	kleinseun
黑幫	gangster
師父	meester
寶寶	baba
綠黨	greens
無畏	fearless
損傷	skade
損傷	besering
缺口	gap
列舉	konfigurasie
精華	essence
蟒	python
蟒	luislang
口語	gesproke
力學	mechanics
處罰	penalty
處罰	strafskop
處罰	strafskoppe
處罰	punishment
名聲	reputasie
序幕	prelude
醋	asyn
代理商	agentskap
代理商	agente
代理商	agent
舒適	gemak
舒適	troos
舒適	gesellig
舒適	gemaklik
充電	hef
充電	lading
充電	heffing
充電	charge
鎳	nikkel
飛翔	fly
飛翔	vlieg
飛翔	vlieënde
飛翔	flying
礦業	mining
礦業	myn
礦業	mynbou
礦業	mynwese
人馬座	boogskutter
人馬座	sagittarius
谷地	valley
谷地	vallei
桃子	perske
電纜	cabling
電纜	kabels
電纜	kabel
蝨	luis
田野	velde
腐敗	korrupte
腐敗	korrup
腐敗	korrupsie
少數民族	minority
無聊	verveeld
藉口	excuses
女朋友	vriendin
酒館	tavern
酒館	pub
酒館	kroeg
政治學	politiek
飛碟	ufo
草甸	meadows
草甸	weiveld
供給	verskaffing
供給	voorrade
供給	voorraad
供給	verskaf
荒漠	woestyn
荒漠	woestyne
潟湖	haf
潟湖	lagoon
鹿特丹	rotterdam
好奇	nuuskierig
好奇	eienaardige
好奇	nuuskierigheid
盎司	onse
放逐	exile
利息	belangstelling
利息	rente
物料	gegewens
物料	rots
物料	materiaal
物料	materiale
物料	materiaal
打壓	lyke
打壓	onderdruk
蟻	ant
蟻	mier
蟻	miere
砂岩	sandstone
鏢	dart
辯護	verdediging
波浪	golwende
波浪	golwe
波浪	waai
波浪	golf
成龍	jackie
猶太教	joodse
猶太教	joods
猶太教	judaïsme
小澤	ozawa
凜	rin
愛人	liefhebbers
愛人	lover
各區	distrikte
瓶子	bottel
前列腺	prostaatklier
化妝	grimering
演示	demo
演示	demonstrasie
游擊隊	guerrilla
游擊隊	partydige
定罪	skuldigbevinding
倡議	ondernemings
倡議	inisiatiewe
倡議	inisiatief
聘用	jonger
盒子	boks
勉強	effens
勉強	skaars
液態	vloeistof
博弈	speletjie
博弈	spel
百分比	persentasie
百分比	persent
製造業	vervaardiging
妥協	benadeel
動議	mosie
動議	motion
動議	beweging
動議	bewegings
狙擊手	sniper
鍋爐	boiler
經文	verses
經文	scriptures
沙丘	duin
奉獻	toewyding
奉獻	toegewyde
奉獻	dedicated
奉獻	opgedra
奉獻	devotion
禮堂	ouditorium
藥品	geneeskunde
藥品	medisyne
藥品	drugs
藥品	dwelms
藥品	medikasie
清新	vars
寧波	ningbo
地基	foundations
雇主	werkgewers
雇主	werkgewer
升起	opkoms
創始	stigting
詐騙	bedrog
詐騙	bedrogspul
任用	afsprake
任用	afspraak
地下水	grondwater
階梯	trappe
黃蜂	wasp
煙火	pype
煙火	vuurwerke
有序	strydig
反彈	hop
屏障	versperrings
屏障	barrier
節點	node
孤兒	orphan
離散	diskrete
週四	donderdag
船塢	dock
黨派	partydige
協奏曲	concerto
希伯來	hebreeus
碉堡	lughawe
碉堡	bunkers
魔術師	towenaar
葬禮	funeral
葬禮	begrafnis
寶座	throne
跡象	tekens
高能	energieke
招聘	jonger
加速度	versnelling
喇叭	horing
貝勒	belle
不平等	ongelykheid
晶體	kristal
晶體	crystal
晶體	kristalle
開花	flowering
開花	bloom
熵	entropie
廉價	goedkoop
空心	hol
收養	aanneem
音訊	oudio
桂林市	guilin
叛逆	opstand
外甥	neef
密封	seal
密封	seël
快車	express
重現	herhaling
信賴	vertroude
信賴	vertrou
信賴	vertroud
彌撒	massa
古物	antiquities
古物	antiquity
撞球	swembad
後援	rugsteun
鼓舞	aanmoediging
關稅	doeane
關稅	customs
讀取	lees
讀取	gelees
讀取	lees
紙幣	banknotes
紙幣	banknote
調動	mobility
獨唱	solo
光電	wek
十字軍	kruistog
十字軍	crusade
十字軍	crusades
十字軍	crusaders
十字軍	crusader
體力	sterkte
平均值	gemiddelde
平均值	gemiddeld
興奮	opgewondenheid
興奮	opgewonde
神龍	draak
神龍	dragon
希臘文	griekse
紫外線	ultraviolet
大介	daisuke
申報	verklaring
鯊魚	sharks
鯊魚	shark
鯊魚	haai
鯊魚	haaie
大腦	brain
大腦	brein
孤獨	eensaam
單字	woord
套房	suite
套房	suites
老兵	veterane
更低	laer
更低	kleinletters
更低	verlaag
更低	sagter
更低	elektrisiteit
變速箱	gearbox
天秤座	weegskaal
天秤座	libra
過濾	filter
過濾	filtreer
過濾	silwer
過濾	filtrering
黃道	diereriem
駕駛艙	cockpit
甘地	gandhi
救護	ambulans
加法	toevoegende
蒸氣	stoom
蒸氣	steam
天命	destiny
提問	vraag
遼寧	liaoning
斜坡	hellings
袋鼠	wallaby
袋鼠	kangaroo
弱勢	kwesbare
開羅	kaïro
水力	hydro
向日葵	sonneblom
援軍	versterkings
駐軍	garnisoen
反對黨	opposisie
博愛	koshuis
博愛	broederskap
冒犯	aanstootlik
早餐	ontbyt
肉體	flesh
動力學	dynamics
緯度	breedtegraad
靈活	soepel
靈活	buigbare
薩姆	sam
凍結	frozen
凍結	bevrore
凍結	gevries
副本	kopieer
副本	bokant
副本	kopiereg
副本	afskrifte
副本	kopieë
粥	pap
橫向	horisontale
橫向	laterale
水壩	dam
水壩	dams
雄心	ambisie
雄心	ambisieuse
航運	versending
開關	skakelaar
開關	wissel
邦聯	confederacy
邦聯	konfederasie
主婦	housewives
填寫	silwer
填寫	volmaak
陸戰隊	marines
扣除	afgetrek
肯亞	kenia
肯亞	kenya
扔	gooi
影射	innuendo
母音	klinker
大聲	loud
堪薩斯	kansas
進食	feeding
進食	voering
進食	eet
上線	aanlyn
涅槃	nirvana
老年人	seniors
老年人	bejaardes
幸存者	oorlewendes
幸存者	survivor
水災	vloede
水災	vloed
貂	mink
煎	fry
遙控	afgeleë
遙控	remote
輝煌	brilliant
輝煌	ongelooflike
輝煌	briljante
石榴	pomegranaat
多餘	ekstra
多餘	oortollige
受害人	slagoffers
受害人	slagoffer
受害人	victim
美學	estetika
堅強	sterk
政客	politici
政客	politikus
水母	jellievis
電阻	weerstand
上級	superior
病理	patologie
煞車	brake
煞車	rem
嫌犯	verdagtes
嫌犯	vermoed
薪水	loon
薪水	salaris
後果	consequence
後果	gevolge
薪資	loon
薪資	salaris
薪資	salarisse
抵押	collateral
元老院	senate
備忘錄	memorandum
許可證	lisensie
許可證	lisensie
許可證	permit
許可證	lisensies
考官	examiner
巴塞隆納	kaapstad
巴塞隆納	barcelona
墜	pendant
極少	selde
流體	vog
強硬	tough
強硬	lot
素質	kwaliteit
素質	gehalte
伯父	oom
突變	mutant
塞內加爾	senegal
模具	skimmel
椅子	chair
椅子	voorsitter
椅子	stoel
琥珀	amber
慾望	begeerte
慾望	lust
慾望	begeer
插座	sok
插座	socket
聖徒	saints
愛好	hobby
愛好	stokperdjie
愛好	stokperdjies
象牙	ivoor
墜落	falling
墜落	vallende
活潑	lively
菊花	madeliefie
菊花	daisy
氙	xenon
募款	fondsinsameling
駭客	hacker
漂	swewende
漂	wissel
白雪	snowy
神田	kanda
病房	ward
病房	wards
病房	wyke
突尼西亞	russies
突尼西亞	tunisië
突尼西亞	tunis
熊貓	pandas
頭條	headline
頭條	opskrif
族裔	etnisiteit
族裔	etniese
族裔	etnies
正直	integriteit
寫信	skryf
彈珠	albasters
彈珠	marmer
彈珠	marble
鈉	sodium
硒	selenium
傷心	hartseer
衣物	klerasie
衣物	klere
衣物	kleredrag
衣物	klere
甘露	manna
今夜	vanaand
固態	soliede
固態	solied
染料	dye
避難	asylum
避難	refuge
唐人街	chinatown
從來沒有	nooit
從來沒有	never
從來沒有	omkeer
鴉片	opium
延誤	vertraging
延誤	vertragings
延誤	vertraag
螺旋槳	skroewe
獲利	profit
獲利	winsgewende
領事	consul
愛滋病	vigs
托管	gasheer
國度	koninkryk
無窮	oneindige
無窮	infinity
頻寬	bandwydte
新生代	kainosoïkum
藻類	alg
打字	tik
巫師	towenaar
巫師	assistent
巫師	wizards
玩偶	poppe
玩偶	doll
寫入	skryf
有色	gekleurde
有色	gekleurde
有色	kleurlinge
鈔	banknotes
貧困	armoede
黑社會	triade
黑社會	gangster
競爭力	mededingende
競爭力	mededingendheid
荒野	wilderness
粉末	powder
親密	intieme
義工	volunteer
義工	vrywilliger
過境	transit
矩形	reghoek
貪	gierigheid
野蠻	savage
野蠻	barbaars
野蠻	brutal
火腿	ham
謬誤	fallacies
毆打	assault
暴徒	mob
壁畫	fresco
壁畫	mural
士氣	morale
倚	skewe
職能	kommentaar
爵士樂	jazz
慈善家	filantroop
女童	meisies
女童	mishandel
援引	invocation
蘑菇	sampioen
牲畜	vee
葡萄牙語	portugese
葡萄牙語	portugees
氧氣	suurstof
傑克遜	jackson
獲釋	vrygestel
獲釋	gelos
梵蒂岡	vatikaan
寮國	laos
騷亂	onrus
騷亂	oproer
午餐	middagete
增益	versterking
亞當斯	adams
匙	lepel
可樂	coke
摺疊	vou
蝸牛	slak
不一致	inkonsekwente
鷺	reier
奮鬥	stryd
奮鬥	struggle
奮鬥	sukkel
東風	dongfeng
蜂蜜	heuning
油畫	skilder
油畫	skildery
油畫	skilderye
稱謂	aanwysing
瑕疵	tekortkominge
燈籠	lantern
受益	voordeel
受益	bevoordeel
樂觀	optimisties
樂觀	optimisme
變體	variasies
變體	variante
俯衝	duik
扶梯	roltrap
活著	lewendig
遺留	legacy
烹飪	kook
烹飪	kookkuns
檸檬	suurlemoen
摩登	modern
摩登	moderne
旅途	journey
況且	besides
配給	rantsoenering
群組	groep
群組	groepeer
天國	hemel
天國	heaven
梵語	sanskrit
喝酒	drank
喝酒	drankie
多樣性	verskeidenheid
檀香山	honolulu
處置	beskikking
處置	afhandeling
警探	speurder
工作站	werkstasie
草稿	konsep
草稿	konsepte
量度	meet
按摩	massering
寶馬	bmw
獵戶座	orion
獵戶座	jagter
林地	woodland
林地	woodlands
寓言	fabel
竿	pool
變異	mutant
變異	variasies
變異	variasie
欄位	terrein
欄位	veld
欄位	velde
領事館	konsulaat
曆法	kalender
饒舌	kletsrym
饒舌	rap
忽視	ignoreer
特使	gesante
為甚麼	hoekom
為甚麼	waarom
煽動	agitasie
應變	strain
誓言	gelofte
誓言	eed
顆粒	deeltjies
顆粒	deeltjie
夜總會	nagklubs
夜總會	nagklub
保養	onderhoud
保養	instandhouding
奶油	botter
奶油	room
奶油	cream
家庭教師	oppasser
審訊	verhoor
騷動	onrus
萃取	uittreksel
壓迫	lyke
填補	invul
填補	silwer
填補	volmaak
木偶	puppets
木偶	puppet
丁香	naeltjies
政令	edik
甄選	seleksie
困惑	verwarring
困惑	confused
困惑	verward
困惑	verwarrend
外人	buitestaander
聖地亞哥	santiago
營地	kamp
營地	kampe
大綱	buitelyn
中繼	oordra
中繼	relay
透鏡	lens
樂天	lotte
舅舅	oom
石首魚	katonkel
融化	saamgesmelt
融化	melt
嫉妒	jaloers
舉重	weightlifting
放大器	amps
離心	sentrifugale
鬍子	snor
鬍子	baard
油脂	grease
貝多芬	beethoven
強姦	verkragting
棕櫚	palm
棕櫚	palms
流星雨	meteor
秘書處	secretariat
批發	groothandel
勒索	afpersing
和睦	harmonie
突顯	hoogtepunt
突顯	verlig
突顯	hoogtepunte
浴室	badkamers
僱員	werknemer
僱員	werknemers
牛角	horings
牛角	horing
鎂	magnesium
附帶	collateral
附帶	incidental
獨奏	solo
山陽	sanyo
自豪	pride
自豪	trots
自豪	trots
天花板	plafon
致電	oproep
致電	bel
致電	roep
致電	skakel
報仇	wraak
報仇	revenge
可變	veranderlikes
零售商	kleinhandelaars
刑罰	penalty
刑罰	strafskop
刑罰	strafskoppe
刑罰	punishment
漫遊	swerf
債券	bind
山洞	cave
山洞	grot
山洞	caves
中介	makelaar
折射	ligbreking
課室	klaskamer
藝術品	kuns
藝術品	kunswerk
飽和	versadiging
異形	alien
異形	uitheemse
異形	aliens
同學會	reunion
畫廊	galleries
畫廊	galery
耕作	boerdery
耕作	grondbewerking
英特爾	intel
稅務	belasting
稅務	belastings
哥倫布	columbus
西瓜	waatlemoen
婆羅洲	borneo
印章	stamp
印章	stempel
印章	seal
印章	seël
丸子	balle
迷信	bygeloof
負荷	laai
負荷	las
嘴巴	mond
威士忌	whiskey
威士忌	whisky
熱火	heat
熱火	hitte
土豆	potatoes
土豆	aartappel
塗鴉	graffiti
蜱	bosluis
收縮	verklein
收縮	krimp
彈簧	lente
彈簧	springs
公示	publisiteit
自制	tuisgemaakte
鎧甲	armor
忠實	faithful
豬肉	varkvleis
狹義	smal
中風	beroerte
崇高	noble
崇高	edel
均勻	eweredig
均勻	eenvormige
均勻	uniform
未遂	gepoogde
遺忘	vergetelheid
控制權	kontrole
控制權	beheer
錘	hamer
錘	hammer
篩選	filter
篩選	filtreer
篩選	silwer
篩選	filtrering
篩選	verwerking
香草	vanielje
博覽	expo
劫掠	plundering
重逢	reunion
噴泉	fontein
噴泉	fonteine
裸露	naaktheid
預估	voorspelling
預估	voorspel
預估	voorspelling
預估	skatting
預估	beraming
預估	skat
預估	geskatte
預估	geraamde
預估	beraamde
桿菌	bacillus
渾	hun
盲人	blind
羚羊	oryx
羚羊	wildsbok
自發	spontaan
自發	spontane
田納西州	tennessee
泗水	surabaya
鉀	kalium
火藥	buskruit
火藥	powder
盧布	roebel
遺失	verlore
遺失	verloor
遺失	ontbreek
遺失	vermis
遺失	afwesig
爆裂	bars
心智	mental
羊毛	flous
羊毛	wol
毒蛇	viper
泥土	grond
多哥	togo
價值觀	waardes
激動	opgewonde
公然	blatant
公然	blatante
早先	earlier
早先	vroeër
畫像	portret
畫像	portraits
輪迴	reïnkarnasie
所有者	eienaar
所有者	eienaars
解碼	dekodeer
解碼	dekodering
園藝	tuinmaak
園藝	tuinwerk
園藝	tuin
幻象	visioene
幻象	visions
幻象	mirage
閃耀	skyn
格子	plaid
信使	messenger
信使	boodskappers
信使	courier
信使	koerier
監測	gemonitor
監測	monitering
監測	monitor
創世	genesis
巴格達	bagdad
羽球	pluimbal
鴞	uile
鴞	uil
征服者	conqueror
開朗	vrolik
開朗	vrolike
開朗	blymoedige
名流	beroemde
盔甲	armor
太監	eunug
鈦	titanium
簡訊	sms
安撫	bevrediging
鶯歌	inge
佛教徒	boeddhistiese
釘	nael
猶他	utah
水管	pype
脖子	nek
開車	aandrywer
班長	squad
沙子	sand
秋海棠	begonia
比對	ooreenstemmend
比對	pas
比對	passing
比對	ooreenstem
比對	ooreenstemming
化妝品	grimering
化妝品	kosmetiese
精簡	streamlined
形容詞	aktief
可逆	omkeerbaar
創傷	trauma
所有權	eienaarskap
含義	betekenis
地毯	carpet
一致性	konsekwentheid
維生素	vitamiene
維生素	vitamien
營救	redding
營救	red
冥王	hades
韃靼	tartarstan
韃靼	tataars
加沙	gaza
古蘭經	koran
護衛艦	fregat
檢索	onttrekking
美德	deugde
斬首	onthoof
妊娠	swangerskap
孫女	kleindogter
猶他州	utah
男朋友	kêrel
護送	escort
橘色	orange
橘色	gewysig
橘色	lemoen
橘色	oranje
租戶	tenant
暗戀	crush
暗戀	verpletter
下雨	reën
撒哈拉	sahara
墳墓	graves
墳墓	grave
墳墓	graf
校正	regstelling
校正	kalibrasie
格陵蘭	groenland
江河	rivier
石灰	lemmetjie
有效率	doeltreffende
有效率	doeltreffend
製圖	kartografie
製圖	mapping
空洞	hol
手錶	waarneem
手錶	horlosie
手錶	kyk
手錶	dophou
手錶	horlosies
本能	instinct
冷凍	frozen
冷凍	bevrore
冷凍	gevries
基石	hoeksteen
分居	geskeide
分居	geskei
堅固	soliede
堅固	solied
賺取	verwerf
賺取	verwerf
賺取	verdien
致癌	karsinogeen
薪酬	vergoeding
罪惡	sonde
大都市	metropolis
品味	smaak
洗手間	toilet
審計	oudit
赫爾辛基	helsinki
全息	hologram
漂浮	swewende
漂浮	wissel
漂浮	float
漂浮	dryf
身後	agter
笑容	smile
笑容	glimlag
年長	ouer
內在	binne
內在	innerlike
槭	acer
通話	oproep
通話	bel
通話	roep
通話	skakel
人行道	pavement
同班同學	klasmaats
搶劫	rooftog
遊記	reise
飢餓	honger
人魚	meerminne
人魚	meermin
錯過	misgekyk
錯過	misgeloop
錯過	gemis
極地	polêre
舒服	gemaklik
殺戮	killing
靜止	stilstaande
停戰	wapenstilstand
負載	laai
負載	las
門戶	portal
門戶	gateway
門戶	portaal
集群	cluster
兌換	ruil
無論如何	elkgeval
無論如何	anyway
無論如何	nogtans
裝載	laai
裝載	las
阿爾卑斯山	alpe
假的	valse
假的	fake
視力	sight
十字路口	kruispad
十字路口	crossroads
婁	lou
西班牙文	spaanse
西班牙文	spaans
清醒	sober
浸信會	baptist
空運	airlift
煙草	tabak
獎盃	trofee
獎盃	trofeë
准將	commodore
酵母	gis
農夫	boere
農夫	boere
農夫	farmer
泰晤士河	thames
疑犯	verdagtes
疑犯	vermoed
傷口	wonde
冬至	sonstilstand
轉運	trans
掠奪	plundering
掠奪	plunder
馬克思主義	marxisme
相識	kennisse
相識	kennis
展覽會	exhibition
濾波器	filter
濾波器	filtreer
前沿	frontier
精子	sperm
精子	semen
青銅	brons
賓州	pennsilvanië
過時	uitgediende
負傷	verwond
負傷	slagting
馬術	equestrian
烏鴉	kraaie
烏鴉	crow
烏鴉	raaf
烏鴉	raven
交錯	afwisselende
牆壁	muur
牆壁	mure
香味	fragrance
香味	aroma
今後	toekomstige
今後	toekoms
無盡	oneindige
無盡	eindelose
洛基	rocky
點燃	lit
白血病	leukemie
白血病	bloedkanker
器械	apparaat
仙境	wonderland
雞蛋	eiers
雞蛋	eier
激勵	inspireer
激勵	inspirasie
等效	equivalents
等效	ekwivalente
等效	ekwivalent
等效	ekwivalensie
處女	virgin
處女	maagd
孟買	bombay
孟買	mumbai
大米	rys
代詞	voornaamwoord
舊的	oud
舊的	ou
動亂	onrus
抓到	gevang
一切都	alles
中級	intermediate
期貨	futures
鹹	souterige
鹹	salty
圍牆	muur
圍牆	heining
調解	bemiddeling
資歷	kwalifikasies
鋼琴家	pianis
泡泡	bubbles
泡泡	borrels
泡泡	borrel
泡泡	bubble
擔憂	sorge
擔憂	bekommerde
擔憂	bekommerd
通緝	gesoek
通緝	wou
園林	tuin
學童	skoolkinders
眼鏡蛇	cobra
老鷹	eagles
老鷹	hawks
老鷹	eagle
老鷹	arend
被動	passiewe
被動	passief
腳踏車	bike
腳踏車	fiets
鞋子	skoene
鞋子	skoen
視角	perspektief
視角	perspektiewe
憎恨	haat
林業	bosbou
露營	kamp
露營	kamp
罰金	boetes
手腕	pols
